district,money,outcome,candidates,pearson,spearman
1,total_amount,mentions,13,0.9192339365039559,0.9230769230769231
1,total_amount,first_place_votes,13,0.7582953323800107,0.7527472527472527
1,total_spending,mentions,11,0.435562085041454,0.9272727272727275
1,total_spending,first_place_votes,11,0.4714273411080659,0.8363636363636365
2,total_amount,mentions,20,0.7310821844528814,0.7744360902255639
2,total_amount,first_place_votes,20,0.6513692347596439,0.7533834586466165
2,total_spending,mentions,19,0.7501557300130994,0.743859649122807
2,total_spending,first_place_votes,19,0.5012571703485978,0.736842105263158
3,total_amount,mentions,15,0.9512808889887566,0.8714285714285712
3,total_amount,first_place_votes,15,0.9331213808810656,0.7607142857142856
3,total_spending,mentions,12,0.7428957363392493,0.7972027972027973
3,total_spending,first_place_votes,12,0.8290116594776888,0.7412587412587414
4,total_amount,mentions,17,0.7221600981559784,0.6862745098039217
4,total_amount,first_place_votes,17,0.7765366267701934,0.7009803921568628
4,total_spending,mentions,16,0.7835355546753292,0.7764705882352941
4,total_spending,first_place_votes,16,0.7089065235826394,0.7794117647058825
