district,candidate,log_total_amount,total_amount,total_contribution_count,total_spending,mentions,first_place_votes,predicted_mentions,residual
3,Steve Novick,11.376435987237054,87240.55,1193,1081644.06,51189.0,20457.0,27295.990784017056,23893.009215982944
3,Angelita Morillo,11.076622263176054,64641.17,2187,230589.39,47477.0,16399.0,25540.9109321516,21936.0890678484
3,Tiffany Koyama Lane,11.392909412987624,88689.62,2848,308922.62,45876.0,16320.0,27392.424587094552,18483.575412905448
4,John Toran,5.198497031265826,180.0,11,16332.26,8652.0,1052.0,-8869.052099322551,17521.05209932255
4,Olivia Clark,11.468346421572262,95639.0,1172,194106.54,45205.0,19138.0,27834.025365266272,17370.974634733728
4,Eric Zimmerman,10.642552919941073,41878.55,522,291095.65,36731.0,8005.0,22999.91198018506,13731.088019814939
4,Sarah Silkie,10.145595733065361,25477.64,1017,102010.01,32039.0,4415.0,20090.77381895853,11948.226181041471
2,Michelle DePass,10.391432089407834,32578.29,720,121536.89,32612.0,6838.0,21529.8755052606,11082.1244947394
2,Elana Pirtle-Guiney,10.75877335278524,47039.93,615,85457.75,34268.0,12447.0,23680.25488542972,10587.74511457028
4,Eli Arnold,10.835241116245001,50778.15,940,108592.89,34636.0,8123.0,24127.889600570823,10508.110399429177
2,Sameer Kanal,10.454862621684232,34711.76,1176,102966.45,31168.0,9924.0,21901.191560054533,9266.808439945467
3,Philippe Knab,8.540128162698734,5115.0,47,5919.57,19531.0,1551.0,10692.525642031971,8838.474357968029
4,Mitch Green,11.00982922573276,60464.56,1568,197062.06,33043.0,10387.0,25149.91110507975,7893.088894920249
3,Jesse Cornett,10.876413027825473,52912.46,1244,140392.04,31392.0,3860.0,24368.90589395094,7023.094106049059
3,Rex Burkholder,10.577232470643192,39230.39,524,,29335.0,3951.0,22617.532538294727,6717.467461705273
4,Andra Vltavín,6.68586094706836,800.0,3,,6504.0,1355.0,-162.17102110474661,6666.171021104747
2,Nat West,10.857394634337798,51915.64,1649,131140.06,30666.0,5462.0,24257.574101753613,6408.425898246387
3,Matthew (Matt) Anderson,6.566672429803241,710.0,6,,4506.0,755.0,-859.8887986377304,5365.88879863773
2,Dan Ryan,11.69636306542238,120133.0,1151,,34116.0,12047.0,29168.812219219304,4947.187780780696
4,Michael Trimble,6.234410725718371,509.0,29,1349.86,1856.0,230.0,-2804.9159124305297,4660.91591243053
1,Joe Furi,6.703126761665642,813.95,11,750.0,4070.0,355.0,-61.098652184206,4131.098652184206
1,Doug Clove,7.317212408359839,1505.0,13,,7593.0,1698.0,3533.6979142780838,4059.3020857219162
2,Tiffani Penson,11.29454853524366,80381.24,853,143910.77,30148.0,7218.0,26816.62974887991,3331.37025112009
3,Chris Flanary,9.7885221685683,17826.94,442,56362.95,20728.0,1242.0,18000.500531285186,2727.4994687148137
1,Deian Salazar,7.2305631534092925,1380.0,54,5326.85,5262.0,720.0,3026.4617561630657,2235.5382438369343
1,Thomas Shervey,6.966967138613983,1060.0,21,2223.98,3507.0,385.0,1483.396787912483,2023.603212087517
4,Chad Lykins,10.758087119038418,47007.66,962,127926.92,25423.0,4757.0,23676.23774102951,1746.7622589704915
2,Will Mespelt,7.103322062526113,1215.0,11,16523.17,3884.0,759.0,2281.6050100689026,1602.3949899310974
4,Lisa Freeman,10.159236909743251,25827.58,553,66943.08,21644.0,3749.0,20170.627916425496,1473.3720835745044
3,Jonathan (Jon) Walker,8.254138688789187,3842.5,97,4611.13,8736.0,1322.0,9018.37158161903,-282.3715816190306
4,Bob Weinstein,10.431786917376169,33919.91,473,80985.14,20934.0,3891.0,21766.10867208625,-832.1086720862513
1,David Linn,8.471775234957654,4776.99,130,5176.49,9324.0,1111.0,10292.394371623632,-968.3943716236317
2,Marnie Glickman,10.443454415648254,34318.0,1090,133462.97,20718.0,3997.0,21834.409051607392,-1116.409051607392
2,Jonathan Tasini,10.808799639022906,49453.07,717,106663.61,22140.0,3404.0,23973.10381125647,-1833.103811256471
3,Ahlam K Osman,9.105319798531454,9002.06,454,45930.68,12133.0,709.0,14001.101510597153,-1868.1015105971528
1,Candace Avalos,10.983508080513106,58893.8,1494,177221.93,22267.0,8297.0,24995.82972739191,-2728.829727391909
1,Jamie Dunphy,10.46810594938862,35174.53,1055,,18470.0,5064.0,21978.71668902727,-3508.716689027271
1,Cayle Tern,8.908694592507015,7395.0,313,13202.71,9061.0,711.0,12850.077025166407,-3789.077025166407
1,Noah Ernst,9.472256843891861,12993.18,416,60028.06,11606.0,4052.0,16149.114638522085,-4543.114638522085
2,Chris Olson,8.891986010920279,7272.45,389,42466.85,7509.0,1233.0,12752.266643110102,-5243.266643110102
1,Loretta Smith,10.686154544664754,43744.96,517,1464141.21,17984.0,5586.0,23255.15157370535,-5271.151573705349
3,Dan Gilk,8.157943507105037,3490.0,40,,3130.0,330.0,8455.254513682412,-5325.254513682412
3,Luke Zak,9.183135656696363,9730.62,473,40457.04,8581.0,548.0,14456.627838648317,-5875.627838648317
1,Steph Routh,11.238590061491452,76006.71,1975,201809.37,20440.0,3894.0,26489.05438477263,-6049.054384772629
1,Terrence Hayes,10.494298805423629,36108.05,963,92626.13,15967.0,3975.0,22132.04707453191,-6165.047074531911
2,Jennifer Park,9.67733071583412,15950.86,418,45905.09,11124.0,1114.0,17349.59677761411,-6225.5967776141115
