outcome,predictor,n,slope,std_error,p_value,r_squared
mentions,fundraising (raw $),65,0.35389348219230155,0.03588039569466114,2.1386397425026157e-14,0.6069417690835155
mentions,fundraising (log $),65,5853.9009758885095,763.2774389184293,1.3515426008924645e-10,0.48284404097708356
mentions,spending (raw $),65,0.025645116434324745,0.0064520283821705784,0.00018402887775571794,0.20049274858895838
mentions,spending (log $),65,5477.457031501118,712.3248147561901,1.2462753900660526e-10,0.4841527375255029
first_place_votes,fundraising (raw $),65,0.12552597484986192,0.01387198933312787,5.329761374249737e-13,0.5651640937719475
first_place_votes,fundraising (log $),65,1794.3458690979394,317.9656388142574,4.249387202774415e-07,0.3357638295973213
first_place_votes,spending (raw $),65,0.010633663458666266,0.0022804787415024123,1.66850676011278e-05,0.25657326116574153
first_place_votes,spending (log $),65,1740.2736177545112,289.96770666748665,1.0548132189785689e-07,0.3637606842895327
viable_int,fundraising (raw $),65,1.2436724875866126e-05,1.5781738975176293e-06,5.774852055643623e-11,0.4964090608620134
viable_int,fundraising (log $),65,0.22046571455831865,0.03048838961373927,7.895610087266111e-10,0.4535487780688794
viable_int,spending (raw $),65,9.71514173222554e-07,2.5145557175851983e-07,0.00026650446071074156,0.19155221608495032
viable_int,spending (log $),65,0.20563804086283627,0.028395505930055683,7.560392643845122e-10,0.45428764753453255
