candidate_key,canonical_candidate,district,is_viable,fundraising,mentions,predicted,residual,money_measure,outcome_measure,district_r_squared,first_place_votes,total_spending
2024|1|timur ender,Timur Ender,1,True,61809.84,16858.0,19069.020383270166,-2211.0203832701663,Fundraising,mentions,0.9328102761822203,,
2024|1|terrence hayes,Terrence Hayes,1,True,36108.05,15967.0,17108.633258449612,-1141.6332584496122,Fundraising,mentions,0.9328102761822203,,
2024|1|loretta smith,Loretta Smith,1,True,43744.96,17984.0,17808.329765803093,175.67023419690668,Fundraising,mentions,0.9328102761822203,,
2024|1|deian salazar,Deian Salazar,1,False,1380.0,5262.0,5205.812703421085,56.187296578915266,Fundraising,mentions,0.9328102761822203,,
2024|1|noah ernst,Noah Ernst,1,True,12993.18,11606.0,13381.253542413542,-1775.2535424135422,Fundraising,mentions,0.9328102761822203,,
2024|1|jamie dunphy,Jamie Dunphy,1,True,35174.53,18470.0,17013.108100026933,1456.8918999730668,Fundraising,mentions,0.9328102761822203,,
2024|1|doug clove,Doug Clove,1,False,1505.0,7593.0,5521.821915829791,2071.1780841702093,Fundraising,mentions,0.9328102761822203,,
2024|1|joe furi,Joe Furi,1,False,813.95,4070.0,3282.255959099064,787.7440409009359,Fundraising,mentions,0.9328102761822203,,
2024|1|cayle tern,Cayle Tern,1,False,7395.0,9061.0,11325.946046635927,-2264.946046635927,Fundraising,mentions,0.9328102761822203,,
2024|1|thomas shervey,Thomas Shervey,1,False,1060.0,3507.0,4244.479924771327,-737.4799247713272,Fundraising,mentions,0.9328102761822203,,
2024|1|steph routh,Steph Routh,1,True,76006.71,20440.0,19823.058140312918,616.9418596870819,Fundraising,mentions,0.9328102761822203,,
2024|1|candace avalos,Candace Avalos,1,True,58893.8,22267.0,18892.7759820344,3374.2240179656,Fundraising,mentions,0.9328102761822203,,
2024|1|david linn,David Linn,1,False,4776.99,9324.0,9732.504277931817,-408.50427793181734,Fundraising,mentions,0.9328102761822203,,
2024|2|chris olson,Chris Olson,2,False,7272.45,7509.0,8111.090006673025,-602.0900066730246,Fundraising,mentions,0.5613710329946147,,
2024|2|sam sachs,Sam Sachs,2,False,4349.01,2824.0,4186.971310095658,-1362.9713100956578,Fundraising,mentions,0.5613710329946147,,
2024|2|debbie kitchin,Debbie Kitchin,2,False,34884.88,9088.0,20079.583614340183,-10991.583614340183,Fundraising,mentions,0.5613710329946147,,
2024|2|laura streib,Laura Streib,2,False,10718.42,4848.0,11071.636340096142,-6223.636340096142,Fundraising,mentions,0.5613710329946147,,
2024|2|marnie glickman,Marnie Glickman,2,True,34318.0,20718.0,19954.520652459527,763.4793475404731,Fundraising,mentions,0.5613710329946147,,
2024|2|nat west,Nat West,2,True,51915.64,30666.0,23114.412440530374,7551.587559469626,Fundraising,mentions,0.5613710329946147,,
2024|2|elana pirtle guiney,Elana Pirtle-Guiney,2,True,47039.93,34268.0,22361.56803538048,11906.431964619522,Fundraising,mentions,0.5613710329946147,,
2024|2|james armstrong,James Armstrong,2,False,25246.18,13504.0,17611.09448823257,-4107.094488232571,Fundraising,mentions,0.5613710329946147,,
2024|2|michael mike marshall,Michael (Mike) Marshall,2,False,55074.82,15684.0,23565.34546305552,-7881.345463055521,Fundraising,mentions,0.5613710329946147,,
2024|2|jennifer park,Jennifer Park,2,False,15950.86,11124.0,14106.168937921742,-2982.1689379217423,Fundraising,mentions,0.5613710329946147,,
2024|2|will mespelt,Will Mespelt,2,False,1215.0,3884.0,-5543.018163927605,9427.018163927605,Fundraising,mentions,0.5613710329946147,,
