district,canonical_candidate,is_viable,fundraising,total_spending,mentions,predicted,residual,absolute_residual,direction,what_we_found,explanation_to_check,source_or_bio_reference
1,Candace Avalos,True,58893.8,,22267.0,18892.7759820344,3374.2240179656,3374.2240179656,over-performed,,,
1,Cayle Tern,False,7395.0,,9061.0,11325.946046635927,-2264.946046635927,2264.946046635927,under-performed,,,
1,Timur Ender,True,61809.84,,16858.0,19069.020383270166,-2211.0203832701663,2211.0203832701663,under-performed,,,
1,Doug Clove,False,1505.0,,7593.0,5521.821915829791,2071.1780841702093,2071.1780841702093,over-performed,,,
2,Michelle DePass,True,32578.29,,32612.0,19557.39828052897,13054.60171947103,13054.60171947103,over-performed,,,
2,Elana Pirtle-Guiney,True,47039.93,,34268.0,22361.56803538048,11906.431964619522,11906.431964619522,over-performed,,,
2,Nabil Zaghloul,False,26484.0,,6482.0,17976.47400618781,-11494.474006187811,11494.474006187811,under-performed,,,
2,Sameer Kanal,True,34711.76,,31168.0,20041.60737402484,11126.39262597516,11126.39262597516,over-performed,,,
3,Matthew (Matt) Anderson,False,710.0,,4506.0,-11082.782433312634,15588.782433312634,15588.782433312634,over-performed,,,
3,Harrison Kass,False,16057.89,,9223.0,22216.503558152108,-12993.503558152108,12993.503558152108,under-performed,,,
3,Steve Novick,True,87240.55,,51189.0,40294.80640276801,10894.193597231992,10894.193597231992,over-performed,,,
3,Theo Hathaway Saner,False,7504.99,,3525.0,14092.236891965527,-10567.236891965527,10567.236891965527,under-performed,,,
4,Olivia Clark,True,95639.0,,45205.0,26714.238863830862,18490.761136169138,18490.761136169138,over-performed,,,
4,Moses Ross,False,27896.63,,5238.0,21144.78461726384,-15906.784617263838,15906.784617263838,under-performed,,,
4,Stanley Penkin,False,61847.0,,9570.0,24743.710342373306,-15173.710342373306,15173.710342373306,under-performed,,,
4,Eric Zimmerman,True,41878.55,,36731.0,22981.256151465153,13749.743848534847,13749.743848534847,over-performed,,,
