feature,candidates_with_data
total_contribution_count,65
average_contribution,65
median_contribution,65
amount_share_micro,65
amount_share_small,65
amount_share_medium,65
amount_share_large,65
amount_share_mega,65
contribution_share_micro,65
contribution_share_small,65
contribution_share_medium,65
contribution_share_large,65
contribution_share_mega,65
expenditure_count,65
average_expenditure,65
median_expenditure,65
spending_amount_share_micro,65
spending_amount_share_small,65
spending_amount_share_medium,65
spending_amount_share_large,65
spending_amount_share_mega,65
spending_count_share_micro,65
spending_count_share_small,65
spending_count_share_medium,65
spending_count_share_large,65
spending_count_share_mega,65
