feature,outcome,n,slope,p_value,r_squared
total_contribution_count,mentions,65,15.967888377533637,8.672802125151105e-12,0.525421236136626
total_contribution_count,first_place_votes,65,5.496712763253696,5.141457775749914e-10,0.46081243548048256
average_contribution,mentions,65,-9.522946118101153,0.8249701670291233,0.0007822353489694844
average_contribution,first_place_votes,65,1.7894796185812432,0.9099959720649345,0.00020443429592809093
median_contribution,mentions,65,-15.00390807756143,0.7775753107846121,0.0012758646599321244
median_contribution,first_place_votes,65,2.7910124897671196,0.8863528700588154,0.00032675695266104476
amount_share_micro,mentions,65,-9786.407211862996,0.30903841158618856,0.016419488164625684
amount_share_micro,first_place_votes,65,-3405.062883225799,0.3358096780860364,0.014711900583048942
amount_share_small,mentions,65,21080.673363580674,0.18723840661591903,0.027442445194343912
amount_share_small,first_place_votes,65,7694.276290797208,0.19040147549789396,0.027057948156598566
amount_share_medium,mentions,65,11564.352071589026,0.4802528395410985,0.007940633552437681
amount_share_medium,first_place_votes,65,5218.911334081567,0.38564159183795943,0.011969550461901735
amount_share_large,mentions,65,-4699.42531614014,0.5853943839526929,0.00475002766648025
amount_share_large,first_place_votes,65,-1975.4982867332985,0.5325594183484448,0.0062124857891230345
amount_share_mega,mentions,65,99636.88188078265,0.03350522957783222,0.06975808936905925
amount_share_mega,first_place_votes,65,31827.32379380586,0.06588243444164668,0.05268172957856354
contribution_share_micro,mentions,65,-5601.769951698227,0.5317252670602699,0.006237730846576417
contribution_share_micro,first_place_votes,65,-3004.534749868794,0.36063862763076937,0.013281160141931925
contribution_share_small,mentions,65,18909.756651705276,0.19432073793618154,0.02659153015987359
contribution_share_small,first_place_votes,65,7983.061803725531,0.13519835700428134,0.035076470790123326
contribution_share_medium,mentions,65,204.43729026397432,0.9941153512010404,8.703115510488857e-07
contribution_share_medium,first_place_votes,65,3109.0321948152787,0.760171175676282,0.0014897397741521212
contribution_share_large,mentions,65,-16173.899789398967,0.5785334279605429,0.004925441074634218
contribution_share_large,first_place_votes,65,-3415.053720170793,0.7498428039303031,0.0016252350128362902
contribution_share_mega,mentions,65,8704356.892022435,0.0390301113321467,0.06587743852206862
contribution_share_mega,first_place_votes,65,3612551.074456051,0.019201294939821086,0.08398404263227766
expenditure_count,mentions,65,26.13845661930671,5.178780010523903e-05,0.2305275556724553
expenditure_count,first_place_votes,65,10.27258428848915,1.1472681720716285e-05,0.26501999627433137
average_expenditure,mentions,65,21.32218866218804,1.5362116192006556e-07,0.35631684537815644
average_expenditure,first_place_votes,65,7.174628589606144,2.3039420448986957e-06,0.30028102600289863
median_expenditure,mentions,65,40.84838899646891,0.10919843158643634,0.040218958472454824
median_expenditure,first_place_votes,65,11.664636299060163,0.21392381546749945,0.02441066494936961
spending_amount_share_micro,mentions,65,-300282.3593757925,0.0007565660117753273,0.1659735741160322
spending_amount_share_micro,first_place_votes,65,-87949.71216384266,0.00814137134175956,0.1059752389414177
spending_amount_share_small,mentions,65,-69320.4379075352,0.0008838166372600483,0.16211621409430466
spending_amount_share_small,first_place_votes,65,-19371.80733669804,0.012873650890976267,0.09423243042007523
spending_amount_share_medium,mentions,65,-71438.01609268159,0.0001021910248924165,0.21454023367036545
spending_amount_share_medium,first_place_votes,65,-21008.15072240975,0.002304777918642019,0.13809624835188394
spending_amount_share_large,mentions,65,-33313.179713921905,3.253912318984328e-06,0.2928270834643627
spending_amount_share_large,first_place_votes,65,-10538.940273841741,8.778642329679635e-05,0.21813693439738002
spending_amount_share_mega,mentions,65,24380.437164494768,1.410196149588208e-07,0.35801862268296347
spending_amount_share_mega,first_place_votes,65,7437.035337089323,2.435631612143295e-05,0.24795826138043764
spending_count_share_micro,mentions,65,-29653.95817952565,0.007200480288217538,0.10911830893169516
spending_count_share_micro,first_place_votes,65,-9463.260893104181,0.020178722138609356,0.08271231272749124
spending_count_share_small,mentions,65,17916.934237557965,0.3821449583822854,0.012145791214769663
spending_count_share_small,first_place_votes,65,9640.414927409958,0.19792032833968395,0.02617255477482039
spending_count_share_medium,mentions,65,2648.255536777713,0.9336840787904311,0.00011077439340789752
spending_count_share_medium,first_place_votes,65,-83.43809146260446,0.9942932914503656,8.184734159311091e-07
spending_count_share_large,mentions,65,-2917.5081287999383,0.878009737539038,0.00037687700870447927
spending_count_share_large,first_place_votes,65,-3056.440962182402,0.6606619320765239,0.0030786744669012434
spending_count_share_mega,mentions,65,111115.64114773113,2.942661739165905e-07,0.3432557229644818
spending_count_share_mega,first_place_votes,65,34033.55125764458,3.490737560848076e-05,0.2396835246447413
