feature,outcome,n,slope,p_value,r_squared
total_contribution_count,first_place_votes,65,5.496712763253696,5.141457775749914e-10,0.46081243548048256
average_expenditure,first_place_votes,65,7.174628589606144,2.3039420448986957e-06,0.30028102600289863
expenditure_count,first_place_votes,65,10.27258428848915,1.1472681720716285e-05,0.26501999627433137
spending_amount_share_mega,first_place_votes,65,7437.035337089323,2.435631612143295e-05,0.24795826138043764
spending_count_share_mega,first_place_votes,65,34033.55125764458,3.490737560848076e-05,0.2396835246447413
spending_amount_share_large,first_place_votes,65,-10538.940273841741,8.778642329679635e-05,0.21813693439738002
spending_amount_share_medium,first_place_votes,65,-21008.15072240975,0.002304777918642019,0.13809624835188394
spending_amount_share_micro,first_place_votes,65,-87949.71216384266,0.00814137134175956,0.1059752389414177
total_contribution_count,mentions,65,15.967888377533637,8.672802125151105e-12,0.525421236136626
spending_amount_share_mega,mentions,65,24380.437164494768,1.410196149588208e-07,0.35801862268296347
average_expenditure,mentions,65,21.32218866218804,1.5362116192006556e-07,0.35631684537815644
spending_count_share_mega,mentions,65,111115.64114773113,2.942661739165905e-07,0.3432557229644818
spending_amount_share_large,mentions,65,-33313.179713921905,3.253912318984328e-06,0.2928270834643627
expenditure_count,mentions,65,26.13845661930671,5.178780010523903e-05,0.2305275556724553
spending_amount_share_medium,mentions,65,-71438.01609268159,0.0001021910248924165,0.21454023367036545
spending_amount_share_micro,mentions,65,-300282.3593757925,0.0007565660117753273,0.1659735741160322
