district,candidate_a,candidate_b,fundraising_a,fundraising_b,mentions_a,mentions_b,money_gap_pct,mention_gap_pct,similar_money,large_mention_gap
2,Debbie Kitchin,Michelle DePass,34884.88,32578.29,9088.0,32612.0,6.612004971781461,72.13295719367105,True,True
2,Debbie Kitchin,Sameer Kanal,34884.88,34711.76,9088.0,31168.0,0.4962608442396687,70.84188911704312,True,True
2,Debbie Kitchin,Marnie Glickman,34884.88,34318.0,9088.0,20718.0,1.6250020065999866,56.13476204266821,True,True
2,James Armstrong,Nabil Zaghloul,25246.18,26484.0,13504.0,6482.0,4.673840809545385,51.99940758293838,True,True
3,Kelly Janes (KJ),Philippe Knab,4730.0,5115.0,2684.0,19531.0,7.526881720430108,86.25774409912447,True,True
3,Jonathan (Jon) Walker,Dan Gilk,3842.5,3490.0,8736.0,3130.0,9.173715029277814,64.17124542124543,True,True
3,Harrison Kass,Chris Flanary,16057.89,17826.94,9223.0,20728.0,9.923464150325291,55.504631416441526,True,True
4,Moses Ross,Sarah Silkie,27896.63,25477.64,5238.0,32039.0,8.671262442811198,83.65117513030992,True,True
4,Moses Ross,Lisa Freeman,27896.63,25827.58,5238.0,21644.0,7.416845690680198,75.79929772685271,True,True
4,Mitch Green,Stanley Penkin,60464.56,61847.0,33043.0,9570.0,2.235257975326212,71.03773870411281,True,True
4,Eli Arnold,Ben Hufford,50778.15,49074.17,34636.0,12275.0,3.3557347008506677,64.55999538052893,True,True
4,Eric Zimmerman,Tony Morse,41878.55,41809.6,36731.0,13246.0,0.16464275864375524,63.937818191718165,True,True
4,Chad Lykins,Ben Hufford,47007.66,49074.17,25423.0,12275.0,4.210993278133883,51.71694921921095,True,True
