district,money,outcome,n,pearson,spearman
1,fundraising,mentions,13,0.9192339365039559,0.9230769230769231
1,fundraising,first_place_votes,13,0.7582953323800107,0.7527472527472527
1,total_spending,mentions,11,0.435562085041454,0.9272727272727275
1,total_spending,first_place_votes,11,0.4714273411080659,0.8363636363636365
2,fundraising,mentions,20,0.7310821844528814,0.7744360902255639
2,fundraising,first_place_votes,20,0.6513692347596439,0.7533834586466165
2,total_spending,mentions,19,0.7501557300130994,0.743859649122807
2,total_spending,first_place_votes,19,0.5012571703485978,0.736842105263158
3,fundraising,mentions,15,0.9512808889887566,0.8714285714285712
3,fundraising,first_place_votes,15,0.9331213808810656,0.7607142857142856
3,total_spending,mentions,16,0.7465594813972974,0.7999999999999999
3,total_spending,first_place_votes,16,0.8283526411419199,0.788235294117647
4,fundraising,mentions,17,0.7221600981559784,0.6862745098039217
4,fundraising,first_place_votes,17,0.7765366267701934,0.7009803921568628
4,total_spending,mentions,19,0.8146378467241803,0.7894736842105263
4,total_spending,first_place_votes,19,0.7344097724082743,0.8
