year,district,candidate,candidate_key,filing_status,filing_date,form_type_detected,filed_as,office_sought,ballot_name,campaign_website,race_ethnicity_self_reported,tribe_native_corporation_self_reported,occupation,occupational_background,prior_govt_experience,education_background,public_funding_program,candidate_committee,filing_method,parse_method,needs_manual_review
2024,1,Candace Avalos,2024|1|candace avalos,Qualified,"July 5, 2024",candidate_filing_application,Original,Councilor District 1 (4-Year Term),Candace Avalos Page 2: Candidate Information,www.candaceavalos.com,"Black or African American | Hispanic, Latino, Latina, or Latinx",,"Executive Director of Verde, environmental justice nonprofit",Coordinator of Student Government Relations and Greek Life Advisor at Portland State University University Program Board Graduate Advisor at James Madison University Graduate Hall Director at Stanford University Office of Judicial Affairs Graduate Assistant at James Madison University English as a Second Language Assistant at Dominion High School,"Chair of the Citizen Review Committee Co-chair of committee on Charter Review Commission Governor Kotek's Downtown Portland Task Force, environmental justice committee of Racial Justice Council Governor Brown's DPSST Training Task Force","[{""school"": ""Dominion High School"", ""last_grade_completed"": ""12th"", ""credential"": ""High School Diploma"", ""course_of_study"": ""N/A""}, {""school"": ""James Madison University"", ""last_grade_completed"": ""Undergraduate"", ""credential"": ""Bachelor of Arts"", ""course_of_study"": ""Modern Foreign Languages""}, {""school"": ""James Madison University"", ""last_grade_completed"": ""Graduate"", ""credential"": ""Master of Education"", ""course_of_study"": ""College Student Personnel Administration""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,1,Cayle Tern,2024|1|cayle tern,Qualified,"July 11, 2024",candidate_filing_application,Amendment,Councilor District 1 (4-Year Term),Cayle Tern Page 2: Candidate Information,cayleforpdx.com,Asian or Asian American | Page 9: Candidate Information: Demographic Information,,"Community Organizer, APANO CUF","Family Coach, Oregon Department of Human Services","Reynolds School Board, Elected","[{""school"": ""Portland State University"", ""last_grade_completed"": ""18"", ""credential"": ""Master of Social Work"", ""course_of_study"": """"}, {""school"": ""California State University, Chico"", ""last_grade_completed"": ""16"", ""credential"": ""Bachelor of Science"", ""course_of_study"": ""BUSINESS: Human Resources Management""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,1,David Linn,2024|1|david linn,Qualified,"August 7, 2024",candidate_filing_application,Original,Councilor District 1 (4-Year Term),David Linn Page 2: Candidate Information,Www.linnforPortland.com,White | Page 9: Candidate Information: Demographic Information,,Health Licensing,Miscellaneous,Centennial School Board,"[{""school"": ""Portland State Univ."", ""last_grade_completed"": ""19"", ""credential"": ""Masters of Public Administration"", ""course_of_study"": ""Local Government""}, {""school"": ""Portland State Univ."", ""last_grade_completed"": ""16"", ""credential"": ""BA"", ""course_of_study"": ""History/Political Science""}, {""school"": ""McDaniel High School"", ""last_grade_completed"": ""12"", ""credential"": ""Diploma"", ""course_of_study"": """"}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,1,Deian Salazar,2024|1|deian salazar,Qualified,"August 26, 2024",candidate_filing_application,Original,Councilor District 1 (4-Year Term),Deian Salazar Page 2: Candidate Information,salazarforthepeople.com,"American Indian or Alaskan Native (if selected, a text | your Tribe or Native Corporation, if desired)","American Indian or Alaskan Native (if selected, a text",Policy Advocate Community Organizer Candidate,"East Portland Action Plan Member Oregon Commission on Autism, Social Services Co-Chair Portland Children's Levy Community Council Governor's Child Foster Care Advisory Commission Participatory Budgeting Oregon","East Portland Action Plan Member Oregon Commission on Autism, Social Services Co-Chair Portland Children's Levy Community Council Governor's Child Foster Care Advisory Commission Participatory Budgeting Oregon Multnomah Democratic Party, District Leader HD 47, Youth Chair","[{""school"": ""David Douglas High School"", ""last_grade_completed"": ""Graduate"", ""credential"": ""Modified"", ""course_of_study"": """"}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,1,Doug Clove,2024|1|doug clove,Qualified,"June 26, 2024",candidate_filing_application,Original,Councilor District 1 (4-Year Term),Doug Clove Page 2: Candidate Information,,Prefer Not to Answer | Page 9: Candidate Information: Demographic Information,,Water Service Inspector,2.5 years as an Assistant Business Systems Analyst working on Water Bureau Billing System,"VP for Finance, Associated Students of MHCC, Legislative Assistant, Representative Ron Adams","[{""school"": ""Portland State University"", ""last_grade_completed"": ""Graduated"", ""credential"": ""Bachelor of Science"", ""course_of_study"": ""Political Science & Social Science""}, {""school"": ""Mt Hood Community College"", ""last_grade_completed"": ""Graduated"", ""credential"": ""Associates Degree"", ""course_of_study"": ""Transfer Degree""}, {""school"": ""Franklin High School"", ""last_grade_completed"": ""12"", ""credential"": ""Diploma"", ""course_of_study"": """"}, {""school"": ""Our Lady of Sorrows"", ""last_grade_completed"": ""8"", ""credential"": ""Graduated"", ""course_of_study"": """"}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,1,Jamie Dunphy,2024|1|jamie dunphy,Qualified,"June 5, 2024",candidate_filing_application,Original,Councilor District 1 (4-Year Term),Jamie Dunphy Page 2: Candidate Information,www.jamiedunphy.com,White | Page 9: Candidate Information: Demographic Information,,"Oregon Government Relations Director, The American Cancer Society Cancer Action Network","Senior Policy Director, Portland City Commissioner Nick Fish Constituent Services Representative, US Senator Jeff Merkley Behavioral Assistant, David Douglas School District Board member, MusicPortland","Parkrose School Board Budget Committee. Community Representative, Community Police Relations Committee. Kelly Elementary PTA","[{""school"": ""Portland State University"", ""last_grade_completed"": """", ""credential"": ""Bachelors of Science"", ""course_of_study"": ""Political Science""}, {""school"": ""Portland Community College"", ""last_grade_completed"": """", ""credential"": ""Associates of science, associates of art, associates of"", ""course_of_study"": """"}, {""school"": ""Grant High School"", ""last_grade_completed"": ""12th grade"", ""credential"": """", ""course_of_study"": """"}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",candidate_filing_application,Original,Councilor District 1 (4-Year Term),Joe Allen Page 2: Candidate Information,joeallenforportland.com,Prefer Not to Answer | Page 9: Candidate Information: Demographic Information,,Woodworker,Woodworker,None,"[{""school"": ""Rancho Santiago Community College"", ""last_grade_completed"": ""Sophomore"", ""credential"": ""n/a"", ""course_of_study"": """"}, {""school"": ""Fullerton Junior College"", ""last_grade_completed"": ""Sophomore"", ""credential"": ""n/a"", ""course_of_study"": """"}, {""school"": ""Florida College"", ""last_grade_completed"": ""Freshman"", ""credential"": ""n/a"", ""course_of_study"": """"}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,1,Joe Furi,2024|1|joe furi,Qualified,"August 12, 2024",candidate_filing_application,Original,Councilor District 1 (4-Year Term),Joe Furi Page 2: Candidate Information,joefuriforportland.com,White | Page 9: Candidate Information: Demographic Information,,Property Management Recruiter,Career Development Specialist - The Doe Fund,NA,"[{""school"": ""S.U.N.Y. Binghamton"", ""last_grade_completed"": ""16"", ""credential"": ""B.S. in Business Administration"", ""course_of_study"": ""Leadership Studies""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,1,Loretta Smith,2024|1|loretta smith,Qualified,"August 26, 2024",candidate_filing_application,Original,Councilor District 1 (4-Year Term),Loretta Smith Page 2: Candidate Information,www.lorettasmithpdx.com/,Black or African American | Page 9: Candidate Information: Demographic Information,,"Small Business Owner, Government and Public Affairs Consulting Firm",Advocacy Manager; Field Representative for US Senator Ron Wyden,Elected in 2010 & 2014 as a Multnomah County Commissioner (2011-2018) served,"[{""school"": ""Oregon State University"", ""last_grade_completed"": ""Senior year"", ""credential"": ""BA"", ""course_of_study"": ""Communications""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,1,Michael (Mike) Sands,2024|1|michael mike sands,Qualified,"June 10, 2024",candidate_filing_application,Original,Councilor District 1 (4-Year Term),Michael (Mike) Sands Page 2: Candidate Information,,White | Page 9: Candidate Information: Demographic Information,,Not Employed; Retired,Trial Attorney Law Professor Superior Court Judge Pro Tem,"Sacramento City Council Sacramento County Assistant Public Defender Sacramento County Democratic Central Committee Ford Foundation Legislative Intern, California Assembly","[{""school"": ""U. of Arizona"", ""last_grade_completed"": ""Senior"", ""credential"": ""B.S.B.A."", ""course_of_study"": ""Accounting""}, {""school"": ""Stanford Law School"", ""last_grade_completed"": """", ""credential"": ""LL.B."", ""course_of_study"": ""Law""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,1,Noah Ernst,2024|1|noah ernst,Qualified,"July 16, 2024",candidate_filing_application,Original,Councilor District 1 (4-Year Term),Noah Ernst Page 2: Candidate Information,noahernst4portlan.com,White | Page 9: Candidate Information: Demographic Information,,Superintendent - In-House Council Radio Cab Co.,Attorney,None,"[{""school"": ""University of Oregon School of Law"", ""last_grade_completed"": ""Graduated"", ""credential"": ""Juris Doctorate"", ""course_of_study"": ""Law""}, {""school"": ""Central Washington University"", ""last_grade_completed"": """", ""credential"": ""BA - Art BA - Philosophy"", ""course_of_study"": """"}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,1,Peggy Sue Owens,2024|1|peggy sue owens,Qualified,"June 13, 2024",candidate_filing_application,Amendment,Councilor District 1 (4-Year Term),PEGGY SUE OWENS Page 2: Candidate Information,commonsensecampaignpdx.com,"American Indian or Alaskan Native (if selected, a text | your Tribe or Native Corporation, if desired)","American Indian or Alaskan Native (if selected, a text",President Don's A-1 Glass,Administration,none,"[{""school"": ""Bandon High School"", ""last_grade_completed"": ""11"", ""credential"": ""diploma"", ""course_of_study"": ""general""}, {""school"": ""SouthWestern Oregon Community College"", ""last_grade_completed"": ""13"", ""credential"": ""na"", ""course_of_study"": """"}, {""school"": ""Portland State University"", ""last_grade_completed"": ""14"", ""credential"": ""NA"", ""course_of_study"": """"}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,1,Steph Routh,2024|1|steph routh,Qualified,"June 18, 2024",unrecognized_or_scanned,,,,,,,,,,,,,,ocr_fallback,True
2024,1,Terrence Hayes,2024|1|terrence hayes,Qualified,"July 19, 2024",unrecognized_or_scanned,,,,,,,,,,,,,,ocr_fallback,True
2024,1,Thomas Shervey,2024|1|thomas shervey,Qualified,"July 25, 2024",candidate_filing_application,Original,Councilor District 1 (4-Year Term),Thomas Shervey Page 2: Candidate Information,https://www.tiktok.com/@thomas4district1?_t=8oJtYOVRgQJ&_r=1,White | Page 9: Candidate Information: Demographic Information,,"Office Assistant, Multnomah County Department of Community Justice","Section Head, Fred Meyer",NA,"[{""school"": ""Portland State University"", ""last_grade_completed"": """", ""credential"": ""Bachelor's Degree"", ""course_of_study"": ""Social Science""}, {""school"": ""James Madison Highschool"", ""last_grade_completed"": ""12th"", ""credential"": ""Highschool Diploma"", ""course_of_study"": """"}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
