year,district,candidate,candidate_norm,candidate_key,filing_status,filing_date,document_count,has_pdf
2026,3,Angelita Morillo,angelita morillo,2026|3|angelita morillo,Qualified,"July 2, 2026",1,True
2026,3,Brandon Mullen,brandon mullen,2026|3|brandon mullen,Under review as of 7/17/26 Withdrawn as of 7/21/26,,0,False
2026,3,Cristal Otero,cristal otero,2026|3|cristal otero,Under review,,0,False
2026,3,Darren McCormick,darren mccormick,2026|3|darren mccormick,Qualified,"July 16, 2026",1,True
2026,3,Esther León,esther leon,2026|3|esther leon,Qualified,"July 20, 2026",1,True
2026,3,Guy Frankenstein,guy frankenstein,2026|3|guy frankenstein,Qualified,"June 26, 2026",1,True
2026,3,Joel Corcoran,joel corcoran,2026|3|joel corcoran,Qualified,"July 24, 2026",1,True
2026,3,John Sweeney,john sweeney,2026|3|john sweeney,Qualified,"June 24, 2026",2,True
2026,3,Keir Legree,keir legree,2026|3|keir legree,Qualified,"July 10, 2026",3,True
2026,3,Kellie Torres,kellie torres,2026|3|kellie torres,Qualified,"July 20, 2026",1,True
2026,3,Kimberly Tucker,kimberly tucker,2026|3|kimberly tucker,Qualified,"July 1, 2026",1,True
2026,3,Larry Kelly,larry kelly,2026|3|larry kelly,Qualified,"July 25, 2026",1,True
2026,3,Martin Ward,martin ward,2026|3|martin ward,Qualified,"June 16, 2026",1,True
2026,3,Matthias Hallett,matthias hallett,2026|3|matthias hallett,Qualified,"July 27, 2026",1,True
2026,3,Patrick Hilton,patrick hilton,2026|3|patrick hilton,Qualified,"July 22, 2026",1,True
2026,3,Steve Novick,steve novick,2026|3|steve novick,Qualified,"July 21, 2026",1,True
2026,3,Terry Parker,terry parker,2026|3|terry parker,Qualified,"July 29, 2026",1,True
2026,3,Tiffany Koyama Lane,tiffany koyama lane,2026|3|tiffany koyama lane,Qualified,"July 2, 2026",1,True
2026,3,Tom Sollitt,tom sollitt,2026|3|tom sollitt,Qualified,"July 20, 2026",1,True
2026,4,Eli Arnold,eli arnold,2026|4|eli arnold,Qualified,"June 30, 2026",1,True
2026,4,Eric Zimmerman,eric zimmerman,2026|4|eric zimmerman,Qualified,"July 13, 2026",1,True
2026,4,Jamey Evenstar,jamey evenstar,2026|4|jamey evenstar,Qualified,"July 14, 2026",1,True
2026,4,Jayne Cronlund,jayne cronlund,2026|4|jayne cronlund,Under review,,0,False
2026,4,Jeremy Beausoleil Smith,jeremy beausoleil smith,2026|4|jeremy beausoleil smith,Qualified,"June 3, 2026",1,True
2026,4,Mitch Green,mitch green,2026|4|mitch green,Qualified,"July 2, 2026",1,True
2026,4,Olivia Clark,olivia clark,2026|4|olivia clark,Qualified,"June 30, 2026",1,True
2026,4,Rebekah Morgan,rebekah morgan,2026|4|rebekah morgan,Does not meet eligibility qualifications,"July 2, 2026",0,False
2026,4,Timothy (TJ) Anderson,timothy tj anderson,2026|4|timothy tj anderson,Qualified,"June 11, 2026",1,True
