year,district_label,name,filing_status,filing_date,pdf_label,pdf_url,district,candidate,candidate_norm,candidate_key,page_layout
2026,District 3,Joel Corcoran,Qualified,"July 24, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/corcoran-joel-2026-aud-120-form-redacted,3,Joel Corcoran,joel corcoran,2026|3|joel corcoran,table
2026,District 3,Guy Frankenstein,Qualified,"June 26, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/frankenstein-guy-aud-120-original/download,3,Guy Frankenstein,guy frankenstein,2026|3|guy frankenstein,table
2026,District 3,Matthias Hallett,Qualified,"July 27, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/hallett-mattias-2026-aud-120-form,3,Matthias Hallett,matthias hallett,2026|3|matthias hallett,table
2026,District 3,Patrick Hilton,Qualified,"July 22, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/hilton-patrick-2026-aud-120-form,3,Patrick Hilton,patrick hilton,2026|3|patrick hilton,table
2026,District 3,Larry Kelly,Qualified,"July 25, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/kelly-larry-2026-aud-120-form,3,Larry Kelly,larry kelly,2026|3|larry kelly,table
2026,District 3,Tiffany Koyama Lane,Qualified,"July 2, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/koyama-lane-tiffany-aud-120redacted/download,3,Tiffany Koyama Lane,tiffany koyama lane,2026|3|tiffany koyama lane,table
2026,District 3,Keir Legree,Qualified,"July 10, 2026",Candidate Filing Application (2nd Amended),https://www.portland.gov/auditor/elections/documents/legree-keir-2026-aud-120-form-amendment-2,3,Keir Legree,keir legree,2026|3|keir legree,table
2026,District 3,Keir Legree,Qualified,"July 10, 2026",Candidate Filing Application (Amended),https://www.portland.gov/auditor/elections/documents/legree-keir-aud-120-amended/download,3,Keir Legree,keir legree,2026|3|keir legree,table
2026,District 3,Keir Legree,Qualified,"July 10, 2026",Candidate Filing Application (Original),https://www.portland.gov/auditor/elections/documents/keir-aud-120-original/download,3,Keir Legree,keir legree,2026|3|keir legree,table
2026,District 3,Esther León,Qualified,"July 20, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/leon-esther-aud-120/download,3,Esther León,esther leon,2026|3|esther leon,table
2026,District 3,Darren McCormick,Qualified,"July 16, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/mccormick-darren-2026-aud-120,3,Darren McCormick,darren mccormick,2026|3|darren mccormick,table
2026,District 3,Angelita Morillo,Qualified,"July 2, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/morillo-angelita-aud-120redacted/download,3,Angelita Morillo,angelita morillo,2026|3|angelita morillo,table
2026,District 3,Brandon Mullen,Under review as of 7/17/26 Withdrawn as of 7/21/26,,,,3,Brandon Mullen,brandon mullen,2026|3|brandon mullen,table
2026,District 3,Steve Novick,Qualified,"July 21, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/novick-steve-2026-aud-120-form,3,Steve Novick,steve novick,2026|3|steve novick,table
2026,District 3,Cristal Otero,Qualified,"August 5, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/otero-cristal-2026-aud-120-form,3,Cristal Otero,cristal otero,2026|3|cristal otero,table
2026,District 3,Terry Parker,Qualified,"July 29, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/parker-terry-2026-aud-120-form,3,Terry Parker,terry parker,2026|3|terry parker,table
2026,District 3,Tom Sollitt,Qualified,"July 20, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/sollitt-tom-2020-aud-120-form,3,Tom Sollitt,tom sollitt,2026|3|tom sollitt,table
2026,District 3,John Sweeney,Qualified,"June 24, 2026",Candidate Filing Application (Amended),https://www.portland.gov/auditor/elections/documents/sweeney-john-2026-aud-120-amended,3,John Sweeney,john sweeney,2026|3|john sweeney,table
2026,District 3,John Sweeney,Qualified,"June 24, 2026",Candidate Filing Application (Original),https://www.portland.gov/sites/default/files/2026/Sweeney--John---AUD-120--Original-.pdf,3,John Sweeney,john sweeney,2026|3|john sweeney,table
2026,District 3,Kellie Torres,Qualified,"July 20, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/torres-kellie-2026-aud-120-form,3,Kellie Torres,kellie torres,2026|3|kellie torres,table
2026,District 3,Kimberly Tucker,Qualified,"July 1, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/tucker-kimberly-aud-120/download,3,Kimberly Tucker,kimberly tucker,2026|3|kimberly tucker,table
2026,District 3,Martin Ward,Qualified,"June 16, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/2026-ward-martin-aud-120-form-redacted,3,Martin Ward,martin ward,2026|3|martin ward,table
2026,District 4,Timothy (TJ) Anderson,Qualified,"June 11, 2026",Candidate Filing Application,https://www.portland.gov/sites/default/files/2026/Anderson--Timothy-J---AUD-120--Combined-.pdf,4,Timothy (TJ) Anderson,timothy tj anderson,2026|4|timothy tj anderson,table
2026,District 4,Eli Arnold,Qualified,"June 30, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/arnold-eli-aud-120/download,4,Eli Arnold,eli arnold,2026|4|eli arnold,table
2026,District 4,Olivia Clark,Qualified,"June 30, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/clark-olivia-aud-120/download,4,Olivia Clark,olivia clark,2026|4|olivia clark,table
2026,District 4,Jayne Cronlund,Qualified,"August 4, 2026",,,4,Jayne Cronlund,jayne cronlund,2026|4|jayne cronlund,table
2026,District 4,Jamey Evenstar,Qualified,"July 14, 2026",Candidate Filing Application,https://www.portland.gov/sites/default/files/2026/Evenstar--Jamey---AUD-120_Redacted.pdf,4,Jamey Evenstar,jamey evenstar,2026|4|jamey evenstar,table
2026,District 4,Mitch Green,Qualified,"July 2, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/green-mitch-aud-120/download,4,Mitch Green,mitch green,2026|4|mitch green,table
2026,District 4,Rebekah Morgan,Does not meet eligibility qualifications,"July 2, 2026",,,4,Rebekah Morgan,rebekah morgan,2026|4|rebekah morgan,table
2026,District 4,Jeremy Beausoleil Smith,Qualified,"June 3, 2026",Candidate Filing Application,https://www.portland.gov/sites/default/files/2026/Smith--Jeremy-B---AUD-120--redacted-.pdf,4,Jeremy Beausoleil Smith,jeremy beausoleil smith,2026|4|jeremy beausoleil smith,table
2026,District 4,Eric Zimmerman,Qualified,"July 13, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/zimmerman-eric-aud-120redacted/download,4,Eric Zimmerman,eric zimmerman,2026|4|eric zimmerman,table
