year,district,candidate,candidate_key,filing_status,filing_date,form_type_detected,filed_as,office_sought,ballot_name,campaign_website,race_ethnicity_self_reported,tribe_native_corporation_self_reported,occupation,occupational_background,prior_govt_experience,education_background,public_funding_program,candidate_committee,filing_method,parse_method,needs_manual_review
2026,3,Angelita Morillo,2026|3|angelita morillo,Qualified,"July 2, 2026",unrecognized_or_scanned,,,,,,,,,,,,,,ocr_fallback,True
2026,3,Darren McCormick,2026|3|darren mccormick,Qualified,"July 16, 2026",,,,,,,,,,,,,,,download_failed,True
2026,3,Esther León,2026|3|esther leon,Qualified,"July 20, 2026",candidate_filing_application,Original,Councilor District 3,,estherforportland.com Page 9: Race and ethnicity (optional) - Tribe or Native Corporation,,,"Doctor of Physical Therapy, part time community college faculty for Physical Therapy Assistant program and Anatomy & Physiology.",entered. Doctor of Physical Therapy since 2018. Part time community college faculty since 2024.,None Page 12: Educational background 2026 Candidate Filing Application - AUD 120 Form,,I have filed a Notice of Intent to participate in the City’s,I have filed a Notice of Intent to participate in the City’s,Declaration with Fee ($500 for Auditor; $250 for,text_layer,False
2026,3,Guy Frankenstein,2026|3|guy frankenstein,Qualified,"June 26, 2026",candidate_filing_application,Original,Councilor District 3,,guyfrankenstein.com Page 9: Race and ethnicity (optional) - Tribe or Native Corporation,,,Student,entered. N/A,N/A Page 12: Educational background 2026 Candidate Filing Application - AUD 120 Form,,I do not plan to participate in the City’s public funding,I do not plan to participate in the City’s public funding,Declaration with Fee ($500 for Auditor; $250 for,text_layer,False
2026,3,Joel Corcoran,2026|3|joel corcoran,Qualified,"July 24, 2026",,,,,,,,,,,,,,,download_failed,True
2026,3,John Sweeney,2026|3|john sweeney,Qualified,"June 24, 2026",unrecognized_or_scanned,,,,,,,,,,,,,,text_layer,True
2026,3,Keir Legree,2026|3|keir legree,Qualified,"July 10, 2026",candidate_filing_application,Amendment,Councilor District 3,,,,,GM of Savoy Studios (An Art Glass Company) - Founder PlanXT (online project management company),entered. N/A,N/A Page 12: Educational background,,I do not plan to participate in the City’s public funding,I do not plan to participate in the City’s public funding,Declaration with Fee ($500 for Auditor; $250 for,text_layer,False
2026,3,Kellie Torres,2026|3|kellie torres,Qualified,"July 20, 2026",,,,,,,,,,,,,,,download_failed,True
2026,3,Kimberly Tucker,2026|3|kimberly tucker,Qualified,"July 1, 2026",candidate_filing_application,Original,Councilor District 3,,kimberlyforpdxd3.com Page 9: Race and ethnicity (optional) - Tribe or Native Corporation,,,"Board Certified Behavior Analyst, Kadiant, 2026-present","entered. Board Certified Behavior Analyst, Skipping Stones Behavioral Learning Center, 2025 Board Certified Behavior Analyst, Step Forward ABA, 2024-2025 Board Certified Behavior Analyst, Centria Autism Services, 2022-2024 Registered Behavior Technician (2015-2018), Board Certified Assistant Behavior Analyst (2018-2021), Board Certified Behavior Analyst (2021-2022), Family Support Center of Colorado Springs, 2015-2022 Sales Support Associate, Victoria's Secret, 2012-2015",N/A Page 12: Educational background 2026 Candidate Filing Application - AUD 120 Form,,I do not plan to participate in the City’s public funding,I do not plan to participate in the City’s public funding,Declaration with Fee ($500 for Auditor; $250 for,text_layer,False
2026,3,Larry Kelly,2026|3|larry kelly,Qualified,"July 25, 2026",,,,,,,,,,,,,,,download_failed,True
2026,3,Martin Ward,2026|3|martin ward,Qualified,"June 16, 2026",,,,,,,,,,,,,,,download_failed,True
2026,3,Matthias Hallett,2026|3|matthias hallett,Qualified,"July 27, 2026",,,,,,,,,,,,,,,download_failed,True
2026,3,Patrick Hilton,2026|3|patrick hilton,Qualified,"July 22, 2026",,,,,,,,,,,,,,,download_failed,True
2026,3,Steve Novick,2026|3|steve novick,Qualified,"July 21, 2026",,,,,,,,,,,,,,,download_failed,True
2026,3,Terry Parker,2026|3|terry parker,Qualified,"July 29, 2026",,,,,,,,,,,,,,,download_failed,True
2026,3,Tiffany Koyama Lane,2026|3|tiffany koyama lane,Qualified,"July 2, 2026",unrecognized_or_scanned,,,,,,,,,,,,,,ocr_fallback,True
