year,district,source_file_stem,source_file_hash,source_rows,reported_expenditure_rows,reported_expenditure_amount,filer,filer_id,source_candidate_name,source_candidate_name_norm
2024,1,Avalos,eb82afaf9d243026f0de4a1f1cdba794a2c67a809bd832b6ba813dc0443c53df,938,470,177221.93,Friends of Candace Avalos,20028,Avalos,avalos
2024,1,Durphy,b185e7f2e1ed2b561d0a748c371540980e3f749de584edd842f8ae5e8bf95d04,707,391,111237.32,Friends of Jamie Dunphy,23135,Durphy,durphy
2024,1,Ender,0c21619b54f05707c3eda6b966727dcc4fe6d9bb84add7ac81004c5420eb90fc,427,160,157642.42,Ender for East Portland,23096,Ender,ender
2024,1,Ernst,018fe6ae8d43e87177b630d125ad38c36c8f41a6b390243eb493ec38f8947fe2,297,136,60028.06,Friends of Noah Ernst,23430,Ernst,ernst
2024,1,Furi,90a897877b66184e4a175783a532d5e47c30ace69bd1ac9298f86d426a57ab0c,31,8,750.0,Joe Furi for Portland,23273,Furi,furi
2024,1,Hayes,f042f48ce4b69c0dd2a2bec0d0f06768e19dbd46140d08104cdde6c8d3cd3da6,515,197,92626.13,Friends of Terrence Hayes,23237,Hayes,hayes
2024,1,Linn,9d2bb0f85e8f90d29fd316ecfe203e8e275b4f773e054a79495c78b5ad88b1ad,172,66,5176.49,Linn For East Portland,23109,Linn,linn
2024,1,McKay,ffa9fba155ff3cfcb7cd0fbff2d7eac25bb6853b8b2e1c6adb8aba7f263a5342,3,0,0.0,Kevin McKay PDX Council,19998,McKay,mckay
2024,1,McKenzie,20b03e1ca02da814306f5053dff2b21a5529531202a182b5cea9fb6333fffbc9,99,39,5426.76,Friends of Sonja McKenzie,23180,McKenzie,mckenzie
2024,1,Routh,22fb10da2086f7054a4db6c722ff3b35a52967ac640f40ed7db2e1a014fa2feb,1131,572,201809.37,Friends of Steph Routh,23073,Routh,routh
2024,1,Salazar,06f6bfcebb86a058d5c7d557cbdd61dc015c4b5f88ff13d4acbfe5406bba24e3,165,76,5326.85,Salazar for the People,22652,Salazar,salazar
2024,1,Shervey,f4e200656e09843b613b06e83bc53b63e9962353b1d1d6ab87ee0f2a8650fdb5,45,25,2223.98,Thomas Shervey for East of 82nd,23222,Shervey,shervey
2024,1,Smith,80ffb4ffa15ef698749a1d41c7b22d82bff987f0ea8ef94ee4c89008b15c1165,3628,1510,1464141.21,Committee to Elect Loretta Smith,14377,Smith,smith
2024,1,Tern,0d5466f2bd68228ff1cd8f054cc1c42dcb57a3686d3ca034daa530306be314ef,226,72,13202.71,Friends of Cayle,21293,Tern,tern
2024,2,Armstrong,e9272d63f999aa8cbc72a08e85ed9f89bec19c213239368a5b27ab33e85bb3b6,387,165,63784.29,Friends of James Armstrong,23185,Armstrong,armstrong
2024,2,Berlin,cc6e395a44d4a74d0614271b1edae2b4f111641383acf1f2669ff46f2d44a5ee,96,40,9124.48,Reuben Berlin for Portland,23269,Berlin,berlin
2024,2,Burnell,5ef42f38ae70c92a5698154f3451536d584401dbd7b9c02a7d4e1c3daafbd883,60,31,5049.82,Friends of David Burnell,23117,Burnell,burnell
2024,2,DePass,0012177307480038f2c7bc1f050a91a3d3bc779329a32e0cbe0a58dd4ce9f10d,523,233,121536.89,Friends of Michelle DePass,19811,DePass,depass
2024,2,Emerson,17c8e11b35891440c43f133da08a2c50cc9fb0ece5d7ee1a0f5f8876c2aae51a,79,23,1584.9099999999999,Joseph Emerson for Portland City Council,23184,Emerson,emerson
2024,2,Glickman,02dbf8b0f0a39d061c763132e0c2c940e8b1d52d9618209142fd3fe165b6a00a,333,128,133462.97,Friends of Marnie Glickman,23441,Glickman,glickman
2024,2,Hudson,d0dccdde5fec02152f406a8717d9c05f17c3255a1acdcc4119cfe055f1c046e4,597,197,154825.11000000002,Friends of Mariah Hudson,23240,Hudson,hudson
2024,2,Kanal,2e7d84c6fe88ace6a3fee98c0710d9f50a79ef79394f1c457bfea1e9e9d0e0a4,305,166,102966.45,Friends of Sameer Kanal,23710,Kanal,kanal
2024,2,Kitchin,3a9462066972766102d2edb8a530af74f3388226ae650ea6f52889e16c578a86,323,150,70605.48,Friends of Debbie Kitchin,23111,Kitchin,kitchin
2024,2,Marshall,1d8a010279fc03eed5b1f1c18c4ae1ea78351135bd6dc18731f871a557803dbd,485,192,100931.24,Mike Marshall for Portland,23513,Marshall,marshall
2024,2,Mespelt,a81ae0b20affc327275bec8135f6369d1efa30f08727d7f27d4d2036f61cd280,196,97,16523.17,Portland with Will,23465,Mespelt,mespelt
2024,2,Middleton,eca990d46d8f52afadf43b5275f277f27207a4a31af2844bd8eb4273f89eef15,105,58,6643.41,Middleton for District 2,23236,Middleton,middleton
2024,2,Olson,7d39fac793515a2f4a6ef8bf2d4c1e30513feda3daac8427eed3af0427e26813,357,246,42466.85,Friends of Christopher Olson,23214,Olson,olson
2024,2,Park,2ec054ccc3570afa8543dfdd6085d369354e0efdb56f2f2cebcc13fafc6297e9,328,186,45905.090000000004,Persist with Park,23369,Park,park
2024,2,Penson,122c395765679c92a70fe95a4abd4e3847067a305539f02c561d5dcd35da5454,708,178,143910.77,Friends of Tiffani,19875,Penson,penson
2024,2,Pirtle,0999ee9d779c6ed92b93b71e94f028e4a76e274b0620f977e5e23fd63fd40f43,460,121,85457.75,Team EPG,23408,Pirtle,pirtle
2024,2,Sachs,8324ca11270a69408de98ec6036e23454487340a3b43d1d3db2e29aeda00fed0,91,35,5480.68,Sam Sachs for City Council,23303,Sachs,sachs
2024,2,Sherman,3dd6799270dd8af307962053a70d592e6303f42aaf33a620843c0275a3c6557e,112,54,4240.16,Friends of Brooklyn,21451,Sherman,sherman
2024,2,Simril,62ada1369e4cd255c4f5c310228d02be078e07bebfa749e8050a8daf9b4c6ed2,348,179,80881.96,Elect Bob Simril for Change,23690,Simril,simril
2024,2,Streib,c6437b1ed12393091dd448e99cf0d89f789165439642880dd39f79a42e1833a0,252,55,30462.27,Run Laura Run,23265,Streib,streib
2024,2,Tasini,ad7a013426b102ff1e0d20d3e8986ead1a5eea60811d02addad0624b62f927e0,385,169,106663.61,Jonathan Tasini for City Council,23246,Tasini,tasini
2024,2,West,a77b2f9a7807f060cfc008efb9d85e2c6e1ef038616bd7ed8be0572e621e8f3d,425,169,131140.06,Rev Nat For Portland,23448,West,west
2024,2,Zaghloul,f2ec4e36b0cd01bc53742d7a7452e214f2156eba91549e90681a3d0ac4aae7a7,362,173,109719.75,Elect Nabil,23611,Zaghloul,zaghloul
2024,3,Conley,8ceb74205390f79a2b3317f6c6715cd688d4db47a14f1b623f9dcb5541c8adbc,29,17,2219.4300000000003,Conley for PDX,23837,Conley,conley
2024,3,Cornett,daa2ca8ee49aac83f5f96ab5cda9ff0783a0db36367c33bb67249a924f61ced3,734,349,140392.04,Jesse Cornett for Portland City Council,23055,Cornett,cornett
2024,3,DeMelo,8178eed7068aeba1897bba2f35b73430aacdc626dfdb8431ed9f398c4b7c26ed,324,167,67796.95999999999,Friends of DeMelo,23100,DeMelo,demelo
2024,3,Flanary,0352035f9e30e1a69845d3d04f6cc3e2e2f7bd7cf807925a85071aed278f6134,365,127,56362.95,Chris for Portland,23040,Flanary,flanary
2024,3,Hathaway,a9c9a0245d7f29f1e2947daaf1f669cd6a66a58ac4d4aa05044c941fed2b416b,205,93,12588.82,Friends of Theo Hathaway Saner,23450,Hathaway,hathaway
2024,3,Hilton,9a904ce0710af906b99e52483d2e853679e939ff3af428ce4aad36184f0a5494,22,13,672.19,Friends of Patrick Hilton,23888,Hilton,hilton
2024,3,Janes,27f1c6f27dcc1339fc5ef6eab88ef77ba9764a80fe24e883ddce960704d0e048,134,61,9301.96,KJ4PDX,23504,Janes,janes
2024,3,Kass,ff8cd25200c4df63aa85890b717ebd51107c27e7f4b0f960ac5e56c8e74f7457,161,81,60367.86,Harrison Kass for Portland,23810,Kass,kass
2024,3,Knab,055cbba4028fd90a2ed5c307cf901b3e175a0dd5a14afd465253d56c217900bd,91,37,5919.57,Philippe for Portland,23422,Knab,knab
2024,3,Koyama,baadb236f4658863ca56f26d4bc2acd5d3e2526249cc6e81ebf64927fbd727a1,1986,893,308922.62,Teacher Tiffany for the People,23208,Koyama,koyama
2024,3,McGraw,fbf0f167523095836ae5c206dd806a327df0bbe0573165087b60ceee5bb7d767,1,0,0.0,PDXLawrence,23720,McGraw,mcgraw
2024,3,Morillo,2e22ef99dcb8f94ea05358368503351ff7d379061f9186b137d7616382c61d08,1139,503,230589.38999999998,Angelita for Portland,23028,Morillo,morillo
2024,3,Morse,f4d27e719c151b49391886c0b2e1ce9f17e5a8e9b3888e799281b6c5c892af4d,479,172,81288.87,Friends of Tony Morse,23079,Morse,morse
2024,3,Novick,636f844175b9e1ecc6ba60fe146a53baef328f7df245e6f3929c51b993d1be62,3594,662,1081644.06,Novick for Portland,15109,Novick,novick
2024,3,Osman,e807135fea84c7ab00a1cf6523af95070d4de26ab3ef77e4359e3b0a117da954,145,52,45930.68,Friends of Ahlam Osman,23681,Osman,osman
2024,3,Penson,122c395765679c92a70fe95a4abd4e3847067a305539f02c561d5dcd35da5454,708,178,143910.77,Friends of Tiffani,19875,Penson,penson
2024,3,Walker,d8c5c6d22860b78e900d0612a08e0249dc947214d453e38d426fe2beb4cd158f,110,78,4611.13,Walker for Portland,23651,Walker,walker
2024,3,Wanner,4fce7ca960414422808abfab625ba915c3be6b495bbc723e180509caf704c0cc,96,39,14580.78,Kezia For Portland,23906,Wanner,wanner
2024,3,Zak,84d4476bb44ec4dc416efe3c159e1707baaabf7646f604df8ced8371e6908778,209,127,40457.04,Luke for PDX,23595,Zak,zak
2024,4,Arnold,a8676f4b7c57855ee5eca1928ec1cea1c00e0fc7aec76cab0d8c3be5c59aeac4,867,196,108592.89,Eli for Portland,23295,Arnold,arnold
2024,4,Callahan,e7272b6b633f0b8fe4e3358cf84b312a6bbb8d320a459a3b862e756c7a89a5f9,212,98,22430.829999999998,Committee to Elect Bob Callahan,19167,Callahan,callahan
2024,4,Clark,b547708a9fd76718d0cbff7b5961ce6f97cda336119c55098a866325cc9fcb30,1016,147,194106.54,Friends of Olivia,23199,Clark,clark
2024,4,DiNapoli,157abbc2b4b15b904036065224a3372d3a17ff0d86e37a91eee3ec2710ef14b8,145,45,7389.0,Mike DiNapoli for Portland,23200,DiNapoli,dinapoli
2024,4,Freeman,10a22431a93fae3c4415e3b7755ccf47a70dc8d78ebbe79a019d7b06c7582846,429,201,66943.08,Friends of Lisa Freeman,23456,Freeman,freeman
2024,4,Green,3dc6d31df620e5f38623189225359a6290560a1fecff78e3d34d1fdbb87f89be,1345,586,197062.06,Friends of Mitch Green,23365,Green,green
2024,4,Henry,eece7e67d5e0551bea8a487daa3c99abd3624dccde3ad3f6b0a4ef7a7101de4d,163,80,28935.93,CHRIS HENRY FOR PORTLAND ,17191,Henry,henry
2024,4,Hufford,68ede1a504dc396c8bcd0527772e7551955f66a67dde31aa7214aae47f8bfef7,328,75,89305.67,Ben4Portland,23371,Hufford,hufford
2024,4,Kaluba,b8e97a7a47a091ea3be55ca612035625b9d59dc00de43cd0add723d028103e41,8,3,325.0,Chomba for Portland,23454,Kaluba,kaluba
2024,4,Lykins,4b60536e17ab85868e01a3260f30894965bfc16ff89e0bea9e40718aca328042,552,160,127926.92,Lykins for Portland,23129,Lykins,lykins
2024,4,Mason,f32e41e6a27eb98381414d6bb36d84a8507eba615737fbb572179d857776e3ad,75,33,8723.41,Team Chloe Mason,23846,Mason,mason
2024,4,Morse,f4d27e719c151b49391886c0b2e1ce9f17e5a8e9b3888e799281b6c5c892af4d,479,172,81288.87,Friends of Tony Morse,23079,Morse,morse
2024,4,Penkin,9ad6afcc408a39533809fbf117b613ca2d012b48abdc2afc49b649d319e28006,484,131,105363.28,Penkin for Portland,23425,Penkin,penkin
2024,4,Ross,cd9eae8d417e08ed9c38474a6557e9aff735565dc6677da6c5e3c604d7041f0e,628,264,110289.04,Friends of Moses Ross,18420,Ross,ross
2024,4,Silkie,c488bb11f75eaf6e20d60141ace218dc6721498751ed715ff2f443c068ffa280,445,172,102010.01,Portlanders for Sarah Silkie,23173,Silkie,silkie
2024,4,Smith,362631abcda30af86b4cda72003d910adb2c6e59dbc96309cd7b1952a5c28817,444,234,22616.06,Jeremy Beausoleil Smith for Portland City Council,23411,Smith,smith
2024,4,Thompson,db842d5b6a2eed1b3d0205e1087b3f0b699127aa1606c1f619a11e94482eb01b,119,51,11191.4,Friends of Ciatta Thompson ,23778,Thompson,thompson
2024,4,Toran,9404e6b66d455bb0b8a6b87ceca3c07411eec71df1a86470ffb196d9f158aa61,191,93,16332.26,Friends of John Toran,23204,Toran,toran
2024,4,Underdahl,7c59a3bcd568d1b56851c5bf72ce3105e22964538ac08aeda5f3c238ff8c26cb,55,23,1886.77,Soren for Portland,23353,Underdahl,underdahl
2024,4,Weinstein,0d9f03b551174a98a58c3f0806b2e0e372b3bdc70a507d93425195e8c9346869,369,99,80985.14,Friends of Bob Weinstein,23322,Weinstein,weinstein
2024,4,Zimmerman,d0b341c84a57284c373a5fe8512347120a8d62cd9700c6b98a9fc4aaf6c7c0aa,907,188,291095.65,Friends of Eric Zimmerman,17629,Zimmerman,zimmerman
2024,4,trimble,d34374f48a7e30e9b3cbfb23bd2526f06caa1cb30afef455fb2265d63c937e85,48,22,1349.86,Michael4PDX,23376,trimble,trimble
