year,district,candidate,candidate_norm,contribution_records,total_amount,first_record_date,last_record_date
2024,1,Candace Avalos,candace avalos,1496,138893.8,2023-09-27 00:00:00+00:00,2024-11-13 12:00:00+00:00
2024,1,Cayle Tern,cayle tern,313,7395.0,2024-01-16 00:00:00+00:00,2024-08-27 12:00:00+00:00
2024,1,David Linn,david linn,130,4776.99,2023-08-30 00:00:00+00:00,2024-08-14 12:00:00+00:00
2024,1,Deian Salazar,deian salazar,54,1380.0,2023-09-09 00:00:00+00:00,2024-08-11 12:00:00+00:00
2024,1,Doug Clove,doug clove,13,1505.0,2024-07-14 12:00:00+00:00,2024-08-12 12:00:00+00:00
2024,1,Jamie Dunphy,jamie dunphy,1058,115174.53,2023-09-24 00:00:00+00:00,2024-12-18 08:00:00+00:00
2024,1,Joe Furi,joe furi,11,813.95,2023-11-27 08:00:00+00:00,2024-08-11 07:00:00+00:00
2024,1,Loretta Smith,loretta smith,518,83744.95999999999,2024-07-11 12:00:00+00:00,2024-11-01 12:00:00+00:00
2024,1,Noah Ernst,noah ernst,420,49218.18,2024-02-21 00:00:00+00:00,2024-11-04 08:00:00+00:00
2024,1,Sonja McKenzie,sonja mckenzie,75,4214.0,2024-03-07 12:00:00+00:00,2024-08-07 12:00:00+00:00
2024,1,Steph Routh,steph routh,1978,196006.71,2023-08-18 07:00:00+00:00,2024-12-15 08:00:00+00:00
2024,1,Terrence Hayes,terrence hayes,964,76108.05,2023-12-21 00:00:00+00:00,2024-10-31 12:00:00+00:00
2024,1,Thomas Shervey,thomas shervey,21,1060.0,2023-10-26 00:00:00+00:00,2024-08-13 07:00:00+00:00
2024,1,Timur Ender,timur ender,1262,141809.84,2023-09-03 07:00:00+00:00,2024-11-03 04:00:00+00:00
2024,2,Bob Simril,bob simril,425,66230.0,2024-05-19 12:00:00+00:00,2024-11-04 12:00:00+00:00
2024,2,Christopher Olson,christopher olson,393,34155.45,2023-10-20 00:00:00+00:00,2024-10-31 12:00:00+00:00
2024,2,Dan Ryan,dan ryan,1153,200133.0,2024-01-27 16:00:00+00:00,2024-11-04 16:00:00+00:00
2024,2,David Burnell,david burnell,45,1943.0,2023-09-23 00:00:00+00:00,2024-03-20 08:30:00+00:00
2024,2,Debbie Kitchin,debbie kitchin,461,74884.88,2023-09-02 00:00:00+00:00,2024-10-30 12:00:00+00:00
2024,2,Elana Pirtle-Guiney,elana pirtle guiney,616,87039.93,2024-02-10 00:00:00+00:00,2024-11-04 12:00:00+00:00
2024,2,James Armstrong,james armstrong,427,65246.18,2023-09-28 00:00:00+00:00,2024-11-01 12:00:00+00:00
2024,2,Jennifer Park,jennifer park,423,46969.86,2024-01-31 00:00:00+00:00,2024-10-31 12:00:00+00:00
2024,2,John Middleton,john middleton,42,5005.0,2023-11-13 00:00:00+00:00,2024-06-25 12:00:00+00:00
2024,2,Jonathan Tasini,jonathan tasini,718,89453.07,2023-11-27 08:00:00+00:00,2024-10-28 01:00:00+00:00
2024,2,Laura Streib,laura streib,318,10718.42,2023-11-07 08:00:00+00:00,2024-10-26 07:00:00+00:00
2024,2,Mariah Hudson,mariah hudson,1114,154201.68,2023-11-08 00:00:00+00:00,2024-10-30 12:00:00+00:00
2024,2,Marnie Glickman,marnie glickman,1094,92017.0,2024-02-17 16:00:00+00:00,2024-11-02 17:00:00+00:00
2024,2,Michelle DePass,michelle depass,722,70243.29000000001,2023-02-24 12:00:00+00:00,2024-10-30 12:00:00+00:00
2024,2,Mike Marshall,mike marshall,664,95074.82,2024-03-12 00:00:00+00:00,2024-10-30 12:00:00+00:00
2024,2,Nabil Zaghloul,nabil zaghloul,1114,64954.0,2024-03-29 12:00:00+00:00,2024-10-30 12:00:00+00:00
2024,2,Nat West,nat west,1651,131915.64,2024-02-27 08:00:00+00:00,2024-11-05 16:00:00+00:00
2024,2,Reuben Berlin,reuben berlin,81,6309.98,2023-11-28 00:00:00+00:00,2024-06-17 12:00:00+00:00
2024,2,Sam Sachs,sam sachs,70,4349.01,2024-04-04 12:00:00+00:00,2024-08-12 12:00:00+00:00
2024,2,Sameer Kanal,sameer kanal,1179,66148.76000000001,2024-05-23 01:00:00+00:00,2024-11-17 02:00:00+00:00
2024,2,Tiffani Penson,tiffani penson,854,120381.24,2023-03-14 00:00:00+00:00,2024-11-01 12:00:00+00:00
2024,2,William Mespelt,william mespelt,11,1215.0,2024-03-19 00:00:00+00:00,2024-08-22 12:00:00+00:00
2024,3,Ahlam Osman,ahlam osman,459,49002.06,2024-06-15 12:00:00+00:00,2024-10-29 12:00:00+00:00
2024,3,Angelita Morillo,angelita morillo,2189,144641.16999999998,2020-02-24 16:00:00+00:00,2024-11-09 16:00:00+00:00
2024,3,Chris Flanary,chris flanary,446,57425.939999999995,2023-07-12 07:00:00+00:00,2024-11-02 07:00:00+00:00
2024,3,Dan Gilk,dan gilk,40,3490.0,2024-02-15 00:00:00+00:00,2024-08-09 12:00:00+00:00
2024,3,Harrison Kass,harrison kass,376,56053.89,2024-08-02 12:00:00+00:00,2024-11-01 12:00:00+00:00
2024,3,Jesse Cornett,jesse cornett,1246,132912.46,2023-07-17 17:00:00+00:00,2024-11-13 08:00:00+00:00
