type,city,state,zip,amount,contributorType,contributionType,contributionSubType,date,matchAmount,oaeType,campaignId,campaignName,officeSought,batchId,source_file_group,longitude,latitude,isMiscCashContributionUnder100,district,year,candidate,candidate_norm,is_public_matching_contribution
contribution,Portland,OR,97202,25.0,individual,contribution,cash,,250.0,matchable,177,Tom Sollitt 2026, Councilor District 3,batch-0,participant,,,,3,2026,Tom Sollitt,tom sollitt,False
contribution,VANCOUVER,WA,98664,40.0,individual,contribution,cash,2026-08-06 07:00:00+00:00,,allowable,164,Tiffany Koyama Lane 2026, Councilor District 3,batch-1,participant,,,,3,2026,Tiffany Koyama Lane,tiffany koyama lane,False
contribution,PORTLAND,OR,97219,25.0,individual,contribution,cash,2026-08-06 07:00:00+00:00,,matchable,163,Mitch Green 2026, Councilor District 4,batch-2,participant,,,,4,2026,Mitch Green,mitch green,False
contribution,PORTLAND,OR,97214,25.0,individual,contribution,cash,2026-08-06 07:00:00+00:00,,matchable,164,Tiffany Koyama Lane 2026, Councilor District 3,batch-3,participant,,,,3,2026,Tiffany Koyama Lane,tiffany koyama lane,False
contribution,PORTLAND,OR,97202,50.0,individual,contribution,cash,2026-08-06 07:00:00+00:00,,allowable,197,Angelita Morillo 2026, Councilor District 3,batch-4,participant,,,,3,2026,Angelita Morillo,angelita morillo,False
contribution,PORTLAND,OR,97214,25.0,individual,contribution,cash,2026-08-06 07:00:00+00:00,,matchable,164,Tiffany Koyama Lane 2026, Councilor District 3,batch-5,participant,,,,3,2026,Tiffany Koyama Lane,tiffany koyama lane,False
contribution,OAKLAND,CA,94610,50.0,individual,contribution,cash,2026-08-06 07:00:00+00:00,,allowable,164,Tiffany Koyama Lane 2026, Councilor District 3,batch-6,participant,,,,3,2026,Tiffany Koyama Lane,tiffany koyama lane,False
contribution,MISSOULA,MT,59802,40.0,individual,contribution,cash,2026-08-06 07:00:00+00:00,,allowable,164,Tiffany Koyama Lane 2026, Councilor District 3,batch-7,participant,,,,3,2026,Tiffany Koyama Lane,tiffany koyama lane,False
contribution,PORTLAND,OR,97206,7.0,individual,contribution,cash,2026-08-05 07:00:00+00:00,,allowable,197,Angelita Morillo 2026, Councilor District 3,batch-8,participant,,,,3,2026,Angelita Morillo,angelita morillo,False
contribution,NEW YORK,NY,10031,40.0,individual,contribution,cash,2026-08-05 07:00:00+00:00,,allowable,164,Tiffany Koyama Lane 2026, Councilor District 3,batch-9,participant,,,,3,2026,Tiffany Koyama Lane,tiffany koyama lane,False
contribution,PORTLAND,OR,97211,40.0,individual,contribution,cash,2026-08-05 07:00:00+00:00,,allowable,164,Tiffany Koyama Lane 2026, Councilor District 3,batch-10,participant,,,,3,2026,Tiffany Koyama Lane,tiffany koyama lane,False
contribution,PORTLAND,OR,97214,25.0,individual,contribution,cash,2026-08-05 07:00:00+00:00,,allowable,164,Tiffany Koyama Lane 2026, Councilor District 3,batch-11,participant,,,,3,2026,Tiffany Koyama Lane,tiffany koyama lane,False
contribution,PORTLAND,OR,97218,25.0,individual,contribution,cash,2026-08-05 07:00:00+00:00,,matchable,175,Jeremy Beausoleil Smith 2026, Councilor District 4,batch-12,participant,,,,4,2026,Jeremy Beausoleil Smith,jeremy beausoleil smith,False
contribution,PORTLAND,OR,97214,10.0,individual,contribution,cash,2026-08-05 07:00:00+00:00,,matchable,163,Mitch Green 2026, Councilor District 4,batch-13,participant,,,,4,2026,Mitch Green,mitch green,False
contribution,PORTLAND,OR,97202,40.0,individual,contribution,cash,2026-08-05 07:00:00+00:00,,allowable,164,Tiffany Koyama Lane 2026, Councilor District 3,batch-14,participant,,,,3,2026,Tiffany Koyama Lane,tiffany koyama lane,False
contribution,PORTLAND,OR,97220,1.66,individual,contribution,cash,2026-08-05 07:00:00+00:00,,allowable,163,Mitch Green 2026, Councilor District 4,batch-15,participant,,,,4,2026,Mitch Green,mitch green,False
contribution,PORTLAND,OR,97239,5.0,individual,contribution,cash,2026-08-05 07:00:00+00:00,,matchable,163,Mitch Green 2026, Councilor District 4,batch-16,participant,,,,4,2026,Mitch Green,mitch green,False
contribution,PORTLAND,OR,97214,5.0,individual,contribution,cash,2026-08-05 07:00:00+00:00,,allowable,163,Mitch Green 2026, Councilor District 4,batch-17,participant,,,,4,2026,Mitch Green,mitch green,False
contribution,PORTLAND,OR,97206,50.0,individual,contribution,cash,2026-08-05 07:00:00+00:00,,allowable,164,Tiffany Koyama Lane 2026, Councilor District 3,batch-18,participant,,,,3,2026,Tiffany Koyama Lane,tiffany koyama lane,False
