year,district,source_candidate_name,mentions,mention_share,first_place_votes,first_place_share,total_ballot_weight,stv_threshold,is_viable,canonical_candidate_ballot,candidate_key,canonical_candidate_finance,amount_micro,amount_small,amount_medium,amount_large,amount_mega,amount_share_micro,amount_share_small,amount_share_medium,amount_share_large,amount_share_mega,contribution_count_micro,contribution_count_small,contribution_count_medium,contribution_count_large,contribution_count_mega,contribution_share_micro,contribution_share_small,contribution_share_medium,contribution_share_large,contribution_share_mega,total_amount,total_contribution_count,average_contribution,median_contribution
2024,1,Timur Ender,16858.0,0.39322619019850247,3550.0,0.08280655921252128,42871.0,10718.0,True,Timur Ender,2024|1|timur ender,Timur Ender,12693.0,20985.09,12149.0,15982.75,0.0,0.2053556521097611,0.3395105051234561,0.1965544644671463,0.2585793782996364,0.0,840,315,62,43,0,0.6666666666666666,0.25,0.0492063492063492,0.0341269841269841,0.0,61809.84,1260,49.05542857142857,20.0
2024,1,Terrence Hayes,15967.0,0.372442910125726,3975.0,0.09272002052669637,42871.0,10718.0,True,Terrence Hayes,2024|1|terrence hayes,Terrence Hayes,10461.89,12338.01,5877.13,7431.02,0.0,0.2897384378275758,0.3416969346170729,0.1627650897791489,0.2057995377762022,0.0,748,165,29,21,0,0.7767393561786086,0.1713395638629283,0.0301142263759086,0.0218068535825545,0.0,36108.05,963,37.4953790238837,20.0
2024,1,Loretta Smith,17984.0,0.4194910312332346,5586.0,0.1302978703552518,42871.0,10718.0,True,Loretta Smith,2024|1|loretta smith,Loretta Smith,5887.0,10725.0,8028.0,19104.96,0.0,0.1345755030979568,0.2451711008536755,0.1835182841634784,0.4367351118848891,0.0,286,144,36,51,0,0.5531914893617021,0.2785299806576402,0.06963249516441,0.0986460348162475,0.0,43744.96,517,84.61307543520309,25.0
2024,1,Deian Salazar,5262.0,0.12274031396515127,720.0,0.016794569755778966,42871.0,10718.0,False,Deian Salazar,2024|1|deian salazar,Deian Salazar,485.0,695.0,200.0,0.0,0.0,0.3514492753623188,0.5036231884057971,0.144927536231884,0.0,0.0,41,12,1,0,0,0.7592592592592593,0.2222222222222222,0.0185185185185185,0.0,0.0,1380.0,54,25.555555555555557,20.0
2024,1,Noah Ernst,11606.0,0.2707191341466259,4052.0,0.09451610645891162,42871.0,10718.0,True,Noah Ernst,2024|1|noah ernst,Noah Ernst,4620.0,3870.0,1150.0,3353.18,0.0,0.3555711534820575,0.2978485636310741,0.0885079711048411,0.2580723117820271,0.0,337,66,5,8,0,0.8100961538461539,0.1586538461538461,0.0120192307692307,0.0192307692307692,0.0,12993.18,416,31.23360576923077,20.0
2024,1,Jamie Dunphy,18470.0,0.4308273658183854,5064.0,0.11812180728231206,42871.0,10718.0,True,Jamie Dunphy,2024|1|jamie dunphy,Jamie Dunphy,10663.76,9286.52,4765.0,8168.0,2291.25,0.3031670927799177,0.2640126250443148,0.1354673395778138,0.2322134794693774,0.0651394631285762,860,151,22,21,1,0.8151658767772512,0.143127962085308,0.0208530805687203,0.0199052132701421,0.0009478672985781,35174.53,1055,33.34078672985782,10.0
2024,1,Doug Clove,7593.0,0.17711273354948567,1698.0,0.039607193674045395,42871.0,10718.0,False,Doug Clove,2024|1|doug clove,Doug Clove,125.0,150.0,250.0,980.0,0.0,0.0830564784053156,0.0996677740863787,0.1661129568106312,0.6511627906976745,0.0,8,2,1,2,0,0.6153846153846154,0.1538461538461538,0.0769230769230769,0.1538461538461538,0.0,1505.0,13,115.76923076923076,20.0
2024,1,Joe Furi,4070.0,0.0949359707028061,355.0,0.008280655921252128,42871.0,10718.0,False,Joe Furi,2024|1|joe furi,Joe Furi,9.96,303.99,0.0,500.0,0.0,0.0122366238712451,0.3734750291786964,0.0,0.6142883469500583,0.0,4,6,0,1,0,0.3636363636363636,0.5454545454545454,0.0,0.0909090909090909,0.0,813.95,11,73.99545454545455,31.86
2024,1,Cayle Tern,9061.0,0.21135499521821277,711.0,0.01658463763383173,42871.0,10718.0,False,Cayle Tern,2024|1|cayle tern,Cayle Tern,3135.0,3160.0,750.0,350.0,0.0,0.4239350912778905,0.427315753887762,0.101419878296146,0.0473292765382014,0.0,261,48,3,1,0,0.8338658146964856,0.1533546325878594,0.0095846645367412,0.0031948881789137,0.0,7395.0,313,23.62619808306709,10.0
2024,1,Thomas Shervey,3507.0,0.08180355018544004,385.0,0.008980429661076253,42871.0,10718.0,False,Thomas Shervey,2024|1|thomas shervey,Thomas Shervey,100.0,710.0,250.0,0.0,0.0,0.0943396226415094,0.6698113207547169,0.2358490566037736,0.0,0.0,11,9,1,0,0,0.5238095238095238,0.4285714285714285,0.0476190476190476,0.0,0.0,1060.0,21,50.476190476190474,25.0
2024,1,Steph Routh,20440.0,0.47677917473350284,3894.0,0.09083063142917124,42871.0,10718.0,True,Steph Routh,2024|1|steph routh,Steph Routh,21762.91,31332.8,10701.0,12210.0,0.0,0.2863287991283927,0.412237287997336,0.1407902012861759,0.1606437115880953,0.0,1422,471,51,31,0,0.72,0.2384810126582278,0.0258227848101265,0.0156962025316455,0.0,76006.71,1975,38.48441012658228,20.24
2024,1,Candace Avalos,22267.0,0.519395395488792,8297.0,0.1935340906440251,42871.0,10718.0,True,Candace Avalos,2024|1|candace avalos,Candace Avalos,15993.76,22049.96,7116.39,9946.04,3787.65,0.2715695030716306,0.3744020592999602,0.1208342813674784,0.1688809348352458,0.0643132214256848,1081,353,33,25,2,0.7235609103078983,0.2362784471218206,0.0220883534136546,0.0167336010709504,0.001338688085676,58893.8,1494,39.42021419009371,20.0
2024,1,David Linn,9324.0,0.2174896783373376,1111.0,0.02591495416482004,42871.0,10718.0,False,David Linn,2024|1|david linn,David Linn,1272.0,2200.0,805.0,499.99,0.0,0.2662764627935164,0.4605410520013649,0.1685161576641358,0.1046663275409829,0.0,91,34,4,1,0,0.7,0.2615384615384615,0.0307692307692307,0.0076923076923076,0.0,4776.99,130,36.74607692307692,20.0
2024,2,Chris Olson,7509.0,0.09732104669699444,1233.0,0.015980403592674677,77157.0,19290.0,False,Chris Olson,2024|2|chris olson,Chris Olson,3709.46,2163.99,0.0,1399.0,0.0,0.5100701964262387,0.2975599694738361,0.0,0.192369834099925,0.0,353,33,0,3,0,0.9074550128534704,0.0848329048843187,0.0,0.0077120822622107,0.0,7272.45,389,18.695244215938303,10.0
2024,2,Sam Sachs,2824.0,0.03660069727957282,304.0,0.0039400184040333346,77157.0,19290.0,False,Sam Sachs,2024|2|sam sachs,Sam Sachs,405.01,2319.0,575.0,1050.0,0.0,0.0931269415338203,0.533224802886174,0.1322139981283096,0.2414342574516959,0.0,34,31,3,2,0,0.4857142857142857,0.4428571428571428,0.0428571428571428,0.0285714285714285,0.0,4349.01,70,62.12871428571429,50.0
2024,2,Debbie Kitchin,9088.0,0.1177858133416281,1228.0,0.015915600658397814,77157.0,19290.0,False,Debbie Kitchin,2024|2|debbie kitchin,Debbie Kitchin,4338.0,11267.0,6524.88,12755.0,0.0,0.1243518682019258,0.3229766018974409,0.1870403452727943,0.3656311846278387,0.0,242,153,31,34,0,0.5260869565217391,0.3326086956521739,0.067391304347826,0.0739130434782608,0.0,34884.88,460,75.8366956521739,25.0
2024,2,Laura Streib,4848.0,0.06283292507484739,707.0,0.009163134906748577,77157.0,19290.0,False,Laura Streib,2024|2|laura streib,Laura Streib,3498.29,2805.03,2565.1,1850.0,0.0,0.3263811270691016,0.2617018179918309,0.2393169888845557,0.1726000660545117,0.0,236,56,21,5,0,0.7421383647798742,0.1761006289308176,0.0660377358490566,0.0157232704402515,0.0,10718.42,318,33.70572327044025,20.95
2024,2,Marnie Glickman,20718.0,0.2685174384696139,3997.0,0.05180346566092513,77157.0,19290.0,True,Marnie Glickman,2024|2|marnie glickman,Marnie Glickman,10126.0,12396.0,3956.0,7840.0,0.0,0.2950638149076287,0.3612098607144938,0.1152747829127571,0.2284515414651203,0.0,863,188,20,19,0,0.791743119266055,0.1724770642201835,0.018348623853211,0.0174311926605504,0.0,34318.0,1090,31.48440366972477,10.0
2024,2,Nat West,30666.0,0.39744935650686264,5462.0,0.0707907254040463,77157.0,19290.0,True,Nat West,2024|2|nat west,Nat West,18105.35,20976.81,4600.78,8232.7,0.0,0.3487455803299352,0.4040556949697625,0.0886203078686885,0.1585784168316137,0.0,1237,363,26,23,0,0.7501516070345664,0.2201334141904184,0.015767131594906,0.0139478471801091,0.0,51915.64,1649,31.48310491206792,20.0
2024,2,Elana Pirtle-Guiney,34268.0,0.4441333903599155,12447.0,0.1613204245888254,77157.0,19290.0,True,Elana Pirtle-Guiney,2024|2|elana pirtle guiney,Elana Pirtle-Guiney,6691.97,12512.65,8640.31,14695.0,4500.0,0.1422614787054317,0.2660006084192727,0.1836803328576381,0.3123941723552735,0.0956634076623838,354,179,42,39,1,0.5756097560975609,0.2910569105691057,0.0682926829268292,0.0634146341463414,0.0016260162601626,47039.93,615,76.48769105691056,25.0
2024,2,James Armstrong,13504.0,0.17501976489495444,1476.0,0.01912982619853027,77157.0,19290.0,False,James Armstrong,2024|2|james armstrong,James Armstrong,4615.0,8671.18,3780.0,8180.0,0.0,0.1827999325046403,0.3434650311453059,0.1497256218564551,0.3240094144935986,0.0,265,124,17,20,0,0.6220657276995305,0.2910798122065727,0.0399061032863849,0.0469483568075117,0.0,25246.18,426,59.263333333333335,25.0
2024,2,Michael (Mike) Marshall,15684.0,0.20327384423966718,1646.0,0.02133312596394365,77157.0,19290.0,False,Michael (Mike) Marshall,2024|2|michael mike marshall,Michael (Mike) Marshall,6333.0,16714.0,13677.82,18350.0,0.0,0.1149890276536537,0.3034780685620035,0.2483497903397596,0.3331831134445832,0.0,321,233,61,48,0,0.4841628959276018,0.3514328808446455,0.0920060331825037,0.0723981900452488,0.0,55074.82,663,83.06911010558069,29.0
2024,2,Jennifer Park,11124.0,0.14417356817916716,1114.0,0.014438093756885312,77157.0,19290.0,False,Jennifer Park,2024|2|jennifer park,Jennifer Park,4516.62,3613.6,1099.48,6721.16,0.0,0.283158400236727,0.2265457787229027,0.0689291988018201,0.4213666222385501,0.0,343,54,5,16,0,0.8205741626794258,0.1291866028708134,0.0119617224880382,0.0382775119617224,0.0,15950.86,418,38.15995215311005,10.0
2024,2,Will Mespelt,3884.0,0.050338919346267996,759.0,0.009837085423227964,77157.0,19290.0,False,Will Mespelt,2024|2|will mespelt,Will Mespelt,115.0,100.0,0.0,1000.0,0.0,0.0946502057613168,0.0823045267489712,0.0,0.823045267489712,0.0,8,1,0,2,0,0.7272727272727273,0.0909090909090909,0.0,0.1818181818181818,0.0,1215.0,11,110.45454545454544,25.0
2024,2,Mariah Hudson,20051.0,0.25987272703708025,2287.0,0.02964086213823762,77157.0,19290.0,True,Mariah Hudson,2024|2|mariah hudson,Mariah Hudson,10230.0,17643.1,11693.6,34634.98,0.0,0.1378674984178255,0.2377722445098278,0.1575921192080826,0.4667681378642641,0.0,710,253,56,93,0,0.6384892086330936,0.2275179856115108,0.0503597122302158,0.0836330935251798,0.0,74201.68,1112,66.72812949640287,25.0
2024,2,Sameer Kanal,31168.0,0.4039555711082598,9924.0,0.12862086395271977,77157.0,19290.0,True,Sameer Kanal,2024|2|sameer kanal,Sameer Kanal,9534.0,9795.76,2912.0,12470.0,0.0,0.2746619589441734,0.2822029191259677,0.0838908773280294,0.3592442446018294,0.0,962,167,15,32,0,0.8180272108843537,0.1420068027210884,0.0127551020408163,0.0272108843537414,0.0,34711.76,1176,29.516802721088435,10.0
2024,2,Dan Ryan,34116.0,0.4421633811578988,12047.0,0.15613618984667627,77157.0,19290.0,True,Dan Ryan,2024|2|dan ryan,Dan Ryan,9948.0,31732.0,25603.0,52850.0,0.0,0.0828082208885152,0.2641405775265747,0.2131221229803634,0.4399290786045466,0.0,481,411,112,147,0,0.417897480451781,0.3570807993049522,0.0973066898349261,0.1277150304083405,0.0,120133.0,1151,104.372719374457,50.0
2024,2,Nabil Zaghloul,6482.0,0.08401052399652656,834.0,0.010809129437380924,77157.0,19290.0,False,Nabil Zaghloul,2024|2|nabil zaghloul,Nabil Zaghloul,11884.0,6924.0,2076.0,5600.0,0.0,0.4487237577405226,0.2614408699592206,0.07838695061169,0.2114484216885666,0.0,984,103,10,14,0,0.8856885688568857,0.0927092709270927,0.009000900090009,0.0126012601260126,0.0,26484.0,1111,23.83798379837984,10.0
2024,2,Bob Simril,11062.0,0.14337001179413403,2520.0,0.03266067887553949,77157.0,19290.0,False,Bob Simril,2024|2|bob simril,Bob Simril,4230.0,6470.0,3200.0,12330.0,0.0,0.1612657262676324,0.2466641250476553,0.1219977125428898,0.4700724361418223,0.0,284,94,15,31,0,0.6698113207547169,0.2216981132075471,0.035377358490566,0.0731132075471698,0.0,26230.0,424,61.863207547169814,25.0
2024,2,Jonathan Tasini,22140.0,0.286947392977954,3404.0,0.04411783765568905,77157.0,19290.0,True,Jonathan Tasini,2024|2|jonathan tasini,Jonathan Tasini,6720.56,12506.69,6401.34,23824.48,0.0,0.1358977309194353,0.2529001738415835,0.1294427221606262,0.4817593730783548,0.0,431,190,34,62,0,0.601115760111576,0.2649930264993027,0.0474198047419804,0.0864714086471408,0.0,49453.07,717,68.97220362622036,20.0
2024,2,Tiffani Penson,30148.0,0.3907357725157795,7218.0,0.09354951592208095,77157.0,19290.0,True,Tiffani Penson,2024|2|tiffani penson,Tiffani Penson,6840.24,24302.0,17590.0,31649.0,0.0,0.0850974680161689,0.3023342262448303,0.2188321553636147,0.3937361503753861,0.0,348,341,82,82,0,0.4079718640093787,0.3997655334114888,0.0961313012895662,0.0961313012895662,0.0,80381.24,853,94.2335756154748,50.0
2024,2,Michelle DePass,32612.0,0.42267065852741814,6838.0,0.08862449291703928,77157.0,19290.0,True,Michelle DePass,2024|2|michelle depass,Michelle DePass,7739.41,14069.0,4344.88,6425.0,0.0,0.2375634203022933,0.4318520094209978,0.1333673437126381,0.1972172265640707,0.0,474,208,21,17,0,0.6583333333333333,0.2888888888888888,0.0291666666666666,0.0236111111111111,0.0,32578.29,720,45.247625,25.0
2024,2,Reuben Berlin,3784.0,0.04904286066073072,656.0,0.008502144977124565,77157.0,19290.0,False,Reuben Berlin,2024|2|reuben berlin,Reuben Berlin,1060.0,1800.0,750.0,2699.98,0.0,0.1679878541611859,0.2852623938586176,0.118859330774424,0.4278904212057725,0.0,47,25,3,6,0,0.5802469135802469,0.3086419753086419,0.037037037037037,0.074074074074074,0.0,6309.98,81,77.90098765432099,25.0
2024,3,Angelita Morillo,47477.0,0.561758267763119,16399.0,0.19403656155712004,84515.0,21129.0,True,Angelita Morillo,2024|3|angelita morillo,Angelita Morillo,26290.0,24993.5,7857.67,5500.0,0.0,0.4067067474180929,0.3866498703535224,0.1215582886262733,0.0850850936021114,0.0,1718,413,40,16,0,0.7855509830818472,0.1888431641518061,0.0182898948331047,0.0073159579332418,0.0,64641.17,2187,29.55700502972108,20.0
