scope,district,outcome,predictor,x_transform,n,intercept,slope,r_squared
all_districts,,mention_share,total_amount,log1p,65,-0.5126209185136459,0.07839147509363967,0.5018767921228602
all_districts,,mention_share,total_contribution_count,log1p,65,-0.16511814474568892,0.07066448321597253,0.4321983006754321
all_districts,,mention_share,average_contribution,log1p,65,0.1820129353401758,0.01595441449694944,0.0029688903484059318
all_districts,,mention_share,median_contribution,log1p,65,0.20176681591460327,0.01361930295946052,0.0022693209980314977
all_districts,,first_place_share,total_amount,log1p,65,-0.17869184257846069,0.024351942590435827,0.3545453834863541
all_districts,,first_place_share,total_contribution_count,log1p,65,-0.06782358881567097,0.021447886785532385,0.2914706770647194
all_districts,,first_place_share,average_contribution,log1p,65,0.021491791258468333,0.008954192617266947,0.006845898458733004
all_districts,,first_place_share,median_contribution,log1p,65,0.016150497736666554,0.012907605559847936,0.014921851483526528
district,1.0,mention_share,total_amount,log1p,13,-0.4936670324296791,0.0850689939620472,0.93281027618222
district,1.0,mention_share,total_contribution_count,log1p,13,-0.11810148189208342,0.07497901979100476,0.835372870846762
district,1.0,mention_share,average_contribution,log1p,13,0.4216333632197264,-0.0341790663277005,0.010699475878271289
district,1.0,mention_share,median_contribution,log1p,13,0.674118787556313,-0.12701045023157959,0.06531555476803635
district,1.0,first_place_share,total_amount,log1p,13,-0.18213418721455032,0.02739559367899338,0.6832160810019224
district,1.0,first_place_share,total_contribution_count,log1p,13,-0.057658868909650066,0.023500210179015435,0.5795491353705027
district,1.0,first_place_share,average_contribution,log1p,13,0.07265503337000152,-0.0005153545973468481,1.7179097422278872e-05
district,1.0,first_place_share,median_contribution,log1p,13,0.13511679623433187,-0.021380921681308913,0.013071832473772263
district,2.0,mention_share,total_amount,log1p,20,-0.77462297649485,0.09893711730289059,0.5613710329946147
district,2.0,mention_share,total_contribution_count,log1p,20,-0.28188567544852855,0.08256403722944962,0.4344356067158428
district,2.0,mention_share,average_contribution,log1p,20,0.10234243848305177,0.030459491088873962,0.01078031269269293
district,2.0,mention_share,median_contribution,log1p,20,0.08702692196542813,0.04388487491348182,0.022271778092131107
district,2.0,first_place_share,total_amount,log1p,20,-0.21511184742474382,0.026197489465045427,0.3393789587031191
district,2.0,first_place_share,total_contribution_count,log1p,20,-0.07549650218124114,0.020369776391367934,0.22800804136927888
district,2.0,first_place_share,average_contribution,log1p,20,-0.015668455691561098,0.016268683011778872,0.026517033436016038
district,2.0,first_place_share,median_contribution,log1p,20,-0.010134297404629532,0.019045709785383898,0.036170420317280336
district,3.0,mention_share,total_amount,log1p,15,-0.9611022925728093,0.12639101327104008,0.7510150526226058
district,3.0,mention_share,total_contribution_count,log1p,15,-0.2823773945580039,0.0921720940007677,0.5666524738283747
district,3.0,mention_share,average_contribution,log1p,15,0.3742244435573321,-0.035764688530971006,0.00963030621180807
district,3.0,mention_share,median_contribution,log1p,15,0.19743664629423693,0.011622933312449624,0.0008428133714947736
district,3.0,first_place_share,total_amount,log1p,15,-0.3607360888344602,0.04400576642060893,0.5664714722565908
district,3.0,first_place_share,total_contribution_count,log1p,15,-0.12448713765849401,0.03210307480442024,0.42771428668592326
district,3.0,first_place_share,average_contribution,log1p,15,0.10251032281075001,-0.012021266342458436,0.006769775324292992
district,3.0,first_place_share,median_contribution,log1p,15,0.03101656138376011,0.007631731843899662,0.0022609384730412985
district,4.0,mention_share,total_amount,log1p,17,-0.32754392975172353,0.058924092987114304,0.37418439783999385
district,4.0,mention_share,total_contribution_count,log1p,17,-0.08447424320618854,0.055850499013872464,0.2888234724420471
district,4.0,mention_share,average_contribution,log1p,17,0.02229080082292917,0.05622086100186564,0.056587770352881026
district,4.0,mention_share,median_contribution,log1p,17,0.17222008529634336,0.021935607526968808,0.011508774948270007
district,4.0,first_place_share,total_amount,log1p,17,-0.11429731205927099,0.017521137491230045,0.2612404405105689
district,4.0,first_place_share,total_contribution_count,log1p,17,-0.03762653959414643,0.015851260860112206,0.18370540960124626
district,4.0,first_place_share,average_contribution,log1p,17,-0.02649685675780132,0.02090398251200417,0.061773415427685344
district,4.0,first_place_share,median_contribution,log1p,17,0.0014089798960226427,0.01714677355311294,0.055527809037553263
