year,district,receiving_candidate,conditioning_candidate,boost
2024,1,Candace Avalos,Steph Routh,0.18339325421766595
2024,1,Candace Avalos,Jamie Dunphy,0.1710756386205745
2024,1,Candace Avalos,Loretta Smith,-0.004048420399824004
2024,1,Candace Avalos,Timur Ender,0.20014428893403402
2024,1,Candace Avalos,Terrence Hayes,-0.047234062739997584
2024,1,Candace Avalos,Noah Ernst,-0.1767278097572738
2024,1,Candace Avalos,David Linn,0.06243643634303986
2024,1,Candace Avalos,Cayle Tern,0.23581926073016835
2024,1,Candace Avalos,Doug Clove,-0.2687698193001972
2024,1,Candace Avalos,Deian Salazar,-0.0653855133147137
2024,1,Candace Avalos,Michael (Mike) Sands,-0.11716290896069342
2024,1,Candace Avalos,Joe Allen,-0.19790195452007353
2024,1,Candace Avalos,Joe Furi,-0.2238179999113964
2024,1,Candace Avalos,Peggy Sue Owens,-0.024176992800758912
2024,1,Candace Avalos,Thomas Shervey,-0.15726251838585503
2024,1,Candace Avalos,Uncertified Write In,-0.27833785272051825
2024,1,Steph Routh,Candace Avalos,0.16834589824444657
2024,1,Steph Routh,Jamie Dunphy,0.22462851340943168
2024,1,Steph Routh,Loretta Smith,0.01960650142308079
2024,1,Steph Routh,Timur Ender,0.15686657209292976
2024,1,Steph Routh,Terrence Hayes,-0.021527718605238277
2024,1,Steph Routh,Noah Ernst,-0.13936749112157798
2024,1,Steph Routh,David Linn,0.08188663393230577
2024,1,Steph Routh,Cayle Tern,0.08132699456348425
2024,1,Steph Routh,Doug Clove,-0.20073545025042633
2024,1,Steph Routh,Deian Salazar,-0.10410718689617865
2024,1,Steph Routh,Michael (Mike) Sands,-0.08339965202372607
2024,1,Steph Routh,Joe Allen,-0.177081899254189
2024,1,Steph Routh,Joe Furi,-0.21387991183423993
2024,1,Steph Routh,Peggy Sue Owens,-0.19014180073505366
2024,1,Steph Routh,Thomas Shervey,-0.07016383398642556
2024,1,Steph Routh,Uncertified Write In,-0.2652706210787594
2024,1,Jamie Dunphy,Candace Avalos,0.14190358132312447
