,Candace Avalos,Steph Routh,Jamie Dunphy,Loretta Smith,Timur Ender,Terrence Hayes,Noah Ernst,David Linn,Cayle Tern,Doug Clove,Deian Salazar,Michael (Mike) Sands,Joe Allen,Joe Furi,Peggy Sue Owens,Thomas Shervey,Uncertified Write In
Candace Avalos,,0.18339325421766595,0.1710756386205745,-0.004048420399824004,0.20014428893403402,-0.047234062739997584,-0.1767278097572738,0.06243643634303986,0.23581926073016835,-0.2687698193001972,-0.0653855133147137,-0.11716290896069342,-0.19790195452007353,-0.2238179999113964,-0.024176992800758912,-0.15726251838585503,-0.27833785272051825
Steph Routh,0.16834589824444657,,0.22462851340943168,0.01960650142308079,0.15686657209292976,-0.021527718605238277,-0.13936749112157798,0.08188663393230577,0.08132699456348425,-0.20073545025042633,-0.10410718689617865,-0.08339965202372607,-0.177081899254189,-0.21387991183423993,-0.19014180073505366,-0.07016383398642556,-0.2652706210787594
Jamie Dunphy,0.14190358132312447,0.20297889641253436,,-0.004503967241872908,0.11615329618185194,-0.04371644955358922,-0.11288836874790459,0.09276765777663826,0.06260603005403487,-0.17559228087172396,-0.09749403248505206,-0.05245939045271947,-0.130121008603451,-0.16891090390192348,-0.091721653748083,-0.03732864896637511,-0.22242923207032939
Loretta Smith,-0.0032697171810497916,0.017250651741325063,-0.004385454622514551,,-0.04234071684244095,0.1528143486126976,0.01140678024358771,-0.017839379581582937,-0.0700814737892439,-0.018332069031206433,0.05428319909743812,-0.009175403827537898,-0.05884521892243744,0.02571781397561057,0.10906932027878402,-0.09442687383374787,-0.0960073609377447
Timur Ender,0.15152613386850255,0.12937654952752498,0.10601582387837893,-0.03968971333017507,,-0.04006028552010327,-0.14344159602307596,0.06709127011895782,0.2156470026058238,-0.15419023603018955,-0.09200992261963514,-0.04603604393214372,-0.08908895508245807,-0.14900014597245825,-0.17947586711760302,-0.10466046450702826,-0.23770519486413233
Terrence Hayes,-0.033870134269077146,-0.0168166870337495,-0.03779212506887708,0.13567541727640925,-0.03794296944474368,,0.09895119637091365,-0.05187233955515541,-0.07302783452700623,0.07981574916572665,0.10855290895447162,-0.003505265783924627,-0.03621687581694699,0.06318362550080964,-0.08399628309031631,0.013071774790156532,-0.08628427871048494
Noah Ernst,-0.0921140234446903,-0.07913400694506034,-0.0709357015532312,0.007361381867608985,-0.09875330190080789,0.07192506952344363,,0.03601617258868084,-0.11621080173298504,0.20155796317985902,0.047600896260063585,-0.010711435917218681,0.11757551772017533,0.18849462506713333,0.03504462909969097,0.031533503435352994,-0.028106381425008486
David Linn,0.026144398996834045,0.037353765889668294,0.046830841424438246,-0.009249019974348266,0.037107545532635094,-0.030291081230805372,0.028934584974742356,,0.08931972459832074,0.00587394605354874,-0.010344106311491907,0.08139407839861315,0.06323686051230923,0.016416955569296315,0.06733844262415115,0.07506806332220048,-0.1288427109967466
Cayle Tern,0.09596076352791377,0.03605204979157198,0.03071322351486791,-0.035309621552732345,0.11590802530616734,-0.04144204976822216,-0.09072773345705475,0.0868003029370854,,-0.08887376250387062,0.03113835331846529,0.016705050971163676,-0.023867608739908036,-0.021920105783323346,0.017386281597501885,-0.020878804742022306,-0.10871113829752847
Doug Clove,-0.0916499410763191,-0.07456870223833108,-0.07218582504921496,-0.0077399577487739235,-0.06944871646560859,0.03795584539458646,0.13186538121873767,0.004783448346696223,-0.07447505558899566,,0.11308110909589633,0.08693653511872065,0.17969856816595328,0.2631821067453546,0.03043443626183509,0.15450973579753455,0.02661977033853921
