,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,Sameer Kanal,Nat West,Tiffani Penson,Jonathan Tasini,Marnie Glickman,Mariah Hudson,Michael (Mike) Marshall,James Armstrong,Jennifer Park,Bob Simril,Debbie Kitchin,Chris Olson,Nabil Zaghloul,Laura Streib,Liz Taylor,Will Mespelt,Reuben Berlin,Sam Sachs,Antonio Jamal PettyJohnBlue,Uncertified Write In
Elana Pirtle-Guiney,,0.08195407593156068,0.1317282556599545,-0.0016603410786013573,0.007278596857197894,-0.02115342485639954,0.01250617603574844,0.04177258512034321,0.07633940401442996,0.09724635970384377,0.12162490347894706,-0.11008089125887272,-0.1808898539288904,0.001839320907690123,-0.1394323649237722,-0.05952987292702444,-0.0984238194028198,-0.15955364184899556,-0.31514265915497214,-0.2247887814804229,-0.2196291410681308,-0.17129464112631648,-0.25023751962382934
Dan Ryan,0.08159055837752777,,-0.016461185647043908,-0.2314344283858249,-0.1124496917298678,0.03763627387726104,-0.19853194484353567,-0.19315285890671627,0.193515637344919,0.15589833779134882,0.22156588424494478,-0.28169951923772624,0.1320546625954912,-0.11359824031282839,-0.3002004033978775,0.021428102951943806,-0.10944885970575363,-0.10419735424415516,0.05654928619534527,-0.03280820145388191,-0.023608140364697716,-0.1987544295944408,-0.12977558941642664
Michelle DePass,0.12536249193365345,-0.015735496140268423,,0.13395793490174002,0.01165400070430428,-0.05959516429894529,0.03229772448974538,0.008355502298916462,-0.060743572596541895,-0.04362194646416895,0.05007815663845866,-0.05032258229584674,-0.2557026599738112,-0.05988456697812239,-0.18255879276633144,-0.16981660113772362,-0.13347923938550393,-0.1731670185538907,-0.3127324504944624,-0.2672795380200186,-0.19356300980220567,-0.0008435585887301977,-0.19466347719887236
Sameer Kanal,-0.0015101409693547008,-0.2114359322291415,0.12802652137303544,,0.1618502072782269,-0.032653992230722295,0.2521871569856878,0.22076689244999875,-0.21059863130475873,-0.14617694320721414,-0.2368199076011508,0.22441551842787827,-0.2246932315674896,0.05478122466638807,0.24886104894767308,-0.044652886751579746,-0.10218164371552052,-0.15665797569683249,-0.24999058655625156,-0.15686254785244585,-0.17272327649069608,-0.010945148054918308,-0.17594838977971403
Nat West,0.006513524314895269,-0.10107815237976686,0.010958591487740588,0.15924340530011893,,0.022246809076260643,0.11876563897642556,0.17186235311761844,-0.12748775858157213,-0.11971408489247853,-0.12738122854477735,0.11684406312636286,-0.1351098157366583,0.030587615324123296,0.13258127340391113,-0.07301245431618075,-0.06989160073128509,-0.13912153828493456,-0.1513113544471304,-0.10754449392758147,-0.1382425576400071,-0.13564678139956649,-0.16585151090542638
Tiffani Penson,-0.018610174290029535,0.033258834120402925,-0.055092451039022494,-0.03158536183816146,0.02187102328412921,,-0.10184688362689065,-0.04881087629027514,0.0964219752274752,-0.006650080090377819,-0.07564394787122974,-0.10369873547874248,0.07319480061746947,-0.012324680966483759,-0.12838392806245685,0.07270143822164721,0.035831884249897084,0.14864212291770829,-0.05937634924080526,-0.05722625877370763,-0.021755602544108132,-0.042483166752444124,-0.0927106378658693
Jonathan Tasini,0.00808003786131295,-0.12883976019568177,0.02192664111992404,0.17913961934237455,0.0857454916499727,-0.07479401630288438,,0.15151191776632633,-0.1119935253404297,-0.0740552736206472,-0.17646161098743268,0.199748040319421,-0.13706491241386073,-0.10197820283710896,0.1979374119228317,-0.06247963611278895,-0.05448039627828405,-0.13296548254336324,-0.15486706342079645,-0.1476767798701316,-0.09254229382781237,-0.0938143457676536,-0.1343441613801084
Marnie Glickman,0.02525517738190941,-0.11729806925868647,0.005308147204371116,0.146748218614575,0.11611048822444464,-0.03354331083262305,0.1417806645114159,,-0.08817730580790126,-0.07908872130562511,-0.15529172756913995,0.21314383445379492,-0.12722291668331848,0.12529858265714666,0.16043448588782383,-0.03710737984573237,0.003140977371970277,-0.03533852825562758,-0.15085523455612265,-0.07797832641887395,-0.09925398237896235,-0.04840707672835087,-0.13386752823622072
Mariah Hudson,0.044667952313917736,0.11373496436871178,-0.03734727628275669,-0.13548232662640264,-0.08335802019562719,0.06412886510833571,-0.1014264759079023,-0.08533850558713335,,0.1773881757938302,0.20073153836576335,-0.12089394242722767,0.14050695114046452,-0.014054065065249255,-0.1581281538582282,0.07706031831929122,0.003328593094932941,0.02558943929867974,0.09646094958495888,0.038224524548543415,0.008540870696630787,-0.044667331574174074,-0.10008816689345368
Michael (Mike) Marshall,0.044508343223855634,0.0716704634165645,-0.020978983452226985,-0.07355746846964664,-0.06122727800996655,-0.0034595945381944437,-0.05246083610958588,-0.059871971472025526,0.1387539847962911,,0.19349748277455084,-0.049731952833698106,0.03456741412229267,-0.012582823112906621,-0.033610773258178295,0.04695756581895669,-0.024024669322175424,-0.05877792542210708,0.03153563052861294,0.01792065893158018,0.06691029173766991,-0.03405250763635634,-0.10453057673517885
James Armstrong,0.04792875850880418,0.08770153889212493,0.020736398480490192,-0.10260575052123781,-0.056093266492815264,-0.03388270771039825,-0.10763042433488217,-0.10121920499535023,0.13518920223885436,0.16660227030014887,,-0.09402372030667684,0.043566385891521786,-0.012607793063968531,-0.08193147084781101,-0.04805277939665145,0.010004987580293084,-0.03758318867611482,0.19521710431204867,0.12862716956593354,0.04275643907105123,-0.02235268948109792,-0.0672998367082399
Jennifer Park,-0.03573420784299347,-0.09185207679682456,-0.017165105036765577,0.08009491231364599,0.04238483526438597,-0.03826272832246025,0.10036121050195299,0.11444212831663358,-0.06707018181439732,-0.03527277756452803,-0.07745259661518611,,-0.07094991965268008,0.017358121961677908,0.3436410542738892,-0.033713833529367715,0.116965045682219,0.11172760102445078,-0.05637748167041329,-0.021552003697137556,-0.00111407809418132,0.026274009993732916,-0.07954161126713843
Bob Simril,-0.05839277355437682,0.04281828695132264,-0.08673441753435235,-0.07974706518222438,-0.04873751978343814,0.026856868927638555,-0.06848292958997865,-0.06792836684771063,0.07751672702188511,0.024380562039071796,0.03568804507790388,-0.07055447781355151,,-0.002084800526528402,-0.06453128493303402,0.061042206656961306,0.004732298436889076,0.009067667446986644,0.26085243928722535,0.1481204744637941,0.1278764471293787,0.0025527349869818583,-0.03385475147097425
Debbie Kitchin,0.00048779468918781765,-0.030260898345731757,-0.016688057914178087,0.01597317023126718,0.009064770366713382,-0.0037152282281877475,-0.04185988741570218,0.05496252143972144,-0.006369923859806753,-0.007291041599725531,-0.008484865474329528,0.01418110503305725,-0.0017127704922337839,,0.009528076657040169,0.01041535913600225,0.08002771801150721,0.07061039226172508,0.015839315391636577,0.08068141710234653,0.022440815553556037,0.03917310756579065,-0.04776786002026365
Chris Olson,-0.030553216651470927,-0.0660747106669792,-0.04203464905195581,0.05995564734818008,0.03246438342105161,-0.03197674525079569,0.06713243117111757,0.05814762788549423,-0.05921820893329188,-0.016091768451648863,-0.045558605938700605,0.2319669791929732,-0.04380450357640142,0.007872615274836542,,-0.03376041726163499,0.03056674208188344,0.060852348405586634,-0.01879375524488322,0.017636670004908303,0.03405289098005938,0.06270347813439735,-0.029098425512075227
Nabil Zaghloul,-0.011260436451294861,0.0040713144370529974,-0.03375295009734834,-0.00928644802116721,-0.015432946223096697,0.015631243284885146,-0.018292366814954747,-0.011609713107444602,0.0249117242703928,0.01940697154032628,-0.023065618783256414,-0.019645187786530155,0.035768901062233155,0.007428736566853722,-0.029143031654004253,,0.024487825838456934,0.0324686288823616,0.010737158804709282,0.034911251901993526,0.07250505674001734,0.11096188556815767,0.0021654185528450776
Laura Streib,-0.013924322296745367,-0.015553056391531643,-0.019842614759626002,-0.015893756697023982,-0.011049190645838064,0.005762006595578503,-0.011929582708090386,0.0007349868857665642,0.0008047987294516473,-0.0074261410911697565,0.003591837958327959,0.050975057665174184,0.002073963372088067,0.04269084253078641,0.01973466048914249,0.01831486881592706,,0.11365063989316496,0.03989622013627517,0.025433459703165295,0.05650135254554921,0.05856499031448431,-0.00717762884504488
Liz Taylor,-0.02110589058309493,-0.013844724082212316,-0.02406985450462365,-0.02278396444538442,-0.020564727484693415,0.022349566909445784,-0.027223691615585625,-0.007731902142231871,0.005785094426258797,-0.01698803468110248,-0.012615861542419171,0.04552869610246631,0.003715759947314261,0.03521973020713026,0.03673507728359625,0.022706000420201336,0.10626616143476006,,0.009993223121361264,0.03427291559854853,0.08183039632850439,0.14174015641243073,0.03999292728908338
Will Mespelt,-0.03571886565185922,0.006437959537540186,-0.037245579471375315,-0.031152574377068816,-0.01916432859429513,-0.007649520381162518,-0.027168187638950923,-0.028280805628727694,0.01868506948221936,0.0078095121763027756,0.05614804747837655,-0.01968447849765239,0.09158839940260202,0.0067693553016193245,-0.009720994189789105,0.006433681702790933,0.03196306085175181,0.008562470461806124,,0.14337144006176583,0.12104918263673484,0.02568805796826297,0.025065030384432183
Reuben Berlin,-0.024822013222887834,-0.0036389446096110126,-0.03101268771825556,-0.019044144028287188,-0.013270343866887378,-0.0071827040997648195,-0.025239789296683746,-0.01424220422671199,0.007213685147458397,0.004323627480049691,0.03604303981320293,-0.007331246133582214,0.05066786072780661,0.03359358300124111,0.008887622759165402,0.02038015692643374,0.019851528778213175,0.02860990792519471,0.1396801053536874,,0.0851639382061248,0.058866397463119675,0.01738442838774324
Sam Sachs,-0.018099471646328975,-0.00195419710370226,-0.016761374330964942,-0.0156497219202299,-0.012730613147309073,-0.0020378738750352066,-0.011803949312093144,-0.013528972209585367,0.0012029035383415015,0.012047606724507776,0.008941364331801586,-0.0002828260102452351,0.032645370339302614,0.006973246382399011,0.012806680533717897,0.031588133328264274,0.0329125040405592,0.050979271835803315,0.08801310292640041,0.06355786508829186,,0.06885607770509916,0.010077938268003482
Antonio Jamal PettyJohnBlue,-0.008152841125161146,-0.009501948489522013,-4.2188276040074774e-05,-0.0005727520687105921,-0.007214501417292537,-0.0022983297390618412,-0.006911074884690291,-0.0038107897549927716,-0.003633355832501014,-0.003541165516124531,-0.002699736118459025,0.0038522932667905754,0.00037637956642265144,0.007030296923393988,0.013619572890824619,0.027920215267149828,0.01970286699730279,0.050998940019562,0.010787132478433804,0.02537291074586369,0.03976779841962349,,0.009381929158456065
Uncertified Write In,-0.004067418537132979,-0.0021188006596596807,-0.003324774831343429,-0.0031443548866562088,-0.0030124336911994554,-0.0017128773149558572,-0.0033798418197254023,-0.0035990063339885582,-0.0027803655159170963,-0.003712288398463059,-0.002775918916357348,-0.003982800923750099,-0.0017046733474356049,-0.002927673639006036,-0.002158452924520696,0.00018607499752155282,-0.0008246574394987615,0.004914198213108193,0.0035945473543070863,0.002558965806546773,0.0019877519884128675,0.0032040064630656203,
