,Steve Novick,Angelita Morillo,Tiffany Koyama Lane,Jesse Cornett,Rex Burkholder,Chris Flanary,Cristal Azul Otero,Philippe Knab,Kezia Wanner,Ahlam K Osman,Daniel DeMelo,Harrison Kass,Jonathan (Jon) Walker,Luke Zak,Sandeep Bali,Brian Conley,Melodie Beirwagen,Matthew (Matt) Anderson,Heart Free Pham,Theo Hathaway Saner,Dan Gilk,Terry Parker,Kelly Janes (KJ),Christopher Brummer,Kenneth (Kent) R Landgraver III,John Sweeney,Patrick Hilton,Jaclyn Smith-Moore,David O'Connor,Clifford Higgins,Uncertified Write In
Steve Novick,,0.03452526552801782,-0.008722450622704714,0.1097575888428084,0.1099503285780229,-0.07465862380970834,0.09564442793497019,0.15383105655098306,0.00034060170593686045,-0.20108043773788625,-0.09132459955191419,-0.16352398432063547,-0.06447067397490402,-0.1764754097123049,-0.27905877552852276,-0.3200565641761788,-0.31695278229642837,-0.2772285109005172,-0.2759092888074258,-0.3679489687297945,-0.2692577399440786,-0.33129575671638545,-0.2819089733804165,-0.24413296570616122,-0.32278844316223837,-0.15668702185875816,-0.29035798775551463,-0.3375736156015225,-0.2640707263554926,-0.2690061184903084,-0.2523860520100425
Angelita Morillo,0.03202164589020495,,0.1926885017895883,0.07639795038163122,0.07331928464867576,0.2625373709863986,0.05285790022097492,-0.028861846688929216,-0.26996511108701915,0.25691806949889373,-0.16399495612900117,-0.4218905457637695,-0.20118134468619592,0.16449741339292345,-0.31499964707346384,0.08721022735922224,-0.22777611042329743,-0.2630454404217963,-0.12001588401111474,0.1029225833007108,-0.3068061910858027,-0.46779613843121476,-0.08001460159322332,-0.20177916640470728,-0.3771168222521083,-0.36024693275052455,-0.28200450579321473,-0.05061620648178189,-0.32342658951088465,-0.1930207928132192,-0.2922971899188076
Tiffany Koyama Lane,-0.007817131508081832,0.18619073884405402,,-0.010322530191607782,-0.015253950893830193,0.25634567083830406,-0.13619056991299866,-0.18533190914957898,-0.18984344165922235,0.2572345669763505,-0.15540042991581182,-0.3279173461698778,-0.15327733914412317,0.15943427017845802,-0.24447005734546207,0.08152543171633997,-0.13064943481001445,-0.1755268245677098,-0.07274540337100621,0.12441915762152256,-0.2463292619284741,-0.39490491708600983,-0.051384184484575046,-0.13633630603929697,-0.30396677651834314,-0.30289045168229867,-0.2268094129754446,-0.0066031857673235494,-0.2667473576228308,-0.1289872296210477,-0.22245560349454319
Jesse Cornett,0.06730958270240561,0.05051465885334305,-0.007063494371238821,,0.17323657507735135,-0.012212785267622206,0.05531240717885599,0.08670644122267601,0.05917784706608681,-0.15277716972099334,0.06429991572777927,-0.12336155949854097,-0.022078048654691873,-0.03487951223403679,-0.1628852988757352,-0.08309542697976247,-0.17322128903150888,-0.14662566038605856,-0.13386353290142677,-0.14959305138246054,-0.1375712083171806,-0.23424516878001134,-0.12218217949652763,-0.17185499584543215,-0.16759738439141889,-0.17748236306404405,-0.14503483423117647,-0.20360972496352694,-0.20460484823710215,-0.12594604104973836,-0.19479031642683986
Rex Burkholder,0.06300949205564282,0.04530238252562091,-0.009754003170950154,0.16188503217042877,,-0.00750918646689136,0.11902861572076279,0.15610189270281855,-0.04352212561813795,-0.09538793643869975,-0.016685863163397596,-0.12851417341221077,0.05239818873863128,-0.08360904442365374,-0.1512360792921885,-0.06291455638180615,-0.14223196820904394,-0.09321443764962761,-0.14506714879217927,-0.12723999222933693,-0.058280256883903814,-0.2245543826271234,-0.12280604691642408,-0.16319010228069425,-0.15850413357673454,-0.11221149838365033,-0.048876534030619534,-0.20085859394015698,-0.12366219989623603,-0.04749894986091213,-0.2168586272996219
Chris Flanary,-0.030231572297322346,0.11462128242740843,0.1158238090752543,-0.00806404858012466,-0.0053059627436756185,,-0.05705204061698266,-0.1147989683039167,-0.1710622001069344,0.3383566962936508,-0.08276449757165477,-0.19809354122930214,-0.07733241400674698,0.2355715019409576,-0.13532720369981252,0.2118023727241936,-0.112411522854104,-0.10078420356206516,-0.014632904136606423,0.2676495632358686,-0.12225504329439223,-0.1841649905941467,-0.010533946081229872,-0.04985593933199642,-0.1272458158223227,-0.13316755808181546,-0.07220762258749591,-0.09971506269510597,-0.06750252815277968,-0.041851424555316624,-0.13148578309275077
Cristal Azul Otero,0.03852944477225617,0.022958122047659346,-0.06121688338512393,0.036334007022018,0.08367101021911877,-0.05675753230233499,,0.3454297538655185,-0.08114166333635003,-0.05244846700669856,-0.10261345596655252,-0.15063861814510895,-0.018374058867240556,-0.11405395509850028,-0.07240598383882071,-0.05656215715149268,-0.032313358618584115,-0.08797798745086288,0.006408664422297261,-0.0831411269055852,-0.12066950702930214,-0.15789001138560466,0.016440000024687207,-0.060084144758360936,-0.09492386775400596,-0.11112065421144296,-0.10377331248639843,0.11742842207799803,-0.1585900060283218,-0.06763948532455077,-0.16614787935812692
Philippe Knab,0.05869374993645607,-0.011873132836562467,-0.07890220415032753,0.053945702838942594,0.10393134707273735,-0.10816956049516581,0.3271707736165774,,-0.06196720977628048,-0.14101017943863117,-0.08896521042187627,-0.07463838750471474,0.052902180866521514,-0.13576818690229048,-0.09661231326004158,-0.057098590191941856,-0.08608290643060956,-0.07330545803252883,-0.08571826803252172,-0.11194613571051845,-0.07805992811076318,-0.14320654026229607,-0.11745870824436759,-0.021586189958056196,-0.11025938582765386,-0.14293386281272114,-0.05872845081369976,-0.15588615823170615,-0.09107521090754353,-0.0397123063496691,-0.1472627365513899
Kezia Wanner,0.00012931673122903997,-0.11051186751429572,-0.08042565368922719,0.03663740627323514,-0.028834242760815115,-0.16039144437853484,-0.07647486673497711,-0.06166262464809849,,-0.12396725598896871,0.19242439651905235,0.36691819294392936,0.07819100430619097,-0.10328396616481728,0.2311442694318699,-0.1380033176573618,0.11245769058017652,0.05543806926963407,-0.05224672561042726,-0.12357620012058794,0.13202165182693432,0.24485325416779774,0.07406466616345936,-0.0653823763361552,0.13593579574663456,0.028227219140894433,-0.02612880948694704,0.006809623384420066,-0.08398102591449866,-0.1237467539942928,-0.07876157405357304
Ahlam K Osman,-0.04766080507675036,0.06565677985614249,0.06803180314596,-0.059048337163124756,-0.03945259358482167,0.1980548917469541,-0.030859669763458303,-0.08759799841938007,-0.077391032514235,,-0.05693036981965287,-0.09878095877909768,-0.07167386785058205,0.1959106093976873,-0.03321548715082204,0.15949421908673564,-0.019959341501019204,0.007571509497325268,0.039764110703911754,0.245375855475737,-0.06752197607888197,-0.09675788529794355,0.05576904442839581,-0.011376406691051916,-0.044746085488017076,-0.057288274434761935,-0.05327303703525055,-0.007070064040650109,-0.06113727600813122,0.017762330553552225,-0.08068606324002295
Daniel DeMelo,-0.021376689363555357,-0.04138819985124778,-0.04058784443393619,0.02454260927147847,-0.006815408638957882,-0.04784273494324427,-0.05962438433593095,-0.054578933555625486,0.11863283350096662,-0.056221848774341096,,0.1722239650110132,0.07205418917984735,0.05004548565092473,0.10443324690373268,-0.009197286302397356,0.026596180035706823,0.027334206543752876,-0.003612238637836468,-0.010709819860757419,0.07611772415392545,0.049008772645684845,0.02849460668583864,-0.010112207641721882,-0.0006104650065459627,0.03643793725377176,0.04427286197991551,-0.01921097555328395,-0.02658000515941153,0.07666322409950352,-0.04596526641445853
Harrison Kass,-0.029463003914693017,-0.08195750581501035,-0.06592513915173037,-0.03624374564395526,-0.040405189070421677,-0.08814245131020135,-0.06737500485681294,-0.03524601136429184,0.17412330813078775,-0.0750891603741546,0.13256732008818015,,0.09073408030176061,-0.04678151126201882,0.24052661535291636,-0.04771803411189227,0.11017395713214839,0.10036988945488001,-0.0190697649710852,-0.042745578337472515,0.22921010108608808,0.3478203532642393,0.009723901955516673,0.047088788811641524,0.21498211487588215,0.10056917593660433,0.12137759888987562,-0.03322326458176812,0.05373142307815004,0.004097895844934862,0.007637910004991505
Jonathan (Jon) Walker,-0.011002672602409919,-0.03701835051032304,-0.029188046794904957,-0.006144044121030451,0.0156042466957792,-0.03259243384614731,-0.007784092830813896,0.02366255962571974,0.03514672568144504,-0.05160660261622721,0.052534251099578225,0.08594306901400635,,-0.02132454626400783,0.06946131986364389,0.008420076212320646,0.04732310916364109,0.058196094952797026,0.017959228044775122,-0.008047117407082457,0.08672958030211474,0.07348260825481807,0.019957131570309178,0.06330040032341398,0.027068516265442974,0.06099141627639469,0.07173633283595389,0.004572452319699966,0.13595846056836597,0.025892250690815452,-0.028515966942055077
Luke Zak,-0.029583220823639622,0.029731286819400474,0.02982181254689488,-0.00953431111366812,-0.024457106193944866,0.09752214676550354,-0.047461179802154634,-0.05965013628634246,-0.04560224922358101,0.1385567410567506,0.0358404533776152,-0.04352511635469842,-0.02094619179160384,,-0.0209805482397534,0.030244474783678102,-0.036001047722372184,-0.023636133895660466,0.02674137807661807,0.03548900421806024,-0.00408818292081542,-0.03972448388179304,0.0020444787400502873,0.006095731802043883,-0.02473949993273808,0.0048909014258420175,-0.011244994675906048,-0.00682475148631953,0.016640518089048442,-0.015359927688305672,-0.028178978964510784
Sandeep Bali,-0.03952365005336674,-0.04810218508504355,-0.03863475271938704,-0.03761845109738404,-0.03737724816323049,-0.04733318346312431,-0.02545673744393822,-0.035862949727883946,0.08622567292930573,-0.01984771135279484,0.06318987147822248,0.1890727487052633,0.057645898467424225,-0.01772625273723484,,-0.0133383624206828,0.16612233180699626,0.10551689952584208,0.11678188429702312,-0.014861602896460102,0.21421641128793706,0.31150115583956267,0.04610910875440501,0.01766468715000602,0.22703402845338033,0.05968240625015368,0.04827933878451708,0.027029781761474664,0.03536834773282285,0.0003887559773158161,-0.009436283322841382
Brian Conley,-0.03909655777205349,0.011486099620389184,0.011112096183674994,-0.016551850946242827,-0.013410762606287166,0.06389426074123808,-0.0171516012156677,-0.018280553195955784,-0.04440106742019466,0.08219874325800364,-0.004799752232422863,-0.03235182340904938,0.006026870026973552,0.022039237946898868,-0.011504107616073053,,0.014577610648882064,0.04940416793989065,0.0465369178359257,0.31778618340862735,0.018984379769627066,0.008899879029403784,0.02549152422523432,0.06028690596804398,0.023698057535117584,0.04754965769270833,0.14557537726528927,0.03534461008635707,0.11171323306810324,0.12340792334239561,-0.033567704560116
