,Olivia Clark,Eric Zimmerman,Eli Arnold,Mitch Green,Sarah Silkie,Chad Lykins,Lisa Freeman,Bob Weinstein,Tony Morse,Ben Hufford,Stanley Penkin,John Toran,Andra Vltavin,Bob Callahan,Chloe Mason,Kevin Goldsmith,Ciatta R Thompson,Moses Ross,Chris Henry,Mike DiNapoli,Michael Trimble,Joseph (Joe) Alfone,Raquel Coyote,John J Goldsmith,Kelly Doyle,Brandon Farley,Tony Schwartz,Patrick Cashman,Lee Odell,Uncertified Write In,L Christopher Regis
Olivia Clark,,0.20861108960399888,0.16531814412182222,-0.04604230038389123,0.029752015553222155,-0.12053414722318323,-0.09109167079007546,0.10168982620366207,0.05517737370976106,0.01645906409748288,0.050359342249464145,-0.04301149849332164,-0.31233706449516757,-0.10415091635649038,-0.12494044483861483,-0.23650804781485918,-0.15754658043478365,-0.07263419066230548,-0.336664652644447,-0.28634454990491004,-0.282131514594841,-0.20920638579222428,-0.10096233356035822,-0.32471863482488317,-0.06617757930201895,-0.3571419669321827,-0.23994451813979745,-0.3834388342199888,-0.3451121281612972,-0.31268680700358165,-0.1325961847164276
Eric Zimmerman,0.16950545143777201,,0.2524188602802883,-0.09970386430158784,-0.049246667456812054,-0.17614632447354744,-0.2084567072744712,0.16189456631223426,-0.0014340134720539077,0.08927950631472875,0.058309422017865875,0.01820924766928178,-0.38653474429213575,-0.03156568291739631,-0.2494800886585734,-0.156464394296554,-0.194174525047362,-0.14297047016142195,-0.3318647540161155,-0.29384731291932153,-0.25141497714618843,-0.2314205087108463,-0.30691066680136087,-0.25390528402624124,-0.3318729627559386,-0.15084109405309298,-0.14116884437145433,-0.13709701244779887,-0.29568707525206506,-0.26816295617865027,-0.2706931812522279
Eli Arnold,0.1266665023737072,0.2380218247438966,,-0.11854768952352684,-0.09856387173907838,-0.1997369583488236,-0.24527717558888593,0.1892982632276588,-0.044411224083331036,0.13100721680632926,0.09251413229877742,0.07210085513960135,-0.37721551562466105,0.07213248369739506,-0.25209549490908556,-0.030047688283042107,-0.18028795134074466,-0.20825490419724096,-0.33143999652217404,-0.2698713769550171,-0.25427923238251826,-0.24688978350807145,-0.33298792491125395,-0.24641940844964536,-0.2669494741778733,-0.0900456375748413,-0.25521582600159665,-0.039868009563848505,-0.23238517647619916,-0.18407824084531987,-0.12777808627926934
Mitch Green,-0.033655032221765635,-0.08969303280927188,-0.11309537200964015,,0.21300259196378418,0.22113780658134546,0.17453568792739943,-0.019181399915822073,-0.01194494986388328,-0.19356420363391813,-0.1497306436503476,-0.17077298151558473,0.18998207714457188,-0.1973526864125721,-0.08155041436346233,-0.12499709585114332,-0.040935347170322045,-0.007650642309770361,0.20073444748478048,0.043795617362613226,-0.05248012118430789,-0.09903278061094922,-0.24777017147166422,-0.17439025506132017,-0.2142473013805831,-0.20553966964333475,-0.12931101064611905,-0.1787339879844171,-0.08485998465632777,-0.21459566368778143,-0.1705972728685814
Sarah Silkie,0.021086712228949978,-0.04295592220872835,-0.09117357335282167,0.20653058269308722,,0.15649997203539634,0.12695928484629881,-0.015409329649926584,-0.06189578786294436,-0.15595575847083337,-0.154616415181915,-0.15444967532652432,0.18385019518951784,-0.17330672206861522,-0.000322192964677559,-0.1771084275063053,0.043856070482688914,0.07072851414452874,0.14067364901330282,0.02456011845003009,-0.08303530232925038,-0.10640449285023296,0.006853347096036966,-0.21188419277637136,-0.03650445690207044,-0.19591681264222324,-0.16645759527156428,-0.2342485108635057,-0.2548715159712557,-0.24729614924095938,-0.09970674442612104
Chad Lykins,-0.06778762581252046,-0.12191794416408475,-0.1466079423750474,0.17014152639643937,0.12418298913998194,,0.20187878493736616,-0.139784606922967,0.019436104731490933,-0.08674320067615929,-0.10724885416306146,-0.10658327155907912,0.152315551825826,-0.11478726867860789,-0.05996053702711002,-0.12163324560656363,-0.04199535294896911,0.04738373790287581,0.18439939798470023,0.04348825645523818,-0.035589371404440795,-0.05178356139097262,-0.19271491019754422,-0.19126375033766727,-0.17524767944878625,-0.12468932561324861,-0.10825594407604888,-0.1480094764904202,-0.18115204341350666,-0.18120363501439404,-0.1377451667004344
Lisa Freeman,-0.04361438165203835,-0.12283458038846354,-0.15327344925643396,0.11432528612718673,0.08576755707772682,0.17187052752170684,,-0.12095460938670022,-0.011102605271641086,-0.08424594670384691,-0.08557609629300345,-0.08506355783269132,0.23970489789624877,-0.05005690987493125,0.16200943765981196,-0.08967894785620978,0.10323713636259374,0.11248844531935187,0.2136521107975744,0.19104778769968866,0.08910062784492756,0.03839294832294027,0.10393988790239883,-0.09279084162027146,0.14512555075430328,-0.08813243936857881,-0.021613801739345684,-0.04993784681615876,-0.10998384547005813,-0.07150510980822386,-0.06825498806099228
Bob Weinstein,0.04709157884631038,0.09226813457788552,0.11441187903937555,-0.012152147984075878,-0.010068320075269588,-0.11510250408391576,-0.116986869012252,,-0.029780772573462788,0.06578277764175033,0.15241432948293765,0.05410339479771442,-0.1466430145387784,0.008996433273910864,-0.11675008001828016,0.03406631942923355,-0.051141090821251095,-0.05866913222263567,-0.1728417670702237,-0.12092367662230694,-0.07244199235614279,-0.04534667841980655,-0.1400605268389014,0.04018233884804323,-0.12667004600142803,-0.05809242637700765,-0.00418143805385468,-0.02749044108692253,0.09488910148660717,-0.1336788876447622,-0.03587880718572223
Tony Morse,0.016168111761077214,-0.0005171365454473276,-0.01698438255594764,-0.004788391063069275,-0.025589800119621753,0.01012668226697594,-0.006794728766778696,-0.018843800205793848,,0.03353088839461202,0.0619266941947299,0.029489234321715962,-0.04012673229564784,0.004938153083262342,-0.004340505592918958,-0.0011870390182745771,-0.009395251511452263,0.012524627551283946,-0.030116012463535485,-0.05070121074952935,0.011067890641960842,-0.011470229053616054,-0.08086368263390123,-0.04210690076445489,-0.07400903172900414,-0.02947349065930538,-0.018454950157265726,-0.038095913834428924,-0.027120651530614853,-0.09390597887932248,-0.051273274396907015
Ben Hufford,0.004469306753602548,0.029835995208769034,0.04642896368800356,-0.07190632205327438,-0.05975083289832642,-0.04188226363135175,-0.04777855275317505,0.03857282867834552,0.031072901633992345,,0.11052926558274695,0.10999172701373866,-0.10665186625991943,0.11332431154376033,-0.019980881848009946,0.06163592372338156,-0.052630970976504377,-0.004218999147743152,-0.03840314962145576,-0.031046635449197474,-0.016684684260513227,-0.08250829949877135,-0.10792031644442127,-0.0663604508713978,-0.06064240066490861,-0.00988817633664607,-0.03149897688055836,-0.001692304131316602,-0.045762648212809384,-0.05560804538215021,0.016296928256927468
Stanley Penkin,0.010661185827394587,0.015192103909803079,0.02556185027426089,-0.04336538025402738,-0.046183685298883434,-0.04037177100816182,-0.03783788770671054,0.06967637017061781,0.044740937901522365,0.08617230726084632,,0.0817976503528218,-0.05417223396460667,0.012403272040251934,-0.02928151282613818,0.006351772560199004,0.01572280792569089,0.009849166558676903,-0.04596957261633017,-0.03910606905770603,-0.006748500028991453,-0.008191182864573043,-0.05117648135083054,-0.01674692379216114,-0.05093297605747828,0.014978674057175623,-0.013762881272948918,-0.03503442715118234,-0.005808352438467473,-0.06979913473910893,-0.006247079857574278
John Toran,-0.008232175311673917,0.004289194708410493,0.018010642068016836,-0.04471530539215081,-0.04170849873357746,-0.03627260612552227,-0.03400341445058423,0.0223608756945555,0.01926172847285873,0.07752736636438837,0.07395122997414985,,-0.03989990383499388,0.06917190767280693,0.07570780005469749,0.053451547508570424,0.09957707973793065,0.006160393537739298,-0.04588222764697848,-0.01247823258395947,0.03161841910685623,-0.0018047910177776683,-0.0502781326172817,-0.020501987709557842,-0.046773874278034006,0.028099465535143253,-0.03217065598176769,-0.00987575794709701,-0.0016670215061705962,-0.05417007400922309,-0.008731889842715224
Andra Vltavin,-0.0449383976877905,-0.06844414736533312,-0.07083409497698336,0.0373950134596827,0.03732206590444846,0.03896709078689267,0.07203107817026437,-0.04556062704500883,-0.019702873837452325,-0.05651028416737401,-0.0368167408261026,-0.02999410246680538,,-0.04835688314231538,0.1281010198414576,0.009784764161023418,0.1729888487824427,0.0410322551174543,0.2975278476571715,0.21212190971776002,0.19485449741841154,0.1322078575099095,0.16391879339542298,0.059445073584532146,0.10116835721136812,-0.009721386550689395,0.025033960840905867,-0.009581234089185611,0.1890862914392415,-0.026171064663185056,-0.021195308242341934
Bob Callahan,-0.014296127330870975,-0.005332418461311814,0.012922452400460097,-0.037059995133311444,-0.03356435002452503,-0.02801616654803768,-0.014350541756327315,0.0026666126141500213,0.0023132447441977094,0.05728532408383159,0.008042037932054658,0.04960837807556252,-0.046133834547673266,,0.003684914168355119,0.11191677978122828,-0.009545039260933863,-0.0031802692731889015,-0.001169271897983007,0.036079330969520054,0.02903211107730022,0.02265210594657359,-0.020985848692814717,0.04762139384534887,0.053965727484142925,0.06923379141496049,0.06397813105796409,0.13547715702398389,0.06309327885022127,0.01435641321194718,0.07807785554610629
Chloe Mason,-0.016994996025055692,-0.04176453309633736,-0.04475502939704258,-0.015175786033983896,-6.183602920821485e-05,-0.0145025111977225,0.046026429133717614,-0.03429331432274791,-0.002014930461336148,-0.010009160283781099,-0.018814213413576135,0.053805740006511185,0.12110903613239894,0.0036516578922184822,,0.026472989483521336,0.17559381498460008,0.0208410188474151,0.040198382933963245,0.06246740048245365,0.11543017007649702,0.09405782095192723,0.2981034818581062,0.06749010537713103,0.26193485975614267,0.06419007491045416,0.0530258436182308,0.051774394896804535,0.1045118103009857,-0.0068916532151538645,0.021004342888934727
Kevin Goldsmith,-0.029931700952301937,-0.024369954528071253,-0.004963125784365502,-0.021641751214005724,-0.03162512293653274,-0.02737142737344729,-0.023704179480935873,0.009309898416673595,-0.0005126868657367445,0.028726608523133676,0.003797125477209881,0.03534400176797636,0.008606801316914978,0.10318709059281339,0.02463034198003343,,0.013678736344042416,0.0027468071499630042,-0.011740645436702293,0.04272145477601205,0.03480221952109702,0.0574792963964845,0.09795326118776368,0.35263159409389266,0.06879130752677481,0.10094685000608547,0.12052067746502226,0.12595492400658514,0.2525007719467621,0.020665314759192255,0.046814502758091237
Ciatta R Thompson,-0.018955775931529445,-0.028752695045944895,-0.028311183951446765,-0.006738109531803468,0.007445087779123713,-0.008984491393204702,0.025942837953989425,-0.013287302616642065,-0.003857826737942688,-0.023320558137776566,0.008935877984099547,0.06259821274787387,0.1446627227133619,-0.008366715316715442,0.1553187119371019,0.013004482953198157,,0.027041211446702823,0.01944379859539297,0.07005608277825211,0.09882289470301282,0.08905347009262736,0.1322280671168059,-0.0018607059522303127,0.060401860587352404,0.05150491469186365,0.022561011042039558,0.0306861805732703,0.010480218916492923,-0.026940888927150124,0.033149309891372394
Moses Ross,-0.008416278966688562,-0.020388209488049015,-0.0314943754528568,-0.00121278529245461,0.011563280910422968,0.009762656615476664,0.027222993743428445,-0.014679894648999985,0.004952740383030757,-0.0018003354408047817,0.005390797746536002,0.0037295586396993152,0.03304534937042215,-0.0026846495492286043,0.01775333496873642,0.002514905759745875,0.02604189475231282,,0.04269526495366677,0.044018987514001184,0.03247739649261751,0.026577394889265443,0.056723086147789925,0.0014428400780701761,0.02824544242884032,0.02179237021245506,0.04504084315713572,0.024071371108212086,0.030314635443564567,-0.011500357075653299,0.08779245030963964
Chris Henry,-0.023824581878322884,-0.028902979720060805,-0.030611980277007584,0.01943375291298649,0.014045850469538858,0.02320314967364418,0.031577947811931274,-0.026412573462197653,-0.007273223906903971,-0.010008283147783056,-0.015366422445103476,-0.016964545335492853,0.14633941953494642,-0.000602820435398492,0.02091309595149591,-0.006564992964868142,0.01143605657412431,0.026075248680179457,,0.06093374500169326,0.13125387536053915,0.08601362641340701,0.004525247486975942,0.015034030096909866,0.0434680741075106,0.035668494696367785,0.05409568167700709,0.04669179047290382,0.02715887913799315,0.018740849593203046,0.04211631805537671
Mike DiNapoli,-0.019009401487991042,-0.024007943864062617,-0.02338272324292662,0.003977564013715525,0.002300474904601897,0.005133471959334841,0.02648930007793225,-0.017335050804602237,-0.011486813638784357,-0.007590301668679557,-0.012263042136068526,-0.004328152564084878,0.0978748233491694,0.01744948787099592,0.030487017213830445,0.022409908369657776,0.038653852623190765,0.025219736832668496,0.057162290950322436,,0.09234772066434944,0.11091320156308172,0.04942387008963681,0.026500795357351545,0.05456566687222493,0.035939940143524404,0.06602239033885798,0.076977190230358,0.03756451954190597,0.01765876019952691,0.0764891398391551
Michael Trimble,-0.011583587901515868,-0.012703879490983795,-0.013625772470896004,-0.0029477682086395153,-0.004810185121979112,-0.0025981934990615616,0.007640489987071966,-0.006422677835721844,0.0015508081708802135,-0.002522751445011205,-0.001308800005622588,0.0067826844501069315,0.055604235425672166,0.00868389978395958,0.034841176721739864,0.011290494569333343,0.03372224537025038,0.011507836557903418,0.0761510449106473,0.05711341871144038,,0.08554060345023276,0.021380104121859124,0.04552694138547271,0.03258504409110445,0.05086492417574673,0.063424009885099,0.03781246450004734,0.032145215624206545,0.012437224085229091,0.004708921559238702
Joseph (Joe) Alfone,-0.007464879997408644,-0.010162567873202338,-0.011497667767597853,-0.004834303033182857,-0.0053569227181692845,-0.0032854849751657485,0.0028612005934625165,-0.0034940380381746454,-0.0013967597360322118,-0.010842027461630809,-0.0013806037576338907,-0.0003364687831340016,0.03278771127974846,0.0058884523596814155,0.024673160708319826,0.016205926426766208,0.026409863441700307,0.008184295142494302,0.043369796625453434,0.05961445988712124,0.07434105245971198,,0.035615298149367154,0.05552969707281213,0.03646225299322805,0.03671139370363967,0.03972233670076902,0.056811084758865836,0.07600127721822475,0.011941706116400122,0.04833883499907813
Raquel Coyote,-0.0034305529111538606,-0.012834248569515948,-0.01476698962535183,-0.011517567514465282,0.00032856022783210245,-0.0116433977918982,0.007376255212441538,-0.01027672538571475,-0.009376915032890856,-0.013504326359155282,-0.008213905470728915,-0.00892593755202782,0.03871144936275672,-0.005194885349260823,0.07446527047228023,0.026298935358224963,0.03734184796679792,0.016633573944827288,0.0021727977930587825,0.02529658928946422,0.017693879273262724,0.03391512582605577,,0.09891205991294973,0.23760788651733408,0.08852339667391575,0.08862322184496753,0.08419999791578843,0.13177804904283802,0.022102904156425542,0.08691477821685452
John J Goldsmith,-0.010509088878416195,-0.010113076979401349,-0.010408580510504422,-0.007721240297633734,-0.009675288680415471,-0.01100652427896028,-0.006272084702017056,0.0028081953632696673,-0.004650641387467727,-0.007909192637462729,-0.002560161913054519,-0.0034667600576841345,0.013371485647935194,0.011228057888113683,0.01605757426683082,0.09017654643582676,-0.0005004987696475352,0.0004029925609424709,0.006875519234691822,0.012919248119895137,0.035886807783915176,0.05036574508216004,0.09421116123219103,,0.06538697297811014,0.07677286735228342,0.11994860282097608,0.09570563682585859,0.22036653095050088,0.026717457019736823,0.0589645933131159
