year,district,candidate,candidate_norm,mention_count,mention_rank,is_uncertified_write_in
2024,1,Candace Avalos,candace avalos,22267.0,1,False
2024,1,Steph Routh,steph routh,20440.0,2,False
2024,1,Jamie Dunphy,jamie dunphy,18470.0,3,False
2024,1,Loretta Smith,loretta smith,17984.0,4,False
2024,1,Timur Ender,timur ender,16858.0,5,False
2024,1,Terrence Hayes,terrence hayes,15967.0,6,False
2024,1,Noah Ernst,noah ernst,11606.0,7,False
2024,1,David Linn,david linn,9324.0,8,False
2024,1,Cayle Tern,cayle tern,9061.0,9,False
2024,1,Doug Clove,doug clove,7593.0,10,False
2024,1,Deian Salazar,deian salazar,5262.0,11,False
2024,1,Michael (Mike) Sands,michael mike sands,5196.0,12,False
2024,1,Joe Allen,joe allen,4955.0,13,False
2024,1,Joe Furi,joe furi,4070.0,14,False
2024,1,Peggy Sue Owens,peggy sue owens,3869.0,15,False
2024,1,Thomas Shervey,thomas shervey,3507.0,16,False
2024,1,Uncertified Write In,uncertified write in,643.0,17,True
2024,2,Elana Pirtle-Guiney,elana pirtle guiney,34268.0,1,False
2024,2,Dan Ryan,dan ryan,34116.0,2,False
2024,2,Michelle DePass,michelle depass,32612.0,3,False
2024,2,Sameer Kanal,sameer kanal,31168.0,4,False
2024,2,Nat West,nat west,30666.0,5,False
2024,2,Tiffani Penson,tiffani penson,30148.0,6,False
2024,2,Jonathan Tasini,jonathan tasini,22140.0,7,False
2024,2,Marnie Glickman,marnie glickman,20718.0,8,False
2024,2,Mariah Hudson,mariah hudson,20051.0,9,False
2024,2,Michael (Mike) Marshall,michael mike marshall,15684.0,10,False
2024,2,James Armstrong,james armstrong,13504.0,11,False
2024,2,Jennifer Park,jennifer park,11124.0,12,False
2024,2,Bob Simril,bob simril,11062.0,13,False
2024,2,Debbie Kitchin,debbie kitchin,9088.0,14,False
2024,2,Chris Olson,chris olson,7509.0,15,False
2024,2,Nabil Zaghloul,nabil zaghloul,6482.0,16,False
2024,2,Laura Streib,laura streib,4848.0,17,False
2024,2,Liz Taylor,liz taylor,4533.0,18,False
2024,2,Will Mespelt,will mespelt,3884.0,19,False
2024,2,Reuben Berlin,reuben berlin,3784.0,20,False
2024,2,Sam Sachs,sam sachs,2824.0,21,False
2024,2,Antonio Jamal PettyJohnBlue,antonio jamal pettyjohnblue,1631.0,22,False
2024,2,Uncertified Write In,uncertified write in,557.0,23,True
2024,3,Steve Novick,steve novick,51189.0,1,False
2024,3,Angelita Morillo,angelita morillo,47477.0,2,False
2024,3,Tiffany Koyama Lane,tiffany koyama lane,45876.0,3,False
2024,3,Jesse Cornett,jesse cornett,31392.0,4,False
2024,3,Rex Burkholder,rex burkholder,29335.0,5,False
2024,3,Chris Flanary,chris flanary,20728.0,6,False
2024,3,Cristal Azul Otero,cristal azul otero,20621.0,7,False
2024,3,Philippe Knab,philippe knab,19531.0,8,False
2024,3,Kezia Wanner,kezia wanner,19435.0,9,False
2024,3,Ahlam K Osman,ahlam k osman,12133.0,10,False
2024,3,Daniel DeMelo,daniel demelo,11982.0,11,False
2024,3,Harrison Kass,harrison kass,9223.0,12,False
2024,3,Jonathan (Jon) Walker,jonathan jon walker,8736.0,13,False
2024,3,Luke Zak,luke zak,8581.0,14,False
2024,3,Sandeep Bali,sandeep bali,7250.0,15,False
2024,3,Brian Conley,brian conley,6253.0,16,False
2024,3,Melodie Beirwagen,melodie beirwagen,6165.0,17,False
2024,3,Matthew (Matt) Anderson,matthew matt anderson,4506.0,18,False
2024,3,Heart Free Pham,heart free pham,3742.0,19,False
2024,3,Theo Hathaway Saner,theo hathaway saner,3525.0,20,False
2024,3,Dan Gilk,dan gilk,3130.0,21,False
2024,3,Terry Parker,terry parker,2799.0,22,False
2024,3,Kelly Janes (KJ),kelly janes kj,2684.0,23,False
2024,3,Christopher Brummer,christopher brummer,1914.0,24,False
2024,3,Kenneth (Kent) R Landgraver III,kenneth kent r landgraver iii,1771.0,25,False
2024,3,John Sweeney,john sweeney,1588.0,26,False
2024,3,Patrick Hilton,patrick hilton,1462.0,27,False
2024,3,Jaclyn Smith-Moore,jaclyn smith moore,1436.0,28,False
2024,3,David O'Connor,david o connor,1007.0,29,False
2024,3,Clifford Higgins,clifford higgins,998.0,30,False
2024,3,Uncertified Write In,uncertified write in,668.0,31,True
2024,4,Olivia Clark,olivia clark,45205.0,1,False
2024,4,Eric Zimmerman,eric zimmerman,36731.0,2,False
2024,4,Eli Arnold,eli arnold,34636.0,3,False
2024,4,Mitch Green,mitch green,33043.0,4,False
2024,4,Sarah Silkie,sarah silkie,32039.0,5,False
2024,4,Chad Lykins,chad lykins,25423.0,6,False
2024,4,Lisa Freeman,lisa freeman,21644.0,7,False
2024,4,Bob Weinstein,bob weinstein,20934.0,8,False
2024,4,Tony Morse,tony morse,13246.0,9,False
2024,4,Ben Hufford,ben hufford,12275.0,10,False
2024,4,Stanley Penkin,stanley penkin,9570.0,11,False
2024,4,John Toran,john toran,8652.0,12,False
2024,4,Andra Vltavin,andra vltavin,6504.0,13,False
2024,4,Bob Callahan,bob callahan,6205.0,14,False
2024,4,Chloe Mason,chloe mason,6149.0,15,False
2024,4,Kevin Goldsmith,kevin goldsmith,5721.0,16,False
2024,4,Ciatta R Thompson,ciatta r thompson,5439.0,17,False
2024,4,Moses Ross,moses ross,5238.0,18,False
2024,4,Chris Henry,chris henry,3199.0,19,False
2024,4,Mike DiNapoli,mike dinapoli,3001.0,20,False
2024,4,Michael Trimble,michael trimble,1856.0,21,False
2024,4,Joseph (Joe) Alfone,joseph joe alfone,1613.0,22,False
2024,4,Raquel Coyote,raquel coyote,1536.0,23,False
2024,4,John J Goldsmith,john j goldsmith,1463.0,24,False
2024,4,Kelly Doyle,kelly doyle,1409.0,25,False
2024,4,Brandon Farley,brandon farley,866.0,26,False
2024,4,Tony Schwartz,tony schwartz,856.0,27,False
2024,4,Patrick Cashman,patrick cashman,758.0,28,False
2024,4,Lee Odell,lee odell,639.0,29,False
2024,4,Uncertified Write In,uncertified write in,546.0,30,True
2024,4,L Christopher Regis,l christopher regis,346.0,31,False
