year,district,candidate_key,candidate,orestar_source_candidate_name,orestar_total_fundraising,orestar_total_contribution_count,orestar_average_contribution,orestar_median_contribution,orestar_micro_contribution_amount,orestar_small_contribution_amount,orestar_medium_contribution_amount,orestar_large_contribution_amount,orestar_mega_contribution_amount,orestar_micro_contribution_count,orestar_small_contribution_count,orestar_medium_contribution_count,orestar_large_contribution_count,orestar_mega_contribution_count,orestar_total_spending,orestar_total_expenditure_count,orestar_average_expenditure,orestar_median_expenditure,orestar_micro_spending_amount,orestar_small_spending_amount,orestar_medium_spending_amount,orestar_large_spending_amount,orestar_mega_spending_amount,orestar_micro_expenditure_count,orestar_small_expenditure_count,orestar_medium_expenditure_count,orestar_large_expenditure_count,orestar_mega_expenditure_count,orestar_micro_small_contribution_count,orestar_micro_small_contribution_amount,orestar_micro_small_expenditure_count,orestar_micro_small_spending_amount,has_orestar_data
2026,3,2026|3|angelita morillo,Angelita Morillo,Morillo,385654.34,616,626.0622402597403,100.0,3428.58,9498.48,25509.58,48086.01,299131.69,186.0,150.0,146.0,107.0,27.0,237544.36,522,455.0658237547892,30.0,1685.41,6468.99,7897.77,33612.72,187879.47,217.0,141.0,53.0,61.0,50.0,336.0,12927.06,358.0,8154.4,True
2026,3,2026|3|brandon mullen,Brandon Mullen,Mullen,11670.0,97,120.30927835051547,50.0,450.0,2529.0,2755.0,4711.0,1225.0,28.0,43.0,15.0,10.0,1.0,1075.23,8,134.40375,4.915,35.0,40.23,0.0,1000.0,0.0,6.0,1.0,0.0,1.0,0.0,71.0,2979.0,7.0,75.22999999999999,True
2026,3,2026|3|esther leon,Esther León,Leon,6716.0,63,106.60317460317461,55.0,359.0,1331.0,2978.0,2048.0,0.0,20.0,23.0,17.0,3.0,0.0,1986.6399999999999,33,60.201212121212116,18.61,197.84,465.29,818.01,505.5,0.0,19.0,8.0,5.0,1.0,0.0,43.0,1690.0,27.0,663.13,True
2026,3,2026|3|joel corcoran,Joel Corcoran,Corcoran,4095.0,30,136.5,100.0,145.0,480.0,1875.0,1595.0,0.0,8.0,8.0,10.0,4.0,0.0,2879.67,33,87.26272727272728,29.48,127.68,545.7,1111.31,1094.98,0.0,16.0,8.0,7.0,2.0,0.0,16.0,625.0,24.0,673.3800000000001,True
2026,3,2026|3|steve novick,Steve Novick,Novick,1098871.61,2884,381.0234431345354,250.0,2697.15,44387.09,247814.3,494556.05,309417.02,134.0,550.0,1197.0,913.0,90.0,1081644.06,662,1633.903413897281,129.52499999999998,1168.88,12664.75,16394.3,75499.01,975917.12,104.0,192.0,96.0,129.0,141.0,684.0,47084.24,296.0,13833.630000000001,True
2026,3,2026|3|tiffany koyama lane,Tiffany Koyama Lane,Koyama,456686.26,1098,415.92555555555555,50.0,6666.15,21609.24,35968.33,65330.58,327111.96,342.0,384.0,202.0,144.0,26.0,311196.92,912,341.22469298245613,21.53,3863.1,13297.9,11021.11,26204.45,256810.36000000002,480.0,249.0,62.0,51.0,70.0,726.0,28275.39,729.0,17161.0,True
2026,3,2026|3|tom sollitt,Tom Sollitt,Sollitt,8620.0,35,246.28571428571428,100.0,150.0,860.0,1160.0,1590.0,4860.0,9.0,13.0,6.0,4.0,3.0,2660.56,40,66.514,25.0,255.75,333.37,1165.55,905.89,0.0,25.0,5.0,8.0,2.0,0.0,22.0,1010.0,30.0,589.12,True
2026,4,2026|4|eli arnold,Eli Arnold,Arnold,245345.97,682,359.7448240469208,100.0,2556.0,16631.38,34584.59,48523.0,143051.0,127.0,246.0,182.0,122.0,5.0,118453.0,205,577.819512195122,110.0,637.0699999999999,3254.17,7356.61,19120.36,88084.79,43.0,57.0,42.0,31.0,32.0,373.0,19187.38,100.0,3891.24,True
2026,4,2026|4|eric zimmerman,Eric Zimmerman,Zimmerman,333193.33,728,457.68314560439563,150.0,1907.0,15590.48,38048.0,100242.85,177405.0,93.0,219.0,191.0,204.0,21.0,293433.34,192,1528.2986458333335,156.64,388.4,2984.08,3792.89,26446.39,259821.58,28.0,56.0,23.0,47.0,38.0,312.0,17497.48,84.0,3372.48,True
2026,4,2026|4|jamey evenstar,Jamey Evenstar,Evenstar,17411.7,105,165.8257142857143,101.0,230.26,2645.0,5656.44,8880.0,0.0,14.0,38.0,31.0,22.0,0.0,3474.7000000000003,71,48.939436619718315,4.98,384.83,219.15,616.54,792.48,1461.7,60.0,4.0,4.0,2.0,1.0,52.0,2875.26,64.0,603.98,True
2026,4,2026|4|jeremy beausoleil smith,Jeremy Beausoleil Smith,Smith,55485.0,209,265.47846889952154,50.0,1414.0,4620.0,6896.0,1025.0,41530.0,82.0,81.0,41.0,3.0,2.0,28203.51,251,112.36458167330677,2.58,741.25,559.47,2077.79,14525.0,10300.0,196.0,12.0,11.0,28.0,4.0,163.0,6034.0,208.0,1300.72,True
2026,4,2026|4|mitch green,Mitch Green,Green,307117.58999999997,794,386.7979722921914,56.0,4463.08,14438.46,25813.5,57365.2,205037.35,267.0,233.0,142.0,133.0,19.0,204973.07,613,334.37694942903755,14.49,2226.19,5317.65,8980.22,35574.93,152874.08,352.0,99.0,52.0,56.0,54.0,500.0,18901.54,451.0,7543.84,True
2026,4,2026|4|olivia clark,Olivia Clark,Clark,340410.45,853,399.0743845252052,150.0,1925.0,16847.45,60430.0,77983.0,183225.0,89.0,236.0,315.0,206.0,7.0,194106.54,147,1320.4526530612245,131.75,251.78,2564.4,3607.19,24257.29,163425.88,19.0,44.0,23.0,35.0,26.0,325.0,18772.45,63.0,2816.1800000000003,True
