year,district,source,source_candidate_name,suggested_candidate,candidate_key,suggested_candidate_key,name_similarity,second_best_similarity,similarity_margin,classification,match_method,needs_review
2024,1,candidate_filings,Candace Avalos,Candace Avalos,2024|1|candace avalos,2024|1|candace avalos,1.0,0.0,1.0,match,canonical_source,False
2024,1,candidate_filings,Cayle Tern,Cayle Tern,2024|1|cayle tern,2024|1|cayle tern,1.0,0.0,1.0,match,canonical_source,False
2024,1,candidate_filings,David Linn,David Linn,2024|1|david linn,2024|1|david linn,1.0,0.0,1.0,match,canonical_source,False
2024,1,candidate_filings,Deian Salazar,Deian Salazar,2024|1|deian salazar,2024|1|deian salazar,1.0,0.0,1.0,match,canonical_source,False
2024,1,candidate_filings,Doug Clove,Doug Clove,2024|1|doug clove,2024|1|doug clove,1.0,0.0,1.0,match,canonical_source,False
2024,1,candidate_filings,Jamie Dunphy,Jamie Dunphy,2024|1|jamie dunphy,2024|1|jamie dunphy,1.0,0.0,1.0,match,canonical_source,False
2024,1,candidate_filings,Joe Allen,Joe Allen,2024|1|joe allen,2024|1|joe allen,1.0,0.0,1.0,match,canonical_source,False
2024,1,candidate_filings,Joe Furi,Joe Furi,2024|1|joe furi,2024|1|joe furi,1.0,0.0,1.0,match,canonical_source,False
2024,1,candidate_filings,Loretta Smith,Loretta Smith,2024|1|loretta smith,2024|1|loretta smith,1.0,0.0,1.0,match,canonical_source,False
2024,1,candidate_filings,Michael (Mike) Sands,Michael (Mike) Sands,2024|1|michael mike sands,2024|1|michael mike sands,1.0,0.0,1.0,match,canonical_source,False
2024,1,candidate_filings,Noah Ernst,Noah Ernst,2024|1|noah ernst,2024|1|noah ernst,1.0,0.0,1.0,match,canonical_source,False
2024,1,candidate_filings,Peggy Sue Owens,Peggy Sue Owens,2024|1|peggy sue owens,2024|1|peggy sue owens,1.0,0.0,1.0,match,canonical_source,False
2024,1,candidate_filings,Steph Routh,Steph Routh,2024|1|steph routh,2024|1|steph routh,1.0,0.0,1.0,match,canonical_source,False
2024,1,candidate_filings,Terrence Hayes,Terrence Hayes,2024|1|terrence hayes,2024|1|terrence hayes,1.0,0.0,1.0,match,canonical_source,False
2024,1,candidate_filings,Thomas Shervey,Thomas Shervey,2024|1|thomas shervey,2024|1|thomas shervey,1.0,0.0,1.0,match,canonical_source,False
2024,1,candidate_filings,Timur Ender,Timur Ender,2024|1|timur ender,2024|1|timur ender,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Antonio Jamal PettyJohnBlue,Antonio Jamal PettyJohnBlue,2024|2|antonio jamal pettyjohnblue,2024|2|antonio jamal pettyjohnblue,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Bob Simril,Bob Simril,2024|2|bob simril,2024|2|bob simril,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Chris Olson,Chris Olson,2024|2|chris olson,2024|2|chris olson,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Dan Ryan,Dan Ryan,2024|2|dan ryan,2024|2|dan ryan,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Debbie Kitchin,Debbie Kitchin,2024|2|debbie kitchin,2024|2|debbie kitchin,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Devon Horace,Devon Horace,2024|2|devon horace,2024|2|devon horace,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Elana Pirtle-Guiney,Elana Pirtle-Guiney,2024|2|elana pirtle guiney,2024|2|elana pirtle guiney,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,James Armstrong,James Armstrong,2024|2|james armstrong,2024|2|james armstrong,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Jennifer Park,Jennifer Park,2024|2|jennifer park,2024|2|jennifer park,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Jonathan Tasini,Jonathan Tasini,2024|2|jonathan tasini,2024|2|jonathan tasini,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Laura Streib,Laura Streib,2024|2|laura streib,2024|2|laura streib,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Liz Taylor,Liz Taylor,2024|2|liz taylor,2024|2|liz taylor,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Mariah Hudson,Mariah Hudson,2024|2|mariah hudson,2024|2|mariah hudson,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Marnie Glickman,Marnie Glickman,2024|2|marnie glickman,2024|2|marnie glickman,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Michael (Mike) Marshall,Michael (Mike) Marshall,2024|2|michael mike marshall,2024|2|michael mike marshall,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Michelle DePass,Michelle DePass,2024|2|michelle depass,2024|2|michelle depass,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Nabil Zaghloul,Nabil Zaghloul,2024|2|nabil zaghloul,2024|2|nabil zaghloul,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Nat West,Nat West,2024|2|nat west,2024|2|nat west,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Reuben Berlin,Reuben Berlin,2024|2|reuben berlin,2024|2|reuben berlin,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Sam Sachs,Sam Sachs,2024|2|sam sachs,2024|2|sam sachs,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Sameer Kanal,Sameer Kanal,2024|2|sameer kanal,2024|2|sameer kanal,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Tiffani Penson,Tiffani Penson,2024|2|tiffani penson,2024|2|tiffani penson,1.0,0.0,1.0,match,canonical_source,False
2024,2,candidate_filings,Will Mespelt,Will Mespelt,2024|2|will mespelt,2024|2|will mespelt,1.0,0.0,1.0,match,canonical_source,False
2024,3,candidate_filings,Ahlam K Osman,Ahlam K Osman,2024|3|ahlam k osman,2024|3|ahlam k osman,1.0,0.0,1.0,match,canonical_source,False
