feature,outcome,n,pearson,spearman,absolute_pearson
total_contribution_count,mentions,65,0.7248594595758724,0.7546522439280737,0.7248594595758724
total_contribution_count,first_place_votes,65,0.6788316694737235,0.7139813156042446,0.6788316694737235
average_contribution,mentions,65,-0.02796847062264019,0.07591783216783217,0.02796847062264019
average_contribution,first_place_votes,65,0.014298052172530057,0.14012237762237761,0.014298052172530057
median_contribution,mentions,65,-0.03571924775148601,0.05659842279689858,0.03571924775148601
median_contribution,first_place_votes,65,0.018076419796551967,0.1067585787120255,0.018076419796551967
amount_share_micro,mentions,65,-0.12813855065758106,-0.043356643356643354,0.12813855065758106
amount_share_micro,first_place_votes,65,-0.12129262377840222,-0.10004370629370629,0.12129262377840222
amount_share_small,mentions,65,0.16565761435667256,0.2175262237762238,0.16565761435667256
amount_share_small,first_place_votes,65,0.16449300336670447,0.1729020979020979,0.16449300336670447
amount_share_medium,mentions,65,0.08911023259108775,0.24428415884103225,0.08911023259108775
amount_share_medium,first_place_votes,65,0.10940544073263415,0.28319126359559893,0.10940544073263415
amount_share_large,mentions,65,-0.06892044447390167,0.018367885888297623,0.06892044447390167
amount_share_large,first_place_votes,65,-0.0788193237037914,0.052173542535093015,0.0788193237037914
amount_share_mega,mentions,65,0.26411756732383246,0.28892148300243087,0.26411756732383246
amount_share_mega,first_place_votes,65,0.22952500861249023,0.3373036530976162,0.22952500861249023
contribution_share_micro,mentions,65,-0.07897930644527268,-0.13181818181818183,0.07897930644527268
contribution_share_micro,first_place_votes,65,-0.11524391585646512,-0.16577797202797204,0.11524391585646512
contribution_share_small,mentions,65,0.16306909627477992,0.20255903147004065,0.16306909627477992
contribution_share_small,first_place_votes,65,0.18728713460919674,0.2089620734617034,0.18728713460919674
contribution_share_medium,mentions,65,0.0009329048992260654,0.2770084991918204,0.0009329048992260654
contribution_share_medium,first_place_votes,65,0.038597147228159275,0.3156974476309842,0.038597147228159275
contribution_share_large,mentions,65,-0.07018148669438497,0.1165048762057735,0.07018148669438497
contribution_share_large,first_place_votes,65,-0.04031420361158391,0.16364911665240406,0.04031420361158391
contribution_share_mega,mentions,65,0.25666600577807064,0.2896781933851513,0.25666600577807064
contribution_share_mega,first_place_votes,65,0.2898000045415419,0.34108720501121814,0.2898000045415419
expenditure_count,mentions,65,0.48013285210705514,0.6816661946158813,0.48013285210705514
expenditure_count,first_place_votes,65,0.5148009287815354,0.6953908706512367,0.5148009287815354
average_expenditure,mentions,65,0.5969228135849362,0.6561625874125875,0.5969228135849362
average_expenditure,first_place_votes,65,0.5479790379228924,0.6477272727272727,0.5479790379228924
median_expenditure,mentions,65,0.2005466491179919,0.3865799735017461,0.2005466491179919
median_expenditure,first_place_votes,65,0.1562391274597042,0.39556308929918027,0.1562391274597042
spending_amount_share_micro,mentions,65,-0.4073985445678862,-0.5568181818181819,0.4073985445678862
spending_amount_share_micro,first_place_votes,65,-0.32553838320759937,-0.5690996503496504,0.32553838320759937
spending_amount_share_small,mentions,65,-0.40263657818720944,-0.5562499999999999,0.40263657818720944
spending_amount_share_small,first_place_votes,65,-0.3069730125272829,-0.540340909090909,0.3069730125272829
spending_amount_share_medium,mentions,65,-0.46318488065821567,-0.5676573426573427,0.46318488065821567
spending_amount_share_medium,first_place_votes,65,-0.3716130357668903,-0.5479895104895105,0.3716130357668903
spending_amount_share_large,mentions,65,-0.541134995601248,-0.6045017482517482,0.541134995601248
spending_amount_share_large,first_place_votes,65,-0.4670513188048827,-0.5906905594405594,0.4670513188048827
spending_amount_share_mega,mentions,65,0.5983465740546723,0.6582025951138484,0.5983465740546723
spending_amount_share_mega,first_place_votes,65,0.49795407557367954,0.6381708181463056,0.49795407557367954
spending_count_share_micro,mentions,65,-0.330330605502571,-0.42068227025496,0.330330605502571
spending_count_share_micro,first_place_votes,65,-0.2875974838684987,-0.44008828874776024,0.2875974838684987
spending_count_share_small,mentions,65,0.11020794533412635,0.08776223776223777,0.11020794533412635
spending_count_share_small,first_place_votes,65,0.1617793397650655,0.08334790209790209,0.1617793397650655
spending_count_share_medium,mentions,65,0.010524941491900438,0.044493979337096035,0.010524941491900438
spending_count_share_medium,first_place_votes,65,-0.000904695206212816,0.06018488167699532,0.000904695206212816
spending_count_share_large,mentions,65,-0.019413320393597777,0.08588380555370155,0.019413320393597777
spending_count_share_large,first_place_votes,65,-0.055485804192617186,0.07803844010999193,0.055485804192617186
spending_count_share_mega,mentions,65,0.5858802974708075,0.670462480471033,0.5858802974708075
spending_count_share_mega,first_place_votes,65,0.4895748406982749,0.6644420010545583,0.4895748406982749
