candidate_key,canonical_candidate,district,is_viable,fundraising,mentions,contribution_count,predicted,residual,impossible_prediction,below_money_range,slope_change_if_dropped,district_r_squared,safe_to_interpret
2024|1|timur ender,Timur Ender,1,True,61809.84,16858.0,1260.0,19069.020383270166,-2211.0203832701663,False,False,0.03702551170827491,0.9328102761822203,True
2024|1|terrence hayes,Terrence Hayes,1,True,36108.05,15967.0,963.0,17108.633258449612,-1141.6332584496122,False,False,0.012708447241171442,0.9328102761822203,True
2024|1|loretta smith,Loretta Smith,1,True,43744.96,17984.0,517.0,17808.329765803093,175.67023419690668,False,False,0.0022903549133420982,0.9328102761822203,True
2024|1|deian salazar,Deian Salazar,1,False,1380.0,5262.0,54.0,5205.812703421085,56.187296578915266,False,False,0.0010695126329303254,0.9328102761822203,True
2024|1|noah ernst,Noah Ernst,1,True,12993.18,11606.0,416.0,13381.253542413542,-1775.2535424135422,False,False,0.0036237546822629266,0.9328102761822203,True
2024|1|jamie dunphy,Jamie Dunphy,1,True,35174.53,18470.0,1055.0,17013.108100026933,1456.8918999730668,False,False,0.015848845157644603,0.9328102761822203,True
2024|1|doug clove,Doug Clove,1,False,1505.0,7593.0,13.0,5521.821915829791,2071.1780841702093,False,False,0.03727605070951752,0.9328102761822203,True
2024|1|joe furi,Joe Furi,1,False,813.95,4070.0,11.0,3282.255959099064,787.7440409009359,False,True,0.02066560326221133,0.9328102761822203,False
2024|1|cayle tern,Cayle Tern,1,False,7395.0,9061.0,313.0,11325.946046635927,-2264.946046635927,False,False,0.006082505637497859,0.9328102761822203,True
2024|1|thomas shervey,Thomas Shervey,1,False,1060.0,3507.0,21.0,4244.479924771327,-737.4799247713272,False,True,0.016534683918395167,0.9328102761822203,False
2024|1|steph routh,Steph Routh,1,True,76006.71,20440.0,1975.0,19823.058140312918,616.9418596870819,False,False,0.011831804245042927,0.9328102761822203,True
2024|1|candace avalos,Candace Avalos,1,True,58893.8,22267.0,1494.0,18892.7759820344,3374.2240179656,False,False,0.054671629493436534,0.9328102761822203,True
2024|1|david linn,David Linn,1,False,4776.99,9324.0,130.0,9732.504277931817,-408.50427793181734,False,False,0.0026327955960830946,0.9328102761822203,True
2024|2|chris olson,Chris Olson,2,False,7272.45,7509.0,389.0,8111.090006673025,-602.0900066730246,False,False,0.004448921666059342,0.5613710329946147,True
2024|2|sam sachs,Sam Sachs,2,False,4349.01,2824.0,70.0,4186.971310095658,-1362.9713100956578,False,True,0.015468481079622879,0.5613710329946147,False
2024|2|debbie kitchin,Debbie Kitchin,2,False,34884.88,9088.0,460.0,20079.583614340183,-10991.583614340183,False,False,0.02331875613795184,0.5613710329946147,True
2024|2|laura streib,Laura Streib,2,False,10718.42,4848.0,318.0,11071.636340096142,-6223.636340096142,False,False,0.030042621457835934,0.5613710329946147,True
2024|2|marnie glickman,Marnie Glickman,2,True,34318.0,20718.0,1090.0,19954.520652459527,763.4793475404731,False,False,0.001546466861804299,0.5613710329946147,True
2024|2|nat west,Nat West,2,True,51915.64,30666.0,1649.0,23114.412440530374,7551.587559469626,False,False,0.03408982926856635,0.5613710329946147,True
2024|2|elana pirtle guiney,Elana Pirtle-Guiney,2,True,47039.93,34268.0,615.0,22361.56803538048,11906.431964619522,False,False,0.046512755171827146,0.5613710329946147,True
2024|2|james armstrong,James Armstrong,2,False,25246.18,13504.0,426.0,17611.09448823257,-4107.094488232571,False,False,0.0010135553510473563,0.5613710329946147,True
2024|2|michael mike marshall,Michael (Mike) Marshall,2,False,55074.82,15684.0,663.0,23565.34546305552,-7881.345463055521,False,False,0.03849290816397453,0.5613710329946147,True
2024|2|jennifer park,Jennifer Park,2,False,15950.86,11124.0,418.0,14106.168937921742,-2982.1689379217423,False,False,0.007204251372305608,0.5613710329946147,True
2024|2|will mespelt,Will Mespelt,2,False,1215.0,3884.0,11.0,-5543.018163927605,9427.018163927605,True,True,0.2674919824952564,0.5613710329946147,False
2024|2|mariah hudson,Mariah Hudson,2,True,74201.68,20051.0,1112.0,25840.868542899712,-5789.868542899712,False,False,0.03956083263769708,0.5613710329946147,True
2024|2|sameer kanal,Sameer Kanal,2,True,34711.76,31168.0,1176.0,20041.60737402484,11126.39262597516,False,False,0.023280373336681173,0.5613710329946147,True
2024|2|dan ryan,Dan Ryan,2,True,120133.0,34116.0,1151.0,29518.838336200948,4597.161663799052,False,False,0.04783365316951481,0.5613710329946147,True
2024|2|nabil zaghloul,Nabil Zaghloul,2,False,26484.0,6482.0,1111.0,17976.47400618781,-11494.474006187811,False,False,0.006006952653290147,0.5613710329946147,True
2024|2|bob simril,Bob Simril,2,False,26230.0,11062.0,424.0,17902.91104391597,-6840.91104391597,False,False,0.003195009760486438,0.5613710329946147,True
2024|2|jonathan tasini,Jonathan Tasini,2,True,49453.07,22140.0,717.0,22743.453254387525,-603.4532543875248,False,False,0.0025425767901236717,0.5613710329946147,True
2024|2|tiffani penson,Tiffani Penson,2,True,80381.24,30148.0,853.0,26451.510309320918,3696.489690679082,False,False,0.027295588989124864,0.5613710329946147,True
2024|2|michelle depass,Michelle DePass,2,True,32578.29,32612.0,720.0,19557.39828052897,13054.60171947103,False,False,0.022477100214229787,0.5613710329946147,True
2024|2|reuben berlin,Reuben Berlin,2,False,6309.98,3784.0,81.0,7027.56572767593,-3243.5657276759302,False,False,0.027260472754210275,0.5613710329946147,True
2024|3|angelita morillo,Angelita Morillo,3,True,64641.17,47477.0,2187.0,37092.2152445368,10384.784755463203,False,False,0.06853913615115381,0.7510150526226063,True
2024|3|ahlam k osman,Ahlam K Osman,3,False,9002.06,12133.0,454.0,16034.887521321303,-3901.887521321303,False,False,0.00517506402338852,0.7510150526226063,True
2024|3|steve novick,Steve Novick,3,True,87240.55,51189.0,1193.0,40294.80640276801,10894.193597231992,False,False,0.08940232201631763,0.7510150526226063,True
2024|3|harrison kass,Harrison Kass,3,False,16057.89,9223.0,372.0,22216.503558152108,-12993.503558152108,False,False,0.010512607169163983,0.7510150526226063,True
2024|3|luke zak,Luke Zak,3,False,9730.62,8581.0,473.0,16866.111575889285,-8285.111575889285,False,False,0.008589813191720462,0.7510150526226063,True
2024|3|chris flanary,Chris Flanary,3,False,17826.94,20728.0,442.0,23332.81184555081,-2604.8118455508084,False,False,0.0031169112898642203,0.7510150526226063,True
2024|3|jonathan jon walker,Jonathan (Jon) Walker,3,False,3842.5,8736.0,97.0,6942.624968459044,1793.3750315409561,False,False,0.008464132334170791,0.7510150526226063,True
2024|3|tiffany koyama lane,Tiffany Koyama Lane,3,True,88689.62,45876.0,2848.0,40470.77449035234,5405.225509647658,False,False,0.04486984958362758,0.7510150526226063,True
2024|3|kelly janes kj,Kelly Janes (KJ),3,False,4730.0,2684.0,66.0,9161.83131519401,-6477.831315194009,False,False,0.024848830378104998,0.7510150526226063,True
2024|3|dan gilk,Dan Gilk,3,False,3490.0,3130.0,40.0,5915.074147391802,-2785.0741473918024,False,True,0.014334019080898238,0.7510150526226063,False
2024|3|theo hathaway saner,Theo Hathaway Saner,3,False,7504.99,3525.0,238.0,14092.236891965527,-10567.236891965527,False,False,0.02125240564425239,0.7510150526226063,True
2024|3|jesse cornett,Jesse Cornett,3,True,52912.46,31392.0,1244.0,34953.592908490755,-3561.592908490755,False,False,0.020056399168979392,0.7510150526226063,True
2024|3|matthew matt anderson,Matthew (Matt) Anderson,3,False,710.0,4506.0,6.0,-11082.782433312634,15588.782433312634,True,True,0.24769109581270418,0.7510150526226063,False
2024|3|rex burkholder,Rex Burkholder,3,True,39230.39,29335.0,524.0,31757.76519864345,-2422.7651986434503,False,False,0.010417461397184403,0.7510150526226063,True
2024|3|philippe knab,Philippe Knab,3,False,5115.0,19531.0,47.0,9997.546364597525,9533.453635402475,False,False,0.0335094977861492,0.7510150526226063,True
2024|4|mitch green,Mitch Green,4,True,60464.56,33043.0,1568.0,24641.521214672488,8401.478785327512,False,False,0.04996759513822469,0.37418439783999424,True
2024|4|mike dinapoli,Mike DiNapoli,4,False,7289.0,3001.0,131.0,15078.128287605126,-12077.128287605126,False,False,0.037651446000255134,0.37418439783999424,True
2024|4|moses ross,Moses Ross,4,False,27896.63,5238.0,1021.0,21144.78461726384,-15906.784617263838,False,False,0.040203219345039475,0.37418439783999424,True
2024|4|michael trimble,Michael Trimble,4,False,509.0,1856.0,29.0,3054.3391047959485,-1198.3391047959485,False,True,0.021718797805824266,0.37418439783999424,False
2024|4|andra vltavin,Andra Vltavín,4,False,800.0,6504.0,3.0,5095.110639646122,1408.8893603538781,False,False,0.020713634684777694,0.37418439783999424,True
2024|4|stanley penkin,Stanley Penkin,4,False,61847.0,9570.0,830.0,24743.710342373306,-15173.710342373306,False,False,0.09184090757642803,0.37418439783999424,True
2024|4|eli arnold,Eli Arnold,4,True,50778.15,34636.0,940.0,23852.2992200515,10783.7007799485,False,False,0.05550761660383445,0.37418439783999424,True
2024|4|chad lykins,Chad Lykins,4,True,47007.66,25423.0,962.0,23503.526146403943,1919.4738535960569,False,False,0.009213478154671694,0.37418439783999424,True
2024|4|eric zimmerman,Eric Zimmerman,4,True,41878.55,36731.0,522.0,22981.256151465153,13749.743848534847,False,False,0.058933540436136696,0.37418439783999424,True
2024|4|sarah silkie,Sarah Silkie,4,True,25477.64,32039.0,1017.0,20734.771305400747,11304.228694599253,False,False,0.024219805716411424,0.37418439783999424,True
2024|4|lisa freeman,Lisa Freeman,4,True,25827.58,21644.0,553.0,20796.435966861878,847.5640331381219,False,False,0.0018648874603881258,0.37418439783999424,True
