scope,metric,family,variable,n,pearson_r,r_squared,slope_p_value
District 4,spending_total,Spending total,Total spending ($),19,0.8146378467241803,0.6636348213154086,2.1691857874837716e-05
District 4,spending_count_mega,Spending bin count,Mega expenditure records,19,0.7775049752862652,0.6045139865948956,8.939173432656766e-05
District 4,spending_amount_mega,Spending bin amount,Mega spending amount ($),19,0.771537565716176,0.5952702153112426,0.00010950185900193883
District 4,spending_amount_large,Spending bin amount,Large spending amount ($),19,0.7287956867444784,0.5311431530173556,0.00040101177606821935
District 4,fundraising_total,Fundraising total,Total fundraising ($),17,0.7221600981559784,0.5215152073686523,0.001061463217351941
District 4,fundraising_amount_small,Fundraising bin amount,Small contribution dollars ($),17,0.7169680393779974,0.5140431694895294,0.001199302388952918
District 4,fundraising_count_small,Fundraising bin count,Small contribution records,17,0.6998863617610933,0.48984091937918006,0.0017608714822215273
District 4,fundraising_amount_micro,Fundraising bin amount,Micro contribution dollars ($),17,0.6828391930935499,0.4662693636246503,0.0025204007540130893
District 4,spending_count_large,Spending bin count,Large expenditure records,19,0.6722621334208456,0.4519363760315469,0.0016154828295985722
District 4,spending_count_medium,Spending bin count,Medium expenditure records,19,0.6673409684874972,0.4453439682218304,0.0017990363725822831
District 4,spending_count_share_mega,Spending bin count share,Mega share of expenditure records,19,0.6643435919086759,0.4413524081101212,0.0019191117989439666
District 4,spending_amount_medium,Spending bin amount,Medium spending amount ($),19,0.6625441688516984,0.43896477567938796,0.001994347089703346
District 4,spending_mean,Spending total,Mean expenditure ($),19,0.6449435561081485,0.41595219056542443,0.002868481885485156
District 4,fundraising_count,Fundraising total,Contribution records,17,0.6424194916832354,0.41270280329454645,0.005420394445835172
District 4,fundraising_count_medium,Fundraising bin count,Medium contribution records,17,0.6030028860996797,0.3636124806445433,0.010396928675507271
District 4,fundraising_amount_medium,Fundraising bin amount,Medium contribution dollars ($),17,0.5998643470689532,0.35983723488446173,0.010912230596230154
District 4,spending_amount_small,Spending bin amount,Small spending amount ($),19,0.5495804662760818,0.3020386889122354,0.014789713388745861
District 4,fundraising_amount_large,Fundraising bin amount,Large contribution dollars ($),17,0.5296254862768754,0.28050315571401685,0.028779209975181862
District 4,spending_amount_share_mega,Spending bin share,Mega share of spending dollars,19,0.5288524687064418,0.2796849336568977,0.019906825237136938
District 4,fundraising_amount_share_small,Fundraising bin share,Small share of fundraising dollars,17,0.5282543997882042,0.2790527108955959,0.029272785071041373
District 4,spending_count_small,Spending bin count,Small expenditure records,19,0.5220941007299065,0.2725822500169697,0.021848518809097498
District 4,fundraising_count_large,Fundraising bin count,Large contribution records,17,0.5154753701368586,0.26571485721773136,0.034192488955987976
District 4,spending_count,Spending total,Expenditure records,19,0.514509679378426,0.2647202101740904,0.024202389514130045
District 4,spending_amount_share_medium,Spending bin share,Medium share of spending dollars,19,-0.5135205639796557,0.26370336962998375,0.024523516690908544
District 4,fundraising_count_micro,Fundraising bin count,Micro contribution records,17,0.47526932472158,0.2258809310213069,0.053849718004015716
District 4,spending_amount_share_small,Spending bin share,Small share of spending dollars,19,-0.4739842187771263,0.22466103964976258,0.04034966451018931
