scope,district,finance_variable,n,point_biserial_correlation
all_districts,,total_amount,65,0.7045630283104651
district,1.0,total_amount,13,0.8351113237604977
district,2.0,total_amount,20,0.6694754810457594
district,3.0,total_amount,15,0.9185796073986271
district,4.0,total_amount,17,0.5062201471875487
all_districts,,log_total_fundraising,65,0.6734603017764885
district,1.0,log_total_fundraising,13,0.9125446874607925
district,2.0,log_total_fundraising,20,0.6501023958419078
district,3.0,log_total_fundraising,15,0.8365038109138165
district,4.0,log_total_fundraising,17,0.5421165137145872
all_districts,,total_contribution_count,65,0.682526754838994
district,1.0,total_contribution_count,13,0.7998158773638934
district,2.0,total_contribution_count,20,0.7149961677588834
district,3.0,total_contribution_count,15,0.7942982200159802
district,4.0,total_contribution_count,17,0.5508463355087837
all_districts,,total_spending,58,0.4164569931738106
district,1.0,total_spending,11,0.43270247522897776
district,2.0,total_spending,19,0.7606183437106624
district,3.0,total_spending,12,0.6655112352674151
district,4.0,total_spending,16,0.6137079207493186
all_districts,,log_total_spending,58,0.6723600574457994
district,1.0,log_total_spending,11,0.8942306176999626
district,2.0,log_total_spending,19,0.6205710385244033
district,3.0,log_total_spending,12,0.8210300450692597
district,4.0,log_total_spending,16,0.5746363508360448
all_districts,,expenditure_count,58,0.4675044619603049
district,1.0,expenditure_count,11,0.5428907814987345
district,2.0,expenditure_count,19,0.27507409994770377
district,3.0,expenditure_count,12,0.8996620642700427
district,4.0,expenditure_count,16,0.4325150412846246
