scope,district,raw_finance_variable,model_predictor,n,intercept,slope,std_error,p_value,r_squared
all_districts,,total_amount,log_total_fundraising,65,-1.6825029592787804,0.22046571455831865,0.03048838961373927,7.895610087266111e-10,0.4535487780688794
district,1.0,total_amount,log_total_fundraising,13,-2.0018607144220035,0.27526331068124116,0.03719604282600428,1.3593042723624504e-05,0.8327378066129159
district,2.0,total_amount,log_total_fundraising,20,-2.533527142095025,0.29558541553969564,0.0814312149427612,0.001915528655145443,0.42263312507938866
district,3.0,total_amount,log_total_fundraising,15,-2.433672711279126,0.2923617613981434,0.05311665329526482,0.00010143083903458985,0.6997386256733386
district,4.0,total_amount,log_total_fundraising,17,-0.9610068215494912,0.14859417052290533,0.05947022615458696,0.024572089378534785,0.2938903144420585
all_districts,,total_spending,log_total_spending,58,-1.9425751340681208,0.22038579693450866,0.03242283580647291,7.481556443232199e-09,0.45206804684851853
district,1.0,total_spending,log_total_spending,11,-1.5442470875252416,0.20189648033028754,0.033686381879551495,0.00020414175493762082,0.7996483976320565
district,2.0,total_spending,log_total_spending,19,-3.2033225342472567,0.32884586114106384,0.10078031027996182,0.004581663765748176,0.3851084138552563
district,3.0,total_spending,log_total_spending,12,-2.2601676650954676,0.23990286959019727,0.05275030956708478,0.001061725795028686,0.6740903349064307
district,4.0,total_spending,log_total_spending,16,-1.8696594899068557,0.21515244818917478,0.08189539876973236,0.01989625887321974,0.3302069357021655
