year,district,candidate_key,total_amount,total_record_count,mean_amount,median_amount,bin_amount_micro,bin_count_micro,bin_amount_share_micro,bin_count_share_micro,bin_amount_small,bin_count_small,bin_amount_share_small,bin_count_share_small,bin_amount_medium,bin_count_medium,bin_amount_share_medium,bin_count_share_medium,bin_amount_large,bin_count_large,bin_amount_share_large,bin_count_share_large,bin_amount_mega,bin_count_mega,bin_amount_share_mega,bin_count_share_mega,cash_amount,cash_count,cash_amount_share,cash_count_share,in_kind_amount,in_kind_count,in_kind_amount_share,in_kind_count_share,cash_bin_amount_micro,cash_bin_count_micro,cash_bin_amount_share_micro,cash_bin_count_share_micro,cash_bin_amount_small,cash_bin_count_small,cash_bin_amount_share_small,cash_bin_count_share_small,cash_bin_amount_medium,cash_bin_count_medium,cash_bin_amount_share_medium,cash_bin_count_share_medium,cash_bin_amount_large,cash_bin_count_large,cash_bin_amount_share_large,cash_bin_count_share_large,cash_bin_amount_mega,cash_bin_count_mega,cash_bin_amount_share_mega,cash_bin_count_share_mega,in_kind_bin_amount_micro,in_kind_bin_count_micro,in_kind_bin_amount_share_micro,in_kind_bin_count_share_micro,in_kind_bin_amount_small,in_kind_bin_count_small,in_kind_bin_amount_share_small,in_kind_bin_count_share_small,in_kind_bin_amount_medium,in_kind_bin_count_medium,in_kind_bin_amount_share_medium,in_kind_bin_count_share_medium,in_kind_bin_amount_large,in_kind_bin_count_large,in_kind_bin_amount_share_large,in_kind_bin_count_share_large,in_kind_bin_amount_mega,in_kind_bin_count_mega,in_kind_bin_amount_share_mega,in_kind_bin_count_share_mega,individual_amount,individual_count,individual_amount_share,individual_count_share,business_amount,business_count,business_amount_share,business_count_share,individual_bin_amount_micro,individual_bin_count_micro,individual_bin_amount_share_micro,individual_bin_count_share_micro,individual_bin_amount_small,individual_bin_count_small,individual_bin_amount_share_small,individual_bin_count_share_small,individual_bin_amount_medium,individual_bin_count_medium,individual_bin_amount_share_medium,individual_bin_count_share_medium,individual_bin_amount_large,individual_bin_count_large,individual_bin_amount_share_large,individual_bin_count_share_large,individual_bin_amount_mega,individual_bin_count_mega,individual_bin_amount_share_mega,individual_bin_count_share_mega,business_bin_amount_micro,business_bin_count_micro,business_bin_amount_share_micro,business_bin_count_share_micro,business_bin_amount_small,business_bin_count_small,business_bin_amount_share_small,business_bin_count_share_small,business_bin_amount_medium,business_bin_count_medium,business_bin_amount_share_medium,business_bin_count_share_medium,business_bin_amount_large,business_bin_count_large,business_bin_amount_share_large,business_bin_count_share_large,business_bin_amount_mega,business_bin_count_mega,business_bin_amount_share_mega,business_bin_count_share_mega,same_district_eligible_count,same_district_count,same_district_share,portland_eligible_count,portland_count,portland_share,oregon_eligible_count,oregon_count,oregon_share,same_district_bin_count_micro,same_district_bin_count_share_micro,same_district_bin_count_small,same_district_bin_count_share_small,same_district_bin_count_medium,same_district_bin_count_share_medium,same_district_bin_count_large,same_district_bin_count_share_large,same_district_bin_count_mega,same_district_bin_count_share_mega,portland_bin_count_micro,portland_bin_count_share_micro,portland_bin_count_small,portland_bin_count_share_small,portland_bin_count_medium,portland_bin_count_share_medium,portland_bin_count_large,portland_bin_count_share_large,portland_bin_count_mega,portland_bin_count_share_mega,oregon_bin_count_micro,oregon_bin_count_share_micro,oregon_bin_count_small,oregon_bin_count_share_small,oregon_bin_count_medium,oregon_bin_count_share_medium,oregon_bin_count_large,oregon_bin_count_share_large,oregon_bin_count_mega,oregon_bin_count_share_mega,canonical_candidate
2024,1,2024|1|candace avalos,58893.8,1494,39.42021419009371,20.0,15993.76,1081,0.27156950307163064,0.7235609103078983,22049.96,353,0.37440205929996023,0.2362784471218206,7116.39,33,0.12083428136747841,0.02208835341365462,9946.04,25,0.16888093483524583,0.01673360107095047,3787.65,2,0.06431322142568488,0.0013386880856760374,52031.0,1471,0.8834716048208809,0.9846050870147256,5286.49,19.0,0.08976309900193229,0.012717536813922356,15993.76,1081,0.30738905652399534,0.7348742352141401,21238.93,338,0.4081976129615037,0.22977566281441197,6699.31,31,0.12875612615556112,0.02107409925220938,8099.0,21,0.15565720435893987,0.014276002719238613,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,759.7199999999999,14.0,0.14370972043832486,0.7368421052631579,167.08,1.0,0.03160509146900874,0.05263157894736842,572.04,2.0,0.10820790354280439,0.10526315789473684,3787.65,2.0,0.716477284549862,0.10526315789473684,48981.0,1462,0.8316834709256322,0.9785809906291834,676.31,3.0,0.011483551749080547,0.002008032128514056,15993.76,1081,0.32652987893264734,0.7393980848153214,21138.93,337,0.43157407974520734,0.23050615595075238,5949.31,28,0.12146158714603622,0.019151846785225718,5899.0,16,0.12043445417610911,0.01094391244870041,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,151.31,2.0,0.22372876343688547,0.6666666666666666,0.0,0.0,0.0,0.0,525.0,1.0,0.7762712365631146,0.3333333333333333,0.0,0.0,0.0,0.0,740.0,76.0,0.10270270270270271,740.0,595.0,0.8040540540540541,1494,1293,0.8654618473895582,49.0,0.6447368421052632,26.0,0.34210526315789475,1.0,0.013157894736842105,0.0,0.0,0.0,0.0,376.0,0.6319327731092437,186.0,0.3126050420168067,20.0,0.03361344537815126,13.0,0.021848739495798318,0.0,0.0,925,0.7153905645784996,316,0.24439288476411447,31,0.02397525135344161,20,0.015467904098994586,1,0.0007733952049497294,Candace Avalos
2024,1,2024|1|cayle tern,7395.0,313,23.62619808306709,10.0,3135.0,261,0.4239350912778905,0.8338658146964856,3160.0,48,0.427315753887762,0.15335463258785942,750.0,3,0.10141987829614604,0.009584664536741214,350.0,1,0.04732927653820149,0.003194888178913738,0.0,0,0.0,0.0,7395.0,313,1.0,1.0,0.0,0.0,0.0,0.0,3135.0,261,0.4239350912778905,0.8338658146964856,3160.0,48,0.427315753887762,0.15335463258785942,750.0,3,0.10141987829614604,0.009584664536741214,350.0,1,0.04732927653820149,0.003194888178913738,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,7145.0,312,0.9661933739012847,0.9968051118210862,0.0,0.0,0.0,0.0,3135.0,261,0.43876836948915326,0.8365384615384616,3160.0,48,0.44226731980405876,0.15384615384615385,500.0,2,0.06997900629811056,0.00641025641025641,350.0,1,0.0489853044086774,0.003205128205128205,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,260.0,140.0,0.5384615384615384,260.0,191.0,0.7346153846153847,313,304,0.9712460063897763,127.0,0.9071428571428571,13.0,0.09285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.8691099476439791,23.0,0.12041884816753927,2.0,0.010471204188481676,0.0,0.0,0.0,0.0,257,0.8453947368421053,43,0.14144736842105263,3,0.009868421052631578,1,0.003289473684210526,0,0.0,Cayle Tern
2024,1,2024|1|david linn,4776.99,130,36.74607692307692,20.0,1272.0,91,0.2662764627935164,0.7,2200.0,34,0.4605410520013649,0.26153846153846155,805.0,4,0.1685161576641358,0.03076923076923077,499.99,1,0.10466632754098293,0.007692307692307693,0.0,0,0.0,0.0,4776.99,130,1.0,1.0,0.0,0.0,0.0,0.0,1272.0,91,0.2662764627935164,0.7,2200.0,34,0.4605410520013649,0.26153846153846155,805.0,4,0.1685161576641358,0.03076923076923077,499.99,1,0.10466632754098293,0.007692307692307693,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,4242.0,126,0.888006882995359,0.9692307692307692,0.0,0.0,0.0,0.0,1237.0,88,0.2916077322017916,0.6984126984126984,2200.0,34,0.5186232909005186,0.2698412698412698,805.0,4,0.18976897689768976,0.031746031746031744,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,101.0,37.0,0.36633663366336633,101.0,79.0,0.7821782178217822,130,128,0.9846153846153847,19.0,0.5135135135135135,15.0,0.40540540540540543,3.0,0.08108108108108109,0.0,0.0,0.0,0.0,50.0,0.6329113924050633,25.0,0.31645569620253167,3.0,0.0379746835443038,1.0,0.012658227848101266,0.0,0.0,91,0.7109375,32,0.25,4,0.03125,1,0.0078125,0,0.0,David Linn
2024,1,2024|1|deian salazar,1380.0,54,25.555555555555557,20.0,485.0,41,0.35144927536231885,0.7592592592592593,695.0,12,0.5036231884057971,0.2222222222222222,200.0,1,0.14492753623188406,0.018518518518518517,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1380.0,54,1.0,1.0,0.0,0.0,0.0,0.0,485.0,41,0.35144927536231885,0.7592592592592593,695.0,12,0.5036231884057971,0.2222222222222222,200.0,1,0.14492753623188406,0.018518518518518517,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,1380.0,54,1.0,1.0,0.0,0.0,0.0,0.0,485.0,41,0.35144927536231885,0.7592592592592593,695.0,12,0.5036231884057971,0.2222222222222222,200.0,1,0.14492753623188406,0.018518518518518517,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,41.0,9.0,0.21951219512195122,41.0,35.0,0.8536585365853658,54,51,0.9444444444444444,8.0,0.8888888888888888,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.7714285714285715,8.0,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,41,0.803921568627451,10,0.19607843137254902,0,0.0,0,0.0,0,0.0,Deian Salazar
2024,1,2024|1|doug clove,1505.0,13,115.76923076923077,20.0,125.0,8,0.08305647840531562,0.6153846153846154,150.0,2,0.09966777408637874,0.15384615384615385,250.0,1,0.16611295681063123,0.07692307692307693,980.0,2,0.6511627906976745,0.15384615384615385,0.0,0,0.0,0.0,1505.0,13,1.0,1.0,0.0,0.0,0.0,0.0,125.0,8,0.08305647840531562,0.6153846153846154,150.0,2,0.09966777408637874,0.15384615384615385,250.0,1,0.16611295681063123,0.07692307692307693,980.0,2,0.6511627906976745,0.15384615384615385,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,1505.0,13,1.0,1.0,0.0,0.0,0.0,0.0,125.0,8,0.08305647840531562,0.6153846153846154,150.0,2,0.09966777408637874,0.15384615384615385,250.0,1,0.16611295681063123,0.07692307692307693,980.0,2,0.6511627906976745,0.15384615384615385,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,13,13,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,8,0.6153846153846154,2,0.15384615384615385,1,0.07692307692307693,2,0.15384615384615385,0,0.0,Doug Clove
2024,1,2024|1|jamie dunphy,35174.53,1055,33.34078672985782,10.0,10663.76,860,0.30316709277991777,0.8151658767772512,9286.52,151,0.2640126250443148,0.14312796208530806,4765.0,22,0.13546733957781384,0.02085308056872038,8168.0,21,0.23221347946937743,0.01990521327014218,2291.25,1,0.06513946312857627,0.0009478672985781991,32417.76,1050,0.9216259606027429,0.995260663507109,2350.01,2.0,0.06680999006951906,0.0018957345971563982,10663.76,860,0.32894808277931603,0.819047619047619,9036.0,148,0.2787361002117358,0.14095238095238094,4550.0,21,0.14035516334256284,0.02,8168.0,21,0.25196065366638537,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,58.76,1.0,0.025004148918515236,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2291.25,1.0,0.9749958510814847,0.5,29277.76,1042,0.8323568218253378,0.9876777251184834,406.76,3.0,0.011564049327737996,0.002843601895734597,10663.76,860,0.3642273179368914,0.8253358925143954,9036.0,148,0.3086301684281858,0.1420345489443378,4550.0,21,0.15540806400489657,0.02015355086372361,5028.0,13,0.17173444963002635,0.012476007677543186,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,191.76,2.0,0.47143278591798604,0.6666666666666666,215.0,1.0,0.528567214082014,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,49.0,0.11448598130841121,428.0,346.0,0.8084112149532711,1055,984,0.9327014218009478,44.0,0.8979591836734694,3.0,0.061224489795918366,0.0,0.0,2.0,0.04081632653061224,0.0,0.0,273.0,0.7890173410404624,60.0,0.17341040462427745,6.0,0.017341040462427744,7.0,0.02023121387283237,0.0,0.0,813,0.8262195121951219,137,0.13922764227642276,16,0.016260162601626018,17,0.017276422764227643,1,0.0010162601626016261,Jamie Dunphy
2024,1,2024|1|joe furi,813.95,11,73.99545454545455,31.86,9.96,4,0.012236623871245163,0.36363636363636365,303.99,6,0.37347502917869646,0.5454545454545454,0.0,0,0.0,0.0,500.0,1,0.6142883469500583,0.09090909090909091,0.0,0,0.0,0.0,500.0,1,0.6142883469500583,0.09090909090909091,313.95,10.0,0.3857116530499416,0.9090909090909091,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,500.0,1,1.0,1.0,0.0,0,0.0,0.0,9.96,4.0,0.03172479694218825,0.4,303.99,6.0,0.9682752030578118,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.46,10,0.9969408440321887,0.9090909090909091,0.0,0.0,0.0,0.0,7.470000000000001,3,0.00920562935942622,0.3,303.99,6,0.37462105340990315,0.6,0.0,0,0.0,0.0,500.0,1,0.6161733172306706,0.1,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,9.0,9.0,1.0,9.0,9.0,1.0,11,11,1.0,3.0,0.3333333333333333,5.0,0.5555555555555556,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,3.0,0.3333333333333333,5.0,0.5555555555555556,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,4,0.36363636363636365,6,0.5454545454545454,0,0.0,1,0.09090909090909091,0,0.0,Joe Furi
2024,1,2024|1|loretta smith,43744.96,517,84.61307543520309,25.0,5887.0,286,0.13457550309795688,0.5531914893617021,10725.0,144,0.2451711008536755,0.27852998065764023,8028.0,36,0.18351828416347848,0.06963249516441006,19104.96,51,0.4367351118848891,0.09864603481624758,0.0,0,0.0,0.0,43165.0,514,0.9867422441350958,0.9941972920696325,281.98,1.0,0.006445999722025121,0.0019342359767891683,5872.0,285,0.1360361403915209,0.5544747081712063,10725.0,144,0.24846519170624348,0.2801556420233463,8028.0,36,0.1859840148268273,0.07003891050583658,18540.0,49,0.4295146530754083,0.09533073929961089,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.98,1.0,1.0,1.0,0.0,0.0,0.0,0.0,41375.0,508,0.9458232445520581,0.9825918762088974,497.98,3.0,0.01138371140355369,0.005802707930367505,5872.0,285,0.1419214501510574,0.5610236220472441,10725.0,144,0.259214501510574,0.28346456692913385,7328.0,33,0.17711178247734138,0.06496062992125984,17450.0,46,0.4217522658610272,0.09055118110236221,0.0,0,0.0,0.0,15.0,1.0,0.030121691634202176,0.3333333333333333,0.0,0.0,0.0,0.0,200.0,1.0,0.4016225551226957,0.3333333333333333,282.98,1.0,0.5682557532431022,0.3333333333333333,0.0,0.0,0.0,0.0,160.0,25.0,0.15625,160.0,125.0,0.78125,517,491,0.9497098646034816,17.0,0.68,6.0,0.24,0.0,0.0,2.0,0.08,0.0,0.0,76.0,0.608,33.0,0.264,6.0,0.048,10.0,0.08,0.0,0.0,279,0.5682281059063137,135,0.27494908350305497,33,0.06720977596741344,44,0.08961303462321792,0,0.0,Loretta Smith
2024,1,2024|1|noah ernst,12993.18,416,31.23360576923077,20.0,4620.0,337,0.3555711534820575,0.8100961538461539,3870.0,66,0.29784856363107415,0.15865384615384615,1150.0,5,0.08850797110484115,0.01201923076923077,3353.18,8,0.25807231178202716,0.019230769230769232,0.0,0,0.0,0.0,12190.0,415,0.9381844937113162,0.9975961538461539,0.0,0.0,0.0,0.0,4620.0,337,0.37899917965545526,0.8120481927710843,3870.0,66,0.31747333880229694,0.15903614457831325,1150.0,5,0.09433962264150944,0.012048192771084338,2550.0,7,0.20918785890073832,0.016867469879518072,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,11940.0,414,0.9189436304276551,0.9951923076923077,803.18,1.0,0.06181550628868375,0.002403846153846154,4620.0,337,0.3869346733668342,0.8140096618357487,3870.0,66,0.3241206030150754,0.15942028985507245,900.0,4,0.07537688442211055,0.00966183574879227,2550.0,7,0.2135678391959799,0.016908212560386472,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,120.0,17.0,0.14166666666666666,120.0,91.0,0.7583333333333333,416,401,0.9639423076923077,12.0,0.7058823529411765,4.0,0.23529411764705882,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,72.0,0.7912087912087912,18.0,0.1978021978021978,0.0,0.0,1.0,0.01098901098901099,0.0,0.0,331,0.8254364089775561,58,0.14463840399002495,5,0.012468827930174564,7,0.017456359102244388,0,0.0,Noah Ernst
2024,1,2024|1|steph routh,76006.71,1975,38.48441012658228,20.24,21762.91,1422,0.2863287991283927,0.72,31332.8,471,0.412237287997336,0.23848101265822785,10701.0,51,0.1407902012861759,0.025822784810126582,12210.0,31,0.1606437115880953,0.01569620253164557,0.0,0,0.0,0.0,75969.48,1973,0.9995101748253541,0.9989873417721519,0.0,0.0,0.0,0.0,21759.48,1421,0.28642396920447527,0.7202230106436898,31299.0,470,0.41199439564414553,0.2382159148504815,10701.0,51,0.14085919766727376,0.025848960973137353,12210.0,31,0.16072243748410547,0.015712113532691332,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,73469.48,1965,0.9666183419858587,0.9949367088607595,37.23,2.0,0.0004898251746457647,0.0010126582278481013,21759.48,1421,0.29617032814169914,0.7231552162849872,31299.0,470,0.42601363178288454,0.23918575063613232,9901.0,47,0.13476344190812295,0.02391857506361323,10510.0,27,0.14305259816729343,0.013740458015267175,0.0,0,0.0,0.0,3.43,1.0,0.09213000268600592,0.5,33.8,1.0,0.9078699973139941,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1238.0,134.0,0.10823909531502424,1238.0,1043.0,0.8424878836833603,1975,1811,0.9169620253164557,104.0,0.7761194029850746,28.0,0.208955223880597,1.0,0.007462686567164179,1.0,0.007462686567164179,0.0,0.0,688.0,0.6596356663470757,311.0,0.2981783317353787,28.0,0.026845637583892617,16.0,0.015340364333652923,0.0,0.0,1314,0.725565985643291,423,0.23357261181667588,43,0.023743787962451683,31,0.017117614577581448,0,0.0,Steph Routh
