source,year_filter,district_filter,outcome,feature,family,measure,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
OpenElections contributions,2024,all,first_place_votes,individual_bin_amount_small,individual_business_bins,dollar amount,65,0.7932855160482669,3.3220388010730493e-15,0.7736838656538363,4.175883126114202e-14,0.7932855160482669,0.7736838656538363,1.5174130296563867e-13,1.1938902161965589e-12
OpenElections contributions,2024,all,first_place_votes,cash_bin_amount_small,cash_in_kind_bins,dollar amount,65,0.7928205722206689,3.5386309223718782e-15,0.7773989818067373,2.6360898473178982e-14,0.7928205722206689,0.7773989818067373,1.5174130296563867e-13,1.1938902161965589e-12
OpenElections contributions,2024,all,first_place_votes,bin_amount_small,overall_bins,dollar amount,65,0.792593707922005,3.649172552920469e-15,0.7737846786375229,4.124552138349973e-14,0.792593707922005,0.7737846786375229,1.5174130296563867e-13,1.1938902161965589e-12
OpenElections contributions,2024,all,first_place_votes,oregon_bin_count_small,geography_bins,record count,65,0.7913175327976805,4.335465799018248e-15,0.7707488754478712,5.969451080982795e-14,0.7913175327976805,0.7707488754478712,1.5174130296563867e-13,1.1938902161965589e-12
OpenElections contributions,2024,all,first_place_votes,individual_bin_count_small,individual_business_bins,record count,65,0.7811914426335405,1.6331575868902695e-14,0.7717020748082162,5.3184694648221724e-14,0.7811914426335405,0.7717020748082162,3.896178295380765e-13,1.1938902161965589e-12
OpenElections contributions,2024,all,first_place_votes,cash_bin_count_small,cash_in_kind_bins,record count,65,0.781017372646036,1.669790698020328e-14,0.7757537382754547,3.235233210495887e-14,0.781017372646036,0.7757537382754547,3.896178295380765e-13,1.1938902161965589e-12
OpenElections contributions,2024,all,first_place_votes,bin_count_small,overall_bins,record count,65,0.7797870412784569,1.9521183579722797e-14,0.7728082371564412,4.648236662122728e-14,0.7797870412784569,0.7728082371564412,3.9042367159445594e-13,1.1938902161965589e-12
OpenElections contributions,2024,all,first_place_votes,total_amount,scale,dollar amount,65,0.7517739645478205,5.329761374249666e-13,0.7642045454545454,1.2997353015366883e-13,0.7517739645478205,0.7642045454545454,9.327082404936915e-12,2.1938456530138163e-12
OpenElections contributions,2024,all,first_place_votes,individual_amount,individual_business,dollar amount,65,0.7459237537792749,1.0065573867207943e-12,0.7635052447552447,1.4103293483660246e-13,0.7459237537792749,0.7635052447552447,1.5377671757310397e-11,2.1938456530138163e-12
OpenElections contributions,2024,all,first_place_votes,cash_amount,cash_in_kind,dollar amount,65,0.7451076849001602,1.098405125522171e-12,0.7588723776223776,2.4057234282114816e-13,0.7451076849001602,0.7588723776223776,1.5377671757310397e-11,3.3680127994960744e-12
