source,year_filter,district_filter,outcome,feature,family,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
OpenElections contributions,2024,all,mentions,total_amount,scale,65,0.7790646758026676,2.1386397425025693e-14,0.8002622377622377,1.2624387270053054e-15,0.7790646758026676,0.8002622377622377,3.778263545087872e-13,1.9116929294651768e-14
OpenElections contributions,2024,all,mentions,total_record_count,scale,65,0.7248594595758724,8.672802125151255e-12,0.7546522439280737,3.8729111573828956e-13,0.7248594595758724,0.7546522439280737,8.927265732424881e-11,2.864932674012396e-12
OpenElections contributions,2024,all,mentions,mean_amount,scale,65,-0.027968470622640185,0.8249701670291236,0.07591783216783217,0.5477990671596614,0.027968470622640185,0.07591783216783217,0.9402885774740548,0.6380956166914737
OpenElections contributions,2024,all,mentions,median_amount,scale,65,-0.03571924775148602,0.7775753107846112,0.05659842279689858,0.654285689179157,0.03571924775148602,0.05659842279689858,0.9057470653095471,0.7224404484686525
OpenElections contributions,2024,all,mentions,bin_amount_micro,overall_bins,65,0.6959553867292956,1.2308163536475614e-10,0.7625957451913409,1.5677073487498294e-13,0.6959553867292956,0.7625957451913409,8.154158342915095e-10,1.51069980879529e-12
OpenElections contributions,2024,all,mentions,bin_amount_share_micro,overall_bins,65,-0.128138550657581,0.30903841158618905,-0.043356643356643354,0.7316501372192362,0.128138550657581,0.043356643356643354,0.46138129053712734,0.7906867936182762
OpenElections contributions,2024,all,mentions,bin_count_micro,overall_bins,65,0.6199480193671272,3.650899511296814e-08,0.666236874381368,1.3865009611202067e-09,0.6199480193671272,0.666236874381368,1.484923858832149e-07,4.514912604672805e-09
OpenElections contributions,2024,all,mentions,bin_count_share_micro,overall_bins,65,-0.07897930644527265,0.5317252670602689,-0.13181818181818183,0.29523466340978,0.07897930644527265,0.13181818181818183,0.6958380038072655,0.37704667857152624
OpenElections contributions,2024,all,mentions,bin_amount_small,overall_bins,65,0.8027840192743338,8.815300584842489e-16,0.8192834275339114,7.348436720098284e-17,0.8027840192743338,0.8192834275339114,3.079616691139067e-14,3.1565112072514326e-15
OpenElections contributions,2024,all,mentions,bin_amount_share_small,overall_bins,65,0.1656576143566725,0.18723840661591903,0.2175262237762238,0.08174786495413348,0.1656576143566725,0.2175262237762238,0.33078785168812364,0.13129202553239622
OpenElections contributions,2024,all,mentions,bin_count_small,overall_bins,65,0.8008468382446516,1.162119506090214e-15,0.8187689204725238,7.970383209529778e-17,0.8008468382446516,0.8187689204725238,3.079616691139067e-14,3.1565112072514326e-15
OpenElections contributions,2024,all,mentions,bin_count_share_small,overall_bins,65,0.1630690962747799,0.19432073793618165,0.20255903147004065,0.10561523473714567,0.1630690962747799,0.20255903147004065,0.33222577776185896,0.15548909558524224
OpenElections contributions,2024,all,mentions,bin_amount_medium,overall_bins,65,0.659017494989494,2.397171086389218e-09,0.7678080384467321,8.494704103936695e-14,0.659017494989494,0.7678080384467321,1.2705006757862855e-08,9.004386350172897e-13
OpenElections contributions,2024,all,mentions,bin_amount_share_medium,overall_bins,65,0.08911023259108773,0.48025283954109943,0.24428415884103225,0.04986859667824775,0.08911023259108773,0.24428415884103225,0.6363350123919567,0.08810118746490436
OpenElections contributions,2024,all,mentions,bin_count_medium,overall_bins,65,0.6686002978956087,1.1551912197464086e-09,0.7685750899971967,7.75180409270962e-14,0.6686002978956087,0.7685750899971967,6.444751015427333e-09,9.004386350172897e-13
OpenElections contributions,2024,all,mentions,bin_count_share_medium,overall_bins,65,0.000932904899226164,0.9941153512010402,0.2770084991918204,0.025490173616308103,0.000932904899226164,0.2770084991918204,0.9941153512010402,0.04824925720229748
OpenElections contributions,2024,all,mentions,bin_amount_large,overall_bins,65,0.5541263027737835,1.6785995735017482e-06,0.6991538874893062,9.320053533491473e-11,0.5541263027737835,0.6991538874893062,5.739727573909204e-06,3.658983979815171e-10
OpenElections contributions,2024,all,mentions,bin_amount_share_large,overall_bins,65,-0.06892044447390164,0.5853943839526914,0.018367885888297623,0.8845328509556257,0.06892044447390164,0.018367885888297623,0.730021231752768,0.9007384832305401
OpenElections contributions,2024,all,mentions,bin_count_large,overall_bins,65,0.5557636076217318,1.541179125135169e-06,0.7083087317441387,4.1195028514759804e-11,0.5557636076217318,0.7083087317441387,5.4454995754775975e-06,1.9848513738929723e-10
OpenElections contributions,2024,all,mentions,bin_count_share_large,overall_bins,65,-0.07018148669438481,0.5785334279605417,0.1165048762057735,0.35537201771377697,0.07018148669438481,0.1165048762057735,0.730021231752768,0.4280617486097768
OpenElections contributions,2024,all,mentions,bin_amount_mega,overall_bins,65,0.25321866738778287,0.041830581679267,0.290165987600191,0.01904285774698418,0.25321866738778287,0.290165987600191,0.09049064608167963,0.03958768472468
OpenElections contributions,2024,all,mentions,bin_amount_share_mega,overall_bins,65,0.26411756732383246,0.03350522957783216,0.28892148300243087,0.019586209618539508,0.26411756732383246,0.28892148300243087,0.08071714398295929,0.03958768472468
OpenElections contributions,2024,all,mentions,bin_count_mega,overall_bins,65,0.2268916756418765,0.06913301281948227,0.2868046579539747,0.02054077980997547,0.2268916756418765,0.2868046579539747,0.13570554368268742,0.03958768472468
OpenElections contributions,2024,all,mentions,bin_count_share_mega,overall_bins,65,0.2566660057780698,0.03903011133214717,0.2896781933851513,0.01925427680755342,0.2566660057780698,0.2896781933851513,0.08802535747250212,0.03958768472468
OpenElections contributions,2024,all,mentions,cash_amount,cash_in_kind,65,0.7669809217031174,9.372087293951319e-14,0.795979020979021,2.296715304147864e-15,0.7669809217031174,0.795979020979021,1.3549552204667933e-12,3.04314777799592e-14
OpenElections contributions,2024,all,mentions,cash_amount_share,cash_in_kind,65,-0.019110154872723994,0.8799005626536947,-0.20815192373079702,0.09613397003868104,0.019110154872723994,0.20815192373079702,0.9464257618272381,0.1455742974871456
OpenElections contributions,2024,all,mentions,cash_count,cash_in_kind,65,0.7247225133036665,8.789379273836038e-12,0.75558080840184,3.490556939157729e-13,0.7247225133036665,0.75558080840184,8.927265732424881e-11,2.864932674012396e-12
OpenElections contributions,2024,all,mentions,cash_count_share,cash_in_kind,65,0.11265777372440035,0.3715886484685919,-0.11994665192648805,0.34123955497540187,0.11265777372440035,0.11994665192648805,0.5322756315901452,0.420597591016193
OpenElections contributions,2024,all,mentions,in_kind_amount,cash_in_kind,65,0.29738573084392994,0.016137861981413575,0.5446592966281564,2.7265337557064897e-06,0.29738573084392994,0.5446592966281564,0.04172227731780095,7.410578925766357e-06
OpenElections contributions,2024,all,mentions,in_kind_amount_share,cash_in_kind,65,0.1023380419195023,0.4172511104361292,0.4974918976560041,2.4850778597213833e-05,0.1023380419195023,0.4974918976560041,0.5897149027497294,6.424835442206503e-05
OpenElections contributions,2024,all,mentions,in_kind_count,cash_in_kind,65,0.3287136480048601,0.007506709241726278,0.5623016176025152,1.0907943976321452e-06,0.3287136480048601,0.5623016176025152,0.02040285075956373,3.0427422670791423e-06
OpenElections contributions,2024,all,mentions,in_kind_count_share,cash_in_kind,65,-0.11748149974905023,0.35132571230401444,0.4915878109328492,3.204346135855675e-05,0.11748149974905023,0.4915878109328492,0.5101441849893908,8.087159295254799e-05
OpenElections contributions,2024,all,mentions,cash_bin_count_micro,cash_in_kind_bins,65,0.6188410754827804,3.9224403818207715e-08,0.6653627198522315,1.482716467709316e-09,0.6188410754827804,0.6653627198522315,1.484923858832149e-07,4.622586634623162e-09
OpenElections contributions,2024,all,mentions,cash_bin_count_share_micro,cash_in_kind_bins,65,-0.0497619664539837,0.6938369664070921,-0.14873414264592694,0.23702463578447286,0.0497619664539837,0.14873414264592694,0.83575816408127,0.3140576424144265
OpenElections contributions,2024,all,mentions,cash_bin_count_small,cash_in_kind_bins,65,0.8012756973238782,1.0934411602017783e-15,0.8180437364037264,8.933522284673866e-17,0.8012756973238782,0.8180437364037264,3.079616691139067e-14,3.1565112072514326e-15
OpenElections contributions,2024,all,mentions,cash_bin_count_share_small,cash_in_kind_bins,65,0.2586531928462644,0.037487665215265226,0.2893201338132683,0.019410737613496768,0.2586531928462644,0.2893201338132683,0.08638461984387204,0.03958768472468
OpenElections contributions,2024,all,mentions,cash_bin_count_medium,cash_in_kind_bins,65,0.6539085144947112,3.5003986300889533e-09,0.7509181802994065,5.855650212700178e-13,0.6539085144947112,0.7509181802994065,1.686555703588314e-08,3.879368265913868e-12
OpenElections contributions,2024,all,mentions,cash_bin_count_share_medium,cash_in_kind_bins,65,-0.00531252297078387,0.9664985782240662,0.25781703211295837,0.038130405680576226,0.00531252297078387,0.25781703211295837,0.9850850893437597,0.0709091754761593
OpenElections contributions,2024,all,mentions,cash_bin_count_large,cash_in_kind_bins,65,0.5508817095943904,1.985523975103549e-06,0.7050797780984928,5.5136387353300993e-11,0.5508817095943904,0.7050797780984928,6.434668847031365e-06,2.3623483764387035e-10
OpenElections contributions,2024,all,mentions,cash_bin_count_share_large,cash_in_kind_bins,65,-0.13909683056834002,0.2691347288744476,0.12162297497545439,0.334485328721204,0.13909683056834002,0.12162297497545439,0.43224668576805225,0.41712288052291324
OpenElections contributions,2024,all,mentions,in_kind_bin_count_micro,cash_in_kind_bins,65,0.13249844208380174,0.29272759600744924,0.23247862849438725,0.06238396970334544,0.13249844208380174,0.23247862849438725,0.4455156994883388,0.10665646433152608
OpenElections contributions,2024,all,mentions,in_kind_bin_count_share_micro,cash_in_kind_bins,28,-0.18658653260479618,0.34175991174566445,-0.04085371756775068,0.8364726750868301,0.18658653260479618,0.04085371756775068,0.5031465367366726,0.8692755250902352
OpenElections contributions,2024,all,mentions,in_kind_bin_count_small,cash_in_kind_bins,65,0.25328905329203094,0.041771786751043996,0.4700261127577681,7.800440255579915e-05,0.25328905329203094,0.4700261127577681,0.09049064608167963,0.00019228992257941185
OpenElections contributions,2024,all,mentions,in_kind_bin_count_share_small,cash_in_kind_bins,28,0.36171094172047713,0.05857893755801528,0.2820206285489884,0.14595211004748665,0.36171094172047713,0.2820206285489884,0.11941091117595422,0.20487739879616237
OpenElections contributions,2024,all,mentions,in_kind_bin_count_medium,cash_in_kind_bins,65,0.3637156134119528,0.0028994892671228684,0.5030448718620433,1.948185417582323e-05,0.3637156134119528,0.5030448718620433,0.008088049008290106,5.162691356593156e-05
OpenElections contributions,2024,all,mentions,in_kind_bin_count_share_medium,cash_in_kind_bins,28,0.11456805924772112,0.561567767699276,0.17863670284274155,0.36308299781837944,0.11456805924772112,0.17863670284274155,0.7259290655624786,0.43243592998593505
OpenElections contributions,2024,all,mentions,in_kind_bin_count_large,cash_in_kind_bins,65,0.19885229610652383,0.11228748644334882,0.24851422625037384,0.04591813235493645,0.19885229610652383,0.24851422625037384,0.21140775677367313,0.08391934533833213
OpenElections contributions,2024,all,mentions,in_kind_bin_count_share_large,cash_in_kind_bins,28,-0.44479435571190395,0.01771042069137982,-0.5312817551353498,0.003623980107315172,0.44479435571190395,0.5312817551353498,0.04469772841157764,0.008173231731391664
OpenElections contributions,2024,all,mentions,in_kind_bin_count_mega,cash_in_kind_bins,65,0.2268916756418765,0.06913301281948227,0.2868046579539747,0.02054077980997547,0.2268916756418765,0.2868046579539747,0.13570554368268742,0.03958768472468
OpenElections contributions,2024,all,mentions,in_kind_bin_count_share_mega,cash_in_kind_bins,28,-0.028173530063722196,0.8868340788937401,0.18193024166437802,0.3541558324466474,0.028173530063722196,0.18193024166437802,0.9464257618272381,0.4280617486097768
OpenElections contributions,2024,all,mentions,individual_amount,individual_business,65,0.7662442515807153,1.0226077135598439e-13,0.8014423076923076,1.0678253877570603e-15,0.7662442515807153,0.8014423076923076,1.3549552204667933e-12,1.8864915183708066e-14
OpenElections contributions,2024,all,mentions,individual_amount_share,individual_business,65,0.13214933822744068,0.29401245401199244,-0.06085450306826573,0.6301244504684401,0.13214933822744068,0.06085450306826573,0.4455156994883388,0.7030862289437332
OpenElections contributions,2024,all,mentions,individual_count,individual_business,65,0.7241821502774325,9.264143684591858e-12,0.7542423816021832,4.0541500103948996e-13,0.7241821502774325,0.7542423816021832,8.927265732424881e-11,2.864932674012396e-12
OpenElections contributions,2024,all,mentions,individual_count_share,individual_business,65,0.24846637785569203,0.04596133468354033,0.0422130723348203,0.738471628001975,0.24846637785569203,0.0422130723348203,0.09743802952910549,0.7906867936182762
OpenElections contributions,2024,all,mentions,business_amount,individual_business,65,-0.022756096970593158,0.8572083481502525,0.1711751818614447,0.17276675032020428,0.022756096970593158,0.1711751818614447,0.9464257618272381,0.23181361435369183
OpenElections contributions,2024,all,mentions,business_amount_share,individual_business,65,-0.2840545394391607,0.021839821613783263,-0.021682492055291356,0.8638793207404191,0.2840545394391607,0.021682492055291356,0.053837699792116875,0.8890408543542176
OpenElections contributions,2024,all,mentions,business_count,individual_business,65,0.06311005182946622,0.6174727636701015,0.21495122350676066,0.0855180183844167,0.06311005182946622,0.21495122350676066,0.7610710808026833,0.1352971634141518
OpenElections contributions,2024,all,mentions,business_count_share,individual_business,65,-0.31175057372736775,0.011471798034292146,-0.06875808820832599,0.586280389007606,0.31175057372736775,0.06875808820832599,0.030400264790874182,0.6682335616645833
OpenElections contributions,2024,all,mentions,individual_bin_count_micro,individual_business_bins,65,0.6197184586605473,3.705707472939211e-08,0.6644448575966382,1.5905564714407688e-09,0.6197184586605473,0.6644448575966382,1.484923858832149e-07,4.8171138849349004e-09
OpenElections contributions,2024,all,mentions,individual_bin_count_share_micro,individual_business_bins,65,-0.09861357448421598,0.4344913041384869,-0.1778409090909091,0.15639378461333675,0.09861357448421598,0.1778409090909091,0.6060010294563107,0.2125351431924833
OpenElections contributions,2024,all,mentions,individual_bin_count_small,individual_business_bins,65,0.8012208208619673,1.1020066423941253e-15,0.8161552614454269,1.199544431115859e-16,0.8012208208619673,0.8161552614454269,3.079616691139067e-14,3.178792742457027e-15
OpenElections contributions,2024,all,mentions,individual_bin_count_share_small,individual_business_bins,65,0.1633090816801559,0.19365616854383264,0.22424004026421532,0.07253484927632307,0.1633090816801559,0.22424004026421532,0.33222577776185896,0.1201358441139101
OpenElections contributions,2024,all,mentions,individual_bin_count_medium,individual_business_bins,65,0.6522098762642496,3.963644424790161e-09,0.7483619938499627,7.738738194182348e-13,0.6522098762642496,0.7483619938499627,1.8267230827293785e-08,4.747746956218715e-12
OpenElections contributions,2024,all,mentions,individual_bin_count_share_medium,individual_business_bins,65,-0.011141409564048056,0.9298093386595551,0.23923759359697583,0.05494094812376028,0.011141409564048056,0.23923759359697583,0.9568911640574062,0.09547115575604247
OpenElections contributions,2024,all,mentions,individual_bin_count_large,individual_business_bins,65,0.543297411824901,2.9200466315139e-06,0.7086018251849291,4.011154432762272e-11,0.543297411824901,0.7086018251849291,9.103674792366865e-06,1.9848513738929723e-10
OpenElections contributions,2024,all,mentions,individual_bin_count_share_large,individual_business_bins,65,0.0028739661067911197,0.9818727388348674,0.2128645938244695,0.08867263241325876,0.0028739661067911197,0.2128645938244695,0.9912239077761518,0.13622172515660042
OpenElections contributions,2024,all,mentions,business_bin_count_micro,individual_business_bins,65,0.19809939434271093,0.1136815295858431,0.2293078598528435,0.06614574397260393,0.19809939434271093,0.2293078598528435,0.21140775677367313,0.11129283906501615
OpenElections contributions,2024,all,mentions,business_bin_count_share_micro,individual_business_bins,42,0.1977628015064133,0.20932860915664817,0.1826872540943925,0.24686574880809467,0.1977628015064133,0.1826872540943925,0.3522036915969001,0.3209946485557292
OpenElections contributions,2024,all,mentions,business_bin_count_small,individual_business_bins,65,0.05091202204924186,0.6871226906283627,-0.017134109717289153,0.8922409503698746,0.05091202204924186,0.017134109717289153,0.83575816408127,0.9007384832305401
OpenElections contributions,2024,all,mentions,business_bin_count_share_small,individual_business_bins,42,-0.2122881754169934,0.17710973507662311,-0.22685794879542404,0.14852748405198624,0.2122881754169934,0.22685794879542404,0.318197151154611,0.20487739879616237
OpenElections contributions,2024,all,mentions,business_bin_count_medium,individual_business_bins,65,0.13332706104064626,0.28969266029060387,0.2446667795880757,0.04950019570816666,0.13332706104064626,0.2446667795880757,0.4455156994883388,0.08810118746490436
OpenElections contributions,2024,all,mentions,business_bin_count_share_medium,individual_business_bins,42,0.25420541096050636,0.10426199632689599,0.2266956093203296,0.14882603497457078,0.25420541096050636,0.2266956093203296,0.2009413020118359,0.20487739879616237
OpenElections contributions,2024,all,mentions,business_bin_count_large,individual_business_bins,65,-0.04750551195742954,0.7070786043389836,0.046941701730755195,0.7104009684075481,0.04750551195742954,0.046941701730755195,0.842138562471149,0.7763144603216504
OpenElections contributions,2024,all,mentions,business_bin_count_share_large,individual_business_bins,42,-0.18664896926195274,0.23658952192996516,-0.18213694310299433,0.24831661492046977,0.18664896926195274,0.18213694310299433,0.3918513956965048,0.3209946485557292
OpenElections contributions,2024,all,mentions,same_district_count,geography,65,0.6997667201772494,8.832787133823515e-11,0.712907216478712,2.701367069156666e-11,0.6997667201772494,0.712907216478712,6.241836241235283e-10,1.431724546653033e-10
OpenElections contributions,2024,all,mentions,same_district_share,geography,62,0.04476912195629885,0.7297096768783791,0.07312927311996059,0.5721695793929367,0.04476912195629885,0.07312927311996059,0.8594358416567576,0.6592388632136009
OpenElections contributions,2024,all,mentions,portland_count,geography,65,0.7020978227313104,7.192069869194033e-11,0.704963176548507,5.5715763595252435e-11,0.7020978227313104,0.704963176548507,5.445424329532625e-10,2.3623483764387035e-10
OpenElections contributions,2024,all,mentions,portland_share,geography,62,0.09980624020762532,0.4402259007721551,-0.027701877486686646,0.8307601754649869,0.09980624020762532,0.027701877486686646,0.6060252659980317,0.8692755250902352
OpenElections contributions,2024,all,mentions,oregon_count,geography,65,0.7231799326467953,1.0210291907932135e-11,0.7479840033255334,8.062211812446875e-13,0.7231799326467953,0.7479840033255334,9.019091185340052e-11,4.747746956218715e-12
OpenElections contributions,2024,all,mentions,oregon_share,geography,65,0.07117737077621343,0.5731413294707471,-0.1284668349928181,0.3077902445432362,0.07117737077621343,0.1284668349928181,0.730021231752768,0.3884019752569409
OpenElections contributions,2024,all,mentions,same_district_bin_count_micro,geography_bins,65,0.6540041277634319,3.4759146441607985e-09,0.6877118285300399,2.4795651160638113e-10,0.6540041277634319,0.6877118285300399,1.686555703588314e-08,9.063238010440138e-10
OpenElections contributions,2024,all,mentions,same_district_bin_count_share_micro,geography_bins,61,0.01229510504734925,0.9250736109710453,0.013273751293674887,0.919128943945596,0.01229510504734925,0.013273751293674887,0.9568911640574062,0.919128943945596
OpenElections contributions,2024,all,mentions,same_district_bin_count_small,geography_bins,65,0.6858500999871722,2.895318774542195e-10,0.6936706826869948,1.4979916064439533e-10,0.6858500999871722,0.6936706826869948,1.805316412361604e-09,5.670968224394966e-10
OpenElections contributions,2024,all,mentions,same_district_bin_count_share_small,geography_bins,61,0.026713452250701555,0.8380730690197626,0.03175778416405799,0.8080316251417338,0.026713452250701555,0.03175778416405799,0.9421812076824804,0.8565135226502378
