district,outcome,feature,family,measure,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
1,mentions,total_amount,scale,dollar amount,13,0.9192339365039561,8.891352241864469e-06,0.9230769230769231,6.851685949643353e-06,0.9192339365039561,0.9230769230769231,0.0004912095456492938,6.851685949643352e-05
1,mentions,total_record_count,scale,record count,13,0.8975932508698521,3.143896869168284e-05,0.9340659340659341,2.9987037500995772e-06,0.8975932508698521,0.9340659340659341,0.0004912095456492938,5.86399834355197e-05
1,mentions,mean_amount,scale,dollar amount,13,-0.17008485555504188,0.5785302628029475,-0.054945054945054944,0.8585042942308734,0.17008485555504188,0.054945054945054944,0.7232585435256668,0.8969447850173303
1,mentions,median_amount,scale,dollar amount,13,-0.3169684256394053,0.29132726682215176,-0.24270214453760908,0.4243154297711065,0.3169684256394053,0.24270214453760908,0.424852264115638,0.5939171622016344
1,mentions,bin_amount_micro,overall_bins,dollar amount,13,0.8973733141737916,3.179826710121533e-05,0.9505494505494506,6.363704773478593e-07,0.8973733141737916,0.9505494505494506,0.0004912095456492938,2.96972889429001e-05
1,mentions,bin_amount_share_micro,overall_bins,dollar share,13,0.3008448198071371,0.317887614243722,0.26373626373626374,0.3839365166506742,0.3008448198071371,0.26373626373626374,0.4495380403446574,0.5484807380723917
1,mentions,bin_count_micro,overall_bins,record count,13,0.8881259605747316,5.017736217382291e-05,0.9285714285714285,4.60742726993369e-06,0.8881259605747316,0.9285714285714285,0.0005048334526263721,5.86399834355197e-05
1,mentions,bin_count_share_micro,overall_bins,record share,13,0.3985956483060792,0.17731428997407256,0.34615384615384615,0.24662526251007164,0.3985956483060792,0.34615384615384615,0.3142278556502552,0.39686823852195435
1,mentions,bin_amount_small,overall_bins,dollar amount,13,0.860141925627416,0.00016198067354134446,0.8901098901098902,4.5654374407447036e-05,0.860141925627416,0.8901098901098902,0.001141773581156429,0.00026631718404344104
1,mentions,bin_amount_share_small,overall_bins,dollar share,13,-0.36833443964200163,0.21558517110723907,-0.3736263736263736,0.20855405979520913,0.36833443964200163,0.3736263736263736,0.35095260412806356,0.3604638070534478
1,mentions,bin_count_small,overall_bins,record count,13,0.8601493531032727,0.00016193578617644611,0.9065934065934067,1.9296152005272237e-05,0.8601493531032727,0.9065934065934067,0.001141773581156429,0.00014218217267042703
1,mentions,bin_count_share_small,overall_bins,record share,13,-0.4395000347338248,0.13291971849093723,-0.23076923076923078,0.4481273823153657,0.4395000347338248,0.23076923076923078,0.2638077560635446,0.6091051798461281
1,mentions,bin_amount_medium,overall_bins,dollar amount,13,0.850699519999055,0.00022764184387925328,0.8775799223697635,8.064080981259685e-05,0.850699519999055,0.8775799223697635,0.0013279107559623108,0.00036418430237946964
1,mentions,bin_amount_share_medium,overall_bins,dollar share,13,0.1324117161459617,0.6663085421102976,-0.08241758241758242,0.788950927847518,0.1324117161459617,0.08241758241758242,0.783892402482703,0.8496394607588654
1,mentions,bin_count_medium,overall_bins,record count,13,0.8286478127966017,0.00046438740112222953,0.8839913921757278,6.075995362024029e-05,0.8286478127966017,0.8839913921757278,0.002243930391137028,0.0003150516113642089
1,mentions,bin_count_share_medium,overall_bins,record share,13,0.09355304226776737,0.7611358456640573,0.13186813186813187,0.6676075762175147,0.09355304226776737,0.13186813186813187,0.8524721471437442,0.7854206779029584
1,mentions,bin_amount_large,overall_bins,dollar amount,13,0.828617253127508,0.000464814152449813,0.8473185457363234,0.00025572463274886175,0.828617253127508,0.8473185457363234,0.002243930391137028,0.0009944846829122403
1,mentions,bin_amount_share_large,overall_bins,dollar share,13,-0.032357647160421193,0.9164253401971547,0.15955998588541156,0.6025824632276242,0.032357647160421193,0.15955998588541156,0.949787787915547,0.751780299475127
1,mentions,bin_count_large,overall_bins,record count,13,0.8157791389824482,0.0006736473453310108,0.8615255939726483,0.00015378808628046167,0.8157791389824482,0.8615255939726483,0.0031436876115447173,0.0006151523451218467
1,mentions,bin_count_share_large,overall_bins,record share,13,-0.10811385624667809,0.7251641643598044,0.2145806706734845,0.4814370886761808,0.10811385624667809,0.2145806706734845,0.8323209370439595,0.6419161182349077
1,mentions,bin_amount_mega,overall_bins,dollar amount,13,0.5506658034763534,0.051149446308308005,0.5765566601970552,0.03914622946156462,0.5506658034763534,0.5765566601970552,0.13316032135473307,0.10149022452998234
1,mentions,bin_amount_share_mega,overall_bins,dollar share,13,0.5372695875571644,0.058297609281510586,0.5590852462516898,0.04699134461660141,0.5372695875571644,0.5590852462516898,0.14071836723123243,0.11541733765481049
1,mentions,bin_count_mega,overall_bins,record count,13,0.5465707448579642,0.05326412854189323,0.5765566601970552,0.03914622946156462,0.5465707448579642,0.5765566601970552,0.13316032135473307,0.10149022452998234
1,mentions,bin_count_share_mega,overall_bins,record share,13,0.550853593512878,0.05105393460853598,0.5765566601970552,0.03914622946156462,0.550853593512878,0.5765566601970552,0.13316032135473307,0.10149022452998234
1,mentions,cash_amount,cash_in_kind,dollar amount,13,0.9037119858802982,2.2676120714924338e-05,0.9230769230769231,6.851685949643353e-06,0.9037119858802982,0.9230769230769231,0.0004912095456492938,6.851685949643352e-05
1,mentions,cash_amount_share,cash_in_kind,dollar share,13,0.17095982245773053,0.576548275507439,-0.4465058711508104,0.1261388223776354,0.17095982245773053,0.4465058711508104,0.7232585435256668,0.24709572767807897
1,mentions,cash_count,cash_in_kind,record count,13,0.8967679705856035,3.280425427213133e-05,0.9340659340659341,2.9987037500995772e-06,0.8967679705856035,0.9340659340659341,0.0004912095456492938,5.86399834355197e-05
1,mentions,cash_count_share,cash_in_kind,record share,13,0.3773394060369586,0.20370668533436226,-0.4521578442033523,0.12083920270450219,0.3773394060369586,0.4521578442033523,0.3355168934918908,0.24167840540900437
1,mentions,in_kind_amount,cash_in_kind,dollar amount,13,0.607597701644478,0.02761631976290345,0.5495304637189453,0.051729612537186935,0.607597701644478,0.5495304637189453,0.07890377075115272,0.12274823313908764
1,mentions,in_kind_amount_share,cash_in_kind,dollar share,13,-0.21552334084259972,0.47946648140498865,0.3524162756458453,0.2376044139699846,0.21552334084259972,0.3524162756458453,0.6392886418733182,0.39686823852195435
1,mentions,in_kind_count,cash_in_kind,record count,13,0.36033897031451423,0.22648183357134694,0.39187848111324436,0.18540557582105666,0.36033897031451423,0.39187848111324436,0.35493247735461453,0.3327792386531786
1,mentions,in_kind_count_share,cash_in_kind,record share,13,-0.3812467440639195,0.19868204253136582,0.31657733235982716,0.29195590644849595,0.3812467440639195,0.31657733235982716,0.33113673755227635,0.44916293299768606
1,mentions,cash_bin_amount_micro,cash_in_kind_bins,dollar amount,13,0.8972628603872517,3.197994992376522e-05,0.9505494505494506,6.363704773478593e-07,0.8972628603872517,0.9505494505494506,0.0004912095456492938,2.96972889429001e-05
1,mentions,cash_bin_amount_share_micro,cash_in_kind_bins,dollar share,13,0.349955380617309,0.24112513772898211,0.2967032967032967,0.324921588485975,0.349955380617309,0.2967032967032967,0.3709617503522802,0.4788318146109105
1,mentions,cash_bin_count_micro,cash_in_kind_bins,record count,13,0.8883296048971461,4.969718692042354e-05,0.9285714285714285,4.60742726993369e-06,0.8883296048971461,0.9285714285714285,0.0005048334526263721,5.86399834355197e-05
1,mentions,cash_bin_count_share_micro,cash_in_kind_bins,record share,13,0.4356448266783709,0.13675204799042998,0.34615384615384615,0.24662526251007164,0.4356448266783709,0.34615384615384615,0.2638077560635446,0.39686823852195435
1,mentions,cash_bin_amount_small,cash_in_kind_bins,dollar amount,13,0.857513793252763,0.00017849852669146526,0.901098901098901,2.613862202954824e-05,0.857513793252763,0.901098901098901,0.001141773581156429,0.00017425748019698827
1,mentions,cash_bin_amount_share_small,cash_in_kind_bins,dollar share,13,-0.025453054456911622,0.9342194521970294,-0.17032967032967034,0.5779754288392673,0.025453054456911622,0.17032967032967034,0.949787787915547,0.7356050912499766
1,mentions,cash_bin_count_small,cash_in_kind_bins,record count,13,0.8586504038861696,0.00017119781145108853,0.9175824175824175,9.906225317564688e-06,0.8586504038861696,0.9175824175824175,0.001141773581156429,9.24581029639371e-05
1,mentions,cash_bin_count_share_small,cash_in_kind_bins,record share,13,0.06420977700899988,0.8349185763609772,0.12637362637362637,0.6807854750709491,0.06420977700899988,0.12637362637362637,0.8982155705830617,0.7876856736358089
1,mentions,cash_bin_amount_medium,cash_in_kind_bins,dollar amount,13,0.8360712354778393,0.0003695305576195259,0.8775799223697635,8.064080981259685e-05,0.8360712354778393,0.8775799223697635,0.0020693711226693447,0.00036418430237946964
1,mentions,cash_bin_amount_share_medium,cash_in_kind_bins,dollar share,13,0.14870055576931118,0.6277930335522793,-0.10989010989010989,0.7208097995138619,0.14870055576931118,0.10989010989010989,0.7512053392933257,0.7883857182182865
1,mentions,cash_bin_count_medium,cash_in_kind_bins,record count,13,0.8130226801845916,0.0007268666224282348,0.8839913921757278,6.075995362024029e-05,0.8130226801845916,0.8839913921757278,0.003282623456127512,0.0003150516113642089
1,mentions,cash_bin_count_share_medium,cash_in_kind_bins,record share,13,0.07679301272513608,0.8030906187339937,0.15384615384615383,0.6157988686488813,0.07679301272513608,0.15384615384615383,0.8852967450610953,0.751780299475127
1,mentions,cash_bin_amount_large,cash_in_kind_bins,dollar amount,13,0.811071644685177,0.0007664990145440956,0.8363144087787088,0.0003667068067422367,0.811071644685177,0.8363144087787088,0.003353433188630418,0.0013875392687544093
1,mentions,cash_bin_amount_share_large,cash_in_kind_bins,dollar share,13,-0.17429652160064565,0.5690152426918795,0.17606619132183343,0.5650364026691793,0.17429652160064565,0.17606619132183343,0.7232585435256668,0.7257348291163771
1,mentions,cash_bin_count_large,cash_in_kind_bins,record count,13,0.8067541890538433,0.0008602628717998531,0.8642957727314028,0.0001383795029959365,0.8067541890538433,0.8642957727314028,0.003542258883881748,0.0005697979535126798
1,mentions,cash_bin_count_share_large,cash_in_kind_bins,record share,13,-0.38216931278792193,0.19750708330636793,0.15405791740660424,0.6153071087576119,0.38216931278792193,0.15405791740660424,0.33113673755227635,0.751780299475127
1,mentions,in_kind_bin_amount_micro,cash_in_kind_bins,dollar amount,13,-0.07223513848030208,0.8145895447366194,-0.20092126037170102,0.510408240611874,0.07223513848030208,0.20092126037170102,0.8909573145556775,0.6616403119042811
1,mentions,in_kind_bin_count_micro,cash_in_kind_bins,record count,13,-0.34586954799561564,0.24703958475437338,-0.25333550220779694,0.40364422370931174,0.34586954799561564,0.25333550220779694,0.37188754694206744,0.5708100133262994
1,mentions,in_kind_bin_amount_small,cash_in_kind_bins,dollar amount,13,0.35912084994079524,0.22817087829939509,0.30199301949338936,0.31595275399697337,0.35912084994079524,0.30199301949338936,0.35493247735461453,0.470567931484854
1,mentions,in_kind_bin_count_small,cash_in_kind_bins,record count,13,0.33306198307323265,0.2661365655911483,0.30199301949338936,0.31595275399697337,0.33306198307323265,0.30199301949338936,0.3922012545553764,0.470567931484854
1,mentions,in_kind_bin_amount_medium,cash_in_kind_bins,dollar amount,13,0.2894329012554642,0.33747696519407544,0.37563539982535404,0.20592247957188387,0.2894329012554642,0.37563539982535404,0.4724677512717056,0.3603643392507968
1,mentions,in_kind_bin_count_medium,cash_in_kind_bins,record count,13,0.3031011481702294,0.31409170789271396,0.37563539982535404,0.20592247957188387,0.3031011481702294,0.37563539982535404,0.44870243984673425,0.3603643392507968
1,mentions,in_kind_bin_amount_large,cash_in_kind_bins,dollar amount,13,0.5916044017391561,0.03319047198821451,0.5301655231106168,0.062362810273657886,0.5916044017391561,0.5301655231106168,0.09293332156700063,0.14551322397186842
1,mentions,in_kind_bin_count_large,cash_in_kind_bins,record count,13,0.6155387175781506,0.02512032669511745,0.5525676724200936,0.05018802401674403,0.6155387175781506,0.5525676724200936,0.0732676195274259,0.12114350624731317
1,mentions,in_kind_bin_amount_mega,cash_in_kind_bins,dollar amount,13,0.5506658034763534,0.051149446308308005,0.5765566601970552,0.03914622946156462,0.5506658034763534,0.5765566601970552,0.13316032135473307,0.10149022452998234
1,mentions,in_kind_bin_count_mega,cash_in_kind_bins,record count,13,0.5465707448579642,0.05326412854189323,0.5765566601970552,0.03914622946156462,0.5465707448579642,0.5765566601970552,0.13316032135473307,0.10149022452998234
1,mentions,individual_amount,individual_business,dollar amount,13,0.8931779061851562,3.9309104275726684e-05,0.9230769230769231,6.851685949643353e-06,0.8931779061851562,0.9230769230769231,0.000500297690781976,6.851685949643352e-05
1,mentions,individual_amount_share,individual_business,dollar share,13,-0.49876304464921045,0.08274430606853381,-0.4869330603744456,0.09149400020329168,0.49876304464921045,0.4869330603744456,0.1810031695249177,0.197064000437859
1,mentions,individual_count,individual_business,record count,13,0.8954499201551404,3.5083218990317406e-05,0.9340659340659341,2.9987037500995772e-06,0.8954499201551404,0.9340659340659341,0.0004912095456492938,5.86399834355197e-05
1,mentions,individual_count_share,individual_business,record share,13,0.41863737447054566,0.15452529532803594,0.0027510342394036474,0.9928834319869779,0.41863737447054566,0.0027510342394036474,0.2821041683941604,0.9928834319869779
1,mentions,business_amount,individual_business,dollar amount,13,0.5316884902044074,0.06147494291528758,0.5837175200024015,0.03622283733014278,0.5316884902044074,0.5837175200024015,0.1458727459006824,0.10149022452998234
1,mentions,business_amount_share,individual_business,dollar share,13,-0.21006562260411393,0.4909275812189775,0.31786597623893154,0.2898874990057807,0.21006562260411393,0.31786597623893154,0.6483949185911024,0.44916293299768606
1,mentions,business_count,individual_business,record count,13,0.7571738820152485,0.0027253836388475188,0.7313694250075097,0.004497975065063601,0.7571738820152485,0.7313694250075097,0.01004088709049086,0.014644569979276838
1,mentions,business_count_share,individual_business,record share,13,-0.34609360955577917,0.2467130135928906,0.3525422645559059,0.23742500622811163,0.34609360955577917,0.3525422645559059,0.37188754694206744,0.39686823852195435
1,mentions,individual_bin_amount_micro,individual_business_bins,dollar amount,13,0.8971709117925213,3.213182944430024e-05,0.9505494505494506,6.363704773478593e-07,0.8971709117925213,0.9505494505494506,0.0004912095456492938,2.96972889429001e-05
1,mentions,individual_bin_amount_share_micro,individual_business_bins,dollar share,13,0.36276261654948877,0.22314396123822858,0.34065934065934067,0.25470646075412506,0.36276261654948877,0.34065934065934067,0.35493247735461453,0.40521482392701713
1,mentions,individual_bin_count_micro,individual_business_bins,record count,13,0.8879970059265523,5.048334526263722e-05,0.9285714285714285,4.60742726993369e-06,0.8879970059265523,0.9285714285714285,0.0005048334526263721,5.86399834355197e-05
1,mentions,individual_bin_count_share_micro,individual_business_bins,record share,13,0.4180567081658103,0.15515729261678823,0.34615384615384615,0.24662526251007164,0.4180567081658103,0.34615384615384615,0.2821041683941604,0.39686823852195435
