outcome,family,source,year_filter,district_filter,feature,measure,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
first_place_votes,cash_in_kind,OpenElections contributions,2024,all,cash_amount,dollar amount,65,0.7451076849001602,1.098405125522171e-12,0.7588723776223776,2.4057234282114816e-13,0.7451076849001602,0.7588723776223776,1.5377671757310397e-11,3.3680127994960744e-12
first_place_votes,cash_in_kind_bins,OpenElections contributions,2024,all,cash_bin_amount_small,dollar amount,65,0.7928205722206689,3.5386309223718782e-15,0.7773989818067373,2.6360898473178982e-14,0.7928205722206689,0.7773989818067373,1.5174130296563867e-13,1.1938902161965589e-12
first_place_votes,geography,OpenElections contributions,2024,all,oregon_count,record count,65,0.6837178566526187,3.452963976721462e-10,0.7205795582917817,1.3114904232442317e-11,0.6837178566526187,0.7205795582917817,3.2869682229137948e-09,9.663613644957497e-11
first_place_votes,geography_bins,OpenElections contributions,2024,all,oregon_bin_count_small,record count,65,0.7913175327976805,4.335465799018248e-15,0.7707488754478712,5.969451080982795e-14,0.7913175327976805,0.7707488754478712,1.5174130296563867e-13,1.1938902161965589e-12
first_place_votes,individual_business,OpenElections contributions,2024,all,individual_amount,dollar amount,65,0.7459237537792749,1.0065573867207943e-12,0.7635052447552447,1.4103293483660246e-13,0.7459237537792749,0.7635052447552447,1.5377671757310397e-11,2.1938456530138163e-12
first_place_votes,individual_business_bins,OpenElections contributions,2024,all,individual_bin_amount_small,dollar amount,65,0.7932855160482669,3.3220388010730493e-15,0.7736838656538363,4.175883126114202e-14,0.7932855160482669,0.7736838656538363,1.5174130296563867e-13,1.1938902161965589e-12
first_place_votes,overall_bins,OpenElections contributions,2024,all,bin_amount_small,dollar amount,65,0.792593707922005,3.649172552920469e-15,0.7737846786375229,4.124552138349973e-14,0.792593707922005,0.7737846786375229,1.5174130296563867e-13,1.1938902161965589e-12
first_place_votes,scale,OpenElections contributions,2024,all,total_amount,dollar amount,65,0.7517739645478205,5.329761374249666e-13,0.7642045454545454,1.2997353015366883e-13,0.7517739645478205,0.7642045454545454,9.327082404936915e-12,2.1938456530138163e-12
mentions,cash_in_kind,OpenElections contributions,2024,all,cash_amount,dollar amount,65,0.7669809217031174,9.372087293951319e-14,0.795979020979021,2.296715304147864e-15,0.7669809217031174,0.795979020979021,1.4316507989837817e-12,3.2154014258070093e-14
mentions,cash_in_kind_bins,OpenElections contributions,2024,all,cash_bin_amount_small,dollar amount,65,0.8021896044421852,9.598500110745932e-16,0.8201883784383847,6.365944526116099e-17,0.8021896044421852,0.8201883784383847,2.711612180877166e-14,2.5013862397086824e-15
mentions,geography,OpenElections contributions,2024,all,oregon_count,record count,65,0.7231799326467953,1.0210291907932135e-11,0.7479840033255334,8.062211812446875e-13,0.7231799326467953,0.7479840033255334,1.0210291907932135e-10,4.70295689059401e-12
mentions,geography_bins,OpenElections contributions,2024,all,oregon_bin_count_small,record count,65,0.795975574226853,2.2978084217755335e-15,0.8029417267362144,8.618037166231166e-16,0.795975574226853,0.8029417267362144,4.5956168435510665e-14,1.723607433246233e-14
mentions,individual_business,OpenElections contributions,2024,all,individual_amount,dollar amount,65,0.7662442515807153,1.0226077135598439e-13,0.8014423076923076,1.0678253877570603e-15,0.7662442515807153,0.8014423076923076,1.4316507989837817e-12,1.8686944285748554e-14
mentions,individual_business_bins,OpenElections contributions,2024,all,individual_bin_amount_small,dollar amount,65,0.8024374402594223,9.264155777645774e-16,0.8189645754703703,7.728132641107533e-17,0.8024374402594223,0.8189645754703703,2.711612180877166e-14,2.5013862397086824e-15
mentions,overall_bins,OpenElections contributions,2024,all,bin_amount_small,dollar amount,65,0.8027840192743338,8.815300584842489e-16,0.8192834275339114,7.348436720098284e-17,0.8027840192743338,0.8192834275339114,2.711612180877166e-14,2.5013862397086824e-15
mentions,scale,OpenElections contributions,2024,all,total_amount,dollar amount,65,0.7790646758026676,2.1386397425025693e-14,0.8002622377622377,1.2624387270053054e-15,0.7790646758026676,0.8002622377622377,3.7426195493794966e-13,1.9637935753415865e-14
