outcome,family,measure,source,year_filter,district_filter,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
first_place_votes,cash_in_kind,dollar amount,OpenElections contributions,2024,all,cash_amount,65,0.7451076849001602,1.098405125522171e-12,0.7588723776223776,2.4057234282114816e-13,0.7451076849001602,0.7588723776223776,1.5377671757310397e-11,3.3680127994960744e-12
first_place_votes,cash_in_kind,dollar share,OpenElections contributions,2024,all,in_kind_amount_share,65,0.0606118914399674,0.6314917074989879,0.45659883797513606,0.00013182938852900557,0.0606118914399674,0.45659883797513606,0.7556311029902418,0.0003766553957971588
first_place_votes,cash_in_kind,record count,OpenElections contributions,2024,all,cash_count,65,0.683477947464063,3.521751667407637e-10,0.7173155301513232,1.788664734756603e-11,0.683477947464063,0.7173155301513232,3.2869682229137948e-09,1.1924431565044022e-10
first_place_votes,cash_in_kind,record share,OpenElections contributions,2024,all,cash_count_share,65,0.09508508572021031,0.45118831412762894,-0.08279582533278267,0.5120194707027172,0.09508508572021031,0.08279582533278267,0.6132656696880393,0.5875633270359051
first_place_votes,cash_in_kind_bins,dollar amount,OpenElections contributions,2024,all,cash_bin_amount_small,65,0.7928205722206689,3.5386309223718782e-15,0.7773989818067373,2.6360898473178982e-14,0.7928205722206689,0.7773989818067373,1.5174130296563867e-13,1.1938902161965589e-12
first_place_votes,cash_in_kind_bins,dollar share,OpenElections contributions,2024,all,in_kind_bin_amount_share_large,28,-0.4814713733498912,0.009484961244220585,-0.46681089613257043,0.012270739093335219,0.4814713733498912,0.46681089613257043,0.028867273351975694,0.026028840501014103
first_place_votes,cash_in_kind_bins,record count,OpenElections contributions,2024,all,cash_bin_count_small,65,0.781017372646036,1.669790698020328e-14,0.7757537382754547,3.235233210495887e-14,0.781017372646036,0.7757537382754547,3.896178295380765e-13,1.1938902161965589e-12
first_place_votes,cash_in_kind_bins,record share,OpenElections contributions,2024,all,in_kind_bin_count_share_small,28,0.4507327132365463,0.016077830121903246,0.30630811935614544,0.11289580176157987,0.4507327132365463,0.30630811935614544,0.04789140887375435,0.16637276049074928
first_place_votes,geography,record count,OpenElections contributions,2024,all,oregon_count,65,0.6837178566526187,3.452963976721462e-10,0.7205795582917817,1.3114904232442317e-11,0.6837178566526187,0.7205795582917817,3.2869682229137948e-09,9.663613644957497e-11
first_place_votes,geography,record share,OpenElections contributions,2024,all,portland_share,62,0.12727185697695226,0.32425034564593735,0.004986337947603596,0.969318008381436,0.12727185697695226,0.004986337947603596,0.5158528226185367,0.9833660954594278
first_place_votes,geography_bins,record count,OpenElections contributions,2024,all,oregon_bin_count_small,65,0.7913175327976805,4.335465799018248e-15,0.7707488754478712,5.969451080982795e-14,0.7913175327976805,0.7707488754478712,1.5174130296563867e-13,1.1938902161965589e-12
first_place_votes,geography_bins,record share,OpenElections contributions,2024,all,oregon_bin_count_share_mega,65,0.2865714830303168,0.0206483094947729,0.33968575761117714,0.005634460648029616,0.2865714830303168,0.33968575761117714,0.05899516998506543,0.01265869686245418
first_place_votes,individual_business,dollar amount,OpenElections contributions,2024,all,individual_amount,65,0.7459237537792749,1.0065573867207943e-12,0.7635052447552447,1.4103293483660246e-13,0.7459237537792749,0.7635052447552447,1.5377671757310397e-11,2.1938456530138163e-12
first_place_votes,individual_business,dollar share,OpenElections contributions,2024,all,business_amount_share,65,-0.23216002975197514,0.0627539676196277,0.014171855632015173,0.9107871061443261,0.23216002975197514,0.014171855632015173,0.13945326137695044,0.9445199619274492
first_place_votes,individual_business,record count,OpenElections contributions,2024,all,individual_count,65,0.6793850300638169,4.916677084703201e-10,0.7143590812103312,2.360380742289569e-11,0.6793850300638169,0.7143590812103312,3.998911603361085e-09,1.4882115339744655e-10
first_place_votes,individual_business,record share,OpenElections contributions,2024,all,business_count_share,65,-0.2504467973818896,0.04420091657402967,-0.04761207018326865,0.7064512978481625,0.2504467973818896,0.04761207018326865,0.09980852129619604,0.7549861198377309
