feature,family,description,denominator,available
total_amount,scale,Total private fundraising dollars.,,True
total_contribution_count,scale,Number of private positive contribution records.,,True
average_contribution,scale,Mean contribution amount.,,True
median_contribution,scale,Median contribution amount.,,True
bin_amount_micro,amount_bin,Fundraising dollars from Micro contributions.,,True
bin_amount_share_micro,amount_bin_share,Share of fundraising dollars from Micro contributions.,Total private fundraising dollars.,True
bin_count_micro,count_bin,Number of Micro contribution records.,,True
bin_count_share_micro,count_bin_share,Share of contribution records in the Micro bin.,All private positive contribution records.,True
bin_amount_small,amount_bin,Fundraising dollars from Small contributions.,,True
bin_amount_share_small,amount_bin_share,Share of fundraising dollars from Small contributions.,Total private fundraising dollars.,True
bin_count_small,count_bin,Number of Small contribution records.,,True
bin_count_share_small,count_bin_share,Share of contribution records in the Small bin.,All private positive contribution records.,True
bin_amount_medium,amount_bin,Fundraising dollars from Medium contributions.,,True
bin_amount_share_medium,amount_bin_share,Share of fundraising dollars from Medium contributions.,Total private fundraising dollars.,True
bin_count_medium,count_bin,Number of Medium contribution records.,,True
bin_count_share_medium,count_bin_share,Share of contribution records in the Medium bin.,All private positive contribution records.,True
bin_amount_large,amount_bin,Fundraising dollars from Large contributions.,,True
bin_amount_share_large,amount_bin_share,Share of fundraising dollars from Large contributions.,Total private fundraising dollars.,True
bin_count_large,count_bin,Number of Large contribution records.,,True
bin_count_share_large,count_bin_share,Share of contribution records in the Large bin.,All private positive contribution records.,True
bin_amount_mega,amount_bin,Fundraising dollars from Mega contributions.,,True
bin_amount_share_mega,amount_bin_share,Share of fundraising dollars from Mega contributions.,Total private fundraising dollars.,True
bin_count_mega,count_bin,Number of Mega contribution records.,,True
bin_count_share_mega,count_bin_share,Share of contribution records in the Mega bin.,All private positive contribution records.,True
cash_count,contribution_subtype,Number of Cash contribution records.,,True
cash_count_share,contribution_subtype_share,Share of contribution records classified as Cash.,All private positive contribution records.,True
cash_amount,contribution_subtype,Dollars classified as Cash contributions.,,True
cash_amount_share,contribution_subtype_share,Share of fundraising dollars classified as Cash.,Total private fundraising dollars.,True
in_kind_count,contribution_subtype,Number of In-kind contribution records.,,True
in_kind_count_share,contribution_subtype_share,Share of contribution records classified as In-kind.,All private positive contribution records.,True
in_kind_amount,contribution_subtype,Dollars classified as In-kind contributions.,,True
in_kind_amount_share,contribution_subtype_share,Share of fundraising dollars classified as In-kind.,Total private fundraising dollars.,True
cash_bin_count_micro,subtype_bin_count,Number of Cash contribution records in the Micro bin.,,True
cash_bin_count_share_micro,subtype_bin_share,Share of Cash contribution records in the Micro bin.,All Cash contribution records for the candidate.,True
cash_bin_count_small,subtype_bin_count,Number of Cash contribution records in the Small bin.,,True
cash_bin_count_share_small,subtype_bin_share,Share of Cash contribution records in the Small bin.,All Cash contribution records for the candidate.,True
cash_bin_count_medium,subtype_bin_count,Number of Cash contribution records in the Medium bin.,,True
