feature,family,measure
total_amount,scale,dollar amount
total_record_count,scale,record count
mean_amount,scale,dollar amount
median_amount,scale,dollar amount
bin_amount_micro,overall_bins,dollar amount
bin_amount_share_micro,overall_bins,dollar share
bin_count_micro,overall_bins,record count
bin_count_share_micro,overall_bins,record share
bin_amount_small,overall_bins,dollar amount
bin_amount_share_small,overall_bins,dollar share
bin_count_small,overall_bins,record count
bin_count_share_small,overall_bins,record share
bin_amount_medium,overall_bins,dollar amount
bin_amount_share_medium,overall_bins,dollar share
bin_count_medium,overall_bins,record count
bin_count_share_medium,overall_bins,record share
bin_amount_large,overall_bins,dollar amount
bin_amount_share_large,overall_bins,dollar share
bin_count_large,overall_bins,record count
bin_count_share_large,overall_bins,record share
bin_amount_mega,overall_bins,dollar amount
bin_amount_share_mega,overall_bins,dollar share
bin_count_mega,overall_bins,record count
bin_count_share_mega,overall_bins,record share
cash_amount,cash_in_kind,dollar amount
cash_amount_share,cash_in_kind,dollar share
cash_count,cash_in_kind,record count
cash_count_share,cash_in_kind,record share
in_kind_amount,cash_in_kind,dollar amount
in_kind_amount_share,cash_in_kind,dollar share
in_kind_count,cash_in_kind,record count
in_kind_count_share,cash_in_kind,record share
cash_bin_amount_micro,cash_in_kind_bins,dollar amount
cash_bin_amount_share_micro,cash_in_kind_bins,dollar share
cash_bin_count_micro,cash_in_kind_bins,record count
cash_bin_count_share_micro,cash_in_kind_bins,record share
cash_bin_amount_small,cash_in_kind_bins,dollar amount
cash_bin_amount_share_small,cash_in_kind_bins,dollar share
cash_bin_count_small,cash_in_kind_bins,record count
cash_bin_count_share_small,cash_in_kind_bins,record share
cash_bin_amount_medium,cash_in_kind_bins,dollar amount
cash_bin_amount_share_medium,cash_in_kind_bins,dollar share
cash_bin_count_medium,cash_in_kind_bins,record count
cash_bin_count_share_medium,cash_in_kind_bins,record share
cash_bin_amount_large,cash_in_kind_bins,dollar amount
cash_bin_amount_share_large,cash_in_kind_bins,dollar share
cash_bin_count_large,cash_in_kind_bins,record count
cash_bin_count_share_large,cash_in_kind_bins,record share
cash_bin_amount_mega,cash_in_kind_bins,dollar amount
cash_bin_amount_share_mega,cash_in_kind_bins,dollar share
cash_bin_count_mega,cash_in_kind_bins,record count
cash_bin_count_share_mega,cash_in_kind_bins,record share
in_kind_bin_amount_micro,cash_in_kind_bins,dollar amount
in_kind_bin_amount_share_micro,cash_in_kind_bins,dollar share
in_kind_bin_count_micro,cash_in_kind_bins,record count
in_kind_bin_count_share_micro,cash_in_kind_bins,record share
in_kind_bin_amount_small,cash_in_kind_bins,dollar amount
in_kind_bin_amount_share_small,cash_in_kind_bins,dollar share
in_kind_bin_count_small,cash_in_kind_bins,record count
in_kind_bin_count_share_small,cash_in_kind_bins,record share
in_kind_bin_amount_medium,cash_in_kind_bins,dollar amount
in_kind_bin_amount_share_medium,cash_in_kind_bins,dollar share
in_kind_bin_count_medium,cash_in_kind_bins,record count
in_kind_bin_count_share_medium,cash_in_kind_bins,record share
in_kind_bin_amount_large,cash_in_kind_bins,dollar amount
in_kind_bin_amount_share_large,cash_in_kind_bins,dollar share
in_kind_bin_count_large,cash_in_kind_bins,record count
