pooled_rank,feature,family,measure,pooled_r,D1_r,D2_r,D3_r,D4_r
1,individual_bin_amount_small,individual_business_bins,dollar amount,0.7932855160482669,0.6645604334338253,0.6600975831573116,0.9442959824951015,0.8215042472442304
2,cash_bin_amount_small,cash_in_kind_bins,dollar amount,0.7928205722206689,0.6666573829609437,0.6612887034144115,0.9449239874262225,0.8194397392274668
3,bin_amount_small,overall_bins,dollar amount,0.792593707922005,0.6745816599066822,0.6614763352769976,0.9423769232769758,0.820998866026738
4,oregon_bin_count_small,geography_bins,record count,0.7913175327976805,0.7060033910457688,0.6606184537136532,0.926615770442758,0.7836519392223296
5,individual_bin_count_small,individual_business_bins,record count,0.7811914426335405,0.6750826925272235,0.6575555673537045,0.9133779743904664,0.7905778590701824
6,cash_bin_count_small,cash_in_kind_bins,record count,0.781017372646036,0.6771589786942003,0.6592693795129398,0.9140047996179123,0.7882407058771923
7,bin_count_small,overall_bins,record count,0.7797870412784569,0.6853042178463635,0.657550564102318,0.9114776214353579,0.7896257653691279
8,total_amount,scale,dollar amount,0.7517739645478205,0.7582953323800108,0.6513692347596437,0.9331213808810654,0.7765366267701935
9,individual_amount,individual_business,dollar amount,0.7459237537792749,0.7096718976970686,0.6336875469568939,0.9390272425348389,0.7649862516932242
10,cash_amount,cash_in_kind,dollar amount,0.7451076849001602,0.7245565992693292,0.6396428519264845,0.9381681906327213,0.751303204805537
11,portland_bin_count_small,geography_bins,record count,0.715074560754769,0.5341915306581815,0.5719466510069832,0.8903751191380803,0.7655145244726823
12,oregon_bin_count_medium,geography_bins,record count,0.7092927048438358,0.7321951636123127,0.6135497866730165,0.8841189284821509,0.7454751730739958
13,same_district_bin_count_small,geography_bins,record count,0.6889916684387593,0.4710648455038732,0.5202893119666546,0.8209590068758817,0.7097912517748746
14,oregon_count,geography,record count,0.6837178566526187,0.7190256393329671,0.5180817323186079,0.8381739414058069,0.6054494112363636
15,cash_count,cash_in_kind,record count,0.683477947464063,0.7185027678710235,0.5424257759184709,0.8321998252962531,0.6094766319494713
