pooled_rank,feature,family,measure,pooled_r,D1_r,D2_r,D3_r,D4_r
1,bin_amount_small,overall_bins,dollar amount,0.8027840192743338,0.860141925627416,0.7941533360071039,0.9412270344881746,0.7169680393779971
2,individual_bin_amount_small,individual_business_bins,dollar amount,0.8024374402594223,0.8561509750543485,0.7903717263994567,0.9402716926347341,0.7177923768215975
3,cash_bin_amount_small,cash_in_kind_bins,dollar amount,0.8021896044421852,0.857513793252763,0.7918704830839093,0.9412318026167631,0.7151529810018105
4,cash_bin_count_small,cash_in_kind_bins,record count,0.8012756973238782,0.8586504038861696,0.8220490821374249,0.9213090493031713,0.6984551132986242
5,individual_bin_count_small,individual_business_bins,record count,0.8012208208619673,0.8570035037168879,0.8206166819290185,0.9200665122678227,0.701174418929233
6,bin_count_small,overall_bins,record count,0.8008468382446516,0.8601493531032727,0.8232647947548839,0.9208835200250373,0.6998863617610933
7,oregon_bin_count_small,geography_bins,record count,0.795975574226853,0.871412080458714,0.7788310405705119,0.9315533162879663,0.6862427163959649
8,total_amount,scale,dollar amount,0.7790646758026676,0.9192339365039561,0.7310821844528812,0.9512808889887565,0.7221600981559784
9,cash_amount,cash_in_kind,dollar amount,0.7669809217031174,0.9037119858802982,0.7139795023553114,0.950536500887583,0.6854085737438691
10,individual_amount,individual_business,dollar amount,0.7662442515807153,0.8931779061851562,0.704904249401655,0.9487567502813095,0.6967028640698274
11,total_record_count,scale,record count,0.7248594595758724,0.8975932508698521,0.7043634829875826,0.843710616917285,0.6424194916832353
12,cash_count,cash_in_kind,record count,0.7247225133036665,0.8967679705856035,0.7097955483032502,0.8433411299805141,0.6425430052124541
13,individual_count,individual_business,record count,0.7241821502774325,0.8954499201551404,0.6999587697866917,0.8428905152336013,0.6437844300688964
14,oregon_count,geography,record count,0.7231799326467953,0.899189136687638,0.6679567397708148,0.8502327177971283,0.6419186052199671
15,portland_bin_count_small,geography_bins,record count,0.7150838702557392,0.7333842430652371,0.6827744010212589,0.9097072884108074,0.6281311593521284
