year,district,source_file_stem,total_fundraising,contribution_count,mean_contribution,median_contribution,min_contribution,max_contribution,total_spending,expenditure_count,mean_expenditure,median_expenditure,min_expenditure,max_expenditure,spending_to_fundraising_ratio
2024,1,Avalos,189399.49,437,433.40844393592675,50.0,1.93,40000.0,177221.93,470.0,377.06793617021276,78.26,0.08,21297.66,0.9357043675249601
2024,1,Durphy,115721.55,304,380.66299342105265,50.0,1.0,40000.0,111237.32,391.0,284.4944245524297,21.0,0.04,16300.0,0.9612498277114332
2024,1,Ender,146319.66999999998,260,562.7679615384615,200.0,5.0,40000.0,157642.42,160.0,985.2651250000001,184.87,0.24,13098.42,1.0773836491019972
2024,1,Ernst,53759.04,151,356.0201324503311,60.0,5.0,31185.0,60028.06,136.0,441.38279411764705,195.0,0.18,10200.0,1.1166133174997173
2024,1,Furi,1373.91,18,76.32833333333333,30.93,2.49,500.0,750.0,8.0,93.75,55.0,3.5,330.0,0.5458872851933533
2024,1,Hayes,79691.71,291,273.8546735395189,100.0,5.0,40000.0,92626.13,197.0,470.18340101522847,68.78,0.87,8000.0,1.1623057153623633
2024,1,Linn,5206.99,101,51.55435643564356,25.0,5.0,499.99,5176.49,66.0,78.43166666666666,15.99,0.18,750.0,0.9941424892308224
2024,1,McKay,140.0,2,70.0,70.0,40.0,100.0,,,,,,,
2024,1,McKenzie,3417.84,55,62.142545454545456,30.0,5.0,250.0,5426.76,39.0,139.14769230769232,34.78,0.35,618.0,1.5877747349203006
2024,1,Routh,201631.84,521,387.00928982725526,75.0,5.0,40000.0,201809.37,572.0,352.8135839160839,8.72,0.2,31881.49,1.000880466100989
2024,1,Salazar,10532.6,76,138.58684210526317,25.0,5.0,5000.0,5326.85,76.0,70.09013157894738,20.825,0.18,1192.43,0.5057488179556805
2024,1,Shervey,1130.02,14,80.71571428571428,97.5,5.0,250.0,2223.98,25.0,88.9592,14.99,0.2,945.6,1.968089060370613
2024,1,Smith,1454339.17,2014,722.1147815292949,250.0,5.0,40758.0,1464141.21,1510.0,969.629940397351,100.895,0.07,48200.0,1.0067398583509237
2024,1,Tern,16139.56,152,106.18131578947369,50.0,5.0,1500.0,13202.71,72.0,183.3709722222222,80.0,0.18,868.6,0.818034072800002
2024,2,Armstrong,64728.0,210,308.22857142857146,65.0,5.0,40000.0,63784.29,165.0,386.57145454545457,45.33,0.38,9897.13,0.9854203744901743
2024,2,Berlin,6549.98,55,119.09054545454545,50.0,10.0,500.0,9124.48,40.0,228.112,65.0,0.35,1500.0,1.3930546352813291
2024,2,Burnell,2053.0,27,76.03703703703704,25.0,5.0,450.0,5049.82,31.0,162.8974193548387,55.0,0.7,1650.0,2.459727228446176
2024,2,DePass,122393.14,266,460.1245864661654,150.0,5.0,34515.0,121536.89,233.0,521.6175536480687,111.3,0.2,18923.56,0.9930041013736555
2024,2,Emerson,3720.0,35,106.28571428571429,50.0,5.0,500.0,1584.9099999999999,23.0,68.9091304347826,14.85,0.79,750.0,0.4260510752688172
2024,2,Glickman,116914.39,200,584.57195,100.0,4.0,26424.0,133462.97,128.0,1042.679453125,48.015,0.4,15216.63,1.1415444240867185
2024,2,Hudson,155559.46000000002,381,408.2925459317586,125.0,5.0,40000.0,154825.11000000002,197.0,785.914263959391,70.9,0.35,14684.0,0.9952792970610723
2024,2,Kanal,105709.1,134,788.8738805970149,200.0,5.0,28760.0,102966.45,166.0,620.2798192771085,63.56,0.07,11769.1,0.9740547407933658
2024,2,Kitchin,75594.92,167,452.66419161676646,200.0,5.0,40000.0,70605.48,150.0,470.7032,53.92,0.18,19000.0,0.9339976813256764
2024,2,Marshall,96125.0,273,352.1062271062271,150.0,5.0,40000.0,100931.24,192.0,525.6835416666667,100.8,0.6,9897.13,1.0499998959687906
2024,2,Mespelt,11867.99,91,130.4174725274725,70.0,5.0,500.0,16523.17,97.0,170.34195876288658,55.88,0.35,1396.66,1.3922467073194364
