year,district,candidate_key,canonical_candidate,purpose_code,purpose_amount,purpose_transaction_count,total_spending,expenditure_count,purpose_amount_share,mentions,mention_share,first_place_votes,first_place_share
2024,1,2024|1|candace avalos,Candace Avalos,Cash Contribution,250.0,1,177221.93,470,0.0014106606332523295,22267.0,0.519395395488792,8297.0,0.1935340906440251
2024,1,2024|1|candace avalos,Candace Avalos,Fundraising Event Expenses,800.0,2,177221.93,470,0.004514114026407454,22267.0,0.519395395488792,8297.0,0.1935340906440251
2024,1,2024|1|candace avalos,Candace Avalos,General Operational Expenses (need description),36716.6,185,177221.93,470,0.2071786488274899,22267.0,0.519395395488792,8297.0,0.1935340906440251
2024,1,2024|1|candace avalos,Candace Avalos,"Literature, Brochures, Printing",46286.03,14,177221.93,470,0.2611755215621453,22267.0,0.519395395488792,8297.0,0.1935340906440251
2024,1,2024|1|candace avalos,Candace Avalos,Management Services,26569.85,48,177221.93,470,0.14992416570567763,22267.0,0.519395395488792,8297.0,0.1935340906440251
2024,1,2024|1|candace avalos,Candace Avalos,Online and Social Media Advertising,18000.91,36,177221.93,470,0.10157270039887276,22267.0,0.519395395488792,8297.0,0.1935340906440251
2024,1,2024|1|candace avalos,Candace Avalos,"Other Advertising (yard signs, buttons, etc.)",7408.68,9,177221.93,470,0.041804532881455476,22267.0,0.519395395488792,8297.0,0.1935340906440251
2024,1,2024|1|candace avalos,Candace Avalos,Postage,17411.79,18,177221.93,470,0.09824850682982632,22267.0,0.519395395488792,8297.0,0.1935340906440251
2024,1,2024|1|candace avalos,Candace Avalos,Preparation and Production of Advertising,400.0,1,177221.93,470,0.002257057013203727,22267.0,0.519395395488792,8297.0,0.1935340906440251
2024,1,2024|1|candace avalos,Candace Avalos,Reimbursement for Personal Expenditures,1737.85,7,177221.93,470,0.009806066325990242,22267.0,0.519395395488792,8297.0,0.1935340906440251
2024,1,2024|1|candace avalos,Candace Avalos,Unspecified,2749.6,124,177221.93,470,0.015515009908762421,22267.0,0.519395395488792,8297.0,0.1935340906440251
2024,1,2024|1|candace avalos,Candace Avalos,"Wages, Salaries, Benefits",43313.88,56,177221.93,470,0.24440474155766162,22267.0,0.519395395488792,8297.0,0.1935340906440251
2024,1,2024|1|cayle tern,Cayle Tern,Cash Contribution,702.0,3,13202.71,72,0.053170902034506556,9061.0,0.2113549952182127,711.0,0.0165846376338317
2024,1,2024|1|cayle tern,Cayle Tern,General Operational Expenses (need description),2671.95,21,13202.71,72,0.20237890554287719,9061.0,0.2113549952182127,711.0,0.0165846376338317
2024,1,2024|1|cayle tern,Cayle Tern,"Literature, Brochures, Printing",2035.03,5,13202.71,72,0.15413729454028757,9061.0,0.2113549952182127,711.0,0.0165846376338317
2024,1,2024|1|cayle tern,Cayle Tern,Management Services,4588.3099999999995,10,13202.71,72,0.34752789389451105,9061.0,0.2113549952182127,711.0,0.0165846376338317
2024,1,2024|1|cayle tern,Cayle Tern,Newspaper and Other Periodical Advertising,750.0,3,13202.71,72,0.05680651926763521,9061.0,0.2113549952182127,711.0,0.0165846376338317
2024,1,2024|1|cayle tern,Cayle Tern,Unspecified,2375.42,30,13202.71,72,0.17991912266496804,9061.0,0.2113549952182127,711.0,0.0165846376338317
2024,1,2024|1|cayle tern,Cayle Tern,"Wages, Salaries, Benefits",550.0,1,13202.71,72,0.041658114129599154,9061.0,0.2113549952182127,711.0,0.0165846376338317
2024,1,2024|1|david linn,David Linn,General Operational Expenses (need description),1560.94,8,5176.49,66,0.30154409648236546,9324.0,0.2174896783373376,1111.0,0.02591495416482
2024,1,2024|1|david linn,David Linn,"Literature, Brochures, Printing",280.0,5,5176.49,66,0.05409070625076065,9324.0,0.2174896783373376,1111.0,0.02591495416482
2024,1,2024|1|david linn,David Linn,Management Services,2820.0,12,5176.49,66,0.5447706843826609,9324.0,0.2174896783373376,1111.0,0.02591495416482
2024,1,2024|1|david linn,David Linn,"Other Advertising (yard signs, buttons, etc.)",747.5,2,5176.49,66,0.14440286758015566,9324.0,0.2174896783373376,1111.0,0.02591495416482
2024,1,2024|1|david linn,David Linn,Unspecified,483.05,40,5176.49,66,0.09331612733724977,9324.0,0.2174896783373376,1111.0,0.02591495416482
2024,1,2024|1|deian salazar,Deian Salazar,General Operational Expenses (need description),1007.5,7,5326.85,76,0.18913616865502125,5262.0,0.1227403139651512,720.0,0.0167945697557789
2024,1,2024|1|deian salazar,Deian Salazar,"Literature, Brochures, Printing",70.0,1,5326.85,76,0.013140974497123065,5262.0,0.1227403139651512,720.0,0.0167945697557789
2024,1,2024|1|deian salazar,Deian Salazar,Management Services,3173.87,14,5326.85,76,0.5958249246740568,5262.0,0.1227403139651512,720.0,0.0167945697557789
2024,1,2024|1|deian salazar,Deian Salazar,Online and Social Media Advertising,187.5,1,5326.85,76,0.035199038831579633,5262.0,0.1227403139651512,720.0,0.0167945697557789
2024,1,2024|1|deian salazar,Deian Salazar,Postage,2176.4700000000003,6,5326.85,76,0.40858481091076343,5262.0,0.1227403139651512,720.0,0.0167945697557789
2024,1,2024|1|deian salazar,Deian Salazar,Unspecified,887.98,53,5326.85,76,0.16669889334221913,5262.0,0.1227403139651512,720.0,0.0167945697557789
2024,1,2024|1|joe furi,Joe Furi,General Operational Expenses (need description),330.0,1,750.0,8,0.44,4070.0,0.0949359707028061,355.0,0.0082806559212521
2024,1,2024|1|joe furi,Joe Furi,Management Services,723.75,5,750.0,8,0.965,4070.0,0.0949359707028061,355.0,0.0082806559212521
2024,1,2024|1|joe furi,Joe Furi,Unspecified,26.25,3,750.0,8,0.035,4070.0,0.0949359707028061,355.0,0.0082806559212521
2024,1,2024|1|loretta smith,Loretta Smith,"Broadcast Advertising (radio, tv)",241562.05,11,1464141.21,1510,0.1649854866116363,17984.0,0.4194910312332346,5586.0,0.1302978703552518
2024,1,2024|1|loretta smith,Loretta Smith,Cash Contribution,21119.2,54,1464141.21,1510,0.014424291766229298,17984.0,0.4194910312332346,5586.0,0.1302978703552518
2024,1,2024|1|loretta smith,Loretta Smith,Fundraising Event Expenses,70650.24,69,1464141.21,1510,0.04825370634844709,17984.0,0.4194910312332346,5586.0,0.1302978703552518
2024,1,2024|1|loretta smith,Loretta Smith,General Operational Expenses (need description),389179.81,470,1464141.21,1510,0.26580756510500786,17984.0,0.4194910312332346,5586.0,0.1302978703552518
2024,1,2024|1|loretta smith,Loretta Smith,"Literature, Brochures, Printing",248947.28,65,1464141.21,1510,0.1700295560972565,17984.0,0.4194910312332346,5586.0,0.1302978703552518
2024,1,2024|1|loretta smith,Loretta Smith,Management Services,386699.55,166,1464141.21,1510,0.26411356183328794,17984.0,0.4194910312332346,5586.0,0.1302978703552518
2024,1,2024|1|loretta smith,Loretta Smith,Newspaper and Other Periodical Advertising,1635.0,2,1464141.21,1510,0.0011166955679090544,17984.0,0.4194910312332346,5586.0,0.1302978703552518
2024,1,2024|1|loretta smith,Loretta Smith,Online and Social Media Advertising,249227.31,58,1464141.21,1510,0.1702208149718018,17984.0,0.4194910312332346,5586.0,0.1302978703552518
2024,1,2024|1|loretta smith,Loretta Smith,"Other Advertising (yard signs, buttons, etc.)",21397.629999999997,9,1464141.21,1510,0.014614457850004781,17984.0,0.4194910312332346,5586.0,0.1302978703552518
2024,1,2024|1|loretta smith,Loretta Smith,Postage,288734.75,71,1464141.21,1510,0.1972041685787944,17984.0,0.4194910312332346,5586.0,0.1302978703552518
2024,1,2024|1|loretta smith,Loretta Smith,Preparation and Production of Advertising,155462.99,15,1464141.21,1510,0.10618032532531475,17984.0,0.4194910312332346,5586.0,0.1302978703552518
2024,1,2024|1|loretta smith,Loretta Smith,Reimbursement for Personal Expenditures,78260.12000000001,63,1464141.21,1510,0.053451210488092205,17984.0,0.4194910312332346,5586.0,0.1302978703552518
2024,1,2024|1|loretta smith,Loretta Smith,Surveys and Polls,53035.05,4,1464141.21,1510,0.03622263319806428,17984.0,0.4194910312332346,5586.0,0.1302978703552518
2024,1,2024|1|loretta smith,Loretta Smith,Travel Expenses (need description),16630.68,83,1464141.21,1510,0.011358658499886088,17984.0,0.4194910312332346,5586.0,0.1302978703552518
2024,1,2024|1|loretta smith,Loretta Smith,Unspecified,21729.44,455,1464141.21,1510,0.01484108216583836,17984.0,0.4194910312332346,5586.0,0.1302978703552518
2024,1,2024|1|loretta smith,Loretta Smith,Utilities,9422.27,51,1464141.21,1510,0.006435356054215563,17984.0,0.4194910312332346,5586.0,0.1302978703552518
2024,1,2024|1|loretta smith,Loretta Smith,"Wages, Salaries, Benefits",106238.55,61,1464141.21,1510,0.07256031677436359,17984.0,0.4194910312332346,5586.0,0.1302978703552518
2024,1,2024|1|noah ernst,Noah Ernst,Fundraising Event Expenses,573.5,2,60028.06,136,0.009553865308990496,11606.0,0.2707191341466259,4052.0,0.0945161064589116
2024,1,2024|1|noah ernst,Noah Ernst,General Operational Expenses (need description),5551.32,20,60028.06,136,0.09247875077088948,11606.0,0.2707191341466259,4052.0,0.0945161064589116
2024,1,2024|1|noah ernst,Noah Ernst,"Literature, Brochures, Printing",9458.5,10,60028.06,136,0.15756797737591388,11606.0,0.2707191341466259,4052.0,0.0945161064589116
2024,1,2024|1|noah ernst,Noah Ernst,Management Services,10427.49,16,60028.06,136,0.17371026150103802,11606.0,0.2707191341466259,4052.0,0.0945161064589116
2024,1,2024|1|noah ernst,Noah Ernst,Online and Social Media Advertising,15930.8,48,60028.06,136,0.26538921964161427,11606.0,0.2707191341466259,4052.0,0.0945161064589116
2024,1,2024|1|noah ernst,Noah Ernst,"Other Advertising (yard signs, buttons, etc.)",1979.65,8,60028.06,136,0.03297874360757286,11606.0,0.2707191341466259,4052.0,0.0945161064589116
2024,1,2024|1|noah ernst,Noah Ernst,Postage,7031.2,2,60028.06,136,0.11713188798705139,11606.0,0.2707191341466259,4052.0,0.0945161064589116
2024,1,2024|1|noah ernst,Noah Ernst,Preparation and Production of Advertising,10200.0,1,60028.06,136,0.16992053383034536,11606.0,0.2707191341466259,4052.0,0.0945161064589116
2024,1,2024|1|noah ernst,Noah Ernst,Reimbursement for Personal Expenditures,5905.59,7,60028.06,136,0.09838049072383816,11606.0,0.2707191341466259,4052.0,0.0945161064589116
2024,1,2024|1|noah ernst,Noah Ernst,Unspecified,635.51,24,60028.06,136,0.010586882201423802,11606.0,0.2707191341466259,4052.0,0.0945161064589116
2024,1,2024|1|noah ernst,Noah Ernst,Utilities,126.0,1,60028.06,136,0.0020990183590807367,11606.0,0.2707191341466259,4052.0,0.0945161064589116
2024,1,2024|1|steph routh,Steph Routh,Fundraising Event Expenses,4740.82,347,201809.37,572,0.023491575242517233,20440.0,0.4767791747335028,3894.0,0.0908306314291712
2024,1,2024|1|steph routh,Steph Routh,General Operational Expenses (need description),31090.35,83,201809.37,572,0.1540580102896114,20440.0,0.4767791747335028,3894.0,0.0908306314291712
2024,1,2024|1|steph routh,Steph Routh,"Literature, Brochures, Printing",42562.990000000005,15,201809.37,572,0.21090690684976623,20440.0,0.4767791747335028,3894.0,0.0908306314291712
2024,1,2024|1|steph routh,Steph Routh,Management Services,16765.0,6,201809.37,572,0.0830734469861335,20440.0,0.4767791747335028,3894.0,0.0908306314291712
2024,1,2024|1|steph routh,Steph Routh,Online and Social Media Advertising,49442.19,10,201809.37,572,0.24499452131484284,20440.0,0.4767791747335028,3894.0,0.0908306314291712
2024,1,2024|1|steph routh,Steph Routh,"Other Advertising (yard signs, buttons, etc.)",3743.97,3,201809.37,572,0.01855201272369068,20440.0,0.4767791747335028,3894.0,0.0908306314291712
2024,1,2024|1|steph routh,Steph Routh,Postage,32375.690000000002,4,201809.37,572,0.16042709017921222,20440.0,0.4767791747335028,3894.0,0.0908306314291712
2024,1,2024|1|steph routh,Steph Routh,Preparation and Production of Advertising,3500.0,3,201809.37,572,0.01734309957956858,20440.0,0.4767791747335028,3894.0,0.0908306314291712
2024,1,2024|1|steph routh,Steph Routh,Reimbursement for Personal Expenditures,1954.15,6,201809.37,572,0.009683148012403983,20440.0,0.4767791747335028,3894.0,0.0908306314291712
2024,1,2024|1|steph routh,Steph Routh,Unspecified,3542.99,66,201809.37,572,0.017556122394118766,20440.0,0.4767791747335028,3894.0,0.0908306314291712
2024,1,2024|1|steph routh,Steph Routh,"Wages, Salaries, Benefits",43972.71,30,201809.37,572,0.21789231094671174,20440.0,0.4767791747335028,3894.0,0.0908306314291712
2024,1,2024|1|terrence hayes,Terrence Hayes,"Broadcast Advertising (radio, tv)",3243.75,3,92626.13,197,0.03501981568268047,15967.0,0.372442910125726,3975.0,0.0927200205266963
2024,1,2024|1|terrence hayes,Terrence Hayes,Fundraising Event Expenses,1438.87,4,92626.13,197,0.015534169461684299,15967.0,0.372442910125726,3975.0,0.0927200205266963
2024,1,2024|1|terrence hayes,Terrence Hayes,General Operational Expenses (need description),21429.25,51,92626.13,197,0.23135210334276082,15967.0,0.372442910125726,3975.0,0.0927200205266963
2024,1,2024|1|terrence hayes,Terrence Hayes,"Literature, Brochures, Printing",16888.22,9,92626.13,197,0.18232673652672307,15967.0,0.372442910125726,3975.0,0.0927200205266963
2024,1,2024|1|terrence hayes,Terrence Hayes,Management Services,31477.079999999998,24,92626.13,197,0.3398293764405357,15967.0,0.372442910125726,3975.0,0.0927200205266963
2024,1,2024|1|terrence hayes,Terrence Hayes,Newspaper and Other Periodical Advertising,1026.0,1,92626.13,197,0.011076787943099856,15967.0,0.372442910125726,3975.0,0.0927200205266963
2024,1,2024|1|terrence hayes,Terrence Hayes,Online and Social Media Advertising,12719.66,31,92626.13,197,0.13732258920889817,15967.0,0.372442910125726,3975.0,0.0927200205266963
2024,1,2024|1|terrence hayes,Terrence Hayes,"Other Advertising (yard signs, buttons, etc.)",14502.1,4,92626.13,197,0.15656597117897508,15967.0,0.372442910125726,3975.0,0.0927200205266963
2024,1,2024|1|terrence hayes,Terrence Hayes,Postage,10384.41,8,92626.13,197,0.11211102093977153,15967.0,0.372442910125726,3975.0,0.0927200205266963
2024,1,2024|1|terrence hayes,Terrence Hayes,Preparation and Production of Advertising,10323.5,8,92626.13,197,0.11145343112143409,15967.0,0.372442910125726,3975.0,0.0927200205266963
2024,1,2024|1|terrence hayes,Terrence Hayes,Reimbursement for Personal Expenditures,7956.02,22,92626.13,197,0.08589390488407538,15967.0,0.372442910125726,3975.0,0.0927200205266963
2024,1,2024|1|terrence hayes,Terrence Hayes,Travel Expenses (need description),400.56,6,92626.13,197,0.00432448165544647,15967.0,0.372442910125726,3975.0,0.0927200205266963
2024,1,2024|1|terrence hayes,Terrence Hayes,Unspecified,1694.18,45,92626.13,197,0.018290519100819608,15967.0,0.372442910125726,3975.0,0.0927200205266963
2024,1,2024|1|thomas shervey,Thomas Shervey,General Operational Expenses (need description),630.0,2,2223.98,25,0.2832759287403664,3507.0,0.08180355018544,385.0,0.0089804296610762
2024,1,2024|1|thomas shervey,Thomas Shervey,Management Services,665.76,6,2223.98,25,0.29935521002886717,3507.0,0.08180355018544,385.0,0.0089804296610762
2024,1,2024|1|thomas shervey,Thomas Shervey,Postage,55.76,1,2223.98,25,0.02507216791517909,3507.0,0.08180355018544,385.0,0.0089804296610762
2024,1,2024|1|thomas shervey,Thomas Shervey,Unspecified,1258.22,18,2223.98,25,0.5657514905709584,3507.0,0.08180355018544,385.0,0.0089804296610762
2024,1,2024|1|timur ender,Timur Ender,Fundraising Event Expenses,800.0,1,157642.42,160,0.005074776192854689,16858.0,0.3932261901985024,3550.0,0.0828065592125212
2024,1,2024|1|timur ender,Timur Ender,"Literature, Brochures, Printing",1980.0,3,157642.42,160,0.012560071077315356,16858.0,0.3932261901985024,3550.0,0.0828065592125212
2024,1,2024|1|timur ender,Timur Ender,Management Services,2733.0,1,157642.42,160,0.017336704168839832,16858.0,0.3932261901985024,3550.0,0.0828065592125212
2024,1,2024|1|timur ender,Timur Ender,"Other Advertising (yard signs, buttons, etc.)",6295.0,3,157642.42,160,0.039932145167525336,16858.0,0.3932261901985024,3550.0,0.0828065592125212
2024,1,2024|1|timur ender,Timur Ender,Reimbursement for Personal Expenditures,10276.44,7,157642.42,160,0.06518829132412456,16858.0,0.3932261901985024,3550.0,0.0828065592125212
2024,1,2024|1|timur ender,Timur Ender,Unspecified,135557.98,145,157642.42,160,0.8599080120693402,16858.0,0.3932261901985024,3550.0,0.0828065592125212
2024,2,2024|2|bob simril,Bob Simril,"Broadcast Advertising (radio, tv)",10000.0,2,80881.96,179,0.12363696428721559,11062.0,0.143370011794134,2520.0,0.0326606788755394
2024,2,2024|2|bob simril,Bob Simril,General Operational Expenses (need description),20650.8,60,80881.96,179,0.25532022221024314,11062.0,0.143370011794134,2520.0,0.0326606788755394
2024,2,2024|2|bob simril,Bob Simril,"Literature, Brochures, Printing",9910.75,15,80881.96,179,0.12253350438095219,11062.0,0.143370011794134,2520.0,0.0326606788755394
