year,district,candidate_key,canonical_candidate,contribution_bin,amount,contribution_count,total_amount,total_contribution_count,amount_share,contribution_share
2024,1,2024|1|candace avalos,Candace Avalos,Micro,15993.76,1081,58893.8,1494,0.27156950307163064,0.7235609103078983
2024,1,2024|1|candace avalos,Candace Avalos,Small,22049.96,353,58893.8,1494,0.37440205929996023,0.2362784471218206
2024,1,2024|1|candace avalos,Candace Avalos,Medium,7116.39,33,58893.8,1494,0.12083428136747841,0.02208835341365462
2024,1,2024|1|candace avalos,Candace Avalos,Large,9946.04,25,58893.8,1494,0.16888093483524583,0.01673360107095047
2024,1,2024|1|candace avalos,Candace Avalos,Mega,3787.65,2,58893.8,1494,0.06431322142568488,0.0013386880856760374
2024,1,2024|1|cayle tern,Cayle Tern,Micro,3135.0,261,7395.0,313,0.4239350912778905,0.8338658146964856
2024,1,2024|1|cayle tern,Cayle Tern,Small,3160.0,48,7395.0,313,0.427315753887762,0.15335463258785942
2024,1,2024|1|cayle tern,Cayle Tern,Medium,750.0,3,7395.0,313,0.10141987829614604,0.009584664536741214
2024,1,2024|1|cayle tern,Cayle Tern,Large,350.0,1,7395.0,313,0.04732927653820149,0.003194888178913738
2024,1,2024|1|cayle tern,Cayle Tern,Mega,0.0,0,7395.0,313,0.0,0.0
2024,1,2024|1|david linn,David Linn,Micro,1272.0,91,4776.99,130,0.2662764627935164,0.7
2024,1,2024|1|david linn,David Linn,Small,2200.0,34,4776.99,130,0.4605410520013649,0.26153846153846155
2024,1,2024|1|david linn,David Linn,Medium,805.0,4,4776.99,130,0.1685161576641358,0.03076923076923077
2024,1,2024|1|david linn,David Linn,Large,499.99,1,4776.99,130,0.10466632754098293,0.007692307692307693
2024,1,2024|1|david linn,David Linn,Mega,0.0,0,4776.99,130,0.0,0.0
2024,1,2024|1|deian salazar,Deian Salazar,Micro,485.0,41,1380.0,54,0.35144927536231885,0.7592592592592593
2024,1,2024|1|deian salazar,Deian Salazar,Small,695.0,12,1380.0,54,0.5036231884057971,0.2222222222222222
2024,1,2024|1|deian salazar,Deian Salazar,Medium,200.0,1,1380.0,54,0.14492753623188406,0.018518518518518517
2024,1,2024|1|deian salazar,Deian Salazar,Large,0.0,0,1380.0,54,0.0,0.0
2024,1,2024|1|deian salazar,Deian Salazar,Mega,0.0,0,1380.0,54,0.0,0.0
2024,1,2024|1|doug clove,Doug Clove,Micro,125.0,8,1505.0,13,0.08305647840531562,0.6153846153846154
2024,1,2024|1|doug clove,Doug Clove,Small,150.0,2,1505.0,13,0.09966777408637874,0.15384615384615385
2024,1,2024|1|doug clove,Doug Clove,Medium,250.0,1,1505.0,13,0.16611295681063123,0.07692307692307693
2024,1,2024|1|doug clove,Doug Clove,Large,980.0,2,1505.0,13,0.6511627906976745,0.15384615384615385
2024,1,2024|1|doug clove,Doug Clove,Mega,0.0,0,1505.0,13,0.0,0.0
2024,1,2024|1|jamie dunphy,Jamie Dunphy,Micro,10663.76,860,35174.53,1055,0.30316709277991777,0.8151658767772512
2024,1,2024|1|jamie dunphy,Jamie Dunphy,Small,9286.52,151,35174.53,1055,0.2640126250443148,0.14312796208530806
2024,1,2024|1|jamie dunphy,Jamie Dunphy,Medium,4765.0,22,35174.53,1055,0.13546733957781384,0.02085308056872038
2024,1,2024|1|jamie dunphy,Jamie Dunphy,Large,8168.0,21,35174.53,1055,0.23221347946937743,0.01990521327014218
2024,1,2024|1|jamie dunphy,Jamie Dunphy,Mega,2291.25,1,35174.53,1055,0.06513946312857627,0.0009478672985781991
2024,1,2024|1|joe furi,Joe Furi,Micro,9.96,4,813.95,11,0.012236623871245163,0.36363636363636365
2024,1,2024|1|joe furi,Joe Furi,Small,303.99,6,813.95,11,0.37347502917869646,0.5454545454545454
2024,1,2024|1|joe furi,Joe Furi,Medium,0.0,0,813.95,11,0.0,0.0
2024,1,2024|1|joe furi,Joe Furi,Large,500.0,1,813.95,11,0.6142883469500583,0.09090909090909091
2024,1,2024|1|joe furi,Joe Furi,Mega,0.0,0,813.95,11,0.0,0.0
2024,1,2024|1|loretta smith,Loretta Smith,Micro,5887.0,286,43744.96,517,0.13457550309795688,0.5531914893617021
2024,1,2024|1|loretta smith,Loretta Smith,Small,10725.0,144,43744.96,517,0.2451711008536755,0.27852998065764023
2024,1,2024|1|loretta smith,Loretta Smith,Medium,8028.0,36,43744.96,517,0.18351828416347848,0.06963249516441006
2024,1,2024|1|loretta smith,Loretta Smith,Large,19104.96,51,43744.96,517,0.4367351118848891,0.09864603481624758
2024,1,2024|1|loretta smith,Loretta Smith,Mega,0.0,0,43744.96,517,0.0,0.0
2024,1,2024|1|noah ernst,Noah Ernst,Micro,4620.0,337,12993.18,416,0.3555711534820575,0.8100961538461539
2024,1,2024|1|noah ernst,Noah Ernst,Small,3870.0,66,12993.18,416,0.29784856363107415,0.15865384615384615
2024,1,2024|1|noah ernst,Noah Ernst,Medium,1150.0,5,12993.18,416,0.08850797110484115,0.01201923076923077
2024,1,2024|1|noah ernst,Noah Ernst,Large,3353.18,8,12993.18,416,0.25807231178202716,0.019230769230769232
2024,1,2024|1|noah ernst,Noah Ernst,Mega,0.0,0,12993.18,416,0.0,0.0
2024,1,2024|1|steph routh,Steph Routh,Micro,21762.91,1422,76006.70999999999,1975,0.28632879912839276,0.72
2024,1,2024|1|steph routh,Steph Routh,Small,31332.8,471,76006.70999999999,1975,0.41223728799733605,0.23848101265822785
2024,1,2024|1|steph routh,Steph Routh,Medium,10701.0,51,76006.70999999999,1975,0.14079020128617592,0.025822784810126582
2024,1,2024|1|steph routh,Steph Routh,Large,12210.0,31,76006.70999999999,1975,0.16064371158809534,0.01569620253164557
2024,1,2024|1|steph routh,Steph Routh,Mega,0.0,0,76006.70999999999,1975,0.0,0.0
2024,1,2024|1|terrence hayes,Terrence Hayes,Micro,10461.89,748,36108.05,963,0.2897384378275758,0.7767393561786086
2024,1,2024|1|terrence hayes,Terrence Hayes,Small,12338.01,165,36108.05,963,0.3416969346170729,0.17133956386292834
2024,1,2024|1|terrence hayes,Terrence Hayes,Medium,5877.13,29,36108.05,963,0.16276508977914897,0.030114226375908618
2024,1,2024|1|terrence hayes,Terrence Hayes,Large,7431.02,21,36108.05,963,0.20579953777620225,0.021806853582554516
2024,1,2024|1|terrence hayes,Terrence Hayes,Mega,0.0,0,36108.05,963,0.0,0.0
2024,1,2024|1|thomas shervey,Thomas Shervey,Micro,100.0,11,1060.0,21,0.09433962264150944,0.5238095238095238
2024,1,2024|1|thomas shervey,Thomas Shervey,Small,710.0,9,1060.0,21,0.6698113207547169,0.42857142857142855
2024,1,2024|1|thomas shervey,Thomas Shervey,Medium,250.0,1,1060.0,21,0.2358490566037736,0.047619047619047616
2024,1,2024|1|thomas shervey,Thomas Shervey,Large,0.0,0,1060.0,21,0.0,0.0
2024,1,2024|1|thomas shervey,Thomas Shervey,Mega,0.0,0,1060.0,21,0.0,0.0
2024,1,2024|1|timur ender,Timur Ender,Micro,12693.0,840,61809.84,1260,0.20535565210976117,0.6666666666666666
2024,1,2024|1|timur ender,Timur Ender,Small,20985.09,315,61809.84,1260,0.3395105051234561,0.25
2024,1,2024|1|timur ender,Timur Ender,Medium,12149.0,62,61809.84,1260,0.19655446446714633,0.049206349206349205
2024,1,2024|1|timur ender,Timur Ender,Large,15982.75,43,61809.84,1260,0.25857937829963645,0.034126984126984124
2024,1,2024|1|timur ender,Timur Ender,Mega,0.0,0,61809.84,1260,0.0,0.0
2024,2,2024|2|bob simril,Bob Simril,Micro,4230.0,284,26230.0,424,0.16126572626763247,0.6698113207547169
2024,2,2024|2|bob simril,Bob Simril,Small,6470.0,94,26230.0,424,0.24666412504765536,0.22169811320754718
2024,2,2024|2|bob simril,Bob Simril,Medium,3200.0,15,26230.0,424,0.12199771254288982,0.03537735849056604
2024,2,2024|2|bob simril,Bob Simril,Large,12330.0,31,26230.0,424,0.4700724361418223,0.07311320754716981
2024,2,2024|2|bob simril,Bob Simril,Mega,0.0,0,26230.0,424,0.0,0.0
2024,2,2024|2|chris olson,Chris Olson,Micro,3709.46,353,7272.45,389,0.5100701964262387,0.9074550128534704
2024,2,2024|2|chris olson,Chris Olson,Small,2163.99,33,7272.45,389,0.29755996947383617,0.08483290488431877
2024,2,2024|2|chris olson,Chris Olson,Medium,0.0,0,7272.45,389,0.0,0.0
2024,2,2024|2|chris olson,Chris Olson,Large,1399.0,3,7272.45,389,0.19236983409992506,0.007712082262210797
2024,2,2024|2|chris olson,Chris Olson,Mega,0.0,0,7272.45,389,0.0,0.0
2024,2,2024|2|dan ryan,Dan Ryan,Micro,9948.0,481,120133.0,1151,0.08280822088851524,0.41789748045178104
2024,2,2024|2|dan ryan,Dan Ryan,Small,31732.0,411,120133.0,1151,0.2641405775265747,0.35708079930495223
2024,2,2024|2|dan ryan,Dan Ryan,Medium,25603.0,112,120133.0,1151,0.21312212298036343,0.09730668983492616
2024,2,2024|2|dan ryan,Dan Ryan,Large,52850.0,147,120133.0,1151,0.4399290786045466,0.12771503040834056
2024,2,2024|2|dan ryan,Dan Ryan,Mega,0.0,0,120133.0,1151,0.0,0.0
2024,2,2024|2|debbie kitchin,Debbie Kitchin,Micro,4338.0,242,34884.880000000005,460,0.12435186820192586,0.5260869565217391
2024,2,2024|2|debbie kitchin,Debbie Kitchin,Small,11267.0,153,34884.880000000005,460,0.32297660189744093,0.33260869565217394
2024,2,2024|2|debbie kitchin,Debbie Kitchin,Medium,6524.88,31,34884.880000000005,460,0.18704034527279437,0.06739130434782609
2024,2,2024|2|debbie kitchin,Debbie Kitchin,Large,12755.0,34,34884.880000000005,460,0.3656311846278387,0.07391304347826087
2024,2,2024|2|debbie kitchin,Debbie Kitchin,Mega,0.0,0,34884.880000000005,460,0.0,0.0
2024,2,2024|2|elana pirtle guiney,Elana Pirtle-Guiney,Micro,6691.97,354,47039.93,615,0.14226147870543177,0.5756097560975609
2024,2,2024|2|elana pirtle guiney,Elana Pirtle-Guiney,Small,12512.65,179,47039.93,615,0.2660006084192727,0.2910569105691057
2024,2,2024|2|elana pirtle guiney,Elana Pirtle-Guiney,Medium,8640.31,42,47039.93,615,0.18368033285763816,0.06829268292682927
2024,2,2024|2|elana pirtle guiney,Elana Pirtle-Guiney,Large,14695.0,39,47039.93,615,0.3123941723552735,0.06341463414634146
2024,2,2024|2|elana pirtle guiney,Elana Pirtle-Guiney,Mega,4500.0,1,47039.93,615,0.09566340766238385,0.0016260162601626016
2024,2,2024|2|james armstrong,James Armstrong,Micro,4615.0,265,25246.18,426,0.1827999325046403,0.6220657276995305
2024,2,2024|2|james armstrong,James Armstrong,Small,8671.18,124,25246.18,426,0.34346503114530597,0.29107981220657275
2024,2,2024|2|james armstrong,James Armstrong,Medium,3780.0,17,25246.18,426,0.1497256218564551,0.03990610328638498
2024,2,2024|2|james armstrong,James Armstrong,Large,8180.0,20,25246.18,426,0.32400941449359866,0.046948356807511735
2024,2,2024|2|james armstrong,James Armstrong,Mega,0.0,0,25246.18,426,0.0,0.0
2024,2,2024|2|jennifer park,Jennifer Park,Micro,4516.62,343,15950.86,418,0.283158400236727,0.8205741626794258
2024,2,2024|2|jennifer park,Jennifer Park,Small,3613.6,54,15950.86,418,0.2265457787229027,0.1291866028708134
2024,2,2024|2|jennifer park,Jennifer Park,Medium,1099.48,5,15950.86,418,0.0689291988018201,0.011961722488038277
2024,2,2024|2|jennifer park,Jennifer Park,Large,6721.16,16,15950.86,418,0.42136662223855015,0.03827751196172249
2024,2,2024|2|jennifer park,Jennifer Park,Mega,0.0,0,15950.86,418,0.0,0.0
2024,2,2024|2|jonathan tasini,Jonathan Tasini,Micro,6720.56,431,49453.07,717,0.13589773091943536,0.601115760111576
2024,2,2024|2|jonathan tasini,Jonathan Tasini,Small,12506.69,190,49453.07,717,0.25290017384158353,0.2649930264993027
2024,2,2024|2|jonathan tasini,Jonathan Tasini,Medium,6401.34,34,49453.07,717,0.12944272216062622,0.04741980474198047
2024,2,2024|2|jonathan tasini,Jonathan Tasini,Large,23824.48,62,49453.07,717,0.48175937307835487,0.08647140864714087
2024,2,2024|2|jonathan tasini,Jonathan Tasini,Mega,0.0,0,49453.07,717,0.0,0.0
2024,2,2024|2|laura streib,Laura Streib,Micro,3498.29,236,10718.42,318,0.3263811270691016,0.7421383647798742
2024,2,2024|2|laura streib,Laura Streib,Small,2805.03,56,10718.42,318,0.2617018179918309,0.1761006289308176
2024,2,2024|2|laura streib,Laura Streib,Medium,2565.1,21,10718.42,318,0.23931698888455574,0.0660377358490566
2024,2,2024|2|laura streib,Laura Streib,Large,1850.0,5,10718.42,318,0.17260006605451175,0.015723270440251572
2024,2,2024|2|laura streib,Laura Streib,Mega,0.0,0,10718.42,318,0.0,0.0
2024,2,2024|2|mariah hudson,Mariah Hudson,Micro,10230.0,710,74201.68,1112,0.13786749841782558,0.6384892086330936
2024,2,2024|2|mariah hudson,Mariah Hudson,Small,17643.1,253,74201.68,1112,0.2377722445098278,0.2275179856115108
2024,2,2024|2|mariah hudson,Mariah Hudson,Medium,11693.6,56,74201.68,1112,0.15759211920808264,0.050359712230215826
2024,2,2024|2|mariah hudson,Mariah Hudson,Large,34634.98,93,74201.68,1112,0.4667681378642641,0.08363309352517985
2024,2,2024|2|mariah hudson,Mariah Hudson,Mega,0.0,0,74201.68,1112,0.0,0.0
2024,2,2024|2|marnie glickman,Marnie Glickman,Micro,10126.0,863,34318.0,1090,0.2950638149076287,0.791743119266055
2024,2,2024|2|marnie glickman,Marnie Glickman,Small,12396.0,188,34318.0,1090,0.36120986071449385,0.1724770642201835
2024,2,2024|2|marnie glickman,Marnie Glickman,Medium,3956.0,20,34318.0,1090,0.11527478291275715,0.01834862385321101
