year,district,candidate_key,canonical_candidate,amount_micro,amount_small,amount_medium,amount_large,amount_mega,amount_share_micro,amount_share_small,amount_share_medium,amount_share_large,amount_share_mega,contribution_count_micro,contribution_count_small,contribution_count_medium,contribution_count_large,contribution_count_mega,contribution_share_micro,contribution_share_small,contribution_share_medium,contribution_share_large,contribution_share_mega,total_amount,total_contribution_count,average_contribution,median_contribution,min_contribution,max_contribution,std_contribution
2024,1,2024|1|candace avalos,Candace Avalos,15993.76,22049.96,7116.39,9946.04,3787.65,0.27156950307163064,0.37440205929996023,0.12083428136747841,0.16888093483524583,0.06431322142568488,1081,353,33,25,2,0.7235609103078983,0.2362784471218206,0.02208835341365462,0.01673360107095047,0.0013386880856760374,58893.8,1494,39.42021419009371,20.0,1.0,2292.25,92.90650241134406
2024,1,2024|1|cayle tern,Cayle Tern,3135.0,3160.0,750.0,350.0,0.0,0.4239350912778905,0.427315753887762,0.10141987829614604,0.04732927653820149,0.0,261,48,3,1,0,0.8338658146964856,0.15335463258785942,0.009584664536741214,0.003194888178913738,0.0,7395.0,313,23.62619808306709,10.0,5.0,350.0,36.8298785293446
2024,1,2024|1|david linn,David Linn,1272.0,2200.0,805.0,499.99,0.0,0.2662764627935164,0.4605410520013649,0.1685161576641358,0.10466632754098293,0.0,91,34,4,1,0,0.7,0.26153846153846155,0.03076923076923077,0.007692307692307693,0.0,4776.99,130,36.74607692307692,20.0,5.0,499.99,58.04458044123231
2024,1,2024|1|deian salazar,Deian Salazar,485.0,695.0,200.0,0.0,0.0,0.35144927536231885,0.5036231884057971,0.14492753623188406,0.0,0.0,41,12,1,0,0,0.7592592592592593,0.2222222222222222,0.018518518518518517,0.0,0.0,1380.0,54,25.555555555555557,20.0,5.0,200.0,32.45703497697926
2024,1,2024|1|doug clove,Doug Clove,125.0,150.0,250.0,980.0,0.0,0.08305647840531562,0.09966777408637874,0.16611295681063123,0.6511627906976745,0.0,8,2,1,2,0,0.6153846153846154,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.0,1505.0,13,115.76923076923077,20.0,5.0,500.0,178.77879900692636
2024,1,2024|1|jamie dunphy,Jamie Dunphy,10663.76,9286.52,4765.0,8168.0,2291.25,0.30316709277991777,0.2640126250443148,0.13546733957781384,0.23221347946937743,0.06513946312857627,860,151,22,21,1,0.8151658767772512,0.14312796208530806,0.02085308056872038,0.01990521327014218,0.0009478672985781991,35174.53,1055,33.34078672985782,10.0,1.0,2291.25,93.86551865644925
2024,1,2024|1|joe furi,Joe Furi,9.96,303.99,0.0,500.0,0.0,0.012236623871245163,0.37347502917869646,0.0,0.6142883469500583,0.0,4,6,0,1,0,0.36363636363636365,0.5454545454545454,0.0,0.09090909090909091,0.0,813.95,11,73.99545454545455,31.86,2.49,500.0,144.5782825574876
2024,1,2024|1|loretta smith,Loretta Smith,5887.0,10725.0,8028.0,19104.96,0.0,0.13457550309795688,0.2451711008536755,0.18351828416347848,0.4367351118848891,0.0,286,144,36,51,0,0.5531914893617021,0.27852998065764023,0.06963249516441006,0.09864603481624758,0.0,43744.96,517,84.61307543520309,25.0,5.0,500.0,112.78654120400928
2024,1,2024|1|noah ernst,Noah Ernst,4620.0,3870.0,1150.0,3353.18,0.0,0.3555711534820575,0.29784856363107415,0.08850797110484115,0.25807231178202716,0.0,337,66,5,8,0,0.8100961538461539,0.15865384615384615,0.01201923076923077,0.019230769230769232,0.0,12993.18,416,31.23360576923077,20.0,5.0,803.18,66.10459493336637
2024,1,2024|1|steph routh,Steph Routh,21762.91,31332.8,10701.0,12210.0,0.0,0.2863287991283927,0.412237287997336,0.1407902012861759,0.1606437115880953,0.0,1422,471,51,31,0,0.72,0.23848101265822785,0.025822784810126582,0.01569620253164557,0.0,76006.71,1975,38.48441012658228,20.24,2.0,500.0,60.52112896927989
2024,1,2024|1|terrence hayes,Terrence Hayes,10461.89,12338.01,5877.13,7431.02,0.0,0.2897384378275758,0.3416969346170729,0.16276508977914897,0.20579953777620225,0.0,748,165,29,21,0,0.7767393561786086,0.17133956386292834,0.030114226375908618,0.021806853582554516,0.0,36108.05,963,37.4953790238837,20.0,5.0,500.0,62.77301603505994
2024,1,2024|1|thomas shervey,Thomas Shervey,100.0,710.0,250.0,0.0,0.0,0.09433962264150944,0.6698113207547169,0.2358490566037736,0.0,0.0,11,9,1,0,0,0.5238095238095238,0.42857142857142855,0.047619047619047616,0.0,0.0,1060.0,21,50.476190476190474,25.0,5.0,250.0,59.956333316522155
2024,1,2024|1|timur ender,Timur Ender,12693.0,20985.09,12149.0,15982.75,0.0,0.20535565210976117,0.3395105051234561,0.19655446446714633,0.25857937829963645,0.0,840,315,62,43,0,0.6666666666666666,0.25,0.049206349206349205,0.034126984126984124,0.0,61809.84,1260,49.05542857142857,20.0,1.0,500.0,77.03645738464965
2024,2,2024|2|bob simril,Bob Simril,4230.0,6470.0,3200.0,12330.0,0.0,0.16126572626763247,0.24666412504765536,0.12199771254288982,0.4700724361418223,0.0,284,94,15,31,0,0.6698113207547169,0.22169811320754718,0.03537735849056604,0.07311320754716981,0.0,26230.0,424,61.863207547169814,25.0,5.0,500.0,105.69625137934064
2024,2,2024|2|chris olson,Chris Olson,3709.46,2163.99,0.0,1399.0,0.0,0.5100701964262387,0.29755996947383617,0.0,0.19236983409992506,0.0,353,33,0,3,0,0.9074550128534704,0.08483290488431877,0.0,0.007712082262210797,0.0,7272.45,389,18.695244215938303,10.0,3.0,500.0,43.76659790902659
2024,2,2024|2|dan ryan,Dan Ryan,9948.0,31732.0,25603.0,52850.0,0.0,0.08280822088851524,0.2641405775265747,0.21312212298036343,0.4399290786045466,0.0,481,411,112,147,0,0.41789748045178104,0.35708079930495223,0.09730668983492616,0.12771503040834056,0.0,120133.0,1151,104.37271937445699,50.0,5.0,500.0,116.62370966111612
2024,2,2024|2|debbie kitchin,Debbie Kitchin,4338.0,11267.0,6524.88,12755.0,0.0,0.12435186820192588,0.322976601897441,0.18704034527279442,0.3656311846278388,0.0,242,153,31,34,0,0.5260869565217391,0.33260869565217394,0.06739130434782609,0.07391304347826087,0.0,34884.88,460,75.8366956521739,25.0,5.0,500.0,102.26739894346086
2024,2,2024|2|elana pirtle guiney,Elana Pirtle-Guiney,6691.97,12512.65,8640.31,14695.0,4500.0,0.14226147870543177,0.2660006084192727,0.18368033285763816,0.3123941723552735,0.09566340766238385,354,179,42,39,1,0.5756097560975609,0.2910569105691057,0.06829268292682927,0.06341463414634146,0.0016260162601626016,47039.93,615,76.48769105691056,25.0,5.0,4500.0,203.18455334445852
2024,2,2024|2|james armstrong,James Armstrong,4615.0,8671.18,3780.0,8180.0,0.0,0.1827999325046403,0.34346503114530597,0.1497256218564551,0.32400941449359866,0.0,265,124,17,20,0,0.6220657276995305,0.29107981220657275,0.03990610328638498,0.046948356807511735,0.0,25246.18,426,59.263333333333335,25.0,5.0,500.0,92.13018221250738
2024,2,2024|2|jennifer park,Jennifer Park,4516.62,3613.6,1099.48,6721.16,0.0,0.283158400236727,0.2265457787229027,0.0689291988018201,0.42136662223855015,0.0,343,54,5,16,0,0.8205741626794258,0.1291866028708134,0.011961722488038277,0.03827751196172249,0.0,15950.86,418,38.15995215311005,10.0,5.0,518.89,83.39691524522814
2024,2,2024|2|jonathan tasini,Jonathan Tasini,6720.56,12506.69,6401.34,23824.48,0.0,0.13589773091943536,0.25290017384158353,0.12944272216062622,0.48175937307835487,0.0,431,190,34,62,0,0.601115760111576,0.2649930264993027,0.04741980474198047,0.08647140864714087,0.0,49453.07,717,68.97220362622036,20.0,1.0,763.49,109.79069573255707
2024,2,2024|2|laura streib,Laura Streib,3498.29,2805.03,2565.1,1850.0,0.0,0.3263811270691016,0.2617018179918309,0.23931698888455574,0.17260006605451175,0.0,236,56,21,5,0,0.7421383647798742,0.1761006289308176,0.0660377358490566,0.015723270440251572,0.0,10718.42,318,33.70572327044025,20.95,5.0,500.0,53.47047549325917
2024,2,2024|2|mariah hudson,Mariah Hudson,10230.0,17643.1,11693.6,34634.98,0.0,0.13786749841782558,0.2377722445098278,0.15759211920808264,0.4667681378642641,0.0,710,253,56,93,0,0.6384892086330936,0.2275179856115108,0.050359712230215826,0.08363309352517985,0.0,74201.68,1112,66.72812949640287,25.0,5.0,763.49,107.01484800833872
2024,2,2024|2|marnie glickman,Marnie Glickman,10126.0,12396.0,3956.0,7840.0,0.0,0.2950638149076287,0.36120986071449385,0.11527478291275715,0.22845154146512034,0.0,863,188,20,19,0,0.791743119266055,0.1724770642201835,0.01834862385321101,0.01743119266055046,0.0,34318.0,1090,31.48440366972477,10.0,1.0,500.0,62.059498058160614
2024,2,2024|2|michael mike marshall,Michael (Mike) Marshall,6333.0,16714.0,13677.82,18350.0,0.0,0.11498902765365371,0.3034780685620035,0.24834979033975962,0.33318311344458323,0.0,321,233,61,48,0,0.4841628959276018,0.3514328808446455,0.09200603318250378,0.07239819004524888,0.0,55074.82,663,83.06911010558069,29.0,5.0,500.0,105.10218984796799
2024,2,2024|2|michelle depass,Michelle DePass,7739.41,14069.0,4344.88,6425.0,0.0,0.23756342030229333,0.43185200942099783,0.1333673437126381,0.19721722656407073,0.0,474,208,21,17,0,0.6583333333333333,0.28888888888888886,0.029166666666666667,0.02361111111111111,0.0,32578.29,720,45.247625,25.0,1.36,600.0,67.4481884874212
2024,2,2024|2|nabil zaghloul,Nabil Zaghloul,11884.0,6924.0,2076.0,5600.0,0.0,0.4487237577405226,0.26144086995922067,0.07838695061169007,0.21144842168856667,0.0,984,103,10,14,0,0.8856885688568857,0.0927092709270927,0.009000900090009001,0.012601260126012601,0.0,26484.0,1111,23.837983798379838,10.0,1.0,500.0,50.89914809357804
2024,2,2024|2|nat west,Nat West,18105.35,20976.81,4600.78,8232.7,0.0,0.34874558032993525,0.4040556949697625,0.0886203078686885,0.15857841683161378,0.0,1237,363,26,23,0,0.7501516070345664,0.22013341419041843,0.015767131594906003,0.013947847180109158,0.0,51915.64,1649,31.48310491206792,20.0,1.0,500.0,49.71123417394093
2024,2,2024|2|reuben berlin,Reuben Berlin,1060.0,1800.0,750.0,2699.98,0.0,0.16798785416118595,0.2852623938586176,0.11885933077442401,0.4278904212057725,0.0,47,25,3,6,0,0.5802469135802469,0.30864197530864196,0.037037037037037035,0.07407407407407407,0.0,6309.98,81,77.90098765432099,25.0,10.0,500.0,117.8333742049015
2024,2,2024|2|sam sachs,Sam Sachs,405.01,2319.0,575.0,1050.0,0.0,0.09312694153382034,0.533224802886174,0.13221399812830967,0.2414342574516959,0.0,34,31,3,2,0,0.4857142857142857,0.44285714285714284,0.04285714285714286,0.02857142857142857,0.0,4349.01,70,62.12871428571429,50.0,5.0,700.0,97.76878227828173
2024,2,2024|2|sameer kanal,Sameer Kanal,9534.0,9795.76,2912.0,12470.0,0.0,0.2746619589441734,0.2822029191259677,0.08389087732802945,0.35924424460182947,0.0,962,167,15,32,0,0.8180272108843537,0.14200680272108843,0.012755102040816327,0.027210884353741496,0.0,34711.76,1176,29.516802721088435,10.0,5.0,500.0,67.94946536246846
2024,2,2024|2|tiffani penson,Tiffani Penson,6840.24,24302.0,17590.0,31649.0,0.0,0.08509746801616894,0.30233422624483025,0.21883215536361467,0.39373615037538606,0.0,348,341,82,82,0,0.4079718640093787,0.39976553341148885,0.09613130128956623,0.09613130128956623,0.0,80381.24,853,94.2335756154748,50.0,5.0,1000.0,117.39699810605306
2024,2,2024|2|will mespelt,Will Mespelt,115.0,100.0,0.0,1000.0,0.0,0.09465020576131687,0.0823045267489712,0.0,0.823045267489712,0.0,8,1,0,2,0,0.7272727272727273,0.09090909090909091,0.0,0.18181818181818182,0.0,1215.0,11,110.45454545454545,25.0,5.0,500.0,194.42806568824557
