year,district,candidate_key,canonical_candidate,total_amount,total_contribution_count,average_contribution,median_contribution,min_contribution,max_contribution,std_contribution
2024,1,2024|1|steph routh,Steph Routh,76006.71,1975,38.48441012658228,20.24,2.0,500.0,60.52112896927989
2024,1,2024|1|timur ender,Timur Ender,61809.84,1260,49.05542857142857,20.0,1.0,500.0,77.03645738464965
2024,1,2024|1|candace avalos,Candace Avalos,58893.8,1494,39.42021419009371,20.0,1.0,2292.25,92.90650241134406
2024,1,2024|1|loretta smith,Loretta Smith,43744.96,517,84.61307543520309,25.0,5.0,500.0,112.78654120400928
2024,1,2024|1|terrence hayes,Terrence Hayes,36108.05,963,37.4953790238837,20.0,5.0,500.0,62.77301603505994
2024,1,2024|1|jamie dunphy,Jamie Dunphy,35174.53,1055,33.34078672985782,10.0,1.0,2291.25,93.86551865644925
2024,1,2024|1|noah ernst,Noah Ernst,12993.18,416,31.23360576923077,20.0,5.0,803.18,66.10459493336637
2024,1,2024|1|cayle tern,Cayle Tern,7395.0,313,23.62619808306709,10.0,5.0,350.0,36.8298785293446
2024,1,2024|1|david linn,David Linn,4776.99,130,36.74607692307692,20.0,5.0,499.99,58.04458044123231
2024,1,2024|1|doug clove,Doug Clove,1505.0,13,115.76923076923077,20.0,5.0,500.0,178.77879900692636
2024,1,2024|1|deian salazar,Deian Salazar,1380.0,54,25.555555555555557,20.0,5.0,200.0,32.45703497697926
2024,1,2024|1|thomas shervey,Thomas Shervey,1060.0,21,50.476190476190474,25.0,5.0,250.0,59.956333316522155
2024,1,2024|1|joe furi,Joe Furi,813.95,11,73.99545454545455,31.86,2.49,500.0,144.5782825574876
2024,2,2024|2|dan ryan,Dan Ryan,120133.0,1151,104.37271937445699,50.0,5.0,500.0,116.62370966111612
2024,2,2024|2|tiffani penson,Tiffani Penson,80381.24,853,94.2335756154748,50.0,5.0,1000.0,117.39699810605306
2024,2,2024|2|mariah hudson,Mariah Hudson,74201.68,1112,66.72812949640287,25.0,5.0,763.49,107.01484800833872
2024,2,2024|2|michael mike marshall,Michael (Mike) Marshall,55074.82,663,83.06911010558069,29.0,5.0,500.0,105.10218984796799
2024,2,2024|2|nat west,Nat West,51915.64,1649,31.48310491206792,20.0,1.0,500.0,49.71123417394093
2024,2,2024|2|jonathan tasini,Jonathan Tasini,49453.07,717,68.97220362622036,20.0,1.0,763.49,109.79069573255707
2024,2,2024|2|elana pirtle guiney,Elana Pirtle-Guiney,47039.93,615,76.48769105691056,25.0,5.0,4500.0,203.18455334445852
2024,2,2024|2|debbie kitchin,Debbie Kitchin,34884.88,460,75.8366956521739,25.0,5.0,500.0,102.26739894346086
2024,2,2024|2|sameer kanal,Sameer Kanal,34711.76,1176,29.516802721088435,10.0,5.0,500.0,67.94946536246846
2024,2,2024|2|marnie glickman,Marnie Glickman,34318.0,1090,31.48440366972477,10.0,1.0,500.0,62.059498058160614
2024,2,2024|2|michelle depass,Michelle DePass,32578.29,720,45.247625,25.0,1.36,600.0,67.4481884874212
2024,2,2024|2|nabil zaghloul,Nabil Zaghloul,26484.0,1111,23.837983798379838,10.0,1.0,500.0,50.89914809357804
2024,2,2024|2|bob simril,Bob Simril,26230.0,424,61.863207547169814,25.0,5.0,500.0,105.69625137934064
2024,2,2024|2|james armstrong,James Armstrong,25246.18,426,59.263333333333335,25.0,5.0,500.0,92.13018221250738
2024,2,2024|2|jennifer park,Jennifer Park,15950.86,418,38.15995215311005,10.0,5.0,518.89,83.39691524522814
2024,2,2024|2|laura streib,Laura Streib,10718.42,318,33.70572327044025,20.95,5.0,500.0,53.47047549325917
2024,2,2024|2|chris olson,Chris Olson,7272.45,389,18.695244215938303,10.0,3.0,500.0,43.76659790902659
2024,2,2024|2|reuben berlin,Reuben Berlin,6309.98,81,77.90098765432099,25.0,10.0,500.0,117.8333742049015
2024,2,2024|2|sam sachs,Sam Sachs,4349.01,70,62.12871428571429,50.0,5.0,700.0,97.76878227828173
2024,2,2024|2|will mespelt,Will Mespelt,1215.0,11,110.45454545454545,25.0,5.0,500.0,194.42806568824557
2024,3,2024|3|tiffany koyama lane,Tiffany Koyama Lane,88689.62,2848,31.141018258426964,20.0,1.0,500.0,47.33285539237023
2024,3,2024|3|steve novick,Steve Novick,87240.55,1193,73.12703269069573,35.0,5.0,500.0,89.76922898220842
2024,3,2024|3|angelita morillo,Angelita Morillo,64641.17,2187,29.55700502972108,20.0,1.0,350.0,42.10175690985034
2024,3,2024|3|jesse cornett,Jesse Cornett,52912.46,1244,42.53413183279743,20.0,1.0,832.25,74.11119996048892
2024,3,2024|3|rex burkholder,Rex Burkholder,39230.39,524,74.86715648854961,40.0,5.0,350.0,91.18059056467597
2024,3,2024|3|chris flanary,Chris Flanary,17826.94,442,40.33244343891403,20.0,5.0,763.49,84.79260151967337
2024,3,2024|3|harrison kass,Harrison Kass,16057.89,372,43.16637096774193,25.0,5.0,594.0,73.50173174703778
2024,3,2024|3|luke zak,Luke Zak,9730.62,473,20.572135306553914,10.0,5.0,500.0,46.511283093080806
2024,3,2024|3|ahlam k osman,Ahlam K Osman,9002.06,454,19.828325991189427,10.0,5.0,250.0,26.834930916248112
2024,3,2024|3|theo hathaway saner,Theo Hathaway Saner,7504.99,238,31.533571428571427,20.0,5.0,470.77,52.56721568457102
2024,3,2024|3|philippe knab,Philippe Knab,5115.0,47,108.82978723404256,50.0,5.0,500.0,153.00331328451912
2024,3,2024|3|kelly janes kj,Kelly Janes (KJ),4730.0,66,71.66666666666667,25.0,5.0,500.0,131.9625043870514
2024,3,2024|3|jonathan jon walker,Jonathan (Jon) Walker,3842.5,97,39.61340206185567,25.0,2.0,350.0,56.5391413625441
2024,3,2024|3|dan gilk,Dan Gilk,3490.0,40,87.25,25.0,5.0,350.0,119.7109231783179
2024,3,2024|3|matthew matt anderson,Matthew (Matt) Anderson,710.0,6,118.33333333333333,75.0,10.0,250.0,105.9087657687817
2024,4,2024|4|olivia clark,Olivia Clark,95639.0,1172,81.6032423208191,50.0,5.0,500.0,94.27917238944259
2024,4,2024|4|stanley penkin,Stanley Penkin,61847.0,830,74.5144578313253,25.0,5.0,500.0,100.09204043233584
2024,4,2024|4|mitch green,Mitch Green,60464.56,1568,38.56158163265306,20.0,1.0,4500.0,175.72863572590873
2024,4,2024|4|eli arnold,Eli Arnold,50778.15,940,54.0193085106383,25.0,3.0,641.17,85.38271781727404
2024,4,2024|4|ben hufford,Ben Hufford,49074.17,662,74.130166163142,26.0,5.0,641.17,110.99308351297474
2024,4,2024|4|chad lykins,Chad Lykins,47007.66,962,48.864511434511435,25.0,2.25,500.0,82.03147538233783
2024,4,2024|4|eric zimmerman,Eric Zimmerman,41878.55,522,80.2271072796935,25.0,5.0,500.0,109.62601636637551
2024,4,2024|4|tony morse,Tony Morse,41809.6,554,75.46859205776173,25.0,2.32,500.0,104.6885216561461
2024,4,2024|4|bob weinstein,Bob Weinstein,33919.91,473,71.71228329809726,30.0,5.0,641.17,89.96304470487931
2024,4,2024|4|moses ross,Moses Ross,27896.63,1021,27.322850146914792,5.0,1.0,500.0,61.421445873108595
2024,4,2024|4|lisa freeman,Lisa Freeman,25827.58,553,46.70448462929476,20.0,2.0,1000.0,95.12866410012732
2024,4,2024|4|sarah silkie,Sarah Silkie,25477.64,1017,25.05176007866273,5.0,1.0,4500.0,147.17548888885918
2024,4,2024|4|mike dinapoli,Mike DiNapoli,7289.0,131,55.6412213740458,25.0,5.0,500.0,111.88119170333461
2024,4,2024|4|chris henry,Chris Henry,5474.24,589,9.294125636672325,5.0,2.0,250.0,13.604432505640023
2024,4,2024|4|andra vltavin,Andra Vltavín,800.0,3,266.6666666666667,250.0,50.0,500.0,225.4624876411447
2024,4,2024|4|michael trimble,Michael Trimble,509.0,29,17.551724137931036,20.0,5.0,50.0,13.399323562075148
2024,4,2024|4|john toran,John Toran,180.0,11,16.363636363636363,10.0,5.0,50.0,13.800526999160049
