year,contest_type,office,district,profile_key,candidate,contribution_bin,amount,contribution_count,profile_total_amount,profile_total_contribution_count,amount_share,contribution_share,source_file_stem,source_candidate_name,canonical_candidate,candidate_key,linkage_status
2026,city_council,Portland City Council,3,2026|3|orestar|brown,Brown,Micro,25.0,1,2365.0,14,0.010570824524312896,0.07142857142857142,Brown,Brown,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|brown,Brown,Small,100.0,2,2365.0,14,0.042283298097251586,0.14285714285714285,Brown,Brown,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|brown,Brown,Medium,1660.0,9,2365.0,14,0.7019027484143763,0.6428571428571429,Brown,Brown,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|brown,Brown,Large,580.0,2,2365.0,14,0.2452431289640592,0.14285714285714285,Brown,Brown,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|brown,Brown,Mega,0.0,0,2365.0,14,0.0,0.0,Brown,Brown,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|corcoran,Corcoran,Micro,145.0,8,4095.0,30,0.03540903540903541,0.26666666666666666,Corcoran,Corcoran,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|corcoran,Corcoran,Small,480.0,8,4095.0,30,0.11721611721611722,0.26666666666666666,Corcoran,Corcoran,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|corcoran,Corcoran,Medium,1875.0,10,4095.0,30,0.45787545787545786,0.3333333333333333,Corcoran,Corcoran,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|corcoran,Corcoran,Large,1595.0,4,4095.0,30,0.3894993894993895,0.13333333333333333,Corcoran,Corcoran,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|corcoran,Corcoran,Mega,0.0,0,4095.0,30,0.0,0.0,Corcoran,Corcoran,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|johnson,Johnson,Micro,100.0,7,575.0,12,0.17391304347826086,0.5833333333333334,Johnson,Johnson,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|johnson,Johnson,Small,475.0,5,575.0,12,0.8260869565217391,0.4166666666666667,Johnson,Johnson,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|johnson,Johnson,Medium,0.0,0,575.0,12,0.0,0.0,Johnson,Johnson,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|johnson,Johnson,Large,0.0,0,575.0,12,0.0,0.0,Johnson,Johnson,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|johnson,Johnson,Mega,0.0,0,575.0,12,0.0,0.0,Johnson,Johnson,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|koyama,Koyama,Micro,6666.15,342,456686.26,1098,0.014596782482573484,0.3114754098360656,Koyama,Koyama,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|koyama,Koyama,Small,21609.24,384,456686.26,1098,0.04731747348825428,0.34972677595628415,Koyama,Koyama,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|koyama,Koyama,Medium,35968.33,202,456686.26,1098,0.0787593872432247,0.18397085610200364,Koyama,Koyama,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|koyama,Koyama,Large,65330.58,144,456686.26,1098,0.14305352650635908,0.13114754098360656,Koyama,Koyama,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|koyama,Koyama,Mega,327111.96,26,456686.26,1098,0.7162728302795884,0.023679417122040074,Koyama,Koyama,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|leon,Leon,Micro,359.0,20,6716.0,63,0.053454437164979156,0.31746031746031744,Leon,Leon,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|leon,Leon,Small,1331.0,23,6716.0,63,0.1981834425253127,0.36507936507936506,Leon,Leon,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|leon,Leon,Medium,2978.0,17,6716.0,63,0.44341870160810004,0.2698412698412698,Leon,Leon,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|leon,Leon,Large,2048.0,3,6716.0,63,0.3049434187016081,0.047619047619047616,Leon,Leon,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|leon,Leon,Mega,0.0,0,6716.0,63,0.0,0.0,Leon,Leon,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|morillo,Morillo,Micro,3428.58,186,385654.33999999997,616,0.00889029279431939,0.30194805194805197,Morillo,Morillo,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|morillo,Morillo,Small,9498.48,150,385654.33999999997,616,0.024629516680662794,0.2435064935064935,Morillo,Morillo,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|morillo,Morillo,Medium,25509.58,146,385654.33999999997,616,0.06614622825196263,0.237012987012987,Morillo,Morillo,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|morillo,Morillo,Large,48086.01,107,385654.33999999997,616,0.1246868115110542,0.1737012987012987,Morillo,Morillo,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|morillo,Morillo,Mega,299131.69,27,385654.33999999997,616,0.7756471507620011,0.04383116883116883,Morillo,Morillo,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|mullen,Mullen,Micro,450.0,28,11670.0,97,0.038560411311053984,0.28865979381443296,Mullen,Mullen,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|mullen,Mullen,Small,2529.0,43,11670.0,97,0.2167095115681234,0.44329896907216493,Mullen,Mullen,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|mullen,Mullen,Medium,2755.0,15,11670.0,97,0.23607540702656385,0.15463917525773196,Mullen,Mullen,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|mullen,Mullen,Large,4711.0,10,11670.0,97,0.4036846615252785,0.10309278350515463,Mullen,Mullen,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|mullen,Mullen,Mega,1225.0,1,11670.0,97,0.1049700085689803,0.010309278350515464,Mullen,Mullen,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|novick,Novick,Micro,2697.15,134,1098871.6099999999,2884,0.002454472365520482,0.046463245492371706,Novick,Novick,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|novick,Novick,Small,44387.09,550,1098871.6099999999,2884,0.04039333585112823,0.19070735090152566,Novick,Novick,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|novick,Novick,Medium,247814.3,1197,1098871.6099999999,2884,0.22551706472788027,0.41504854368932037,Novick,Novick,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|novick,Novick,Large,494556.05,913,1098871.6099999999,2884,0.4500580827636452,0.3165742024965326,Novick,Novick,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|novick,Novick,Mega,309417.02,90,1098871.6099999999,2884,0.2815770442918259,0.031206657420249653,Novick,Novick,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|sollitt,Sollitt,Micro,150.0,9,8620.0,35,0.01740139211136891,0.2571428571428571,Sollitt,Sollitt,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|sollitt,Sollitt,Small,860.0,13,8620.0,35,0.09976798143851508,0.37142857142857144,Sollitt,Sollitt,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|sollitt,Sollitt,Medium,1160.0,6,8620.0,35,0.1345707656612529,0.17142857142857143,Sollitt,Sollitt,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|sollitt,Sollitt,Large,1590.0,4,8620.0,35,0.18445475638051045,0.11428571428571428,Sollitt,Sollitt,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|sollitt,Sollitt,Mega,4860.0,3,8620.0,35,0.5638051044083526,0.08571428571428572,Sollitt,Sollitt,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|zimmerman,Zimmerman,Micro,685.0,28,8355.0,60,0.0819868342309994,0.4666666666666667,Zimmerman,Zimmerman,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|zimmerman,Zimmerman,Small,985.0,18,8355.0,60,0.11789347695990425,0.3,Zimmerman,Zimmerman,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|zimmerman,Zimmerman,Medium,1110.0,7,8355.0,60,0.13285457809694792,0.11666666666666667,Zimmerman,Zimmerman,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|zimmerman,Zimmerman,Large,5575.0,7,8355.0,60,0.6672651107121484,0.11666666666666667,Zimmerman,Zimmerman,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|zimmerman,Zimmerman,Mega,0.0,0,8355.0,60,0.0,0.0,Zimmerman,Zimmerman,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|arnold,Arnold,Micro,2556.0,127,245345.97,682,0.010417941651945617,0.18621700879765396,Arnold,Arnold,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|arnold,Arnold,Small,16631.38,246,245345.97,682,0.06778745948017814,0.36070381231671556,Arnold,Arnold,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|arnold,Arnold,Medium,34584.59,182,245345.97,682,0.14096253547592405,0.2668621700879765,Arnold,Arnold,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|arnold,Arnold,Large,48523.0,122,245345.97,682,0.19777378042932597,0.17888563049853373,Arnold,Arnold,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|arnold,Arnold,Mega,143051.0,5,245345.97,682,0.5830582829626262,0.007331378299120235,Arnold,Arnold,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|clark,Clark,Micro,1925.0,89,340410.45,853,0.005654938031426473,0.10433763188745604,Clark,Clark,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|clark,Clark,Small,16847.45,236,340410.45,853,0.04949157700652257,0.27667057444314186,Clark,Clark,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|clark,Clark,Medium,60430.0,315,340410.45,853,0.17752098973459832,0.369284876905041,Clark,Clark,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|clark,Clark,Large,77983.0,206,340410.45,853,0.22908521169076917,0.24150058616647127,Clark,Clark,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|clark,Clark,Mega,183225.0,7,340410.45,853,0.5382472835366834,0.008206330597889801,Clark,Clark,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|evenstar,Evenstar,Micro,230.26,14,17411.7,105,0.013224441036774122,0.13333333333333333,Evenstar,Evenstar,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|evenstar,Evenstar,Small,2645.0,38,17411.7,105,0.15190934831176736,0.3619047619047619,Evenstar,Evenstar,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|evenstar,Evenstar,Medium,5656.44,31,17411.7,105,0.32486431537414495,0.29523809523809524,Evenstar,Evenstar,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|evenstar,Evenstar,Large,8880.0,22,17411.7,105,0.5100018952773135,0.20952380952380953,Evenstar,Evenstar,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|evenstar,Evenstar,Mega,0.0,0,17411.7,105,0.0,0.0,Evenstar,Evenstar,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|goldsmith,Goldsmith,Micro,0.0,0,600.0,1,0.0,0.0,Goldsmith,Goldsmith,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|goldsmith,Goldsmith,Small,0.0,0,600.0,1,0.0,0.0,Goldsmith,Goldsmith,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|goldsmith,Goldsmith,Medium,0.0,0,600.0,1,0.0,0.0,Goldsmith,Goldsmith,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|goldsmith,Goldsmith,Large,600.0,1,600.0,1,1.0,1.0,Goldsmith,Goldsmith,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|goldsmith,Goldsmith,Mega,0.0,0,600.0,1,0.0,0.0,Goldsmith,Goldsmith,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|green,Green,Micro,4463.08,267,307117.58999999997,794,0.014532153628842947,0.336272040302267,Green,Green,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|green,Green,Small,14438.46,233,307117.58999999997,794,0.04701280704892221,0.29345088161209065,Green,Green,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|green,Green,Medium,25813.5,142,307117.58999999997,794,0.08405086794279677,0.17884130982367757,Green,Green,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|green,Green,Large,57365.2,133,307117.58999999997,794,0.18678578455893718,0.16750629722921914,Green,Green,,,source_only
