year,contest_type,office,district,profile_key,candidate,amount_micro,amount_small,amount_medium,amount_large,amount_mega,amount_share_micro,amount_share_small,amount_share_medium,amount_share_large,amount_share_mega,contribution_count_micro,contribution_count_small,contribution_count_medium,contribution_count_large,contribution_count_mega,contribution_share_micro,contribution_share_small,contribution_share_medium,contribution_share_large,contribution_share_mega,total_amount,total_contribution_count,average_contribution,median_contribution,min_contribution,max_contribution,std_contribution,sum_cash_contribution,sum_in_kind_contribution,size_cash_contribution,size_in_kind_contribution,source_file_stem,source_candidate_name,canonical_candidate,candidate_key,linkage_status
2026,city_council,Portland City Council,3,2026|3|orestar|brown,Brown,25.0,100.0,1660.0,580.0,0.0,0.010570824524312896,0.042283298097251586,0.7019027484143763,0.2452431289640592,0.0,1,2,9,2,0,0.07142857142857142,0.14285714285714285,0.6428571428571429,0.14285714285714285,0.0,2365.0,14,168.92857142857142,187.5,25.0,305.0,84.26557311967215,2365.0,0.0,14,0,Brown,Brown,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|corcoran,Corcoran,145.0,480.0,1875.0,1595.0,0.0,0.03540903540903541,0.11721611721611722,0.45787545787545786,0.3894993894993895,0.0,8,8,10,4,0,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.0,4095.0,30,136.5,100.0,5.0,500.0,131.97537649122276,4095.0,0.0,30,0,Corcoran,Corcoran,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|johnson,Johnson,100.0,475.0,0.0,0.0,0.0,0.17391304347826086,0.8260869565217391,0.0,0.0,0.0,7,5,0,0,0,0.5833333333333334,0.4166666666666667,0.0,0.0,0.0,575.0,12,47.916666666666664,25.0,5.0,100.0,42.61126256014596,575.0,0.0,12,0,Johnson,Johnson,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|koyama,Koyama,6666.15,21609.24,35968.33,65330.58,327111.96,0.014596782482573484,0.04731747348825428,0.0787593872432247,0.14305352650635908,0.7162728302795884,342,384,202,144,26,0.3114754098360656,0.34972677595628415,0.18397085610200364,0.13114754098360656,0.023679417122040074,456686.26,1098,415.92555555555555,50.0,1.0,70936.0,3668.0618307010386,448019.31,8666.95,1081,17,Koyama,Koyama,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|leon,Leon,359.0,1331.0,2978.0,2048.0,0.0,0.053454437164979156,0.1981834425253127,0.44341870160810004,0.3049434187016081,0.0,20,23,17,3,0,0.31746031746031744,0.36507936507936506,0.2698412698412698,0.047619047619047616,0.0,6716.0,63,106.60317460317461,55.0,5.0,875.0,156.6906279679329,5841.0,875.0,62,1,Leon,Leon,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|morillo,Morillo,3428.58,9498.48,25509.58,48086.01,299131.69,0.00889029279431939,0.024629516680662794,0.06614622825196263,0.1246868115110542,0.7756471507620011,186,150,146,107,27,0.30194805194805197,0.2435064935064935,0.237012987012987,0.1737012987012987,0.04383116883116883,385654.34,616,626.0622402597403,100.0,1.0,50000.0,4328.867396691245,381507.57,4146.77,605,11,Morillo,Morillo,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|mullen,Mullen,450.0,2529.0,2755.0,4711.0,1225.0,0.038560411311053984,0.2167095115681234,0.23607540702656385,0.4036846615252785,0.1049700085689803,28,43,15,10,1,0.28865979381443296,0.44329896907216493,0.15463917525773196,0.10309278350515463,0.010309278350515464,11670.0,97,120.30927835051547,50.0,5.0,1225.0,189.4202977081622,11670.0,0.0,97,0,Mullen,Mullen,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|novick,Novick,2697.15,44387.09,247814.3,494556.05,309417.02,0.002454472365520482,0.04039333585112823,0.22551706472788027,0.4500580827636452,0.2815770442918259,134,550,1197,913,90,0.046463245492371706,0.19070735090152566,0.41504854368932037,0.3165742024965326,0.031206657420249653,1098871.61,2884,381.0234431345354,250.0,3.0,40000.0,1176.6073891094727,1083330.14,15541.47,2842,42,Novick,Novick,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|sollitt,Sollitt,150.0,860.0,1160.0,1590.0,4860.0,0.01740139211136891,0.09976798143851508,0.1345707656612529,0.18445475638051045,0.5638051044083526,9,13,6,4,3,0.2571428571428571,0.37142857142857144,0.17142857142857143,0.11428571428571428,0.08571428571428572,8620.0,35,246.28571428571428,100.0,5.0,2083.0,456.11837804446776,8620.0,0.0,35,0,Sollitt,Sollitt,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|zimmerman,Zimmerman,685.0,985.0,1110.0,5575.0,0.0,0.0819868342309994,0.11789347695990425,0.13285457809694792,0.6672651107121484,0.0,28,18,7,7,0,0.4666666666666667,0.3,0.11666666666666667,0.11666666666666667,0.0,8355.0,60,139.25,32.5,10.0,875.0,253.91481455568413,8355.0,0.0,60,0,Zimmerman,Zimmerman,,,source_only
