year,contest_type,office,district,profile_key,candidate,total_amount,total_contribution_count,average_contribution,median_contribution,min_contribution,max_contribution,std_contribution,sum_cash_contribution,sum_in_kind_contribution,size_cash_contribution,size_in_kind_contribution,source_file_stem,source_candidate_name,canonical_candidate,candidate_key,linkage_status
2026,city_council,Portland City Council,3,2026|3|orestar|novick,Novick,1098871.61,2884,381.0234431345354,250.0,3.0,40000.0,1176.6073891094727,1083330.14,15541.47,2842,42,Novick,Novick,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|koyama,Koyama,456686.26,1098,415.92555555555555,50.0,1.0,70936.0,3668.0618307010386,448019.31,8666.95,1081,17,Koyama,Koyama,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|morillo,Morillo,385654.34,616,626.0622402597403,100.0,1.0,50000.0,4328.867396691245,381507.57,4146.77,605,11,Morillo,Morillo,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|mullen,Mullen,11670.0,97,120.30927835051547,50.0,5.0,1225.0,189.4202977081622,11670.0,0.0,97,0,Mullen,Mullen,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|sollitt,Sollitt,8620.0,35,246.28571428571428,100.0,5.0,2083.0,456.11837804446776,8620.0,0.0,35,0,Sollitt,Sollitt,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|zimmerman,Zimmerman,8355.0,60,139.25,32.5,10.0,875.0,253.91481455568413,8355.0,0.0,60,0,Zimmerman,Zimmerman,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|leon,Leon,6716.0,63,106.60317460317461,55.0,5.0,875.0,156.6906279679329,5841.0,875.0,62,1,Leon,Leon,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|corcoran,Corcoran,4095.0,30,136.5,100.0,5.0,500.0,131.97537649122276,4095.0,0.0,30,0,Corcoran,Corcoran,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|brown,Brown,2365.0,14,168.92857142857142,187.5,25.0,305.0,84.26557311967215,2365.0,0.0,14,0,Brown,Brown,,,source_only
2026,city_council,Portland City Council,3,2026|3|orestar|johnson,Johnson,575.0,12,47.916666666666664,25.0,5.0,100.0,42.61126256014596,575.0,0.0,12,0,Johnson,Johnson,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|clark,Clark,340410.45,853,399.0743845252052,150.0,1.0,50000.0,3085.76401263066,340410.45,0.0,853,0,Clark,Clark,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|zimmerman,Zimmerman,333193.33,728,457.68314560439563,150.0,3.0,67980.0,3006.1524685188037,328752.04,4441.29,716,12,Zimmerman,Zimmerman,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|green,Green,307117.58999999997,794,386.7979722921914,56.0,1.92,50000.0,2957.25684893604,293500.08999999997,13617.5,774,20,Green,Green,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|arnold,Arnold,245345.97,682,359.7448240469208,100.0,5.0,50000.0,3100.5303934393473,245223.37,122.6,681,1,Arnold,Arnold,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|smith,Smith,55485.0,209,265.47846889952154,50.0,5.0,40230.0,2779.8551274449997,55485.0,0.0,209,0,Smith,Smith,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|evenstar,Evenstar,17411.7,105,165.8257142857143,101.0,5.0,750.0,152.99586444170222,17411.7,0.0,105,0,Evenstar,Evenstar,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|thompson,Thompson,15966.5,60,266.10833333333335,100.0,2.44,2500.0,456.39821153471934,11199.45,4767.05,54,6,Thompson,Thompson,,,source_only
2026,city_council,Portland City Council,4,2026|4|orestar|goldsmith,Goldsmith,600.0,1,600.0,600.0,600.0,600.0,,600.0,0.0,1,0,Goldsmith,Goldsmith,,,source_only
