year,district,candidate,candidate_norm,candidate_key,document_count,has_pdf,form_type_detected,filed_as,office_sought,ballot_name,race_ethnicity_self_reported,tribe_native_corporation_self_reported,education_background,candidate_committee,filing_method,parse_method,is_non_candidate_row,name_candidate_filings,match_method_candidate_filings,has_candidate_filings,name_report2025,match_method_report2025,has_report2025,name_portland_contributions,match_method_portland_contributions,has_portland_contributions,name_orestar,match_method_orestar,has_orestar,filing_status,filing_date,campaign_website,occupation,occupational_background,prior_govt_experience,public_funding_program,needs_manual_review,source_count,expected_source_count,all_expected_sources,coverage_status
2024,1,Candace Avalos,candace avalos,2024|1|candace avalos,1,True,candidate_filing_application,Original,Councilor District 1 (4-Year Term),Candace Avalos Page 2: Candidate Information,"Black or African American | Hispanic, Latino, Latina, or Latinx",,"[{""school"": ""Dominion High School"", ""last_grade_completed"": ""12th"", ""credential"": ""High School Diploma"", ""course_of_study"": ""N/A""}, {""school"": ""James Madison University"", ""last_grade_completed"": ""Undergraduate"", ""credential"": ""Bachelor of Arts"", ""course_of_study"": ""Modern Foreign Languages""}, {""school"": ""James Madison University"", ""last_grade_completed"": ""Graduate"", ""credential"": ""Master of Education"", ""course_of_study"": ""College Student Personnel Administration""}]",I have reviewed the above State campaign finance,,text_layer,False,Candace Avalos,canonical_source,True,Candace Avalos,exact_normalized_name,True,Candace Avalos,exact_normalized_name,True,Avalos,unique_token_containment,True,Qualified,"July 5, 2024",www.candaceavalos.com,"Executive Director of Verde, environmental justice nonprofit",Coordinator of Student Government Relations and Greek Life Advisor at Portland State University University Program Board Graduate Advisor at James Madison University Graduate Hall Director at Stanford University Office of Judicial Affairs Graduate Assistant at James Madison University English as a Second Language Assistant at Dominion High School,"Chair of the Citizen Review Committee Co-chair of committee on Charter Review Commission Governor Kotek's Downtown Portland Task Force, environmental justice committee of Racial Justice Council Governor Brown's DPSST Training Task Force",I have reviewed the above campaign finance,False,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,1,Cayle Tern,cayle tern,2024|1|cayle tern,2,True,candidate_filing_application,Amendment,Councilor District 1 (4-Year Term),Cayle Tern Page 2: Candidate Information,Asian or Asian American | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""Portland State University"", ""last_grade_completed"": ""18"", ""credential"": ""Master of Social Work"", ""course_of_study"": """"}, {""school"": ""California State University, Chico"", ""last_grade_completed"": ""16"", ""credential"": ""Bachelor of Science"", ""course_of_study"": ""BUSINESS: Human Resources Management""}]",I have reviewed the above State campaign finance,,text_layer,False,Cayle Tern,canonical_source,True,Cayle Tern,exact_normalized_name,True,Cayle Tern,exact_normalized_name,True,Tern,unique_token_containment,True,Qualified,"July 11, 2024",cayleforpdx.com,"Community Organizer, APANO CUF","Family Coach, Oregon Department of Human Services","Reynolds School Board, Elected",I have reviewed the above campaign finance,False,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,1,David Linn,david linn,2024|1|david linn,1,True,candidate_filing_application,Original,Councilor District 1 (4-Year Term),David Linn Page 2: Candidate Information,White | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""Portland State Univ."", ""last_grade_completed"": ""19"", ""credential"": ""Masters of Public Administration"", ""course_of_study"": ""Local Government""}, {""school"": ""Portland State Univ."", ""last_grade_completed"": ""16"", ""credential"": ""BA"", ""course_of_study"": ""History/Political Science""}, {""school"": ""McDaniel High School"", ""last_grade_completed"": ""12"", ""credential"": ""Diploma"", ""course_of_study"": """"}]",I have reviewed the above State campaign finance,,text_layer,False,David Linn,canonical_source,True,David Linn,exact_normalized_name,True,David Linn,exact_normalized_name,True,Linn,unique_token_containment,True,Qualified,"August 7, 2024",Www.linnforPortland.com,Health Licensing,Miscellaneous,Centennial School Board,I have reviewed the above campaign finance,False,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,1,Deian Salazar,deian salazar,2024|1|deian salazar,1,True,candidate_filing_application,Original,Councilor District 1 (4-Year Term),Deian Salazar Page 2: Candidate Information,"American Indian or Alaskan Native (if selected, a text | your Tribe or Native Corporation, if desired)","American Indian or Alaskan Native (if selected, a text","[{""school"": ""David Douglas High School"", ""last_grade_completed"": ""Graduate"", ""credential"": ""Modified"", ""course_of_study"": """"}]",I have reviewed the above State campaign finance,,text_layer,False,Deian Salazar,canonical_source,True,Deian Salazar,exact_normalized_name,True,Deian Salazar,exact_normalized_name,True,Salazar,unique_token_containment,True,Qualified,"August 26, 2024",salazarforthepeople.com,Policy Advocate Community Organizer Candidate,"East Portland Action Plan Member Oregon Commission on Autism, Social Services Co-Chair Portland Children's Levy Community Council Governor's Child Foster Care Advisory Commission Participatory Budgeting Oregon","East Portland Action Plan Member Oregon Commission on Autism, Social Services Co-Chair Portland Children's Levy Community Council Governor's Child Foster Care Advisory Commission Participatory Budgeting Oregon Multnomah Democratic Party, District Leader HD 47, Youth Chair",I have reviewed the above campaign finance,False,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,1,Doug Clove,doug clove,2024|1|doug clove,1,True,candidate_filing_application,Original,Councilor District 1 (4-Year Term),Doug Clove Page 2: Candidate Information,Prefer Not to Answer | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""Portland State University"", ""last_grade_completed"": ""Graduated"", ""credential"": ""Bachelor of Science"", ""course_of_study"": ""Political Science & Social Science""}, {""school"": ""Mt Hood Community College"", ""last_grade_completed"": ""Graduated"", ""credential"": ""Associates Degree"", ""course_of_study"": ""Transfer Degree""}, {""school"": ""Franklin High School"", ""last_grade_completed"": ""12"", ""credential"": ""Diploma"", ""course_of_study"": """"}, {""school"": ""Our Lady of Sorrows"", ""last_grade_completed"": ""8"", ""credential"": ""Graduated"", ""course_of_study"": """"}]",I have reviewed the above State campaign finance,,text_layer,False,Doug Clove,canonical_source,True,Doug Clove,exact_normalized_name,True,Doug Clove,exact_normalized_name,True,,,False,Qualified,"June 26, 2024",,Water Service Inspector,2.5 years as an Assistant Business Systems Analyst working on Water Bureau Billing System,"VP for Finance, Associated Students of MHCC, Legislative Assistant, Representative Ron Adams",I have reviewed the above campaign finance,False,3,4,False,candidate_filings+report2025+portland_contributions
2024,1,Jamie Dunphy,jamie dunphy,2024|1|jamie dunphy,1,True,candidate_filing_application,Original,Councilor District 1 (4-Year Term),Jamie Dunphy Page 2: Candidate Information,White | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""Portland State University"", ""last_grade_completed"": """", ""credential"": ""Bachelors of Science"", ""course_of_study"": ""Political Science""}, {""school"": ""Portland Community College"", ""last_grade_completed"": """", ""credential"": ""Associates of science, associates of art, associates of"", ""course_of_study"": """"}, {""school"": ""Grant High School"", ""last_grade_completed"": ""12th grade"", ""credential"": """", ""course_of_study"": """"}]",I have reviewed the above State campaign finance,,text_layer,False,Jamie Dunphy,canonical_source,True,Jamie Dunphy,exact_normalized_name,True,Jamie Dunphy,exact_normalized_name,True,,,False,Qualified,"June 5, 2024",www.jamiedunphy.com,"Oregon Government Relations Director, The American Cancer Society Cancer Action Network","Senior Policy Director, Portland City Commissioner Nick Fish Constituent Services Representative, US Senator Jeff Merkley Behavioral Assistant, David Douglas School District Board member, MusicPortland","Parkrose School Board Budget Committee. Community Representative, Community Police Relations Committee. Kelly Elementary PTA",I have reviewed the above campaign finance,False,3,4,False,candidate_filings+report2025+portland_contributions
2024,1,Joe Allen,joe allen,2024|1|joe allen,1,True,candidate_filing_application,Original,Councilor District 1 (4-Year Term),Joe Allen Page 2: Candidate Information,Prefer Not to Answer | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""Rancho Santiago Community College"", ""last_grade_completed"": ""Sophomore"", ""credential"": ""n/a"", ""course_of_study"": """"}, {""school"": ""Fullerton Junior College"", ""last_grade_completed"": ""Sophomore"", ""credential"": ""n/a"", ""course_of_study"": """"}, {""school"": ""Florida College"", ""last_grade_completed"": ""Freshman"", ""credential"": ""n/a"", ""course_of_study"": """"}]",I have reviewed the above State campaign finance,,text_layer,False,Joe Allen,canonical_source,True,Joe Allen,exact_normalized_name,True,,,False,,,False,Qualified,"August 27, 2024",joeallenforportland.com,Woodworker,Woodworker,,I have reviewed the above campaign finance,False,2,4,False,candidate_filings+report2025
2024,1,Joe Furi,joe furi,2024|1|joe furi,1,True,candidate_filing_application,Original,Councilor District 1 (4-Year Term),Joe Furi Page 2: Candidate Information,White | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""S.U.N.Y. Binghamton"", ""last_grade_completed"": ""16"", ""credential"": ""B.S. in Business Administration"", ""course_of_study"": ""Leadership Studies""}]",I have reviewed the above State campaign finance,,text_layer,False,Joe Furi,canonical_source,True,Joe Furi,exact_normalized_name,True,Joe Furi,exact_normalized_name,True,Furi,unique_token_containment,True,Qualified,"August 12, 2024",joefuriforportland.com,Property Management Recruiter,Career Development Specialist - The Doe Fund,,I have reviewed the above campaign finance,False,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,1,Loretta Smith,loretta smith,2024|1|loretta smith,1,True,candidate_filing_application,Original,Councilor District 1 (4-Year Term),Loretta Smith Page 2: Candidate Information,Black or African American | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""Oregon State University"", ""last_grade_completed"": ""Senior year"", ""credential"": ""BA"", ""course_of_study"": ""Communications""}]",I have reviewed the above State campaign finance,,text_layer,False,Loretta Smith,canonical_source,True,Loretta Smith,exact_normalized_name,True,Loretta Smith,exact_normalized_name,True,Smith,unique_token_containment,True,Qualified,"August 26, 2024",www.lorettasmithpdx.com/,"Small Business Owner, Government and Public Affairs Consulting Firm",Advocacy Manager; Field Representative for US Senator Ron Wyden,Elected in 2010 & 2014 as a Multnomah County Commissioner (2011-2018) served,I have reviewed the above campaign finance,False,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,1,Michael (Mike) Sands,michael mike sands,2024|1|michael mike sands,1,True,candidate_filing_application,Original,Councilor District 1 (4-Year Term),Michael (Mike) Sands Page 2: Candidate Information,White | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""U. of Arizona"", ""last_grade_completed"": ""Senior"", ""credential"": ""B.S.B.A."", ""course_of_study"": ""Accounting""}, {""school"": ""Stanford Law School"", ""last_grade_completed"": """", ""credential"": ""LL.B."", ""course_of_study"": ""Law""}]",I have reviewed the above State campaign finance,,text_layer,False,Michael (Mike) Sands,canonical_source,True,Michael (Mike) Sands,exact_normalized_name,True,,,False,,,False,Qualified,"June 10, 2024",,Not Employed; Retired,Trial Attorney Law Professor Superior Court Judge Pro Tem,"Sacramento City Council Sacramento County Assistant Public Defender Sacramento County Democratic Central Committee Ford Foundation Legislative Intern, California Assembly",I have reviewed the above campaign finance,False,2,4,False,candidate_filings+report2025
2024,1,Noah Ernst,noah ernst,2024|1|noah ernst,1,True,candidate_filing_application,Original,Councilor District 1 (4-Year Term),Noah Ernst Page 2: Candidate Information,White | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""University of Oregon School of Law"", ""last_grade_completed"": ""Graduated"", ""credential"": ""Juris Doctorate"", ""course_of_study"": ""Law""}, {""school"": ""Central Washington University"", ""last_grade_completed"": """", ""credential"": ""BA - Art BA - Philosophy"", ""course_of_study"": """"}]",I have reviewed the above State campaign finance,,text_layer,False,Noah Ernst,canonical_source,True,Noah Ernst,exact_normalized_name,True,Noah Ernst,exact_normalized_name,True,Ernst,unique_token_containment,True,Qualified,"July 16, 2024",noahernst4portlan.com,Superintendent - In-House Council Radio Cab Co.,Attorney,,I have reviewed the above campaign finance,False,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,1,Peggy Sue Owens,peggy sue owens,2024|1|peggy sue owens,2,True,candidate_filing_application,Amendment,Councilor District 1 (4-Year Term),PEGGY SUE OWENS Page 2: Candidate Information,"American Indian or Alaskan Native (if selected, a text | your Tribe or Native Corporation, if desired)","American Indian or Alaskan Native (if selected, a text","[{""school"": ""Bandon High School"", ""last_grade_completed"": ""11"", ""credential"": ""diploma"", ""course_of_study"": ""general""}, {""school"": ""SouthWestern Oregon Community College"", ""last_grade_completed"": ""13"", ""credential"": ""na"", ""course_of_study"": """"}, {""school"": ""Portland State University"", ""last_grade_completed"": ""14"", ""credential"": ""NA"", ""course_of_study"": """"}]",I have reviewed the above State campaign finance,,text_layer,False,Peggy Sue Owens,canonical_source,True,Peggy Sue Owens,exact_normalized_name,True,,,False,,,False,Qualified,"June 13, 2024",commonsensecampaignpdx.com,President Don's A-1 Glass,Administration,none,I have reviewed the above campaign finance,False,2,4,False,candidate_filings+report2025
2024,1,Steph Routh,steph routh,2024|1|steph routh,1,True,unrecognized_or_scanned,,,,,,,,,ocr_fallback,False,Steph Routh,canonical_source,True,Steph Routh,exact_normalized_name,True,Steph Routh,exact_normalized_name,True,Routh,unique_token_containment,True,Qualified,"June 18, 2024",,,,,,True,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,1,Terrence Hayes,terrence hayes,2024|1|terrence hayes,1,True,unrecognized_or_scanned,,,,,,,,,ocr_fallback,False,Terrence Hayes,canonical_source,True,Terrence Hayes,exact_normalized_name,True,Terrence Hayes,exact_normalized_name,True,Hayes,unique_token_containment,True,Qualified,"July 19, 2024",,,,,,True,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,1,Thomas Shervey,thomas shervey,2024|1|thomas shervey,1,True,candidate_filing_application,Original,Councilor District 1 (4-Year Term),Thomas Shervey Page 2: Candidate Information,White | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""Portland State University"", ""last_grade_completed"": """", ""credential"": ""Bachelor's Degree"", ""course_of_study"": ""Social Science""}, {""school"": ""James Madison Highschool"", ""last_grade_completed"": ""12th"", ""credential"": ""Highschool Diploma"", ""course_of_study"": """"}]",I have reviewed the above State campaign finance,,text_layer,False,Thomas Shervey,canonical_source,True,Thomas Shervey,exact_normalized_name,True,Thomas Shervey,exact_normalized_name,True,Shervey,unique_token_containment,True,Qualified,"July 25, 2024",https://www.tiktok.com/@thomas4district1?_t=8oJtYOVRgQJ&_r=1,"Office Assistant, Multnomah County Department of Community Justice","Section Head, Fred Meyer",,I have reviewed the above campaign finance,False,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,1,Timur Ender,timur ender,2024|1|timur ender,1,True,candidate_filing_application,Original,Councilor District 1 (4-Year Term),Timur Ender Page 2: Candidate Information,Middle Eastern or Northern African | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""North Carolina State University"", ""last_grade_completed"": ""Undergraduate"", ""credential"": ""Bachelor of Arts"", ""course_of_study"": ""Criminology""}, {""school"": ""Lewis & Clark Law School"", ""last_grade_completed"": """", ""credential"": ""Juris Doctor"", ""course_of_study"": ""Law""}, {""school"": ""Broughton High School"", ""last_grade_completed"": ""12th"", ""credential"": ""high school"", ""course_of_study"": """"}]",I have reviewed the above State campaign finance,,text_layer,False,Timur Ender,canonical_source,True,Timur Ender,exact_normalized_name,True,Timur Ender,exact_normalized_name,True,Ender,unique_token_containment,True,Qualified,"June 7, 2024",www.ender4eastportland.com,Not Employed,Infrastructure Project Manager,"City of Portland, Policy Advisor (2015-16) Municipal Infrastructure Project Manager (2017-21) Multnomah County Public Health Advisory Board (2019-21) Multnomah County Charter Review Committee (2021-22)",I have reviewed the above campaign finance,False,4,4,True,candidate_filings+report2025+portland_contributions+orestar
