year,district,candidate,candidate_norm,candidate_key,document_count,has_pdf,form_type_detected,filed_as,office_sought,ballot_name,race_ethnicity_self_reported,tribe_native_corporation_self_reported,education_background,candidate_committee,filing_method,parse_method,is_non_candidate_row,name_candidate_filings,match_method_candidate_filings,has_candidate_filings,name_portland_contributions,match_method_portland_contributions,has_portland_contributions,name_orestar,match_method_orestar,has_orestar,filing_status,filing_date,campaign_website,occupation,occupational_background,prior_govt_experience,public_funding_program,needs_manual_review,source_count,expected_source_count,all_expected_sources,coverage_status
2026,3,Angelita Morillo,angelita morillo,2026|3|angelita morillo,1,True,unrecognized_or_scanned,,,,,,,,,ocr_fallback,False,Angelita Morillo,canonical_source,True,Angelita Morillo,exact_normalized_name,True,Morillo,unique_token_containment,True,Qualified,"July 2, 2026",,,,,,True,3,3,True,candidate_filings+portland_contributions+orestar
2026,3,Brandon Mullen,brandon mullen,2026|3|brandon mullen,0,False,,,,,,,,,,,False,Brandon Mullen,canonical_source,True,Brandon Mullen,exact_normalized_name,True,Mullen,unique_token_containment,True,Under review as of 7/17/26 Withdrawn as of 7/21/26,,,,,,,,3,3,True,candidate_filings+portland_contributions+orestar
2026,3,Cristal Otero,cristal otero,2026|3|cristal otero,1,True,,,,,,,,,,download_failed,False,Cristal Otero,canonical_source,True,,,False,,,False,Qualified,"August 5, 2026",,,,,,True,1,3,False,candidate_filings
2026,3,Darren McCormick,darren mccormick,2026|3|darren mccormick,1,True,,,,,,,,,,download_failed,False,Darren McCormick,canonical_source,True,,,False,,,False,Qualified,"July 16, 2026",,,,,,True,1,3,False,candidate_filings
2026,3,Esther León,esther leon,2026|3|esther leon,1,True,candidate_filing_application,Original,Councilor District 3,,,,,I have filed a Notice of Intent to participate in the City’s,Declaration with Fee ($500 for Auditor; $250 for,text_layer,False,Esther León,canonical_source,True,Esther Leon,exact_normalized_name,True,Leon,unique_token_containment,True,Qualified,"July 20, 2026",estherforportland.com Page 9: Race and ethnicity (optional) - Tribe or Native Corporation,"Doctor of Physical Therapy, part time community college faculty for Physical Therapy Assistant program and Anatomy & Physiology.",entered. Doctor of Physical Therapy since 2018. Part time community college faculty since 2024.,None Page 12: Educational background 2026 Candidate Filing Application - AUD 120 Form,I have filed a Notice of Intent to participate in the City’s,False,3,3,True,candidate_filings+portland_contributions+orestar
2026,3,Guy Frankenstein,guy frankenstein,2026|3|guy frankenstein,1,True,candidate_filing_application,Original,Councilor District 3,,,,,I do not plan to participate in the City’s public funding,Declaration with Fee ($500 for Auditor; $250 for,text_layer,False,Guy Frankenstein,canonical_source,True,,,False,,,False,Qualified,"June 26, 2026",guyfrankenstein.com Page 9: Race and ethnicity (optional) - Tribe or Native Corporation,Student,entered. N/A,N/A Page 12: Educational background 2026 Candidate Filing Application - AUD 120 Form,I do not plan to participate in the City’s public funding,False,1,3,False,candidate_filings
2026,3,Joel Corcoran,joel corcoran,2026|3|joel corcoran,1,True,,,,,,,,,,download_failed,False,Joel Corcoran,canonical_source,True,Joel Corcoran,exact_normalized_name,True,Corcoran,unique_token_containment,True,Qualified,"July 24, 2026",,,,,,True,3,3,True,candidate_filings+portland_contributions+orestar
2026,3,John Sweeney,john sweeney,2026|3|john sweeney,2,True,unrecognized_or_scanned,,,,,,,,,text_layer,False,John Sweeney,canonical_source,True,,,False,,,False,Qualified,"June 24, 2026",,,,,,True,1,3,False,candidate_filings
2026,3,Keir Legree,keir legree,2026|3|keir legree,3,True,candidate_filing_application,Amendment,Councilor District 3,,,,,I do not plan to participate in the City’s public funding,Declaration with Fee ($500 for Auditor; $250 for,text_layer,False,Keir Legree,canonical_source,True,,,False,,,False,Qualified,"July 10, 2026",,GM of Savoy Studios (An Art Glass Company) - Founder PlanXT (online project management company),entered. N/A,N/A Page 12: Educational background,I do not plan to participate in the City’s public funding,False,1,3,False,candidate_filings
2026,3,Kellie Torres,kellie torres,2026|3|kellie torres,1,True,,,,,,,,,,download_failed,False,Kellie Torres,canonical_source,True,Kellie Torres,exact_normalized_name,True,,,False,Qualified,"July 20, 2026",,,,,,True,2,3,False,candidate_filings+portland_contributions
