year,district,candidate_key,canonical_candidate,total_spending,expenditure_count,average_expenditure,median_expenditure
2024,1,2024|1|loretta smith,Loretta Smith,1464141.21,1510,969.629940397351,100.895
2024,1,2024|1|steph routh,Steph Routh,201809.37,572,352.8135839160839,8.72
2024,1,2024|1|candace avalos,Candace Avalos,177221.93,470,377.06793617021276,78.26
2024,1,2024|1|timur ender,Timur Ender,157642.42,160,985.2651250000001,184.87
2024,1,2024|1|terrence hayes,Terrence Hayes,92626.13,197,470.18340101522847,68.78
2024,1,2024|1|noah ernst,Noah Ernst,60028.06,136,441.38279411764705,195.0
2024,1,2024|1|cayle tern,Cayle Tern,13202.71,72,183.3709722222222,80.0
2024,1,2024|1|deian salazar,Deian Salazar,5326.85,76,70.09013157894738,20.825
2024,1,2024|1|david linn,David Linn,5176.49,66,78.43166666666666,15.99
2024,1,2024|1|thomas shervey,Thomas Shervey,2223.98,25,88.9592,14.99
2024,1,2024|1|joe furi,Joe Furi,750.0,8,93.75,55.0
2024,2,2024|2|mariah hudson,Mariah Hudson,154825.11000000002,197,785.914263959391,70.9
2024,2,2024|2|tiffani penson,Tiffani Penson,143910.77,178,808.4874719101123,161.695
2024,2,2024|2|marnie glickman,Marnie Glickman,133462.97,128,1042.679453125,48.015
2024,2,2024|2|nat west,Nat West,131140.06,169,775.9766863905326,116.8
2024,2,2024|2|michelle depass,Michelle DePass,121536.89,233,521.6175536480687,111.3
2024,2,2024|2|nabil zaghloul,Nabil Zaghloul,109719.75,173,634.2182080924855,210.0
2024,2,2024|2|jonathan tasini,Jonathan Tasini,106663.61,169,631.1456213017751,77.98
2024,2,2024|2|sameer kanal,Sameer Kanal,102966.45,166,620.2798192771085,63.56
2024,2,2024|2|michael mike marshall,Michael (Mike) Marshall,100931.24,192,525.6835416666667,100.8
2024,2,2024|2|elana pirtle guiney,Elana Pirtle-Guiney,85457.75,121,706.2623966942149,100.0
2024,2,2024|2|bob simril,Bob Simril,80881.96,179,451.8545251396648,93.04
2024,2,2024|2|debbie kitchin,Debbie Kitchin,70605.48,150,470.7032,53.92
2024,2,2024|2|james armstrong,James Armstrong,63784.29,165,386.57145454545457,45.33
2024,2,2024|2|jennifer park,Jennifer Park,45905.090000000004,186,246.80155913978496,85.91
2024,2,2024|2|chris olson,Chris Olson,42466.85,246,172.62947154471544,20.0
2024,2,2024|2|laura streib,Laura Streib,30462.27,55,553.8594545454546,72.0
2024,2,2024|2|will mespelt,Will Mespelt,16523.17,97,170.34195876288658,55.88
2024,2,2024|2|reuben berlin,Reuben Berlin,9124.48,40,228.112,65.0
2024,2,2024|2|sam sachs,Sam Sachs,5480.68,35,156.59085714285715,55.0
2024,3,2024|3|steve novick,Steve Novick,1081644.06,662,1633.903413897281,129.52499999999998
2024,3,2024|3|tiffany koyama lane,Tiffany Koyama Lane,308922.62,893,345.9379843225084,21.58
2024,3,2024|3|angelita morillo,Angelita Morillo,230589.38999999998,503,458.42821073558645,36.0
2024,3,2024|3|jesse cornett,Jesse Cornett,140392.04,349,402.2694555873926,62.78
2024,3,2024|3|daniel demelo,Daniel DeMelo,67796.95999999999,167,405.9698203592814,35.0
2024,3,2024|3|harrison kass,Harrison Kass,60367.86,81,745.2822222222222,300.0
2024,3,2024|3|chris flanary,Chris Flanary,56362.95,127,443.8027559055118,16.98
2024,3,2024|3|ahlam k osman,Ahlam K Osman,45930.68,52,883.2823076923077,171.175
2024,3,2024|3|luke zak,Luke Zak,40457.04,127,318.5593700787402,97.0
2024,3,2024|3|kezia wanner,Kezia Wanner,14580.78,39,373.86615384615385,55.83
2024,3,2024|3|theo hathaway saner,Theo Hathaway Saner,12588.82,93,135.3636559139785,35.0
2024,3,2024|3|kelly janes kj,Kelly Janes (KJ),9301.96,61,152.4911475409836,55.0
2024,3,2024|3|philippe knab,Philippe Knab,5919.57,37,159.98837837837837,75.0
2024,3,2024|3|jonathan jon walker,Jonathan (Jon) Walker,4611.13,78,59.117051282051285,36.965
2024,3,2024|3|brian conley,Brian Conley,2219.4300000000003,17,130.55470588235295,36.0
2024,3,2024|3|patrick hilton,Patrick Hilton,672.19,13,51.70692307692308,28.75
2024,4,2024|4|eric zimmerman,Eric Zimmerman,291095.65,188,1548.3811170212766,156.64
2024,4,2024|4|mitch green,Mitch Green,197062.06,586,336.28337883959045,14.31
2024,4,2024|4|olivia clark,Olivia Clark,194106.54,147,1320.4526530612245,131.75
2024,4,2024|4|chad lykins,Chad Lykins,127926.92,160,799.54325,117.5
2024,4,2024|4|moses ross,Moses Ross,110289.04,264,417.76151515151514,42.0
2024,4,2024|4|eli arnold,Eli Arnold,108592.89,196,554.0453571428571,105.38499999999999
2024,4,2024|4|stanley penkin,Stanley Penkin,105363.28,131,804.2998473282443,100.0
2024,4,2024|4|sarah silkie,Sarah Silkie,102010.01,172,593.0814534883721,105.435
2024,4,2024|4|ben hufford,Ben Hufford,89305.67,75,1190.7422666666666,75.0
2024,4,2024|4|tony morse,Tony Morse,81288.87,172,472.60970930232554,55.0
2024,4,2024|4|bob weinstein,Bob Weinstein,80985.14,99,818.0317171717172,300.0
2024,4,2024|4|lisa freeman,Lisa Freeman,66943.08,201,333.0501492537314,149.95
2024,4,2024|4|chris henry,Chris Henry,28935.93,80,361.699125,38.504999999999995
2024,4,2024|4|jeremy beausoleil smith,Jeremy Beausoleil Smith,22616.06,234,96.64982905982906,2.97
2024,4,2024|4|bob callahan,Bob Callahan,22430.829999999998,98,228.88602040816323,26.0
2024,4,2024|4|john toran,John Toran,16332.26,93,175.6156989247312,64.04
