year,contest_type,office,district,profile_key,candidate,spending_bin,spending_amount,spending_count,profile_total_spending,profile_total_count,spending_amount_share,spending_count_share,source_file_stem,source_candidate_name,canonical_candidate,candidate_key,linkage_status
2024,city_council,Portland City Council,1,2024|1|candace avalos,Candace Avalos,Micro,1353.5,150,177221.93,470,0.007637316668428112,0.3191489361702128,Avalos,Avalos,Candace Avalos,2024|1|candace avalos,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|candace avalos,Candace Avalos,Small,7027.16,116,177221.93,470,0.03965175190226176,0.24680851063829787,Avalos,Avalos,Candace Avalos,2024|1|candace avalos,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|candace avalos,Candace Avalos,Medium,12667.39,76,177221.93,470,0.0714775535962169,0.16170212765957448,Avalos,Avalos,Candace Avalos,2024|1|candace avalos,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|candace avalos,Candace Avalos,Large,51604.78,90,177221.93,470,0.29118732653458856,0.19148936170212766,Avalos,Avalos,Candace Avalos,2024|1|candace avalos,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|candace avalos,Candace Avalos,Mega,104569.1,38,177221.93,470,0.5900460512985047,0.08085106382978724,Avalos,Avalos,Candace Avalos,2024|1|candace avalos,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|cayle tern,Cayle Tern,Micro,195.1,25,13202.71,72,0.014777269212154172,0.3472222222222222,Tern,Tern,Cayle Tern,2024|1|cayle tern,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|cayle tern,Cayle Tern,Small,1104.67,17,13202.71,72,0.08366994351917145,0.2361111111111111,Tern,Tern,Cayle Tern,2024|1|cayle tern,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|cayle tern,Cayle Tern,Medium,1627.98,11,13202.71,72,0.1233065029830997,0.1527777777777778,Tern,Tern,Cayle Tern,2024|1|cayle tern,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|cayle tern,Cayle Tern,Large,10274.96,19,13202.71,72,0.7782462842855747,0.2638888888888889,Tern,Tern,Cayle Tern,2024|1|cayle tern,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|cayle tern,Cayle Tern,Mega,0.0,0,13202.71,72,0.0,0.0,Tern,Tern,Cayle Tern,2024|1|cayle tern,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|david linn,David Linn,Micro,415.06,45,5176.49,66,0.08018174477300256,0.6818181818181818,Linn,Linn,David Linn,2024|1|david linn,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|david linn,David Linn,Small,278.93,6,5176.49,66,0.053884002480445246,0.09090909090909091,Linn,Linn,David Linn,2024|1|david linn,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|david linn,David Linn,Medium,1540.0,9,5176.49,66,0.2974988843791836,0.13636363636363635,Linn,Linn,David Linn,2024|1|david linn,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|david linn,David Linn,Large,2942.5,6,5176.49,66,0.5684353683673686,0.09090909090909091,Linn,Linn,David Linn,2024|1|david linn,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|david linn,David Linn,Mega,0.0,0,5176.49,66,0.0,0.0,Linn,Linn,David Linn,2024|1|david linn,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|deian salazar,Deian Salazar,Micro,404.3,45,5326.85,76,0.07589851413124078,0.5921052631578947,Salazar,Salazar,Deian Salazar,2024|1|deian salazar,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|deian salazar,Deian Salazar,Small,829.16,15,5326.85,76,0.1556567202004937,0.19736842105263158,Salazar,Salazar,Deian Salazar,2024|1|deian salazar,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|deian salazar,Deian Salazar,Medium,1845.2,12,5326.85,76,0.34639608774416397,0.15789473684210525,Salazar,Salazar,Deian Salazar,2024|1|deian salazar,matched_to_official_candidate
