year,contest_type,office,district,profile_key,candidate,total_spending,expenditure_count,average_expenditure,median_expenditure,min_expenditure,max_expenditure,std_expenditure,source_file_stem,source_candidate_name,canonical_candidate,candidate_key,linkage_status
2024,city_council,Portland City Council,1,2024|1|loretta smith,Loretta Smith,1464141.21,1510,969.629940397351,100.895,0.07,48200.0,3599.745502144666,Smith,Smith,Loretta Smith,2024|1|loretta smith,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|steph routh,Steph Routh,201809.37,572,352.8135839160839,8.72,0.2,31881.49,1821.0934648683628,Routh,Routh,Steph Routh,2024|1|steph routh,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|candace avalos,Candace Avalos,177221.93,470,377.06793617021276,78.26,0.08,21297.66,1364.9494835162102,Avalos,Avalos,Candace Avalos,2024|1|candace avalos,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|timur ender,Timur Ender,157642.42,160,985.2651250000001,184.87,0.24,13098.42,1835.0556057360718,Ender,Ender,Timur Ender,2024|1|timur ender,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|orestar|durphy,Durphy,111237.32,391,284.4944245524297,21.0,0.04,16300.0,1026.68328880023,Durphy,Durphy,,,unmatched_source_candidate
2024,city_council,Portland City Council,1,2024|1|terrence hayes,Terrence Hayes,92626.13,197,470.18340101522847,68.78,0.87,8000.0,1132.0490402620694,Hayes,Hayes,Terrence Hayes,2024|1|terrence hayes,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|noah ernst,Noah Ernst,60028.06,136,441.38279411764705,195.0,0.18,10200.0,1113.9661858966024,Ernst,Ernst,Noah Ernst,2024|1|noah ernst,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|cayle tern,Cayle Tern,13202.71,72,183.3709722222222,80.0,0.18,868.6,243.06087576409837,Tern,Tern,Cayle Tern,2024|1|cayle tern,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|orestar|mckenzie,McKenzie,5426.76,39,139.14769230769232,34.78,0.35,618.0,203.24002670502858,McKenzie,McKenzie,,,unmatched_source_candidate
2024,city_council,Portland City Council,1,2024|1|deian salazar,Deian Salazar,5326.85,76,70.09013157894738,20.825,0.18,1192.43,154.36218121887606,Salazar,Salazar,Deian Salazar,2024|1|deian salazar,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|david linn,David Linn,5176.49,66,78.43166666666666,15.99,0.18,750.0,153.0819507381418,Linn,Linn,David Linn,2024|1|david linn,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|thomas shervey,Thomas Shervey,2223.98,25,88.9592,14.99,0.2,945.6,197.70612673696618,Shervey,Shervey,Thomas Shervey,2024|1|thomas shervey,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|joe furi,Joe Furi,750.0,8,93.75,55.0,3.5,330.0,111.28157657813034,Furi,Furi,Joe Furi,2024|1|joe furi,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|mariah hudson,Mariah Hudson,154825.11000000002,197,785.914263959391,70.9,0.35,14684.0,2391.8466456367914,Hudson,Hudson,Mariah Hudson,2024|2|mariah hudson,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|tiffani penson,Tiffani Penson,143910.77,178,808.4874719101123,161.695,2.1,14173.09,1802.1839986526866,Penson,Penson,Tiffani Penson,2024|2|tiffani penson,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|marnie glickman,Marnie Glickman,133462.97,128,1042.679453125,48.015,0.4,15216.63,2230.0405023059325,Glickman,Glickman,Marnie Glickman,2024|2|marnie glickman,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|nat west,Nat West,131140.06,169,775.9766863905326,116.8,0.2,11385.39,1923.884003156649,West,West,Nat West,2024|2|nat west,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|michelle depass,Michelle DePass,121536.89,233,521.6175536480687,111.3,0.2,18923.56,1605.7165418125503,DePass,DePass,Michelle DePass,2024|2|michelle depass,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|nabil zaghloul,Nabil Zaghloul,109719.75,173,634.2182080924855,210.0,0.18,24485.0,1964.6845270269762,Zaghloul,Zaghloul,Nabil Zaghloul,2024|2|nabil zaghloul,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|jonathan tasini,Jonathan Tasini,106663.61,169,631.1456213017751,77.98,0.2,10000.0,1595.9607114125276,Tasini,Tasini,Jonathan Tasini,2024|2|jonathan tasini,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|sameer kanal,Sameer Kanal,102966.45,166,620.2798192771085,63.56,0.07,11769.1,1566.1616246524195,Kanal,Kanal,Sameer Kanal,2024|2|sameer kanal,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|michael mike marshall,Michael (Mike) Marshall,100931.24,192,525.6835416666667,100.8,0.6,9897.13,1308.8536703103114,Marshall,Marshall,Michael (Mike) Marshall,2024|2|michael mike marshall,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|elana pirtle guiney,Elana Pirtle-Guiney,85457.75,121,706.2623966942149,100.0,0.35,24511.91,2390.557491193224,Pirtle,Pirtle,Elana Pirtle-Guiney,2024|2|elana pirtle guiney,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|bob simril,Bob Simril,80881.96,179,451.8545251396648,93.04,1.4,7500.0,1026.4299445926029,Simril,Simril,Bob Simril,2024|2|bob simril,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|debbie kitchin,Debbie Kitchin,70605.48,150,470.7032,53.92,0.18,19000.0,1706.0033708438657,Kitchin,Kitchin,Debbie Kitchin,2024|2|debbie kitchin,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|james armstrong,James Armstrong,63784.29,165,386.57145454545457,45.33,0.38,9897.13,1109.7177049066293,Armstrong,Armstrong,James Armstrong,2024|2|james armstrong,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|jennifer park,Jennifer Park,45905.090000000004,186,246.80155913978496,85.91,0.35,3369.8,459.98247082140136,Park,Park,Jennifer Park,2024|2|jennifer park,matched_to_official_candidate
