year,district,source_candidate_name,mentions,mention_share,first_place_votes,first_place_share,total_ballot_weight,stv_threshold,is_viable,canonical_candidate_ballot,candidate_key,canonical_candidate_finance,total_amount,total_contribution_count,average_contribution,median_contribution,viable_int,log_total_amount,log_contribution_count,total_spending,expenditure_count,log_total_spending
2024,1,Timur Ender,16858.0,0.3932261901985024,3550.0,0.0828065592125212,42871.0,10718.0,True,Timur Ender,2024|1|timur ender,Timur Ender,61809.84,1260,49.05542857142857,20.0,1,11.03183403259495,7.13966033596492,157642.42,160.0,11.968090926074876
2024,1,Terrence Hayes,15967.0,0.372442910125726,3975.0,0.0927200205266963,42871.0,10718.0,True,Terrence Hayes,2024|1|terrence hayes,Terrence Hayes,36108.05,963,37.4953790238837,20.0,1,10.494298805423629,6.871091294610546,92626.13,197.0,11.436337358285403
2024,1,Loretta Smith,17984.0,0.4194910312332346,5586.0,0.1302978703552518,42871.0,10718.0,True,Loretta Smith,2024|1|loretta smith,Loretta Smith,43744.96,517,84.61307543520309,25.0,1,10.686154544664754,6.249975242259483,1464141.21,1510.0,14.196780106763947
2024,1,Deian Salazar,5262.0,0.1227403139651512,720.0,0.0167945697557789,42871.0,10718.0,False,Deian Salazar,2024|1|deian salazar,Deian Salazar,1380.0,54,25.555555555555557,20.0,0,7.2305631534092925,4.007333185232471,5326.85,76.0,8.580703058670764
2024,1,Noah Ernst,11606.0,0.2707191341466259,4052.0,0.0945161064589116,42871.0,10718.0,True,Noah Ernst,2024|1|noah ernst,Noah Ernst,12993.18,416,31.23360576923077,20.0,1,9.472256843891861,6.0330862217988015,60028.06,136.0,11.00258405728604
2024,1,Jamie Dunphy,18470.0,0.4308273658183854,5064.0,0.118121807282312,42871.0,10718.0,True,Jamie Dunphy,2024|1|jamie dunphy,Jamie Dunphy,35174.53,1055,33.34078672985782,10.0,1,10.46810594938862,6.962243464266207,,,
2024,1,Doug Clove,7593.0,0.1771127335494856,1698.0,0.0396071936740453,42871.0,10718.0,False,Doug Clove,2024|1|doug clove,Doug Clove,1505.0,13,115.76923076923076,20.0,0,7.317212408359839,2.6390573296152584,,,
2024,1,Joe Furi,4070.0,0.0949359707028061,355.0,0.0082806559212521,42871.0,10718.0,False,Joe Furi,2024|1|joe furi,Joe Furi,813.95,11,73.99545454545455,31.86,0,6.703126761665642,2.4849066497880004,750.0,8.0,6.621405651764134
2024,1,Cayle Tern,9061.0,0.2113549952182127,711.0,0.0165846376338317,42871.0,10718.0,False,Cayle Tern,2024|1|cayle tern,Cayle Tern,7395.0,313,23.62619808306709,10.0,0,8.908694592507015,5.749392985908253,13202.71,72.0,9.48825312969039
2024,1,Thomas Shervey,3507.0,0.08180355018544,385.0,0.0089804296610762,42871.0,10718.0,False,Thomas Shervey,2024|1|thomas shervey,Thomas Shervey,1060.0,21,50.476190476190474,25.0,0,6.966967138613983,3.091042453358316,2223.98,25.0,7.707503205795897
2024,1,Steph Routh,20440.0,0.4767791747335028,3894.0,0.0908306314291712,42871.0,10718.0,True,Steph Routh,2024|1|steph routh,Steph Routh,76006.71,1975,38.48441012658228,20.24,1,11.238590061491452,7.588829878307813,201809.37,572.0,12.215083773093742
2024,1,Candace Avalos,22267.0,0.519395395488792,8297.0,0.1935340906440251,42871.0,10718.0,True,Candace Avalos,2024|1|candace avalos,Candace Avalos,58893.8,1494,39.42021419009371,20.0,1,10.983508080513106,7.3098814858247865,177221.93,470.0,12.085163710587295
2024,1,David Linn,9324.0,0.2174896783373376,1111.0,0.02591495416482,42871.0,10718.0,False,David Linn,2024|1|david linn,David Linn,4776.99,130,36.74607692307692,20.0,0,8.471775234957654,4.875197323201151,5176.49,66.0,8.552075661833785
2024,2,Chris Olson,7509.0,0.0973210466969944,1233.0,0.0159804035926746,77157.0,19290.0,False,Chris Olson,2024|2|chris olson,Chris Olson,7272.45,389,18.695244215938303,10.0,0,8.891986010920279,5.966146739123692,42466.85,246.0,10.656502598056019
2024,2,Sam Sachs,2824.0,0.0366006972795728,304.0,0.0039400184040333,77157.0,19290.0,False,Sam Sachs,2024|2|sam sachs,Sam Sachs,4349.01,70,62.12871428571429,50.0,0,8.377933422930662,4.2626798770413155,5480.68,35.0,8.609166902302348
2024,2,Debbie Kitchin,9088.0,0.1177858133416281,1228.0,0.0159156006583978,77157.0,19290.0,False,Debbie Kitchin,2024|2|debbie kitchin,Debbie Kitchin,34884.88,460,75.8366956521739,25.0,0,10.459837441796896,6.133398042996649,70605.48,150.0,11.164877203971924
2024,2,Laura Streib,4848.0,0.0628329250748473,707.0,0.0091631349067485,77157.0,19290.0,False,Laura Streib,2024|2|laura streib,Laura Streib,10718.42,318,33.70572327044025,20.95,0,9.27981232868348,5.765191102784844,30462.27,55.0,10.324276974593898
2024,2,Marnie Glickman,20718.0,0.2685174384696139,3997.0,0.0518034656609251,77157.0,19290.0,True,Marnie Glickman,2024|2|marnie glickman,Marnie Glickman,34318.0,1090,31.48440366972477,10.0,1,10.443454415648254,6.994849985833071,133462.97,128.0,11.801586832755769
2024,2,Nat West,30666.0,0.3974493565068626,5462.0,0.0707907254040463,77157.0,19290.0,True,Nat West,2024|2|nat west,Nat West,51915.64,1649,31.48310491206792,20.0,1,10.857394634337798,7.408530566894626,131140.06,169.0,11.784028816749714
2024,2,Elana Pirtle-Guiney,34268.0,0.4441333903599155,12447.0,0.1613204245888254,77157.0,19290.0,True,Elana Pirtle-Guiney,2024|2|elana pirtle guiney,Elana Pirtle-Guiney,47039.93,615,76.48769105691056,25.0,1,10.75877335278524,6.423246963533519,85457.75,121.0,11.35578908236509
2024,2,James Armstrong,13504.0,0.1750197648949544,1476.0,0.0191298261985302,77157.0,19290.0,False,James Armstrong,2024|2|james armstrong,James Armstrong,25246.18,426,59.263333333333335,25.0,0,10.13646974529816,6.056784013228625,63784.29,165.0,11.063277878485533
2024,2,Michael (Mike) Marshall,15684.0,0.2032738442396671,1646.0,0.0213331259639436,77157.0,19290.0,False,Michael (Mike) Marshall,2024|2|michael mike marshall,Michael (Mike) Marshall,55074.82,663,83.06911010558069,29.0,0,10.916466060347723,6.498282149476434,100931.24,192.0,11.522204679586155
