scope,district,finance_variable,n,viability_correlation
all_districts,,total_amount,65,0.7045630283104651
district,1.0,total_amount,13,0.8351113237604977
district,2.0,total_amount,20,0.6694754810457594
district,3.0,total_amount,15,0.9185796073986271
district,4.0,total_amount,17,0.5062201471875487
all_districts,,log_total_amount,65,0.6734603017764885
district,1.0,log_total_amount,13,0.9125446874607925
district,2.0,log_total_amount,20,0.6501023958419078
district,3.0,log_total_amount,15,0.8365038109138165
district,4.0,log_total_amount,17,0.5421165137145872
all_districts,,total_contribution_count,65,0.682526754838994
district,1.0,total_contribution_count,13,0.7998158773638934
district,2.0,total_contribution_count,20,0.7149961677588834
district,3.0,total_contribution_count,15,0.7942982200159802
district,4.0,total_contribution_count,17,0.5508463355087837
all_districts,,log_contribution_count,65,0.6323863694541879
district,1.0,log_contribution_count,13,0.8628988235040375
district,2.0,log_contribution_count,20,0.5857667838439107
district,3.0,log_contribution_count,15,0.7085756659560615
district,4.0,log_contribution_count,17,0.5102227012622812
